Run Name: GCN_global_workers4_epochs200
TRAINING DEVICE: cuda:0
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/200, Train Loss: 2.6358, Validation Loss: 2.9518
Epoch 2/200, Train Loss: 1.6878, Validation Loss: 1.7111
Epoch 3/200, Train Loss: 1.5237, Validation Loss: 2.6066
Epoch 4/200, Train Loss: 1.4027, Validation Loss: 1.7251
Epoch 5/200, Train Loss: 1.3484, Validation Loss: 1.4353
Epoch 6/200, Train Loss: 1.2925, Validation Loss: 1.6026
Epoch 7/200, Train Loss: 1.2328, Validation Loss: 1.3394
Epoch 8/200, Train Loss: 1.1816, Validation Loss: 1.3332
Epoch 9/200, Train Loss: 1.1340, Validation Loss: 1.2529
Epoch 10/200, Train Loss: 1.1203, Validation Loss: 2.7017
Epoch 11/200, Train Loss: 1.0984, Validation Loss: 2.6647
Epoch 12/200, Train Loss: 1.0715, Validation Loss: 1.1968
Epoch 13/200, Train Loss: 1.0522, Validation Loss: 1.9243
Epoch 14/200, Train Loss: 1.0293, Validation Loss: 1.6424
Epoch 15/200, Train Loss: 1.1245, Validation Loss: 2.4555
Epoch 16/200, Train Loss: 1.0169, Validation Loss: 1.1241
Epoch 17/200, Train Loss: 0.9861, Validation Loss: 1.3912
Epoch 18/200, Train Loss: 0.9853, Validation Loss: 1.4516
Epoch 19/200, Train Loss: 0.9832, Validation Loss: 1.5516
Epoch 20/200, Train Loss: 0.9568, Validation Loss: 1.0648
Epoch 21/200, Train Loss: 0.9387, Validation Loss: 1.2042
Epoch 22/200, Train Loss: 0.9207, Validation Loss: 0.9827
Epoch 23/200, Train Loss: 0.9161, Validation Loss: 2.7881
Epoch 24/200, Train Loss: 0.9169, Validation Loss: 1.1102
Epoch 25/200, Train Loss: 0.8807, Validation Loss: 1.1109
Epoch 26/200, Train Loss: 0.8757, Validation Loss: 1.2437
Epoch 27/200, Train Loss: 0.8699, Validation Loss: 1.3296
Epoch 28/200, Train Loss: 0.8625, Validation Loss: 0.9909
Epoch 29/200, Train Loss: 0.8386, Validation Loss: 1.3794
Epoch 30/200, Train Loss: 0.8392, Validation Loss: 1.2130
Epoch 31/200, Train Loss: 0.8114, Validation Loss: 1.0754
Epoch 32/200, Train Loss: 0.8235, Validation Loss: 1.2584
Epoch 33/200, Train Loss: 0.8418, Validation Loss: 1.2314
Epoch 34/200, Train Loss: 0.8140, Validation Loss: 1.8006
Epoch 35/200, Train Loss: 0.7931, Validation Loss: 1.7337
Epoch 36/200, Train Loss: 0.7716, Validation Loss: 0.8713
Epoch 37/200, Train Loss: 0.7838, Validation Loss: 1.1759
Epoch 38/200, Train Loss: 0.7804, Validation Loss: 1.7157
Epoch 39/200, Train Loss: 0.7572, Validation Loss: 1.1285
Epoch 40/200, Train Loss: 0.7854, Validation Loss: 1.5527
Epoch 41/200, Train Loss: 0.7489, Validation Loss: 1.1432
Epoch 42/200, Train Loss: 0.7552, Validation Loss: 0.8322
Epoch 43/200, Train Loss: 0.7422, Validation Loss: 1.2013
Epoch 44/200, Train Loss: 0.7353, Validation Loss: 1.1334
Epoch 45/200, Train Loss: 0.7240, Validation Loss: 1.0928
Epoch 46/200, Train Loss: 0.7231, Validation Loss: 0.8895
Epoch 47/200, Train Loss: 0.7126, Validation Loss: 0.7968
Epoch 48/200, Train Loss: 0.7071, Validation Loss: 0.7072
Epoch 49/200, Train Loss: 0.7020, Validation Loss: 0.7784
Epoch 50/200, Train Loss: 0.6850, Validation Loss: 1.1528
Epoch 51/200, Train Loss: 0.6864, Validation Loss: 0.7256
Epoch 52/200, Train Loss: 0.6768, Validation Loss: 0.8829
Epoch 53/200, Train Loss: 0.6670, Validation Loss: 1.1637
Epoch 54/200, Train Loss: 0.6611, Validation Loss: 1.5511
Epoch 55/200, Train Loss: 0.6606, Validation Loss: 1.2471
Epoch 56/200, Train Loss: 0.6519, Validation Loss: 1.1001
Epoch 57/200, Train Loss: 0.6452, Validation Loss: 0.9987
Epoch 58/200, Train Loss: 0.6449, Validation Loss: 1.5856
Epoch 59/200, Train Loss: 0.6351, Validation Loss: 0.7851
Epoch 60/200, Train Loss: 0.6392, Validation Loss: 0.7347
Epoch 61/200, Train Loss: 0.6297, Validation Loss: 1.7158
Epoch 62/200, Train Loss: 0.6212, Validation Loss: 0.7534
Epoch 63/200, Train Loss: 0.6162, Validation Loss: 1.2459
Epoch 64/200, Train Loss: 0.6116, Validation Loss: 1.3280
Epoch 65/200, Train Loss: 0.6149, Validation Loss: 0.9456
Epoch 66/200, Train Loss: 0.6008, Validation Loss: 1.7508
Epoch 67/200, Train Loss: 0.5980, Validation Loss: 0.9515
Epoch 68/200, Train Loss: 0.6000, Validation Loss: 0.7684
Epoch 69/200, Train Loss: 0.5859, Validation Loss: 0.9034
Epoch 70/200, Train Loss: 0.5925, Validation Loss: 0.8210
Epoch 71/200, Train Loss: 0.5963, Validation Loss: 0.8793
Epoch 72/200, Train Loss: 0.5807, Validation Loss: 0.9424
Epoch 73/200, Train Loss: 0.5791, Validation Loss: 2.1303
Epoch 74/200, Train Loss: 0.5701, Validation Loss: 2.4292
Epoch 75/200, Train Loss: 0.5696, Validation Loss: 0.6951
Epoch 76/200, Train Loss: 0.5675, Validation Loss: 0.7582
Epoch 77/200, Train Loss: 0.5675, Validation Loss: 1.4861
Epoch 78/200, Train Loss: 0.5751, Validation Loss: 1.3623
Epoch 79/200, Train Loss: 0.5677, Validation Loss: 1.0070
Epoch 80/200, Train Loss: 0.5578, Validation Loss: 0.7141
Epoch 81/200, Train Loss: 0.5614, Validation Loss: 0.6533
Epoch 82/200, Train Loss: 0.5529, Validation Loss: 0.9179
Epoch 83/200, Train Loss: 0.5571, Validation Loss: 0.8506
Epoch 84/200, Train Loss: 0.5569, Validation Loss: 2.3576
Epoch 85/200, Train Loss: 0.5488, Validation Loss: 0.8615
Epoch 86/200, Train Loss: 0.5471, Validation Loss: 0.8418
Epoch 87/200, Train Loss: 0.5502, Validation Loss: 0.8622
Epoch 88/200, Train Loss: 0.5488, Validation Loss: 0.7630
Epoch 89/200, Train Loss: 0.5420, Validation Loss: 0.8906
Epoch 90/200, Train Loss: 0.5387, Validation Loss: 0.8733
Epoch 91/200, Train Loss: 0.5383, Validation Loss: 0.8101
Epoch 92/200, Train Loss: 0.5467, Validation Loss: 0.6614
