Run Name: GCN_global_workers4_epochs200_cpu
TRAINING DEVICE: cpu
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/200, Train Loss: 2.6402, Validation Loss: 1.7942
Epoch 2/200, Train Loss: 1.6645, Validation Loss: 1.3105
Epoch 3/200, Train Loss: 1.4690, Validation Loss: 1.1732
Epoch 4/200, Train Loss: 1.3950, Validation Loss: 1.6196
Epoch 5/200, Train Loss: 1.3191, Validation Loss: 2.1441
Epoch 6/200, Train Loss: 1.2736, Validation Loss: 1.4455
Epoch 7/200, Train Loss: 1.2186, Validation Loss: 1.2018
Epoch 8/200, Train Loss: 1.2461, Validation Loss: 1.0451
Epoch 9/200, Train Loss: 1.1681, Validation Loss: 2.6145
Epoch 10/200, Train Loss: 1.1978, Validation Loss: 1.3111
Epoch 11/200, Train Loss: 1.1656, Validation Loss: 1.3998
Epoch 12/200, Train Loss: 1.1050, Validation Loss: 1.3781
Epoch 13/200, Train Loss: 1.0944, Validation Loss: 1.4680
Epoch 14/200, Train Loss: 1.0685, Validation Loss: 0.9644
Epoch 15/200, Train Loss: 1.0729, Validation Loss: 1.2476
Epoch 16/200, Train Loss: 1.0645, Validation Loss: 0.9699
Epoch 17/200, Train Loss: 1.0446, Validation Loss: 1.0668
Epoch 18/200, Train Loss: 1.0670, Validation Loss: 1.1318
Epoch 19/200, Train Loss: 1.0759, Validation Loss: 1.0749
Epoch 20/200, Train Loss: 1.0246, Validation Loss: 1.9994
Epoch 21/200, Train Loss: 1.0688, Validation Loss: 1.0910
Epoch 22/200, Train Loss: 0.9923, Validation Loss: 1.3703
Epoch 23/200, Train Loss: 0.9882, Validation Loss: 1.2399
Epoch 24/200, Train Loss: 0.9620, Validation Loss: 1.0544
Epoch 25/200, Train Loss: 0.9620, Validation Loss: 3.1170
Epoch 26/200, Train Loss: 0.9642, Validation Loss: 1.4126
Epoch 27/200, Train Loss: 0.9578, Validation Loss: 1.5475
Epoch 28/200, Train Loss: 0.9409, Validation Loss: 1.1972
Epoch 29/200, Train Loss: 0.9411, Validation Loss: 0.9266
Epoch 30/200, Train Loss: 0.9317, Validation Loss: 3.0334
Epoch 31/200, Train Loss: 0.9015, Validation Loss: 1.3596
Epoch 32/200, Train Loss: 0.9020, Validation Loss: 0.9368
Epoch 33/200, Train Loss: 0.8777, Validation Loss: 1.6204
Epoch 34/200, Train Loss: 0.9159, Validation Loss: 0.8812
Epoch 35/200, Train Loss: 0.8812, Validation Loss: 0.9580
Epoch 36/200, Train Loss: 0.8692, Validation Loss: 1.4030
Epoch 37/200, Train Loss: 0.8675, Validation Loss: 0.8991
Epoch 38/200, Train Loss: 0.8757, Validation Loss: 1.2605
Epoch 39/200, Train Loss: 0.8489, Validation Loss: 0.8889
Epoch 40/200, Train Loss: 0.8315, Validation Loss: 0.9212
Epoch 41/200, Train Loss: 0.8822, Validation Loss: 1.4581
Epoch 42/200, Train Loss: 0.8206, Validation Loss: 0.8770
Epoch 43/200, Train Loss: 0.8170, Validation Loss: 1.2041
Epoch 44/200, Train Loss: 0.8289, Validation Loss: 0.7899
Epoch 45/200, Train Loss: 0.8033, Validation Loss: 0.8268
Epoch 46/200, Train Loss: 0.8039, Validation Loss: 1.6794
Epoch 47/200, Train Loss: 0.8041, Validation Loss: 1.0553
Epoch 48/200, Train Loss: 0.7930, Validation Loss: 1.2201
Epoch 49/200, Train Loss: 0.7861, Validation Loss: 0.9329
Epoch 50/200, Train Loss: 0.7986, Validation Loss: 1.0881
Epoch 51/200, Train Loss: 0.7945, Validation Loss: 0.9133
Epoch 52/200, Train Loss: 0.7533, Validation Loss: 1.5906
Epoch 53/200, Train Loss: 0.7801, Validation Loss: 0.9706
Epoch 54/200, Train Loss: 0.8019, Validation Loss: 0.7800
Epoch 55/200, Train Loss: 0.7570, Validation Loss: 0.8376
Epoch 56/200, Train Loss: 0.7396, Validation Loss: 0.6927
Epoch 57/200, Train Loss: 0.7911, Validation Loss: 2.4810
Epoch 58/200, Train Loss: 0.7412, Validation Loss: 1.7490
Epoch 59/200, Train Loss: 0.7425, Validation Loss: 1.1406
Epoch 60/200, Train Loss: 0.7390, Validation Loss: 0.6764
Epoch 61/200, Train Loss: 0.7171, Validation Loss: 0.8866
Epoch 62/200, Train Loss: 0.7213, Validation Loss: 0.9243
Epoch 63/200, Train Loss: 0.7153, Validation Loss: 0.7107
Epoch 64/200, Train Loss: 0.7123, Validation Loss: 0.8647
Epoch 65/200, Train Loss: 0.7073, Validation Loss: 0.8929
Epoch 66/200, Train Loss: 0.6898, Validation Loss: 0.8080
Epoch 67/200, Train Loss: 0.6969, Validation Loss: 0.9369
Epoch 68/200, Train Loss: 0.7025, Validation Loss: 1.0344
Epoch 69/200, Train Loss: 0.7033, Validation Loss: 0.8000
Epoch 70/200, Train Loss: 0.6914, Validation Loss: 0.9889
Epoch 71/200, Train Loss: 0.6956, Validation Loss: 1.6417
Epoch 72/200, Train Loss: 0.7061, Validation Loss: 2.3844
Epoch 73/200, Train Loss: 0.6981, Validation Loss: 0.6599
Epoch 74/200, Train Loss: 0.6724, Validation Loss: 0.8403
Epoch 75/200, Train Loss: 0.6923, Validation Loss: 1.4234
Epoch 76/200, Train Loss: 0.7039, Validation Loss: 0.9529
Epoch 77/200, Train Loss: 0.6846, Validation Loss: 1.1036
Epoch 78/200, Train Loss: 0.6952, Validation Loss: 0.8433
Epoch 79/200, Train Loss: 0.6712, Validation Loss: 1.9432
Epoch 80/200, Train Loss: 0.6782, Validation Loss: 2.2467
Epoch 81/200, Train Loss: 0.6758, Validation Loss: 1.0702
Epoch 82/200, Train Loss: 0.6637, Validation Loss: 0.9494
Epoch 83/200, Train Loss: 0.6693, Validation Loss: 1.8861
Epoch 84/200, Train Loss: 0.6657, Validation Loss: 1.3144
Epoch 85/200, Train Loss: 0.6585, Validation Loss: 1.0713
Epoch 86/200, Train Loss: 0.6632, Validation Loss: 1.1349
Epoch 87/200, Train Loss: 0.6770, Validation Loss: 1.1486
Epoch 88/200, Train Loss: 0.6461, Validation Loss: 1.4999
Epoch 89/200, Train Loss: 0.6525, Validation Loss: 0.9639
Epoch 90/200, Train Loss: 0.6418, Validation Loss: 0.7075
Epoch 91/200, Train Loss: 0.6655, Validation Loss: 1.5535
Epoch 92/200, Train Loss: 0.6675, Validation Loss: 0.8807
Epoch 93/200, Train Loss: 0.6492, Validation Loss: 0.9449
Epoch 94/200, Train Loss: 0.6353, Validation Loss: 0.6950
Epoch 95/200, Train Loss: 0.6366, Validation Loss: 1.5587
Epoch 96/200, Train Loss: 0.6359, Validation Loss: 0.7336
Epoch 97/200, Train Loss: 0.6491, Validation Loss: 0.8915
Epoch 98/200, Train Loss: 0.6420, Validation Loss: 1.0123
Epoch 99/200, Train Loss: 0.6351, Validation Loss: 0.7922
Epoch 100/200, Train Loss: 0.6406, Validation Loss: 0.7074
Epoch 101/200, Train Loss: 0.6406, Validation Loss: 1.9217
Epoch 102/200, Train Loss: 0.6400, Validation Loss: 2.3771
Epoch 103/200, Train Loss: 0.6544, Validation Loss: 1.0172
Epoch 104/200, Train Loss: 0.6274, Validation Loss: 1.1974
Epoch 105/200, Train Loss: 0.6259, Validation Loss: 1.6467
