Run Name: GCN_sag_workers4_epochs200
TRAINING DEVICE: cuda:0
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/200, Train Loss: 3.0011, Validation Loss: 2.0744
Epoch 2/200, Train Loss: 1.9766, Validation Loss: 1.5769
Epoch 3/200, Train Loss: 1.6915, Validation Loss: 1.4959
Epoch 4/200, Train Loss: 1.5411, Validation Loss: 1.3157
Epoch 5/200, Train Loss: 1.4847, Validation Loss: 1.8857
Epoch 6/200, Train Loss: 1.3563, Validation Loss: 1.4099
Epoch 7/200, Train Loss: 1.3230, Validation Loss: 1.2140
Epoch 8/200, Train Loss: 1.3080, Validation Loss: 1.5478
Epoch 9/200, Train Loss: 1.2325, Validation Loss: 1.2373
Epoch 10/200, Train Loss: 1.4199, Validation Loss: 1.3839
Epoch 11/200, Train Loss: 1.3970, Validation Loss: 1.2199
Epoch 12/200, Train Loss: 1.2480, Validation Loss: 1.0198
Epoch 13/200, Train Loss: 1.1943, Validation Loss: 2.5964
Epoch 14/200, Train Loss: 1.1832, Validation Loss: 2.6453
Epoch 15/200, Train Loss: 1.1611, Validation Loss: 1.0576
Epoch 16/200, Train Loss: 1.1229, Validation Loss: 1.4297
Epoch 17/200, Train Loss: 1.0880, Validation Loss: 1.4643
Epoch 18/200, Train Loss: 1.0665, Validation Loss: 1.7622
Epoch 19/200, Train Loss: 1.0632, Validation Loss: 1.0379
Epoch 20/200, Train Loss: 1.3124, Validation Loss: 1.4024
Epoch 21/200, Train Loss: 1.6965, Validation Loss: 1.8900
Epoch 22/200, Train Loss: 1.2602, Validation Loss: 1.2121
Epoch 23/200, Train Loss: 1.1331, Validation Loss: 1.0332
Epoch 24/200, Train Loss: 1.0509, Validation Loss: 1.0337
Epoch 25/200, Train Loss: 1.1028, Validation Loss: 1.0185
Epoch 26/200, Train Loss: 1.0646, Validation Loss: 2.0461
Epoch 27/200, Train Loss: 1.3775, Validation Loss: 2.1333
Epoch 28/200, Train Loss: 1.3417, Validation Loss: 1.4934
Epoch 29/200, Train Loss: 1.0641, Validation Loss: 1.2887
Epoch 30/200, Train Loss: 1.1896, Validation Loss: 1.1718
Epoch 31/200, Train Loss: 1.2291, Validation Loss: 1.8630
Epoch 32/200, Train Loss: 1.2716, Validation Loss: 1.8400
Epoch 33/200, Train Loss: 1.2126, Validation Loss: 1.4972
Epoch 34/200, Train Loss: 1.1573, Validation Loss: 1.5091
Epoch 35/200, Train Loss: 1.2375, Validation Loss: 1.1213
Epoch 36/200, Train Loss: 1.0676, Validation Loss: 1.2989
Epoch 37/200, Train Loss: 1.0266, Validation Loss: 1.3092
Epoch 38/200, Train Loss: 1.1925, Validation Loss: 1.3493
Epoch 39/200, Train Loss: 1.1933, Validation Loss: 1.2755
Epoch 40/200, Train Loss: 1.0940, Validation Loss: 1.0057
Epoch 41/200, Train Loss: 1.0207, Validation Loss: 1.7658
Epoch 42/200, Train Loss: 1.0138, Validation Loss: 1.4834
Epoch 43/200, Train Loss: 0.9950, Validation Loss: 1.8825
Epoch 44/200, Train Loss: 1.2010, Validation Loss: 2.0183
Epoch 45/200, Train Loss: 1.1823, Validation Loss: 1.2530
Epoch 46/200, Train Loss: 0.9936, Validation Loss: 1.0655
Epoch 47/200, Train Loss: 1.1027, Validation Loss: 1.0664
Epoch 48/200, Train Loss: 1.1278, Validation Loss: 1.0334
Epoch 49/200, Train Loss: 1.1863, Validation Loss: 2.6188
Epoch 50/200, Train Loss: 1.0994, Validation Loss: 1.3987
Epoch 51/200, Train Loss: 1.0734, Validation Loss: 1.1071
Epoch 52/200, Train Loss: 1.0120, Validation Loss: 1.0422
Epoch 53/200, Train Loss: 0.9307, Validation Loss: 0.9713
Epoch 54/200, Train Loss: 0.9714, Validation Loss: 0.9582
Epoch 55/200, Train Loss: 0.9982, Validation Loss: 1.0844
Epoch 56/200, Train Loss: 0.9344, Validation Loss: 1.4644
Epoch 57/200, Train Loss: 0.9403, Validation Loss: 1.0738
Epoch 58/200, Train Loss: 0.9026, Validation Loss: 1.7612
Epoch 59/200, Train Loss: 0.9951, Validation Loss: 1.3106
Epoch 60/200, Train Loss: 0.9974, Validation Loss: 0.9816
