Run Name: GCN_sag_workers4_epochs200_cpu
TRAINING DEVICE: cpu
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/200, Train Loss: 2.8447, Validation Loss: 2.1667
Epoch 2/200, Train Loss: 1.9800, Validation Loss: 2.0414
Epoch 3/200, Train Loss: 1.7247, Validation Loss: 1.5631
Epoch 4/200, Train Loss: 1.6149, Validation Loss: 1.5664
Epoch 5/200, Train Loss: 1.5407, Validation Loss: 1.3699
Epoch 6/200, Train Loss: 1.4180, Validation Loss: 1.3433
Epoch 7/200, Train Loss: 1.3337, Validation Loss: 1.4496
Epoch 8/200, Train Loss: 1.3142, Validation Loss: 1.3915
Epoch 9/200, Train Loss: 1.2706, Validation Loss: 1.3326
Epoch 10/200, Train Loss: 1.2279, Validation Loss: 1.2101
Epoch 11/200, Train Loss: 1.4743, Validation Loss: 1.4954
Epoch 12/200, Train Loss: 1.4118, Validation Loss: 3.1525
Epoch 13/200, Train Loss: 1.4818, Validation Loss: 2.8924
Epoch 14/200, Train Loss: 1.5558, Validation Loss: 1.5622
Epoch 15/200, Train Loss: 1.2689, Validation Loss: 1.7653
Epoch 16/200, Train Loss: 1.4802, Validation Loss: 1.7811
Epoch 17/200, Train Loss: 1.4169, Validation Loss: 2.9298
Epoch 18/200, Train Loss: 1.3102, Validation Loss: 3.3977
Epoch 19/200, Train Loss: 1.3167, Validation Loss: 1.6442
Epoch 20/200, Train Loss: 1.2337, Validation Loss: 2.1561
Epoch 21/200, Train Loss: 1.1351, Validation Loss: 1.3356
Epoch 22/200, Train Loss: 1.5371, Validation Loss: 3.4116
Epoch 23/200, Train Loss: 1.3285, Validation Loss: 1.3047
Epoch 24/200, Train Loss: 1.3530, Validation Loss: 3.7717
Epoch 25/200, Train Loss: 1.3481, Validation Loss: 1.0154
Epoch 26/200, Train Loss: 1.1781, Validation Loss: 1.9725
Epoch 27/200, Train Loss: 1.1950, Validation Loss: 1.1335
Epoch 28/200, Train Loss: 1.2028, Validation Loss: 1.6129
Epoch 29/200, Train Loss: 1.0906, Validation Loss: 1.4980
Epoch 30/200, Train Loss: 1.1310, Validation Loss: 3.9325
Epoch 31/200, Train Loss: 1.0643, Validation Loss: 0.9637
Epoch 32/200, Train Loss: 1.2438, Validation Loss: 1.1825
Epoch 33/200, Train Loss: 1.1513, Validation Loss: 4.4679
Epoch 34/200, Train Loss: 1.1285, Validation Loss: 1.1357
Epoch 35/200, Train Loss: 1.1773, Validation Loss: 1.1062
Epoch 36/200, Train Loss: 1.1319, Validation Loss: 2.6011
Epoch 37/200, Train Loss: 1.1554, Validation Loss: 2.5187
Epoch 38/200, Train Loss: 1.0121, Validation Loss: 2.6666
Epoch 39/200, Train Loss: 1.0316, Validation Loss: 1.3022
Epoch 40/200, Train Loss: 1.1101, Validation Loss: 1.6094
Epoch 41/200, Train Loss: 1.0191, Validation Loss: 1.3181
Epoch 42/200, Train Loss: 1.0568, Validation Loss: 1.8050
Epoch 43/200, Train Loss: 1.2041, Validation Loss: 2.1391
Epoch 44/200, Train Loss: 1.1612, Validation Loss: 1.0147
Epoch 45/200, Train Loss: 1.0071, Validation Loss: 1.0050
Epoch 46/200, Train Loss: 1.0092, Validation Loss: 2.2532
Epoch 47/200, Train Loss: 1.1271, Validation Loss: 1.3072
Epoch 48/200, Train Loss: 0.9868, Validation Loss: 1.0724
Epoch 49/200, Train Loss: 1.0540, Validation Loss: 1.2218
Epoch 50/200, Train Loss: 1.1137, Validation Loss: 2.0232
Epoch 51/200, Train Loss: 1.0931, Validation Loss: 1.4871
Epoch 52/200, Train Loss: 0.9844, Validation Loss: 1.1634
Epoch 53/200, Train Loss: 1.0249, Validation Loss: 1.3992
Epoch 54/200, Train Loss: 0.9726, Validation Loss: 1.1062
Epoch 55/200, Train Loss: 1.0629, Validation Loss: 2.2462
Epoch 56/200, Train Loss: 0.9656, Validation Loss: 1.0188
Epoch 57/200, Train Loss: 0.9195, Validation Loss: 1.6427
Epoch 58/200, Train Loss: 0.9987, Validation Loss: 1.2919
Epoch 59/200, Train Loss: 0.9725, Validation Loss: 1.1709
Epoch 60/200, Train Loss: 1.2329, Validation Loss: 1.3088
Epoch 61/200, Train Loss: 0.9087, Validation Loss: 0.9067
Epoch 62/200, Train Loss: 1.1999, Validation Loss: 2.4052
Epoch 63/200, Train Loss: 0.9858, Validation Loss: 1.0039
Epoch 64/200, Train Loss: 0.8919, Validation Loss: 2.5266
Epoch 65/200, Train Loss: 0.8753, Validation Loss: 1.1421
Epoch 66/200, Train Loss: 1.0589, Validation Loss: 4.2703
Epoch 67/200, Train Loss: 1.0665, Validation Loss: 1.2871
Epoch 68/200, Train Loss: 0.9706, Validation Loss: 1.7445
Epoch 69/200, Train Loss: 0.9148, Validation Loss: 1.0392
Epoch 70/200, Train Loss: 0.8763, Validation Loss: 1.8565
Epoch 71/200, Train Loss: 0.8534, Validation Loss: 1.1185
Epoch 72/200, Train Loss: 0.8572, Validation Loss: 1.9463
Epoch 73/200, Train Loss: 0.8321, Validation Loss: 1.0201
Epoch 74/200, Train Loss: 0.9482, Validation Loss: 1.3138
Epoch 75/200, Train Loss: 0.8846, Validation Loss: 1.7529
Epoch 76/200, Train Loss: 0.8962, Validation Loss: 1.1850
Epoch 77/200, Train Loss: 0.8977, Validation Loss: 1.1672
Epoch 78/200, Train Loss: 0.8981, Validation Loss: 1.9527
Epoch 79/200, Train Loss: 0.9489, Validation Loss: 1.4545
Epoch 80/200, Train Loss: 0.9481, Validation Loss: 1.7460
Epoch 81/200, Train Loss: 0.8577, Validation Loss: 0.9111
Epoch 82/200, Train Loss: 0.8144, Validation Loss: 1.1542
Epoch 83/200, Train Loss: 0.8651, Validation Loss: 1.3782
Epoch 84/200, Train Loss: 0.8457, Validation Loss: 1.0715
Epoch 85/200, Train Loss: 0.7837, Validation Loss: 1.3110
Epoch 86/200, Train Loss: 0.7817, Validation Loss: 0.9164
Epoch 87/200, Train Loss: 0.8778, Validation Loss: 1.2905
Epoch 88/200, Train Loss: 0.8446, Validation Loss: 2.0891
Epoch 89/200, Train Loss: 0.8020, Validation Loss: 1.3206
Epoch 90/200, Train Loss: 0.7433, Validation Loss: 0.8930
Epoch 91/200, Train Loss: 0.8903, Validation Loss: 1.2145
Epoch 92/200, Train Loss: 0.9605, Validation Loss: 1.3474
Epoch 93/200, Train Loss: 1.0012, Validation Loss: 0.9524
Epoch 94/200, Train Loss: 0.8314, Validation Loss: 1.0268
Epoch 95/200, Train Loss: 0.7827, Validation Loss: 1.0388
Epoch 96/200, Train Loss: 0.9318, Validation Loss: 0.8290
Epoch 97/200, Train Loss: 0.7696, Validation Loss: 0.8098
Epoch 98/200, Train Loss: 0.9134, Validation Loss: 1.8168
Epoch 99/200, Train Loss: 0.8982, Validation Loss: 1.6415
Epoch 100/200, Train Loss: 0.8928, Validation Loss: 2.4548
Epoch 101/200, Train Loss: 0.8885, Validation Loss: 1.4694
Epoch 102/200, Train Loss: 0.9198, Validation Loss: 1.2377
Epoch 103/200, Train Loss: 0.7882, Validation Loss: 0.9965
Epoch 104/200, Train Loss: 0.8937, Validation Loss: 1.3386
Epoch 105/200, Train Loss: 0.8309, Validation Loss: 1.0195
Epoch 106/200, Train Loss: 0.8243, Validation Loss: 1.1013
Epoch 107/200, Train Loss: 0.8115, Validation Loss: 3.0623
Epoch 108/200, Train Loss: 0.8240, Validation Loss: 1.3387
Epoch 109/200, Train Loss: 0.7587, Validation Loss: 1.6054
Epoch 110/200, Train Loss: 1.0802, Validation Loss: 1.1355
Epoch 111/200, Train Loss: 0.8344, Validation Loss: 1.0241
Epoch 112/200, Train Loss: 0.7624, Validation Loss: 1.6963
Epoch 113/200, Train Loss: 0.7406, Validation Loss: 1.1083
Epoch 114/200, Train Loss: 0.7538, Validation Loss: 1.2335
Epoch 115/200, Train Loss: 0.8121, Validation Loss: 1.3877
Epoch 116/200, Train Loss: 0.8437, Validation Loss: 1.0716
Epoch 117/200, Train Loss: 0.8505, Validation Loss: 0.9693
Epoch 118/200, Train Loss: 0.7427, Validation Loss: 1.0094
Epoch 119/200, Train Loss: 0.8621, Validation Loss: 1.6970
Epoch 120/200, Train Loss: 0.7672, Validation Loss: 1.5579
Epoch 121/200, Train Loss: 0.8085, Validation Loss: 0.9104
Epoch 122/200, Train Loss: 0.7426, Validation Loss: 1.1822
Epoch 123/200, Train Loss: 0.6999, Validation Loss: 2.8456
Epoch 124/200, Train Loss: 0.6554, Validation Loss: 1.3693
Epoch 125/200, Train Loss: 0.6496, Validation Loss: 0.9413
Epoch 126/200, Train Loss: 0.6498, Validation Loss: 1.0518
Epoch 127/200, Train Loss: 0.8361, Validation Loss: 1.3532
Epoch 128/200, Train Loss: 0.7052, Validation Loss: 0.9723
Epoch 129/200, Train Loss: 0.8128, Validation Loss: 1.2619
Epoch 130/200, Train Loss: 0.7128, Validation Loss: 0.7764
Epoch 131/200, Train Loss: 0.6612, Validation Loss: 2.1460
Epoch 132/200, Train Loss: 0.7812, Validation Loss: 1.5532
Epoch 133/200, Train Loss: 0.7014, Validation Loss: 1.6471
Epoch 134/200, Train Loss: 0.7898, Validation Loss: 0.9908
Epoch 135/200, Train Loss: 0.6950, Validation Loss: 1.7157
Epoch 136/200, Train Loss: 0.6660, Validation Loss: 0.9408
Epoch 137/200, Train Loss: 0.6776, Validation Loss: 1.6323
Epoch 138/200, Train Loss: 0.6228, Validation Loss: 0.7887
Epoch 139/200, Train Loss: 0.7794, Validation Loss: 1.0115
Epoch 140/200, Train Loss: 0.7330, Validation Loss: 1.0817
Epoch 141/200, Train Loss: 0.7756, Validation Loss: 2.2118
Epoch 142/200, Train Loss: 0.8884, Validation Loss: 1.4022
Epoch 143/200, Train Loss: 0.6984, Validation Loss: 1.2192
Epoch 144/200, Train Loss: 0.6508, Validation Loss: 0.7367
Epoch 145/200, Train Loss: 0.6661, Validation Loss: 1.4189
Epoch 146/200, Train Loss: 0.7779, Validation Loss: 1.0451
Epoch 147/200, Train Loss: 0.8310, Validation Loss: 0.8748
Epoch 148/200, Train Loss: 0.7129, Validation Loss: 1.1984
Epoch 149/200, Train Loss: 0.6621, Validation Loss: 1.4015
Epoch 150/200, Train Loss: 0.7147, Validation Loss: 1.0954
Epoch 151/200, Train Loss: 0.7074, Validation Loss: 1.1085
Epoch 152/200, Train Loss: 0.6599, Validation Loss: 1.7969
Epoch 153/200, Train Loss: 0.7550, Validation Loss: 2.5223
Epoch 154/200, Train Loss: 0.7412, Validation Loss: 1.2397
Epoch 155/200, Train Loss: 0.7489, Validation Loss: 1.1491
Epoch 156/200, Train Loss: 0.6936, Validation Loss: 0.8695
Epoch 157/200, Train Loss: 0.7637, Validation Loss: 1.0107
Epoch 158/200, Train Loss: 0.6484, Validation Loss: 2.3264
Epoch 159/200, Train Loss: 0.7153, Validation Loss: 1.7050
Epoch 160/200, Train Loss: 0.6645, Validation Loss: 1.3503
Epoch 161/200, Train Loss: 0.7862, Validation Loss: 1.4533
Epoch 162/200, Train Loss: 0.7418, Validation Loss: 0.9711
Epoch 163/200, Train Loss: 0.7243, Validation Loss: 1.6193
Epoch 164/200, Train Loss: 0.6277, Validation Loss: 0.9033
Epoch 165/200, Train Loss: 0.6911, Validation Loss: 0.6691
Epoch 166/200, Train Loss: 0.6752, Validation Loss: 1.0516
Epoch 167/200, Train Loss: 0.6291, Validation Loss: 1.8634
Epoch 168/200, Train Loss: 0.7270, Validation Loss: 1.5161
Epoch 169/200, Train Loss: 0.6721, Validation Loss: 2.2247
Epoch 170/200, Train Loss: 0.6920, Validation Loss: 1.0619
Epoch 171/200, Train Loss: 0.5995, Validation Loss: 1.2672
Epoch 172/200, Train Loss: 0.7006, Validation Loss: 1.4592
