Run Name: GAT_dataloader_test_workers4_epochs500
TRAINING DEVICE: cuda:0
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/500, Train Loss: 4.8797, Validation Loss: 2.2019
Epoch 2/500, Train Loss: 2.2669, Validation Loss: 2.1062
Epoch 3/500, Train Loss: 1.9695, Validation Loss: 2.2390
Epoch 4/500, Train Loss: 1.8350, Validation Loss: 1.3668
Epoch 5/500, Train Loss: 1.7834, Validation Loss: 1.4691
Epoch 6/500, Train Loss: 1.7214, Validation Loss: 1.2486
Epoch 7/500, Train Loss: 1.7002, Validation Loss: 1.6732
Epoch 8/500, Train Loss: 1.6299, Validation Loss: 1.2868
Epoch 9/500, Train Loss: 1.6378, Validation Loss: 1.8233
Epoch 10/500, Train Loss: 1.4879, Validation Loss: 1.2703
Epoch 11/500, Train Loss: 1.5352, Validation Loss: 1.4368
Epoch 12/500, Train Loss: 1.5438, Validation Loss: 1.3199
Epoch 13/500, Train Loss: 1.4255, Validation Loss: 1.1384
Epoch 14/500, Train Loss: 1.4248, Validation Loss: 1.2704
Epoch 15/500, Train Loss: 1.4052, Validation Loss: 1.4879
Epoch 16/500, Train Loss: 1.3683, Validation Loss: 1.3793
Epoch 17/500, Train Loss: 1.2350, Validation Loss: 1.0760
Epoch 18/500, Train Loss: 1.2264, Validation Loss: 1.4388
Epoch 19/500, Train Loss: 1.1546, Validation Loss: 1.3223
Epoch 20/500, Train Loss: 1.1545, Validation Loss: 1.0348
Epoch 21/500, Train Loss: 1.0218, Validation Loss: 0.9229
Epoch 22/500, Train Loss: 1.0461, Validation Loss: 0.9363
Epoch 23/500, Train Loss: 0.9846, Validation Loss: 0.8945
Epoch 24/500, Train Loss: 1.0280, Validation Loss: 1.1465
Epoch 25/500, Train Loss: 1.0929, Validation Loss: 1.2945
Epoch 26/500, Train Loss: 0.8975, Validation Loss: 0.8911
Epoch 27/500, Train Loss: 0.9023, Validation Loss: 1.1424
Epoch 28/500, Train Loss: 0.8645, Validation Loss: 0.8847
Epoch 29/500, Train Loss: 0.8657, Validation Loss: 0.7771
Epoch 30/500, Train Loss: 0.8607, Validation Loss: 0.8978
Epoch 31/500, Train Loss: 0.8937, Validation Loss: 0.8930
Epoch 32/500, Train Loss: 0.8050, Validation Loss: 1.1739
Epoch 33/500, Train Loss: 0.7943, Validation Loss: 0.7539
Epoch 34/500, Train Loss: 0.7788, Validation Loss: 1.1358
Epoch 35/500, Train Loss: 0.7927, Validation Loss: 1.3106
Epoch 36/500, Train Loss: 0.7781, Validation Loss: 0.8729
Epoch 37/500, Train Loss: 0.7442, Validation Loss: 0.9083
Epoch 38/500, Train Loss: 0.7878, Validation Loss: 0.8993
Epoch 39/500, Train Loss: 0.7636, Validation Loss: 0.6450
Epoch 40/500, Train Loss: 0.7166, Validation Loss: 0.8160
Epoch 41/500, Train Loss: 0.7258, Validation Loss: 0.6677
Epoch 42/500, Train Loss: 0.7322, Validation Loss: 0.7104
Epoch 43/500, Train Loss: 0.7452, Validation Loss: 0.7021
Epoch 44/500, Train Loss: 0.7473, Validation Loss: 0.7207
Epoch 45/500, Train Loss: 0.7058, Validation Loss: 0.7286
Epoch 46/500, Train Loss: 0.7149, Validation Loss: 0.7083
Epoch 47/500, Train Loss: 0.7034, Validation Loss: 0.7891
