Creating sweep...
foo1
be12np04
Sweep created with ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-cg8xmpqn
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.1571, Validation Loss: 5.0565
Epoch 2/1000, Train Loss: 1.4503, Validation Loss: 1.3895
Epoch 3/1000, Train Loss: 1.3817, Validation Loss: 2.0468
Epoch 4/1000, Train Loss: 1.3449, Validation Loss: 4.0400
Epoch 5/1000, Train Loss: 1.2422, Validation Loss: 1.3761
Epoch 6/1000, Train Loss: 1.1459, Validation Loss: 1.4715
Epoch 7/1000, Train Loss: 1.1271, Validation Loss: 1.1269
Epoch 8/1000, Train Loss: 1.1157, Validation Loss: 1.3097
Epoch 9/1000, Train Loss: 1.0823, Validation Loss: 5.9693
Epoch 10/1000, Train Loss: 1.0419, Validation Loss: 1.5193
Epoch 11/1000, Train Loss: 1.0276, Validation Loss: 1.3708
Epoch 12/1000, Train Loss: 0.9879, Validation Loss: 0.9325
Epoch 13/1000, Train Loss: 0.9621, Validation Loss: 1.0318
Epoch 14/1000, Train Loss: 0.9398, Validation Loss: 1.3291
Epoch 15/1000, Train Loss: 0.9240, Validation Loss: 1.4241
Epoch 16/1000, Train Loss: 0.9057, Validation Loss: 1.7966
Epoch 17/1000, Train Loss: 0.8933, Validation Loss: 1.1211
Epoch 18/1000, Train Loss: 0.8802, Validation Loss: 0.8886
Epoch 19/1000, Train Loss: 0.8556, Validation Loss: 0.8600
Epoch 20/1000, Train Loss: 0.8548, Validation Loss: 1.3299
Epoch 21/1000, Train Loss: 0.8533, Validation Loss: 0.8433
Epoch 22/1000, Train Loss: 0.8372, Validation Loss: 0.9031
Epoch 23/1000, Train Loss: 0.8271, Validation Loss: 2.9415
Epoch 24/1000, Train Loss: 0.8251, Validation Loss: 1.0331
Epoch 25/1000, Train Loss: 0.8010, Validation Loss: 2.5407
Epoch 26/1000, Train Loss: 0.7971, Validation Loss: 2.5160
Epoch 27/1000, Train Loss: 0.7957, Validation Loss: 2.1962
Epoch 28/1000, Train Loss: 0.7995, Validation Loss: 0.7428
Epoch 29/1000, Train Loss: 0.7794, Validation Loss: 0.7875
Epoch 30/1000, Train Loss: 0.7759, Validation Loss: 1.4254
Epoch 31/1000, Train Loss: 0.7565, Validation Loss: 0.7586
Epoch 32/1000, Train Loss: 0.7654, Validation Loss: 1.2937
Epoch 33/1000, Train Loss: 0.7564, Validation Loss: 0.7645
Epoch 34/1000, Train Loss: 0.7515, Validation Loss: 1.5076
Epoch 35/1000, Train Loss: 0.7329, Validation Loss: 2.6350
Epoch 36/1000, Train Loss: 1.0620, Validation Loss: 1.8305
Epoch 37/1000, Train Loss: 0.7224, Validation Loss: 2.8024
Epoch 38/1000, Train Loss: 0.7254, Validation Loss: 0.8835
Epoch 39/1000, Train Loss: 0.7137, Validation Loss: 1.8825
Epoch 40/1000, Train Loss: 0.7089, Validation Loss: 1.1442
Epoch 41/1000, Train Loss: 0.7002, Validation Loss: 2.8459
Epoch 42/1000, Train Loss: 0.7039, Validation Loss: 2.1528
Epoch 43/1000, Train Loss: 0.6922, Validation Loss: 4.2439
Epoch 44/1000, Train Loss: 0.6907, Validation Loss: 3.4698
Epoch 45/1000, Train Loss: 0.6897, Validation Loss: 1.6519
Epoch 46/1000, Train Loss: 0.7063, Validation Loss: 1.6510
Epoch 47/1000, Train Loss: 0.6900, Validation Loss: 3.3200
Epoch 48/1000, Train Loss: 0.6830, Validation Loss: 1.9425
Epoch 49/1000, Train Loss: 0.6805, Validation Loss: 1.8494
Epoch 50/1000, Train Loss: 0.6642, Validation Loss: 2.6349
Epoch 51/1000, Train Loss: 0.6719, Validation Loss: 3.0240
Epoch 52/1000, Train Loss: 0.6719, Validation Loss: 1.8749
Epoch 53/1000, Train Loss: 0.6617, Validation Loss: 1.1100
Epoch 54/1000, Train Loss: 0.6647, Validation Loss: 1.2759
Epoch 55/1000, Train Loss: 0.6620, Validation Loss: 3.6936
Epoch 56/1000, Train Loss: 0.6561, Validation Loss: 1.3469
Epoch 57/1000, Train Loss: 0.6579, Validation Loss: 2.3554
