Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-sxuqyxqf
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.9018, Validation Loss: 2.3324
Epoch 2/1000, Train Loss: 1.3904, Validation Loss: 1.3653
Epoch 3/1000, Train Loss: 1.2879, Validation Loss: 1.1002
Epoch 4/1000, Train Loss: 1.1931, Validation Loss: 10.5628
Epoch 5/1000, Train Loss: 1.2662, Validation Loss: 2.2949
Epoch 6/1000, Train Loss: 1.2038, Validation Loss: 1.4740
Epoch 7/1000, Train Loss: 1.1310, Validation Loss: 1.8872
Epoch 8/1000, Train Loss: 1.1080, Validation Loss: 3.4793
Epoch 9/1000, Train Loss: 1.0638, Validation Loss: 4.2195
Epoch 10/1000, Train Loss: 1.0383, Validation Loss: 4.6151
Epoch 11/1000, Train Loss: 1.1928, Validation Loss: 2.0204
Epoch 12/1000, Train Loss: 2.4262, Validation Loss: 1.1753
Epoch 13/1000, Train Loss: 0.9886, Validation Loss: 3.0882
Epoch 14/1000, Train Loss: 0.9766, Validation Loss: 4.8868
Epoch 15/1000, Train Loss: 1.3173, Validation Loss: 2.1056
Epoch 16/1000, Train Loss: 0.9307, Validation Loss: 2.1280
Epoch 17/1000, Train Loss: 0.9345, Validation Loss: 2.9963
Epoch 18/1000, Train Loss: 1.0115, Validation Loss: 2.1444
Epoch 19/1000, Train Loss: 0.9051, Validation Loss: 1.1181
Epoch 20/1000, Train Loss: 0.8933, Validation Loss: 1.5258
Epoch 21/1000, Train Loss: 0.9326, Validation Loss: 1.1298
Epoch 22/1000, Train Loss: 0.8377, Validation Loss: 1.6134
Epoch 23/1000, Train Loss: 0.8920, Validation Loss: 4.8754
Epoch 24/1000, Train Loss: 0.8188, Validation Loss: 2.1991
Epoch 25/1000, Train Loss: 19.3682, Validation Loss: 1.5984
Epoch 26/1000, Train Loss: 0.8239, Validation Loss: 1.9620
Epoch 27/1000, Train Loss: 0.7840, Validation Loss: 3.5411
Epoch 28/1000, Train Loss: 0.7862, Validation Loss: 0.9981
Epoch 29/1000, Train Loss: 0.7916, Validation Loss: 2.8184
Epoch 30/1000, Train Loss: 1.4622, Validation Loss: 3.7605
Epoch 31/1000, Train Loss: 0.7897, Validation Loss: 1.5205
Epoch 32/1000, Train Loss: 0.7710, Validation Loss: 3.6615
Epoch 33/1000, Train Loss: 0.7946, Validation Loss: 1.5862
Epoch 34/1000, Train Loss: 1.2679, Validation Loss: 1.0669
Epoch 35/1000, Train Loss: 0.7826, Validation Loss: 2.8700
Epoch 36/1000, Train Loss: 0.7596, Validation Loss: 2.6657
Epoch 37/1000, Train Loss: 0.7472, Validation Loss: 1.1739
Epoch 38/1000, Train Loss: 0.8364, Validation Loss: 4.4708
