Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-roie2qcc
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.8652, Validation Loss: 1.6274
Epoch 2/1000, Train Loss: 1.6092, Validation Loss: 2.2732
Epoch 3/1000, Train Loss: 1.2795, Validation Loss: 4.0895
Epoch 4/1000, Train Loss: 2.4684, Validation Loss: 1.3197
Epoch 5/1000, Train Loss: 1.3018, Validation Loss: 1.1206
Epoch 6/1000, Train Loss: 2.3358, Validation Loss: 3.6847
Epoch 7/1000, Train Loss: 1.6914, Validation Loss: 2.4449
Epoch 8/1000, Train Loss: 1.3254, Validation Loss: 1.7863
Epoch 9/1000, Train Loss: 1.1725, Validation Loss: 4.9112
Epoch 10/1000, Train Loss: 1.1335, Validation Loss: 1.8750
Epoch 11/1000, Train Loss: 1.0569, Validation Loss: 4.1696
Epoch 12/1000, Train Loss: 8.0133, Validation Loss: 1.8821
Epoch 13/1000, Train Loss: 1.0830, Validation Loss: 14.7664
Epoch 14/1000, Train Loss: 1.0249, Validation Loss: 1.5270
Epoch 15/1000, Train Loss: 1.2584, Validation Loss: 0.9875
Epoch 16/1000, Train Loss: 1.0300, Validation Loss: 1.7160
Epoch 17/1000, Train Loss: 0.9953, Validation Loss: 1.0071
Epoch 18/1000, Train Loss: 160.1746, Validation Loss: 2.6854
Epoch 19/1000, Train Loss: 1.0644, Validation Loss: 1.2544
Epoch 20/1000, Train Loss: 0.9361, Validation Loss: 0.8145
Epoch 21/1000, Train Loss: 0.9138, Validation Loss: 0.9724
Epoch 22/1000, Train Loss: 1.3926, Validation Loss: 2.4287
Epoch 23/1000, Train Loss: 0.9127, Validation Loss: 2.4942
Epoch 24/1000, Train Loss: 1.4902, Validation Loss: 1.4360
Epoch 25/1000, Train Loss: 0.9599, Validation Loss: 2.8020
Epoch 26/1000, Train Loss: 0.8674, Validation Loss: 3.9494
Epoch 27/1000, Train Loss: 3.6433, Validation Loss: 0.8003
Epoch 28/1000, Train Loss: 0.9568, Validation Loss: 4.5930
Epoch 29/1000, Train Loss: 1.5109, Validation Loss: 1.4054
Epoch 30/1000, Train Loss: 0.9365, Validation Loss: 2.4374
Epoch 31/1000, Train Loss: 0.8365, Validation Loss: 4.5110
Epoch 32/1000, Train Loss: 0.8479, Validation Loss: 2.0910
Epoch 33/1000, Train Loss: 0.8805, Validation Loss: 2.6217
Epoch 34/1000, Train Loss: 1.5723, Validation Loss: 3.4653
Epoch 35/1000, Train Loss: 0.8269, Validation Loss: 5.0288
Epoch 36/1000, Train Loss: 1.1048, Validation Loss: 4.0627
Epoch 37/1000, Train Loss: 0.8269, Validation Loss: 6.1010
Epoch 38/1000, Train Loss: 0.8195, Validation Loss: 1.0539
Epoch 39/1000, Train Loss: 0.8340, Validation Loss: 1.8781
Epoch 40/1000, Train Loss: 50.4010, Validation Loss: 3.7335
Epoch 41/1000, Train Loss: 0.8442, Validation Loss: 0.9136
