Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-r7sng0n8
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.6023, Validation Loss: 2.9367
Epoch 2/1000, Train Loss: 1.4561, Validation Loss: 1.2539
Epoch 3/1000, Train Loss: 1.2939, Validation Loss: 1.3393
Epoch 4/1000, Train Loss: 1.2919, Validation Loss: 3.7141
Epoch 5/1000, Train Loss: 1.1511, Validation Loss: 1.6284
Epoch 6/1000, Train Loss: 1.0932, Validation Loss: 1.1617
Epoch 7/1000, Train Loss: 1.1145, Validation Loss: 3.1879
Epoch 8/1000, Train Loss: 1.0835, Validation Loss: 1.1877
Epoch 9/1000, Train Loss: 1.0643, Validation Loss: 2.2164
Epoch 10/1000, Train Loss: 1.0490, Validation Loss: 1.4303
Epoch 11/1000, Train Loss: 1.0354, Validation Loss: 1.5672
Epoch 12/1000, Train Loss: 1.1193, Validation Loss: 1.1373
Epoch 13/1000, Train Loss: 0.9926, Validation Loss: 2.2544
Epoch 14/1000, Train Loss: 1.0564, Validation Loss: 0.8799
Epoch 15/1000, Train Loss: 1.0886, Validation Loss: 1.7653
Epoch 16/1000, Train Loss: 1.0015, Validation Loss: 0.9983
Epoch 17/1000, Train Loss: 1.0194, Validation Loss: 1.1761
Epoch 18/1000, Train Loss: 1.0284, Validation Loss: 6.2321
Epoch 19/1000, Train Loss: 1.0466, Validation Loss: 2.2924
Epoch 20/1000, Train Loss: 1.0169, Validation Loss: 1.3077
Epoch 21/1000, Train Loss: 0.9774, Validation Loss: 2.1060
Epoch 22/1000, Train Loss: 0.9983, Validation Loss: 1.2471
Epoch 23/1000, Train Loss: 0.9946, Validation Loss: 1.5977
Epoch 24/1000, Train Loss: 0.9662, Validation Loss: 1.0378
Epoch 25/1000, Train Loss: 0.9599, Validation Loss: 14.5481
Epoch 26/1000, Train Loss: 0.9870, Validation Loss: 1.7296
Epoch 27/1000, Train Loss: 1.0784, Validation Loss: 2.2650
Epoch 28/1000, Train Loss: 0.9197, Validation Loss: 1.0353
Epoch 29/1000, Train Loss: 0.9318, Validation Loss: 1.1091
Epoch 30/1000, Train Loss: 0.9736, Validation Loss: 3.1596
Epoch 31/1000, Train Loss: 0.9079, Validation Loss: 2.0264
Epoch 32/1000, Train Loss: 0.9141, Validation Loss: 2.0928
Epoch 33/1000, Train Loss: 0.9865, Validation Loss: 1.0494
Epoch 34/1000, Train Loss: 14.5957, Validation Loss: 1.4306
Epoch 35/1000, Train Loss: 0.9819, Validation Loss: 3.6388
Epoch 36/1000, Train Loss: 0.9277, Validation Loss: 5.3460
Epoch 37/1000, Train Loss: 0.8236, Validation Loss: 10.2991
Epoch 38/1000, Train Loss: 0.8149, Validation Loss: 1.5975
Epoch 39/1000, Train Loss: 0.8334, Validation Loss: 1.6032
Epoch 40/1000, Train Loss: 0.8821, Validation Loss: 0.8756
Epoch 41/1000, Train Loss: 0.7985, Validation Loss: 2.5061
Epoch 42/1000, Train Loss: 0.8255, Validation Loss: 3.1002
Epoch 43/1000, Train Loss: 0.9953, Validation Loss: 0.9463
Epoch 44/1000, Train Loss: 0.7726, Validation Loss: 1.0317
Epoch 45/1000, Train Loss: 0.7663, Validation Loss: 1.0440
Epoch 46/1000, Train Loss: 0.7978, Validation Loss: 1.6173
Epoch 47/1000, Train Loss: 0.7489, Validation Loss: 0.6806
Epoch 48/1000, Train Loss: 0.7381, Validation Loss: 3.7928
Epoch 49/1000, Train Loss: 0.7094, Validation Loss: 0.7281
Epoch 50/1000, Train Loss: 0.6938, Validation Loss: 1.3083
Epoch 51/1000, Train Loss: 4.5130, Validation Loss: 2.3568
Epoch 52/1000, Train Loss: 0.7639, Validation Loss: 0.6580
Epoch 53/1000, Train Loss: 0.7037, Validation Loss: 1.6882
Epoch 54/1000, Train Loss: 0.7177, Validation Loss: 1.3658
Epoch 55/1000, Train Loss: 0.6997, Validation Loss: 0.8423
Epoch 56/1000, Train Loss: 0.6741, Validation Loss: 1.6476
Epoch 57/1000, Train Loss: 0.6690, Validation Loss: 0.7036
Epoch 58/1000, Train Loss: 0.6881, Validation Loss: 1.5870
Epoch 59/1000, Train Loss: 0.6610, Validation Loss: 1.6223
Epoch 60/1000, Train Loss: 0.6566, Validation Loss: 0.7149
Epoch 61/1000, Train Loss: 0.6695, Validation Loss: 1.1872
Epoch 62/1000, Train Loss: 0.6489, Validation Loss: 1.6232
Epoch 63/1000, Train Loss: 0.6480, Validation Loss: 0.9890
Epoch 64/1000, Train Loss: 0.6524, Validation Loss: 1.0437
Epoch 65/1000, Train Loss: 0.6385, Validation Loss: 0.8405
Epoch 66/1000, Train Loss: 0.6595, Validation Loss: 0.8423
Epoch 67/1000, Train Loss: 0.6253, Validation Loss: 0.8593
Epoch 68/1000, Train Loss: 0.6114, Validation Loss: 0.9182
Epoch 69/1000, Train Loss: 0.6107, Validation Loss: 1.4018
Epoch 70/1000, Train Loss: 0.6245, Validation Loss: 2.4811
Epoch 71/1000, Train Loss: 0.6106, Validation Loss: 2.4706
Epoch 72/1000, Train Loss: 0.6080, Validation Loss: 0.6080
Epoch 73/1000, Train Loss: 0.6019, Validation Loss: 0.8992
Epoch 74/1000, Train Loss: 0.5971, Validation Loss: 1.1577
Epoch 75/1000, Train Loss: 0.6020, Validation Loss: 1.0065
Epoch 76/1000, Train Loss: 0.6491, Validation Loss: 0.9403
Epoch 77/1000, Train Loss: 0.6103, Validation Loss: 0.6274
Epoch 78/1000, Train Loss: 0.5886, Validation Loss: 1.0224
Epoch 79/1000, Train Loss: 0.6089, Validation Loss: 1.2123
Epoch 80/1000, Train Loss: 0.6222, Validation Loss: 1.9624
Epoch 81/1000, Train Loss: 0.5978, Validation Loss: 2.4514
Epoch 82/1000, Train Loss: 0.5939, Validation Loss: 0.8896
Epoch 83/1000, Train Loss: 0.7631, Validation Loss: 0.8375
Epoch 84/1000, Train Loss: 0.5963, Validation Loss: 0.6826
Epoch 85/1000, Train Loss: 0.6031, Validation Loss: 1.7695
Epoch 86/1000, Train Loss: 0.5907, Validation Loss: 1.0558
Epoch 87/1000, Train Loss: 0.5811, Validation Loss: 1.1796
Epoch 88/1000, Train Loss: 0.5857, Validation Loss: 1.4406
Epoch 89/1000, Train Loss: 0.5676, Validation Loss: 0.8655
Epoch 90/1000, Train Loss: 0.5732, Validation Loss: 2.5845
Epoch 91/1000, Train Loss: 0.5781, Validation Loss: 0.9897
Epoch 92/1000, Train Loss: 0.5648, Validation Loss: 0.6643
Epoch 93/1000, Train Loss: 0.5688, Validation Loss: 1.1144
Epoch 94/1000, Train Loss: 0.5606, Validation Loss: 0.6991
Epoch 95/1000, Train Loss: 0.5708, Validation Loss: 2.7168
Epoch 96/1000, Train Loss: 0.5565, Validation Loss: 2.1903
Epoch 97/1000, Train Loss: 0.5477, Validation Loss: 1.1609
Epoch 98/1000, Train Loss: 0.5494, Validation Loss: 0.8764
Epoch 99/1000, Train Loss: 0.5502, Validation Loss: 0.7361
Epoch 100/1000, Train Loss: 0.5526, Validation Loss: 0.8825
Epoch 101/1000, Train Loss: 0.5418, Validation Loss: 1.1154
Epoch 102/1000, Train Loss: 0.5294, Validation Loss: 1.1151
Epoch 103/1000, Train Loss: 0.5463, Validation Loss: 6.3141
Epoch 104/1000, Train Loss: 0.5506, Validation Loss: 0.7463
Epoch 105/1000, Train Loss: 0.5443, Validation Loss: 2.4210
Epoch 106/1000, Train Loss: 0.5317, Validation Loss: 0.9071
Epoch 107/1000, Train Loss: 0.5417, Validation Loss: 0.8492
Epoch 108/1000, Train Loss: 0.5375, Validation Loss: 0.9379
Epoch 109/1000, Train Loss: 0.5320, Validation Loss: 0.7820
Epoch 110/1000, Train Loss: 0.5235, Validation Loss: 0.6583
Epoch 111/1000, Train Loss: 0.5377, Validation Loss: 1.9780
Epoch 112/1000, Train Loss: 0.5230, Validation Loss: 1.7822
Epoch 113/1000, Train Loss: 0.5251, Validation Loss: 0.5900
Epoch 114/1000, Train Loss: 0.5204, Validation Loss: 1.0655
Epoch 115/1000, Train Loss: 0.5252, Validation Loss: 0.6295
Epoch 116/1000, Train Loss: 0.5254, Validation Loss: 2.0846
Epoch 117/1000, Train Loss: 0.6539, Validation Loss: 1.3379
Epoch 118/1000, Train Loss: 0.5127, Validation Loss: 2.1122
Epoch 119/1000, Train Loss: 0.5164, Validation Loss: 1.7232
Epoch 120/1000, Train Loss: 0.5187, Validation Loss: 0.6184
Epoch 121/1000, Train Loss: 0.5112, Validation Loss: 0.6665
Epoch 122/1000, Train Loss: 0.5185, Validation Loss: 1.8937
Epoch 123/1000, Train Loss: 0.5168, Validation Loss: 2.0400
Epoch 124/1000, Train Loss: 0.5167, Validation Loss: 1.3516
Epoch 125/1000, Train Loss: 0.4994, Validation Loss: 2.6879
Epoch 126/1000, Train Loss: 0.5219, Validation Loss: 0.7214
Epoch 127/1000, Train Loss: 0.5252, Validation Loss: 2.6768
Epoch 128/1000, Train Loss: 0.4992, Validation Loss: 1.0712
Epoch 129/1000, Train Loss: 0.5125, Validation Loss: 2.7791
Epoch 130/1000, Train Loss: 0.5018, Validation Loss: 1.1571
Epoch 131/1000, Train Loss: 0.5060, Validation Loss: 0.6895
Epoch 132/1000, Train Loss: 0.5096, Validation Loss: 0.8423
Epoch 133/1000, Train Loss: 0.5017, Validation Loss: 1.8554
Epoch 134/1000, Train Loss: 0.5120, Validation Loss: 0.9419
Epoch 135/1000, Train Loss: 0.5341, Validation Loss: 1.2797
Epoch 136/1000, Train Loss: 0.4983, Validation Loss: 1.5031
Epoch 137/1000, Train Loss: 0.4950, Validation Loss: 1.0696
Epoch 138/1000, Train Loss: 0.4920, Validation Loss: 0.5282
Epoch 139/1000, Train Loss: 0.4894, Validation Loss: 1.4973
