Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-q2450j0e
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.1465, Validation Loss: 1.6553
Epoch 2/1000, Train Loss: 1.3710, Validation Loss: 3.1632
Epoch 3/1000, Train Loss: 1.2392, Validation Loss: 3.0710
Epoch 4/1000, Train Loss: 1.2126, Validation Loss: 1.5401
Epoch 5/1000, Train Loss: 1.1930, Validation Loss: 1.6085
Epoch 6/1000, Train Loss: 1.2198, Validation Loss: 1.1287
Epoch 7/1000, Train Loss: 1.1298, Validation Loss: 2.8443
Epoch 8/1000, Train Loss: 1.1938, Validation Loss: 1.1789
Epoch 9/1000, Train Loss: 1.1260, Validation Loss: 1.9344
Epoch 10/1000, Train Loss: 1.1404, Validation Loss: 1.3365
Epoch 11/1000, Train Loss: 1.2590, Validation Loss: 1.2609
Epoch 12/1000, Train Loss: 1.1101, Validation Loss: 1.8692
Epoch 13/1000, Train Loss: 1.1408, Validation Loss: 2.6591
Epoch 14/1000, Train Loss: 1.0731, Validation Loss: 1.3295
Epoch 15/1000, Train Loss: 1.0830, Validation Loss: 1.0785
Epoch 16/1000, Train Loss: 1.0492, Validation Loss: 2.2077
Epoch 17/1000, Train Loss: 0.9980, Validation Loss: 1.0788
Epoch 18/1000, Train Loss: 1.0011, Validation Loss: 2.5655
Epoch 19/1000, Train Loss: 1.0681, Validation Loss: 1.8030
Epoch 20/1000, Train Loss: 3.9855, Validation Loss: 3.7942
Epoch 21/1000, Train Loss: 1.0244, Validation Loss: 0.9568
Epoch 22/1000, Train Loss: 0.9807, Validation Loss: 0.8520
Epoch 23/1000, Train Loss: 1.1008, Validation Loss: 0.9159
Epoch 24/1000, Train Loss: 0.9318, Validation Loss: 2.3404
Epoch 25/1000, Train Loss: 0.8990, Validation Loss: 1.6142
Epoch 26/1000, Train Loss: 1.2901, Validation Loss: 1.3441
Epoch 27/1000, Train Loss: 0.9208, Validation Loss: 1.3166
Epoch 28/1000, Train Loss: 0.8733, Validation Loss: 4.3499
Epoch 29/1000, Train Loss: 0.9071, Validation Loss: 1.1899
Epoch 30/1000, Train Loss: 0.8652, Validation Loss: 0.9502
Epoch 31/1000, Train Loss: 0.8611, Validation Loss: 1.5993
Epoch 32/1000, Train Loss: 0.8425, Validation Loss: 2.4092
Epoch 33/1000, Train Loss: 0.8833, Validation Loss: 1.3357
Epoch 34/1000, Train Loss: 0.8304, Validation Loss: 2.1527
Epoch 35/1000, Train Loss: 0.9238, Validation Loss: 0.9998
Epoch 36/1000, Train Loss: 0.7980, Validation Loss: 1.0598
Epoch 37/1000, Train Loss: 0.7948, Validation Loss: 1.2831
Epoch 38/1000, Train Loss: 0.8199, Validation Loss: 0.8819
Epoch 39/1000, Train Loss: 0.7883, Validation Loss: 1.3832
Epoch 40/1000, Train Loss: 0.7836, Validation Loss: 1.1083
Epoch 41/1000, Train Loss: 0.8447, Validation Loss: 0.9107
Epoch 42/1000, Train Loss: 0.7578, Validation Loss: 1.0677
Epoch 43/1000, Train Loss: 0.7729, Validation Loss: 4.1500
Epoch 44/1000, Train Loss: 0.7866, Validation Loss: 0.8712
Epoch 45/1000, Train Loss: 0.7483, Validation Loss: 1.1538
Epoch 46/1000, Train Loss: 0.7435, Validation Loss: 1.0611
Epoch 47/1000, Train Loss: 2.2317, Validation Loss: 0.9483
Epoch 48/1000, Train Loss: 0.7494, Validation Loss: 3.1967
Epoch 49/1000, Train Loss: 0.7415, Validation Loss: 0.7833
Epoch 50/1000, Train Loss: 0.7610, Validation Loss: 1.2129
Epoch 51/1000, Train Loss: 0.7552, Validation Loss: 1.0990
Epoch 52/1000, Train Loss: 0.7376, Validation Loss: 2.3782
Epoch 53/1000, Train Loss: 0.7235, Validation Loss: 3.6000
Epoch 54/1000, Train Loss: 0.8646, Validation Loss: 0.7107
Epoch 55/1000, Train Loss: 0.8493, Validation Loss: 0.7109
Epoch 56/1000, Train Loss: 0.7668, Validation Loss: 1.2587
Epoch 57/1000, Train Loss: 0.7014, Validation Loss: 1.4969
Epoch 58/1000, Train Loss: 0.7059, Validation Loss: 1.0784
Epoch 59/1000, Train Loss: 0.8446, Validation Loss: 1.1865
Epoch 60/1000, Train Loss: 0.7215, Validation Loss: 1.5041
Epoch 61/1000, Train Loss: 0.7280, Validation Loss: 1.2713
Epoch 62/1000, Train Loss: 0.6976, Validation Loss: 0.9606
Epoch 63/1000, Train Loss: 0.6890, Validation Loss: 0.6710
Epoch 64/1000, Train Loss: 0.6956, Validation Loss: 2.3819
