Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-xt7wjx0i
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 7.2336, Validation Loss: 1.6415
Epoch 2/1000, Train Loss: 1.3335, Validation Loss: 2.3571
Epoch 3/1000, Train Loss: 1.2163, Validation Loss: 1.7207
Epoch 4/1000, Train Loss: 1.1814, Validation Loss: 1.4315
Epoch 5/1000, Train Loss: 1.0938, Validation Loss: 1.8551
Epoch 6/1000, Train Loss: 1.0624, Validation Loss: 3.5896
Epoch 7/1000, Train Loss: 1.0387, Validation Loss: 1.8544
Epoch 8/1000, Train Loss: 1.0357, Validation Loss: 0.9745
Epoch 9/1000, Train Loss: 1.0230, Validation Loss: 2.7642
Epoch 10/1000, Train Loss: 1.0434, Validation Loss: 1.7782
Epoch 11/1000, Train Loss: 1.0212, Validation Loss: 2.2120
Epoch 12/1000, Train Loss: 0.9644, Validation Loss: 2.4770
Epoch 13/1000, Train Loss: 96174.0713, Validation Loss: 1.9615
Epoch 14/1000, Train Loss: 1.0236, Validation Loss: 2.6238
Epoch 15/1000, Train Loss: 0.9535, Validation Loss: 1.1719
Epoch 16/1000, Train Loss: 0.9802, Validation Loss: 2.7492
Epoch 17/1000, Train Loss: 1.1414, Validation Loss: 1.2985
Epoch 18/1000, Train Loss: 0.8868, Validation Loss: 2.6082
Epoch 19/1000, Train Loss: 0.9197, Validation Loss: 2.2421
Epoch 20/1000, Train Loss: 4.6684, Validation Loss: 0.9001
Epoch 21/1000, Train Loss: 0.9092, Validation Loss: 1.6037
Epoch 22/1000, Train Loss: 0.8742, Validation Loss: 2.2018
Epoch 23/1000, Train Loss: 0.8134, Validation Loss: 1.0846
Epoch 24/1000, Train Loss: 0.9086, Validation Loss: 1.2663
Epoch 25/1000, Train Loss: 0.8213, Validation Loss: 1.4241
Epoch 26/1000, Train Loss: 0.8444, Validation Loss: 1.7094
Epoch 27/1000, Train Loss: 0.7795, Validation Loss: 1.1940
Epoch 28/1000, Train Loss: 0.7829, Validation Loss: 1.0156
Epoch 29/1000, Train Loss: 0.7745, Validation Loss: 1.3795
Epoch 30/1000, Train Loss: 0.7294, Validation Loss: 1.4407
Epoch 31/1000, Train Loss: 0.7374, Validation Loss: 5.4737
Epoch 32/1000, Train Loss: 0.8036, Validation Loss: 0.8247
Epoch 33/1000, Train Loss: 0.8812, Validation Loss: 1.0416
Epoch 34/1000, Train Loss: 0.8410, Validation Loss: 2.2487
Epoch 35/1000, Train Loss: 0.7547, Validation Loss: 1.3351
Epoch 36/1000, Train Loss: 0.7577, Validation Loss: 3.2553
Epoch 37/1000, Train Loss: 1.1192, Validation Loss: 5.3646
Epoch 38/1000, Train Loss: 0.7244, Validation Loss: 1.5335
Epoch 39/1000, Train Loss: 0.7474, Validation Loss: 1.6468
