Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-gen15ovc
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.6188, Validation Loss: 2.4308
Epoch 2/1000, Train Loss: 1.6612, Validation Loss: 1.5757
Epoch 3/1000, Train Loss: 1.4808, Validation Loss: 2.0584
Epoch 4/1000, Train Loss: 1.4661, Validation Loss: 2.2081
Epoch 5/1000, Train Loss: 1.3575, Validation Loss: 1.1667
Epoch 6/1000, Train Loss: 1.4251, Validation Loss: 1.3565
Epoch 7/1000, Train Loss: 1.2285, Validation Loss: 1.3118
Epoch 8/1000, Train Loss: 1.2447, Validation Loss: 1.5448
Epoch 9/1000, Train Loss: 1.2479, Validation Loss: 1.1481
Epoch 10/1000, Train Loss: 1.1069, Validation Loss: 1.4681
Epoch 11/1000, Train Loss: 1.0910, Validation Loss: 0.9683
Epoch 12/1000, Train Loss: 1.0762, Validation Loss: 1.5860
Epoch 13/1000, Train Loss: 1.0810, Validation Loss: 1.3096
Epoch 14/1000, Train Loss: 1.0942, Validation Loss: 1.2372
Epoch 15/1000, Train Loss: 1.0273, Validation Loss: 1.1940
Epoch 16/1000, Train Loss: 0.9666, Validation Loss: 1.8777
Epoch 17/1000, Train Loss: 1.0003, Validation Loss: 0.9189
Epoch 18/1000, Train Loss: 0.9330, Validation Loss: 1.6385
Epoch 19/1000, Train Loss: 0.9438, Validation Loss: 1.6446
Epoch 20/1000, Train Loss: 0.9166, Validation Loss: 3.8816
Epoch 21/1000, Train Loss: 0.8771, Validation Loss: 2.1279
Epoch 22/1000, Train Loss: 0.8609, Validation Loss: 0.9086
Epoch 23/1000, Train Loss: 0.8201, Validation Loss: 0.7687
Epoch 24/1000, Train Loss: 0.8369, Validation Loss: 0.8441
Epoch 25/1000, Train Loss: 0.8258, Validation Loss: 0.9657
Epoch 26/1000, Train Loss: 0.8071, Validation Loss: 0.9316
Epoch 27/1000, Train Loss: 0.8025, Validation Loss: 1.0638
Epoch 28/1000, Train Loss: 0.7993, Validation Loss: 0.7736
Epoch 29/1000, Train Loss: 0.7768, Validation Loss: 2.3888
Epoch 30/1000, Train Loss: 0.7728, Validation Loss: 1.5548
Epoch 31/1000, Train Loss: 0.7569, Validation Loss: 1.5928
Epoch 32/1000, Train Loss: 0.7843, Validation Loss: 1.8148
Epoch 33/1000, Train Loss: 0.8139, Validation Loss: 1.4785
Epoch 34/1000, Train Loss: 0.7593, Validation Loss: 0.9473
Epoch 35/1000, Train Loss: 0.7273, Validation Loss: 0.8570
Epoch 36/1000, Train Loss: 0.7256, Validation Loss: 0.7949
Epoch 37/1000, Train Loss: 0.6998, Validation Loss: 1.8231
