Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-vb8g2wrh
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.2248, Validation Loss: 2.4270
Epoch 2/1000, Train Loss: 1.4943, Validation Loss: 1.3287
Epoch 3/1000, Train Loss: 1.2425, Validation Loss: 3.4675
Epoch 4/1000, Train Loss: 1.1167, Validation Loss: 2.3527
Epoch 5/1000, Train Loss: 1.0748, Validation Loss: 4.0936
Epoch 6/1000, Train Loss: 1.0145, Validation Loss: 6.0789
Epoch 7/1000, Train Loss: 0.9720, Validation Loss: 0.9122
Epoch 8/1000, Train Loss: 0.9761, Validation Loss: 2.4904
Epoch 9/1000, Train Loss: 0.9452, Validation Loss: 1.0565
Epoch 10/1000, Train Loss: 0.9786, Validation Loss: 1.4294
Epoch 11/1000, Train Loss: 0.9110, Validation Loss: 0.8883
Epoch 12/1000, Train Loss: 0.8883, Validation Loss: 6.1184
Epoch 13/1000, Train Loss: 0.8665, Validation Loss: 17.1414
Epoch 14/1000, Train Loss: 0.8682, Validation Loss: 10.9967
Epoch 15/1000, Train Loss: 0.8284, Validation Loss: 2.5998
Epoch 16/1000, Train Loss: 0.8517, Validation Loss: 1.3720
Epoch 17/1000, Train Loss: 0.8587, Validation Loss: 2.6224
Epoch 18/1000, Train Loss: 0.8497, Validation Loss: 2.2265
Epoch 19/1000, Train Loss: 0.8142, Validation Loss: 1.9315
Epoch 20/1000, Train Loss: 0.8116, Validation Loss: 1.6407
Epoch 21/1000, Train Loss: 0.8160, Validation Loss: 3.2269
Epoch 22/1000, Train Loss: 0.8315, Validation Loss: 0.7051
Epoch 23/1000, Train Loss: 0.8569, Validation Loss: 1.7878
Epoch 24/1000, Train Loss: 0.8518, Validation Loss: 0.9442
Epoch 25/1000, Train Loss: 0.7814, Validation Loss: 0.8117
Epoch 26/1000, Train Loss: 0.7859, Validation Loss: 1.4549
Epoch 27/1000, Train Loss: 0.8197, Validation Loss: 1.6188
Epoch 28/1000, Train Loss: 0.8373, Validation Loss: 1.3283
Epoch 29/1000, Train Loss: 0.7797, Validation Loss: 1.0878
Epoch 30/1000, Train Loss: 0.7632, Validation Loss: 2.7099
Epoch 31/1000, Train Loss: 0.8025, Validation Loss: 1.8800
Epoch 32/1000, Train Loss: 0.7698, Validation Loss: 1.6337
Epoch 33/1000, Train Loss: 0.7283, Validation Loss: 1.9145
Epoch 34/1000, Train Loss: 0.7694, Validation Loss: 5.9974
Epoch 35/1000, Train Loss: 0.7254, Validation Loss: 3.0226
Epoch 36/1000, Train Loss: 0.7370, Validation Loss: 0.8379
Epoch 37/1000, Train Loss: 0.7347, Validation Loss: 4.8511
Epoch 38/1000, Train Loss: 0.6894, Validation Loss: 1.2796
Epoch 39/1000, Train Loss: 0.7357, Validation Loss: 10.7460
Epoch 40/1000, Train Loss: 0.7379, Validation Loss: 0.9024
Epoch 41/1000, Train Loss: 0.6448, Validation Loss: 1.6391
Epoch 42/1000, Train Loss: 0.6561, Validation Loss: 3.4708
Epoch 43/1000, Train Loss: 0.6413, Validation Loss: 1.9029
Epoch 44/1000, Train Loss: 0.6605, Validation Loss: 2.2139
Epoch 45/1000, Train Loss: 0.6368, Validation Loss: 1.0836
Epoch 46/1000, Train Loss: 1.3461, Validation Loss: 0.6082
