Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-e3lsw0aa
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.6778, Validation Loss: 3.7430
Epoch 2/1000, Train Loss: 1.5194, Validation Loss: 8.0182
Epoch 3/1000, Train Loss: 1.3348, Validation Loss: 1.4305
Epoch 4/1000, Train Loss: 1.3234, Validation Loss: 4.1489
Epoch 5/1000, Train Loss: 1.2663, Validation Loss: 18.0509
Epoch 6/1000, Train Loss: 1.1959, Validation Loss: 17.9493
Epoch 7/1000, Train Loss: 1.1755, Validation Loss: 156.8043
Epoch 8/1000, Train Loss: 1.0830, Validation Loss: 1.1156
Epoch 9/1000, Train Loss: 1.0353, Validation Loss: 2.5053
Epoch 10/1000, Train Loss: 1.0508, Validation Loss: 0.9165
Epoch 11/1000, Train Loss: 573.6121, Validation Loss: 1.4247
Epoch 12/1000, Train Loss: 0.9825, Validation Loss: 0.9631
Epoch 13/1000, Train Loss: 1.2504, Validation Loss: 2.3797
Epoch 14/1000, Train Loss: 1.0452, Validation Loss: 4.0195
Epoch 15/1000, Train Loss: 0.9632, Validation Loss: 1.3223
Epoch 16/1000, Train Loss: 0.9182, Validation Loss: 11.8296
Epoch 17/1000, Train Loss: 2.2280, Validation Loss: 104.6408
Epoch 18/1000, Train Loss: 0.9042, Validation Loss: 0.8134
Epoch 19/1000, Train Loss: 0.8559, Validation Loss: 1.5728
Epoch 20/1000, Train Loss: 0.8737, Validation Loss: 34.3938
Epoch 21/1000, Train Loss: 0.9478, Validation Loss: 4.4343
Epoch 22/1000, Train Loss: 0.8803, Validation Loss: 2.7390
Epoch 23/1000, Train Loss: 0.8366, Validation Loss: 1.4574
Epoch 24/1000, Train Loss: 0.8305, Validation Loss: 8.4419
Epoch 25/1000, Train Loss: 0.9521, Validation Loss: 4.1832
Epoch 26/1000, Train Loss: 0.8068, Validation Loss: 1.1087
Epoch 27/1000, Train Loss: 52.0025, Validation Loss: 5.3915
Epoch 28/1000, Train Loss: 1.4760, Validation Loss: 1.8715
Epoch 29/1000, Train Loss: 0.8415, Validation Loss: 5.3173
Epoch 30/1000, Train Loss: 0.8405, Validation Loss: 3.6859
Epoch 31/1000, Train Loss: 0.7955, Validation Loss: 1.5614
Epoch 32/1000, Train Loss: 0.7723, Validation Loss: 1.7107
Epoch 33/1000, Train Loss: 0.8507, Validation Loss: 1.1947
Epoch 34/1000, Train Loss: 0.8283, Validation Loss: 0.9204
Epoch 35/1000, Train Loss: 0.7891, Validation Loss: 0.8293
Epoch 36/1000, Train Loss: 0.7917, Validation Loss: 2.4509
Epoch 37/1000, Train Loss: 0.7929, Validation Loss: 4.0983
Epoch 38/1000, Train Loss: 0.7766, Validation Loss: 0.7974
Epoch 39/1000, Train Loss: 1.2217, Validation Loss: 6.2646
Epoch 40/1000, Train Loss: 0.7710, Validation Loss: 2.9212
Epoch 41/1000, Train Loss: 0.7924, Validation Loss: 25.4773
Epoch 42/1000, Train Loss: 0.7850, Validation Loss: 1.9601
Epoch 43/1000, Train Loss: 0.7570, Validation Loss: 5.7080
Epoch 44/1000, Train Loss: 0.7326, Validation Loss: 31.6556
Epoch 45/1000, Train Loss: 12.8292, Validation Loss: 89.9528
Epoch 46/1000, Train Loss: 0.7727, Validation Loss: 2.8794
Epoch 47/1000, Train Loss: 0.7544, Validation Loss: 1.6391
Epoch 48/1000, Train Loss: 0.7262, Validation Loss: 2.0986
Epoch 49/1000, Train Loss: 3.3641, Validation Loss: 1.3829
Epoch 50/1000, Train Loss: 0.7406, Validation Loss: 4.6202
Epoch 51/1000, Train Loss: 3.1380, Validation Loss: 1.5341
Epoch 52/1000, Train Loss: 0.7699, Validation Loss: 6.1444
Epoch 53/1000, Train Loss: 0.7582, Validation Loss: 1.1146
Epoch 54/1000, Train Loss: 0.7771, Validation Loss: 3.4351
