Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-00rl89rr
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.8123, Validation Loss: 4.2981
Epoch 2/1000, Train Loss: 1.3156, Validation Loss: 1.2346
Epoch 3/1000, Train Loss: 1.1731, Validation Loss: 1.1120
Epoch 4/1000, Train Loss: 1.1039, Validation Loss: 1.1942
Epoch 5/1000, Train Loss: 1.0463, Validation Loss: 2.2255
Epoch 6/1000, Train Loss: 1.0314, Validation Loss: 2.1562
Epoch 7/1000, Train Loss: 0.9749, Validation Loss: 2.1038
Epoch 8/1000, Train Loss: 0.9694, Validation Loss: 0.9791
Epoch 9/1000, Train Loss: 0.9347, Validation Loss: 3.4147
Epoch 10/1000, Train Loss: 0.9215, Validation Loss: 0.9484
Epoch 11/1000, Train Loss: 0.9080, Validation Loss: 1.2231
Epoch 12/1000, Train Loss: 1.0027, Validation Loss: 0.8153
Epoch 13/1000, Train Loss: 0.9016, Validation Loss: 1.0038
Epoch 14/1000, Train Loss: 0.9014, Validation Loss: 4.7559
Epoch 15/1000, Train Loss: 0.8919, Validation Loss: 1.0579
Epoch 16/1000, Train Loss: 0.8993, Validation Loss: 1.6575
Epoch 17/1000, Train Loss: 0.8599, Validation Loss: 1.8550
Epoch 18/1000, Train Loss: 0.8917, Validation Loss: 4.3751
Epoch 19/1000, Train Loss: 0.8646, Validation Loss: 3.3219
Epoch 20/1000, Train Loss: 0.9121, Validation Loss: 1.4547
Epoch 21/1000, Train Loss: 0.8512, Validation Loss: 1.7999
Epoch 22/1000, Train Loss: 0.8594, Validation Loss: 2.6903
Epoch 23/1000, Train Loss: 0.8540, Validation Loss: 1.8862
Epoch 24/1000, Train Loss: 0.8424, Validation Loss: 1.9851
Epoch 25/1000, Train Loss: 0.8428, Validation Loss: 2.7278
Epoch 26/1000, Train Loss: 0.8351, Validation Loss: 3.1642
Epoch 27/1000, Train Loss: 0.7829, Validation Loss: 2.8575
Epoch 28/1000, Train Loss: 0.7970, Validation Loss: 1.7654
Epoch 29/1000, Train Loss: 0.7678, Validation Loss: 0.7346
Epoch 30/1000, Train Loss: 0.7490, Validation Loss: 1.0319
Epoch 31/1000, Train Loss: 0.7631, Validation Loss: 1.7266
Epoch 32/1000, Train Loss: 0.7664, Validation Loss: 0.8327
Epoch 33/1000, Train Loss: 0.7501, Validation Loss: 3.9173
Epoch 34/1000, Train Loss: 0.7452, Validation Loss: 0.7914
Epoch 35/1000, Train Loss: 0.7172, Validation Loss: 1.8752
Epoch 36/1000, Train Loss: 0.7136, Validation Loss: 3.9014
