Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-b8nzizg0
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 10.1997, Validation Loss: 3.8529
Epoch 2/1000, Train Loss: 1.5508, Validation Loss: 1.7173
Epoch 3/1000, Train Loss: 1.5511, Validation Loss: 1.9942
Epoch 4/1000, Train Loss: 1.3578, Validation Loss: 2.1545
Epoch 5/1000, Train Loss: 1.3628, Validation Loss: 1.2154
Epoch 6/1000, Train Loss: 2.0973, Validation Loss: 3.9087
Epoch 7/1000, Train Loss: 243.4996, Validation Loss: 1.1977
Epoch 8/1000, Train Loss: 1.3106, Validation Loss: 3.0786
Epoch 9/1000, Train Loss: 1.2471, Validation Loss: 1.5394
Epoch 10/1000, Train Loss: 20.1765, Validation Loss: 3.9278
Epoch 11/1000, Train Loss: 1.8116, Validation Loss: 8.5467
Epoch 12/1000, Train Loss: 1.1992, Validation Loss: 1.4940
Epoch 13/1000, Train Loss: 2.2781, Validation Loss: 1.1274
Epoch 14/1000, Train Loss: 1.1770, Validation Loss: 3.8383
Epoch 15/1000, Train Loss: 13.4136, Validation Loss: 2.2533
Epoch 16/1000, Train Loss: 1.1699, Validation Loss: 1.5286
Epoch 17/1000, Train Loss: 1.3609, Validation Loss: 2.2456
Epoch 18/1000, Train Loss: 1.1453, Validation Loss: 6.5957
Epoch 19/1000, Train Loss: 1.3468, Validation Loss: 1.1344
Epoch 20/1000, Train Loss: 1.5050, Validation Loss: 3.0392
Epoch 21/1000, Train Loss: 1.0998, Validation Loss: 2.6772
Epoch 22/1000, Train Loss: 27.4180, Validation Loss: 2.3111
Epoch 23/1000, Train Loss: 2.0774, Validation Loss: 2.2552
Epoch 24/1000, Train Loss: 1.0931, Validation Loss: 2.3830
Epoch 25/1000, Train Loss: 1.1869, Validation Loss: 2.3916
Epoch 26/1000, Train Loss: 19.5667, Validation Loss: 1.4049
Epoch 27/1000, Train Loss: 1.0821, Validation Loss: 1.0735
Epoch 28/1000, Train Loss: 1.0730, Validation Loss: 1.7124
Epoch 29/1000, Train Loss: 1.2698, Validation Loss: 5.2310
Epoch 30/1000, Train Loss: 6.7982, Validation Loss: 2.0247
Epoch 31/1000, Train Loss: 1.0968, Validation Loss: 0.9977
Epoch 32/1000, Train Loss: 1.2201, Validation Loss: 1.4295
Epoch 33/1000, Train Loss: 1.3571, Validation Loss: 2.3866
Epoch 34/1000, Train Loss: 116.9168, Validation Loss: 2.3899
Epoch 35/1000, Train Loss: 1.0331, Validation Loss: 1.4666
Epoch 36/1000, Train Loss: 22.8923, Validation Loss: 4.3514
Epoch 37/1000, Train Loss: 2398.1966, Validation Loss: 3.2247
Epoch 38/1000, Train Loss: 1.0346, Validation Loss: 1.2112
Epoch 39/1000, Train Loss: 6.6204, Validation Loss: 1.1323
Epoch 40/1000, Train Loss: 1.0518, Validation Loss: 1.6752
Epoch 41/1000, Train Loss: 1.0046, Validation Loss: 3.8327
Epoch 42/1000, Train Loss: 0.9928, Validation Loss: 3.0171
Epoch 43/1000, Train Loss: 1.2804, Validation Loss: 3.0871
Epoch 44/1000, Train Loss: 1.6154, Validation Loss: 0.9376
Epoch 45/1000, Train Loss: 1.8001, Validation Loss: 1.6636
Epoch 46/1000, Train Loss: 36.5895, Validation Loss: 2.5541
Epoch 47/1000, Train Loss: 0.9689, Validation Loss: 2.1313
Epoch 48/1000, Train Loss: 1.4641, Validation Loss: 1.0658
Epoch 49/1000, Train Loss: 1.7542, Validation Loss: 1.5395
Epoch 50/1000, Train Loss: 0.9764, Validation Loss: 1.4460
Epoch 51/1000, Train Loss: 16.9035, Validation Loss: 2.2345
Epoch 52/1000, Train Loss: 0.9810, Validation Loss: 1.6135
Epoch 53/1000, Train Loss: 1.1337, Validation Loss: 1.4393
Epoch 54/1000, Train Loss: 0.9596, Validation Loss: 1.3467
Epoch 55/1000, Train Loss: 42.3814, Validation Loss: 2.2640
Epoch 56/1000, Train Loss: 1.9817, Validation Loss: 1.3013
Epoch 57/1000, Train Loss: 0.9736, Validation Loss: 2.4643
Epoch 58/1000, Train Loss: 6.7359, Validation Loss: 62.7735
Epoch 59/1000, Train Loss: 1.6353, Validation Loss: 4.6123
Epoch 60/1000, Train Loss: 333.5109, Validation Loss: 1.8392
Epoch 61/1000, Train Loss: 1.1257, Validation Loss: 22069.4143
Epoch 62/1000, Train Loss: 0.9533, Validation Loss: 9.3857
Epoch 63/1000, Train Loss: 10671.2730, Validation Loss: 2.0933
Epoch 64/1000, Train Loss: 1.3667, Validation Loss: 4.2584
Epoch 65/1000, Train Loss: 3.3467, Validation Loss: 2.3674
Epoch 66/1000, Train Loss: 0.9955, Validation Loss: 3.9948
Epoch 67/1000, Train Loss: 1.5637, Validation Loss: 2.1032
Epoch 68/1000, Train Loss: 0.9122, Validation Loss: 4.5696
Epoch 69/1000, Train Loss: 0.8823, Validation Loss: 7.0451
Epoch 70/1000, Train Loss: 33.9379, Validation Loss: 6.4846
Epoch 71/1000, Train Loss: 2.5712, Validation Loss: 2.7853
Epoch 72/1000, Train Loss: 1.0816, Validation Loss: 1.7124
Epoch 73/1000, Train Loss: 421.5865, Validation Loss: 6.5090
Epoch 74/1000, Train Loss: 1.0320, Validation Loss: 2.1799
Epoch 75/1000, Train Loss: 1744.0213, Validation Loss: 39.2435
Epoch 76/1000, Train Loss: 1.4472, Validation Loss: 2.0510
Epoch 77/1000, Train Loss: 1.0260, Validation Loss: 1.3792
Epoch 78/1000, Train Loss: 45.8118, Validation Loss: 1.2350
Epoch 79/1000, Train Loss: 1.0411, Validation Loss: 1.1940
Epoch 80/1000, Train Loss: 0.9974, Validation Loss: 2.7142
Epoch 81/1000, Train Loss: 8391025.4592, Validation Loss: 84707.8014
Epoch 82/1000, Train Loss: 1.0647, Validation Loss: 1.1056
Epoch 83/1000, Train Loss: 93.8334, Validation Loss: 1.6101
Epoch 84/1000, Train Loss: 1.0787, Validation Loss: 1.9909
Epoch 85/1000, Train Loss: 16.0712, Validation Loss: 1.7924
Epoch 86/1000, Train Loss: 4146.0522, Validation Loss: 2.0142
