Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-uz6cxn2b
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.7149, Validation Loss: 4.2943
Epoch 2/1000, Train Loss: 1.5561, Validation Loss: 2.8380
Epoch 3/1000, Train Loss: 1.3764, Validation Loss: 1.9450
Epoch 4/1000, Train Loss: 1.4369, Validation Loss: 2.0174
Epoch 5/1000, Train Loss: 1.2850, Validation Loss: 1.4751
Epoch 6/1000, Train Loss: 2.3174, Validation Loss: 4.8679
Epoch 7/1000, Train Loss: 8.2341, Validation Loss: 4.5274
Epoch 8/1000, Train Loss: 1.2852, Validation Loss: 2.8062
Epoch 9/1000, Train Loss: 1.1750, Validation Loss: 1.2707
Epoch 10/1000, Train Loss: 1.9511, Validation Loss: 3.5533
Epoch 11/1000, Train Loss: 1.0746, Validation Loss: 1.4296
Epoch 12/1000, Train Loss: 1.2531, Validation Loss: 1.3486
Epoch 13/1000, Train Loss: 1.4985, Validation Loss: 1.4366
Epoch 14/1000, Train Loss: 1.1123, Validation Loss: 1.8472
Epoch 15/1000, Train Loss: 2.8433, Validation Loss: 0.9403
Epoch 16/1000, Train Loss: 13.6160, Validation Loss: 0.8929
Epoch 17/1000, Train Loss: 1.0342, Validation Loss: 1.1985
Epoch 18/1000, Train Loss: 1.0125, Validation Loss: 1.8775
Epoch 19/1000, Train Loss: 4.7404, Validation Loss: 1.5358
Epoch 20/1000, Train Loss: 0.9890, Validation Loss: 1.6679
Epoch 21/1000, Train Loss: 1.3229, Validation Loss: 0.9332
Epoch 22/1000, Train Loss: 3.9004, Validation Loss: 2.7319
Epoch 23/1000, Train Loss: 1.0386, Validation Loss: 1.7629
Epoch 24/1000, Train Loss: 2.6523, Validation Loss: 1.4525
Epoch 25/1000, Train Loss: 1.8246, Validation Loss: 1.6602
Epoch 26/1000, Train Loss: 0.9472, Validation Loss: 0.9312
Epoch 27/1000, Train Loss: 0.9346, Validation Loss: 3.7173
Epoch 28/1000, Train Loss: 1.8004, Validation Loss: 1.6804
Epoch 29/1000, Train Loss: 0.9863, Validation Loss: 1.2951
Epoch 30/1000, Train Loss: 0.9170, Validation Loss: 2.3727
Epoch 31/1000, Train Loss: 85.1056, Validation Loss: 6.7919
Epoch 32/1000, Train Loss: 0.9582, Validation Loss: 1.1387
Epoch 33/1000, Train Loss: 0.9847, Validation Loss: 0.9744
Epoch 34/1000, Train Loss: 0.8859, Validation Loss: 1.2616
Epoch 35/1000, Train Loss: 1.1168, Validation Loss: 3.1016
Epoch 36/1000, Train Loss: 0.8998, Validation Loss: 3.8337
Epoch 37/1000, Train Loss: 0.9217, Validation Loss: 1.4977
Epoch 38/1000, Train Loss: 0.8912, Validation Loss: 1.2319
Epoch 39/1000, Train Loss: 13.3227, Validation Loss: 1.8876
Epoch 40/1000, Train Loss: 2.5811, Validation Loss: 4.4059
Epoch 41/1000, Train Loss: 1.1416, Validation Loss: 1.3263
Epoch 42/1000, Train Loss: 0.8790, Validation Loss: 3.6843
Epoch 43/1000, Train Loss: 0.9580, Validation Loss: 1.2707
Epoch 44/1000, Train Loss: 17.5766, Validation Loss: 4.6500
Epoch 45/1000, Train Loss: 64.2419, Validation Loss: 1.4669
Epoch 46/1000, Train Loss: 1.0889, Validation Loss: 3.4473
Epoch 47/1000, Train Loss: 0.9300, Validation Loss: 0.6971
Epoch 48/1000, Train Loss: 0.9081, Validation Loss: 0.8994
Epoch 49/1000, Train Loss: 1.6622, Validation Loss: 0.7931
Epoch 50/1000, Train Loss: 0.9936, Validation Loss: 1.0719
Epoch 51/1000, Train Loss: 1.1328, Validation Loss: 1.2514
Epoch 52/1000, Train Loss: 0.8655, Validation Loss: 2.4398
Epoch 53/1000, Train Loss: 0.9699, Validation Loss: 1.6869
Epoch 54/1000, Train Loss: 1.0624, Validation Loss: 4.6079
Epoch 55/1000, Train Loss: 0.8251, Validation Loss: 1.3467
Epoch 56/1000, Train Loss: 1.4437, Validation Loss: 2.4230
Epoch 57/1000, Train Loss: 0.8722, Validation Loss: 1.4158
Epoch 58/1000, Train Loss: 1.3343, Validation Loss: 4.7624
Epoch 59/1000, Train Loss: 0.9985, Validation Loss: 1.6332
Epoch 60/1000, Train Loss: 0.8333, Validation Loss: 0.9858
Epoch 61/1000, Train Loss: 0.8830, Validation Loss: 0.8592
Epoch 62/1000, Train Loss: 0.8654, Validation Loss: 2.1698
Epoch 63/1000, Train Loss: 3.9604, Validation Loss: 0.8774
