Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-7jwj31dy
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.0018, Validation Loss: 5.6804
Epoch 2/1000, Train Loss: 1.2997, Validation Loss: 3.1008
Epoch 3/1000, Train Loss: 1.1675, Validation Loss: 7.3212
Epoch 4/1000, Train Loss: 1.1183, Validation Loss: 1.2001
Epoch 5/1000, Train Loss: 1.0845, Validation Loss: 2.5148
Epoch 6/1000, Train Loss: 1.0467, Validation Loss: 1.8040
Epoch 7/1000, Train Loss: 1.0146, Validation Loss: 1.7076
Epoch 8/1000, Train Loss: 1.0119, Validation Loss: 15.7188
Epoch 9/1000, Train Loss: 0.9430, Validation Loss: 2.5678
Epoch 10/1000, Train Loss: 0.9506, Validation Loss: 1.3460
Epoch 11/1000, Train Loss: 1.0564, Validation Loss: 4.2647
Epoch 12/1000, Train Loss: 1.6461, Validation Loss: 6.1894
Epoch 13/1000, Train Loss: 0.9138, Validation Loss: 1.5400
Epoch 14/1000, Train Loss: 0.8853, Validation Loss: 1.8610
Epoch 15/1000, Train Loss: 0.8508, Validation Loss: 1.8579
Epoch 16/1000, Train Loss: 5.3725, Validation Loss: 1.7475
Epoch 17/1000, Train Loss: 0.9090, Validation Loss: 4.3787
Epoch 18/1000, Train Loss: 0.7998, Validation Loss: 1.5702
Epoch 19/1000, Train Loss: 0.7869, Validation Loss: 2.0000
Epoch 20/1000, Train Loss: 0.7653, Validation Loss: 1.7527
Epoch 21/1000, Train Loss: 0.7437, Validation Loss: 1.2190
Epoch 22/1000, Train Loss: 0.7574, Validation Loss: 0.8873
Epoch 23/1000, Train Loss: 0.7621, Validation Loss: 0.7434
Epoch 24/1000, Train Loss: 0.7329, Validation Loss: 1.9388
Epoch 25/1000, Train Loss: 0.7201, Validation Loss: 3.0420
Epoch 26/1000, Train Loss: 0.7128, Validation Loss: 2.7607
Epoch 27/1000, Train Loss: 1.5243, Validation Loss: 3.0425
Epoch 28/1000, Train Loss: 7.4212, Validation Loss: 1.2856
Epoch 29/1000, Train Loss: 0.6831, Validation Loss: 1.6947
Epoch 30/1000, Train Loss: 0.6766, Validation Loss: 2.6475
Epoch 31/1000, Train Loss: 0.6905, Validation Loss: 2.3015
Epoch 32/1000, Train Loss: 0.6618, Validation Loss: 2.0019
Epoch 33/1000, Train Loss: 0.6845, Validation Loss: 1.4846
Epoch 34/1000, Train Loss: 0.6661, Validation Loss: 2.0322
Epoch 35/1000, Train Loss: 0.6669, Validation Loss: 5.6901
Epoch 36/1000, Train Loss: 0.6624, Validation Loss: 0.9561
Epoch 37/1000, Train Loss: 0.6638, Validation Loss: 26.4100
Epoch 38/1000, Train Loss: 0.6575, Validation Loss: 1.2640
Epoch 39/1000, Train Loss: 0.6999, Validation Loss: 1.8260
Epoch 40/1000, Train Loss: 0.6412, Validation Loss: 1.1419
Epoch 41/1000, Train Loss: 0.6401, Validation Loss: 1.8140
Epoch 42/1000, Train Loss: 0.6441, Validation Loss: 3.1575
Epoch 43/1000, Train Loss: 0.6441, Validation Loss: 0.7805
Epoch 44/1000, Train Loss: 4125.2523, Validation Loss: 2.1921
Epoch 45/1000, Train Loss: 0.6497, Validation Loss: 1.0527
Epoch 46/1000, Train Loss: 0.6519, Validation Loss: 4.8482
Epoch 47/1000, Train Loss: 0.6572, Validation Loss: 2.1862
Epoch 48/1000, Train Loss: 0.6249, Validation Loss: 1.0921
Epoch 49/1000, Train Loss: 0.6339, Validation Loss: 0.7601
Epoch 50/1000, Train Loss: 0.6226, Validation Loss: 2.2219
Epoch 51/1000, Train Loss: 0.6348, Validation Loss: 2.3714
Epoch 52/1000, Train Loss: 0.6453, Validation Loss: 1.7138
Epoch 53/1000, Train Loss: 0.6280, Validation Loss: 1.6751
Epoch 54/1000, Train Loss: 0.6201, Validation Loss: 19.5274
Epoch 55/1000, Train Loss: 0.6189, Validation Loss: 1.8083
Epoch 56/1000, Train Loss: 0.6168, Validation Loss: 0.6607
Epoch 57/1000, Train Loss: 0.6592, Validation Loss: 0.9302
Epoch 58/1000, Train Loss: 0.6463, Validation Loss: 2.2148
Epoch 59/1000, Train Loss: 0.6094, Validation Loss: 0.9241
Epoch 60/1000, Train Loss: 0.6411, Validation Loss: 2.1544
Epoch 61/1000, Train Loss: 0.6127, Validation Loss: 3.9394
Epoch 62/1000, Train Loss: 0.6051, Validation Loss: 1.3659
Epoch 63/1000, Train Loss: 0.5934, Validation Loss: 0.7343
Epoch 64/1000, Train Loss: 0.5994, Validation Loss: 14.3757
Epoch 65/1000, Train Loss: 0.6160, Validation Loss: 1.7353
Epoch 66/1000, Train Loss: 1.3834, Validation Loss: 1.9032
Epoch 67/1000, Train Loss: 0.7970, Validation Loss: 0.7720
Epoch 68/1000, Train Loss: 0.5959, Validation Loss: 3.5967
Epoch 69/1000, Train Loss: 0.6036, Validation Loss: 2.4029
Epoch 70/1000, Train Loss: 0.6276, Validation Loss: 1.4709
Epoch 71/1000, Train Loss: 0.5860, Validation Loss: 2.3093
Epoch 72/1000, Train Loss: 0.5953, Validation Loss: 1.0450
Epoch 73/1000, Train Loss: 0.6006, Validation Loss: 1.9771
Epoch 74/1000, Train Loss: 0.6248, Validation Loss: 2.4378
Epoch 75/1000, Train Loss: 0.5814, Validation Loss: 1.2892
Epoch 76/1000, Train Loss: 0.5832, Validation Loss: 2.0504
Epoch 77/1000, Train Loss: 0.5797, Validation Loss: 1.3278
Epoch 78/1000, Train Loss: 0.8177, Validation Loss: 1.8521
Epoch 79/1000, Train Loss: 0.6505, Validation Loss: 1.1092
Epoch 80/1000, Train Loss: 0.5784, Validation Loss: 1.4518
Epoch 81/1000, Train Loss: 0.5732, Validation Loss: 3.3123
Epoch 82/1000, Train Loss: 0.5769, Validation Loss: 14.0938
