Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-2pqaf5kv
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.3472, Validation Loss: 1.4402
Epoch 2/1000, Train Loss: 1.3297, Validation Loss: 3.2146
Epoch 3/1000, Train Loss: 1.2447, Validation Loss: 2.9464
Epoch 4/1000, Train Loss: 1.1651, Validation Loss: 1.2568
Epoch 5/1000, Train Loss: 1.0951, Validation Loss: 1.1830
Epoch 6/1000, Train Loss: 1.1342, Validation Loss: 1.5858
Epoch 7/1000, Train Loss: 1.0652, Validation Loss: 1.6149
Epoch 8/1000, Train Loss: 1.0393, Validation Loss: 1.0623
Epoch 9/1000, Train Loss: 1.0990, Validation Loss: 3.6081
Epoch 10/1000, Train Loss: 1.0165, Validation Loss: 1.4890
Epoch 11/1000, Train Loss: 1.0449, Validation Loss: 1.8216
Epoch 12/1000, Train Loss: 0.9582, Validation Loss: 2.9299
Epoch 13/1000, Train Loss: 0.9628, Validation Loss: 1.8631
Epoch 14/1000, Train Loss: 3.3961, Validation Loss: 1.4798
Epoch 15/1000, Train Loss: 0.9169, Validation Loss: 20.8178
Epoch 16/1000, Train Loss: 0.9144, Validation Loss: 5.6997
Epoch 17/1000, Train Loss: 1.0763, Validation Loss: 5.9852
Epoch 18/1000, Train Loss: 1.0971, Validation Loss: 1.4861
Epoch 19/1000, Train Loss: 3.5948, Validation Loss: 1.7611
Epoch 20/1000, Train Loss: 0.8704, Validation Loss: 2.3170
Epoch 21/1000, Train Loss: 0.8215, Validation Loss: 3.9493
Epoch 22/1000, Train Loss: 1584.8191, Validation Loss: 0.7940
Epoch 23/1000, Train Loss: 0.8565, Validation Loss: 0.9879
Epoch 24/1000, Train Loss: 0.8449, Validation Loss: 0.8489
Epoch 25/1000, Train Loss: 0.8529, Validation Loss: 1.3620
Epoch 26/1000, Train Loss: 0.8597, Validation Loss: 6.1214
Epoch 27/1000, Train Loss: 0.8146, Validation Loss: 1.1388
Epoch 28/1000, Train Loss: 1.6465, Validation Loss: 2.8028
Epoch 29/1000, Train Loss: 2.2269, Validation Loss: 2.7924
Epoch 30/1000, Train Loss: 0.8255, Validation Loss: 5.8476
Epoch 31/1000, Train Loss: 4.0704, Validation Loss: 1.5037
Epoch 32/1000, Train Loss: 0.7984, Validation Loss: 2.6652
Epoch 33/1000, Train Loss: 0.7838, Validation Loss: 1.9341
Epoch 34/1000, Train Loss: 0.7774, Validation Loss: 0.9894
Epoch 35/1000, Train Loss: 2.7384, Validation Loss: 2.7758
Epoch 36/1000, Train Loss: 0.7969, Validation Loss: 1.9972
Epoch 37/1000, Train Loss: 0.8354, Validation Loss: 1.2671
Epoch 38/1000, Train Loss: 0.7508, Validation Loss: 1.9835
Epoch 39/1000, Train Loss: 0.8010, Validation Loss: 1.4618
Epoch 40/1000, Train Loss: 0.7591, Validation Loss: 2.5229
Epoch 41/1000, Train Loss: 0.7420, Validation Loss: 3.2052
Epoch 42/1000, Train Loss: 0.7528, Validation Loss: 3.5904
Epoch 43/1000, Train Loss: 0.7743, Validation Loss: 0.8483
Epoch 44/1000, Train Loss: 0.7505, Validation Loss: 2.6782
Epoch 45/1000, Train Loss: 0.8045, Validation Loss: 2.3913
Epoch 46/1000, Train Loss: 0.7444, Validation Loss: 0.9583
Epoch 47/1000, Train Loss: 0.7569, Validation Loss: 2.1662
Epoch 48/1000, Train Loss: 0.7786, Validation Loss: 2.0061
Epoch 49/1000, Train Loss: 0.7295, Validation Loss: 2.1993
Epoch 50/1000, Train Loss: 0.7991, Validation Loss: 2.7295
Epoch 51/1000, Train Loss: 0.7564, Validation Loss: 1.0458
Epoch 52/1000, Train Loss: 0.7273, Validation Loss: 2.8485
Epoch 53/1000, Train Loss: 0.7571, Validation Loss: 1.6248
Epoch 54/1000, Train Loss: 2.0622, Validation Loss: 1.0388
Epoch 55/1000, Train Loss: 0.7288, Validation Loss: 0.8017
Epoch 56/1000, Train Loss: 0.7668, Validation Loss: 1.1752
Epoch 57/1000, Train Loss: 0.7198, Validation Loss: 3.4878
Epoch 58/1000, Train Loss: 0.7111, Validation Loss: 1.1371
Epoch 59/1000, Train Loss: 0.9598, Validation Loss: 1.8984
Epoch 60/1000, Train Loss: 0.7474, Validation Loss: 2.3896
Epoch 61/1000, Train Loss: 0.7357, Validation Loss: 0.8564
Epoch 62/1000, Train Loss: 0.7349, Validation Loss: 23618.4748
Epoch 63/1000, Train Loss: 10.7252, Validation Loss: 2.9640
Epoch 64/1000, Train Loss: 0.7179, Validation Loss: 1.1442
Epoch 65/1000, Train Loss: 0.7180, Validation Loss: 0.7273
Epoch 66/1000, Train Loss: 0.7193, Validation Loss: 3.1978
Epoch 67/1000, Train Loss: 0.7879, Validation Loss: 1.9812
Epoch 68/1000, Train Loss: 0.7363, Validation Loss: 2.2421
Epoch 69/1000, Train Loss: 0.7178, Validation Loss: 6.1386
Epoch 70/1000, Train Loss: 0.7811, Validation Loss: 2.3738
Epoch 71/1000, Train Loss: 0.7154, Validation Loss: 1.8300
Epoch 72/1000, Train Loss: 0.7265, Validation Loss: 1.7126
Epoch 73/1000, Train Loss: 0.7226, Validation Loss: 1.3061
Epoch 74/1000, Train Loss: 0.7065, Validation Loss: 0.6519
Epoch 75/1000, Train Loss: 0.7278, Validation Loss: 3.0374
Epoch 76/1000, Train Loss: 0.7378, Validation Loss: 4.8788
Epoch 77/1000, Train Loss: 0.7122, Validation Loss: 1.4585
Epoch 78/1000, Train Loss: 0.7943, Validation Loss: 0.6899
Epoch 79/1000, Train Loss: 0.7081, Validation Loss: 0.7091
Epoch 80/1000, Train Loss: 0.7106, Validation Loss: 0.7350
Epoch 81/1000, Train Loss: 0.7476, Validation Loss: 4.0980
Epoch 82/1000, Train Loss: 0.7061, Validation Loss: 1.2654
Epoch 83/1000, Train Loss: 0.6960, Validation Loss: 1.6518
Epoch 84/1000, Train Loss: 0.8554, Validation Loss: 0.6953
Epoch 85/1000, Train Loss: 0.6885, Validation Loss: 7.3262
Epoch 86/1000, Train Loss: 0.6965, Validation Loss: 0.8068
Epoch 87/1000, Train Loss: 0.6933, Validation Loss: 1.2515
Epoch 88/1000, Train Loss: 0.8090, Validation Loss: 5.0782
Epoch 89/1000, Train Loss: 0.7073, Validation Loss: 1.6144
Epoch 90/1000, Train Loss: 0.7308, Validation Loss: 1.9761
Epoch 91/1000, Train Loss: 0.8272, Validation Loss: 0.8046
Epoch 92/1000, Train Loss: 0.6961, Validation Loss: 1.0979
Epoch 93/1000, Train Loss: 0.7153, Validation Loss: 1.7013
