Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-qt7sz6h0
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 15.8454, Validation Loss: 1.7634
Epoch 2/1000, Train Loss: 1.5203, Validation Loss: 3.8072
Epoch 3/1000, Train Loss: 1.3150, Validation Loss: 2.1573
Epoch 4/1000, Train Loss: 1.2023, Validation Loss: 1.7407
Epoch 5/1000, Train Loss: 1.1999, Validation Loss: 1.9203
Epoch 6/1000, Train Loss: 1.1590, Validation Loss: 2.3153
Epoch 7/1000, Train Loss: 1.1419, Validation Loss: 1.6945
Epoch 8/1000, Train Loss: 1.1505, Validation Loss: 3.6622
Epoch 9/1000, Train Loss: 1.0126, Validation Loss: 1.0630
Epoch 10/1000, Train Loss: 1.1144, Validation Loss: 1.1950
Epoch 11/1000, Train Loss: 0.9904, Validation Loss: 1.8036
Epoch 12/1000, Train Loss: 1.0326, Validation Loss: 0.8515
Epoch 13/1000, Train Loss: 0.9880, Validation Loss: 2.6833
Epoch 14/1000, Train Loss: 0.9532, Validation Loss: 3.1666
Epoch 15/1000, Train Loss: 0.9672, Validation Loss: 1.8892
Epoch 16/1000, Train Loss: 0.9738, Validation Loss: 2.4258
Epoch 17/1000, Train Loss: 0.9255, Validation Loss: 1.3825
Epoch 18/1000, Train Loss: 0.9758, Validation Loss: 1.1462
Epoch 19/1000, Train Loss: 0.9354, Validation Loss: 1.0010
Epoch 20/1000, Train Loss: 0.8852, Validation Loss: 1.0296
Epoch 21/1000, Train Loss: 0.9039, Validation Loss: 1.3543
Epoch 22/1000, Train Loss: 0.9789, Validation Loss: 1.0129
Epoch 23/1000, Train Loss: 0.9539, Validation Loss: 1.7542
Epoch 24/1000, Train Loss: 0.9352, Validation Loss: 0.8494
Epoch 25/1000, Train Loss: 0.9149, Validation Loss: 1.2219
Epoch 26/1000, Train Loss: 0.9868, Validation Loss: 2.5802
Epoch 27/1000, Train Loss: 1.0345, Validation Loss: 0.8765
Epoch 28/1000, Train Loss: 0.9914, Validation Loss: 1.0079
Epoch 29/1000, Train Loss: 0.8956, Validation Loss: 1.6804
Epoch 30/1000, Train Loss: 0.8947, Validation Loss: 0.7822
Epoch 31/1000, Train Loss: 0.9077, Validation Loss: 1.2223
Epoch 32/1000, Train Loss: 0.9255, Validation Loss: 1.7324
Epoch 33/1000, Train Loss: 0.9230, Validation Loss: 2.2461
Epoch 34/1000, Train Loss: 1.1068, Validation Loss: 2.3352
Epoch 35/1000, Train Loss: 1.0595, Validation Loss: 6.1556
Epoch 36/1000, Train Loss: 0.9834, Validation Loss: 1.0258
Epoch 37/1000, Train Loss: 0.8954, Validation Loss: 1.8406
Epoch 38/1000, Train Loss: 0.9383, Validation Loss: 0.8202
Epoch 39/1000, Train Loss: 0.9085, Validation Loss: 2.7791
Epoch 40/1000, Train Loss: 0.9067, Validation Loss: 1.4154
Epoch 41/1000, Train Loss: 0.9485, Validation Loss: 1.3738
Epoch 42/1000, Train Loss: 0.9642, Validation Loss: 1.4183
Epoch 43/1000, Train Loss: 0.9194, Validation Loss: 1.1092
Epoch 44/1000, Train Loss: 0.8950, Validation Loss: 1.0627
Epoch 45/1000, Train Loss: 0.9086, Validation Loss: 1.0144
Epoch 46/1000, Train Loss: 0.9140, Validation Loss: 1.1068
Epoch 47/1000, Train Loss: 0.8751, Validation Loss: 1.3517
Epoch 48/1000, Train Loss: 0.8767, Validation Loss: 0.8845
Epoch 49/1000, Train Loss: 0.8421, Validation Loss: 0.9300
Epoch 50/1000, Train Loss: 0.8910, Validation Loss: 1.4744
Epoch 51/1000, Train Loss: 0.8808, Validation Loss: 1.4819
Epoch 52/1000, Train Loss: 0.8443, Validation Loss: 1.1842
Epoch 53/1000, Train Loss: 2.1016, Validation Loss: 1.7794
Epoch 54/1000, Train Loss: 0.8546, Validation Loss: 1.2630
Epoch 55/1000, Train Loss: 0.8363, Validation Loss: 1.4146
Epoch 56/1000, Train Loss: 0.8480, Validation Loss: 3.2396
Epoch 57/1000, Train Loss: 0.8471, Validation Loss: 0.9608
Epoch 58/1000, Train Loss: 0.8407, Validation Loss: 1.5232
Epoch 59/1000, Train Loss: 0.8292, Validation Loss: 1.1458
Epoch 60/1000, Train Loss: 0.8181, Validation Loss: 3.0227
Epoch 61/1000, Train Loss: 0.8179, Validation Loss: 0.7166
Epoch 62/1000, Train Loss: 104.8479, Validation Loss: 1.4517
Epoch 63/1000, Train Loss: 0.8356, Validation Loss: 0.9009
Epoch 64/1000, Train Loss: 0.8511, Validation Loss: 1.6291
Epoch 65/1000, Train Loss: 0.8403, Validation Loss: 1.0474
Epoch 66/1000, Train Loss: 0.7885, Validation Loss: 1.5651
Epoch 67/1000, Train Loss: 0.7965, Validation Loss: 4.3411
Epoch 68/1000, Train Loss: 0.7686, Validation Loss: 1.0586
Epoch 69/1000, Train Loss: 0.7594, Validation Loss: 1.1132
Epoch 70/1000, Train Loss: 0.8391, Validation Loss: 1.0740
Epoch 71/1000, Train Loss: 0.7393, Validation Loss: 1.0592
Epoch 72/1000, Train Loss: 0.7713, Validation Loss: 1.0669
Epoch 73/1000, Train Loss: 0.8200, Validation Loss: 0.9469
Epoch 74/1000, Train Loss: 0.7990, Validation Loss: 1.2832
Epoch 75/1000, Train Loss: 0.7441, Validation Loss: 1.1126
Epoch 76/1000, Train Loss: 0.7595, Validation Loss: 4.5392
Epoch 77/1000, Train Loss: 0.7226, Validation Loss: 1.8045
Epoch 78/1000, Train Loss: 0.7449, Validation Loss: 1.6675
Epoch 79/1000, Train Loss: 0.7772, Validation Loss: 4.6115
Epoch 80/1000, Train Loss: 44.8012, Validation Loss: 0.8366
Epoch 81/1000, Train Loss: 0.9035, Validation Loss: 2.2121
Epoch 82/1000, Train Loss: 0.7461, Validation Loss: 0.9206
Epoch 83/1000, Train Loss: 0.7313, Validation Loss: 0.9967
Epoch 84/1000, Train Loss: 0.7744, Validation Loss: 0.9258
Epoch 85/1000, Train Loss: 0.6952, Validation Loss: 1.6133
Epoch 86/1000, Train Loss: 0.7051, Validation Loss: 1.6128
Epoch 87/1000, Train Loss: 0.7041, Validation Loss: 1.9788
Epoch 88/1000, Train Loss: 0.7175, Validation Loss: 5.4192
Epoch 89/1000, Train Loss: 0.7006, Validation Loss: 0.9490
Epoch 90/1000, Train Loss: 0.6990, Validation Loss: 4.4805
Epoch 91/1000, Train Loss: 0.7079, Validation Loss: 0.7899
Epoch 92/1000, Train Loss: 0.6737, Validation Loss: 0.7392
Epoch 93/1000, Train Loss: 0.7135, Validation Loss: 2.9206
Epoch 94/1000, Train Loss: 0.6977, Validation Loss: 1.0054
Epoch 95/1000, Train Loss: 0.7291, Validation Loss: 3.2951
Epoch 96/1000, Train Loss: 0.8903, Validation Loss: 1.1350
Epoch 97/1000, Train Loss: 0.6900, Validation Loss: 2.5328
Epoch 98/1000, Train Loss: 0.6645, Validation Loss: 0.8372
Epoch 99/1000, Train Loss: 0.6620, Validation Loss: 1.1836
Epoch 100/1000, Train Loss: 0.6816, Validation Loss: 1.1267
Epoch 101/1000, Train Loss: 0.6878, Validation Loss: 2.1722
Epoch 102/1000, Train Loss: 1.9539, Validation Loss: 4.6319
Epoch 103/1000, Train Loss: 0.9900, Validation Loss: 1.9345
Epoch 104/1000, Train Loss: 0.7498, Validation Loss: 2.2830
Epoch 105/1000, Train Loss: 0.6739, Validation Loss: 2.5665
Epoch 106/1000, Train Loss: 0.6958, Validation Loss: 2.0518
Epoch 107/1000, Train Loss: 0.6804, Validation Loss: 2.4071
Epoch 108/1000, Train Loss: 0.6641, Validation Loss: 2.8021
Epoch 109/1000, Train Loss: 0.6695, Validation Loss: 4.7708
Epoch 110/1000, Train Loss: 0.6460, Validation Loss: 1.2700
Epoch 111/1000, Train Loss: 0.6777, Validation Loss: 1.6314
Epoch 112/1000, Train Loss: 2.2794, Validation Loss: 1.4049
Epoch 113/1000, Train Loss: 0.8999, Validation Loss: 0.7191
Epoch 114/1000, Train Loss: 0.6778, Validation Loss: 3.3521
Epoch 115/1000, Train Loss: 0.6462, Validation Loss: 3.5476
Epoch 116/1000, Train Loss: 0.6596, Validation Loss: 1.9223
Epoch 117/1000, Train Loss: 0.6628, Validation Loss: 3.6678
Epoch 118/1000, Train Loss: 27.6741, Validation Loss: 2.3968
Epoch 119/1000, Train Loss: 0.6273, Validation Loss: 1.5297
Epoch 120/1000, Train Loss: 0.6309, Validation Loss: 3.4538
Epoch 121/1000, Train Loss: 0.6473, Validation Loss: 3.3614
Epoch 122/1000, Train Loss: 0.6515, Validation Loss: 1.3358
