Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-pd3g1g55
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 7.8189, Validation Loss: 1.6935
Epoch 2/1000, Train Loss: 1.3895, Validation Loss: 1.6092
Epoch 3/1000, Train Loss: 1.2458, Validation Loss: 2.3381
Epoch 4/1000, Train Loss: 1.1393, Validation Loss: 1.6627
Epoch 5/1000, Train Loss: 1.1085, Validation Loss: 1.1345
Epoch 6/1000, Train Loss: 1.1383, Validation Loss: 2.1839
Epoch 7/1000, Train Loss: 1.0906, Validation Loss: 2.4600
Epoch 8/1000, Train Loss: 1.1193, Validation Loss: 1.5681
Epoch 9/1000, Train Loss: 1.1158, Validation Loss: 0.9816
Epoch 10/1000, Train Loss: 1.1211, Validation Loss: 2.3077
Epoch 11/1000, Train Loss: 1.0871, Validation Loss: 1.8310
Epoch 12/1000, Train Loss: 1.0661, Validation Loss: 1.2147
Epoch 13/1000, Train Loss: 1.1135, Validation Loss: 1.1418
Epoch 14/1000, Train Loss: 1.2014, Validation Loss: 1.0966
Epoch 15/1000, Train Loss: 1.0271, Validation Loss: 1.0766
Epoch 16/1000, Train Loss: 1.3551, Validation Loss: 0.9751
Epoch 17/1000, Train Loss: 0.9914, Validation Loss: 1.5873
Epoch 18/1000, Train Loss: 0.9717, Validation Loss: 0.8596
Epoch 19/1000, Train Loss: 1.1367, Validation Loss: 1.2111
Epoch 20/1000, Train Loss: 1.0179, Validation Loss: 0.9584
Epoch 21/1000, Train Loss: 0.9729, Validation Loss: 1.3557
Epoch 22/1000, Train Loss: 0.9576, Validation Loss: 2.4292
Epoch 23/1000, Train Loss: 20.4057, Validation Loss: 0.8408
Epoch 24/1000, Train Loss: 0.9391, Validation Loss: 0.9318
Epoch 25/1000, Train Loss: 0.9490, Validation Loss: 1.3356
Epoch 26/1000, Train Loss: 0.9748, Validation Loss: 3.9802
Epoch 27/1000, Train Loss: 0.9887, Validation Loss: 3.1922
Epoch 28/1000, Train Loss: 0.9577, Validation Loss: 0.7744
Epoch 29/1000, Train Loss: 0.9169, Validation Loss: 1.8941
Epoch 30/1000, Train Loss: 0.8941, Validation Loss: 1.9506
Epoch 31/1000, Train Loss: 0.8760, Validation Loss: 2.6372
Epoch 32/1000, Train Loss: 1.3461, Validation Loss: 2.7071
Epoch 33/1000, Train Loss: 0.8698, Validation Loss: 1.1323
Epoch 34/1000, Train Loss: 0.8345, Validation Loss: 2.7783
Epoch 35/1000, Train Loss: 0.8533, Validation Loss: 0.9292
Epoch 36/1000, Train Loss: 0.9710, Validation Loss: 1.0855
Epoch 37/1000, Train Loss: 0.8046, Validation Loss: 1.2103
Epoch 38/1000, Train Loss: 0.8514, Validation Loss: 0.8670
Epoch 39/1000, Train Loss: 0.8124, Validation Loss: 1.2146
Epoch 40/1000, Train Loss: 0.8172, Validation Loss: 1.2657
Epoch 41/1000, Train Loss: 0.8270, Validation Loss: 1.0971
Epoch 42/1000, Train Loss: 0.7873, Validation Loss: 1.0266
Epoch 43/1000, Train Loss: 0.7756, Validation Loss: 1.3066
Epoch 44/1000, Train Loss: 5.6971, Validation Loss: 1.0696
Epoch 45/1000, Train Loss: 0.8139, Validation Loss: 1.5729
Epoch 46/1000, Train Loss: 1.1749, Validation Loss: 0.9882
Epoch 47/1000, Train Loss: 0.7682, Validation Loss: 1.1450
Epoch 48/1000, Train Loss: 1.5834, Validation Loss: 0.7605
Epoch 49/1000, Train Loss: 0.7927, Validation Loss: 1.1876
Epoch 50/1000, Train Loss: 0.7576, Validation Loss: 1.4287
Epoch 51/1000, Train Loss: 1.3459, Validation Loss: 1.9993
Epoch 52/1000, Train Loss: 0.7880, Validation Loss: 1.1550
Epoch 53/1000, Train Loss: 0.7533, Validation Loss: 1.0202
Epoch 54/1000, Train Loss: 0.7662, Validation Loss: 0.8399
Epoch 55/1000, Train Loss: 339.9126, Validation Loss: 2.3273
Epoch 56/1000, Train Loss: 0.7546, Validation Loss: 1.3903
Epoch 57/1000, Train Loss: 0.7463, Validation Loss: 1.2775
Epoch 58/1000, Train Loss: 0.7536, Validation Loss: 3.3093
Epoch 59/1000, Train Loss: 0.7400, Validation Loss: 0.8756
Epoch 60/1000, Train Loss: 0.7718, Validation Loss: 1.1321
Epoch 61/1000, Train Loss: 0.7757, Validation Loss: 2.1265
Epoch 62/1000, Train Loss: 116.4266, Validation Loss: 5486.3903
Epoch 63/1000, Train Loss: 10.2615, Validation Loss: 0.8902
Epoch 64/1000, Train Loss: 0.7862, Validation Loss: 2.6278
Epoch 65/1000, Train Loss: 0.7554, Validation Loss: 0.8206
Epoch 66/1000, Train Loss: 0.7259, Validation Loss: 1.7854
Epoch 67/1000, Train Loss: 0.7874, Validation Loss: 1.6773
Epoch 68/1000, Train Loss: 0.7764, Validation Loss: 0.8339
Epoch 69/1000, Train Loss: 0.7296, Validation Loss: 1.2467
Epoch 70/1000, Train Loss: 0.7125, Validation Loss: 1.8071
Epoch 71/1000, Train Loss: 0.7210, Validation Loss: 0.8635
Epoch 72/1000, Train Loss: 0.7231, Validation Loss: 1.1572
Epoch 73/1000, Train Loss: 0.7091, Validation Loss: 0.8001
Epoch 74/1000, Train Loss: 1.2685, Validation Loss: 0.8772
Epoch 75/1000, Train Loss: 0.7309, Validation Loss: 1.0277
Epoch 76/1000, Train Loss: 0.7314, Validation Loss: 1.1025
Epoch 77/1000, Train Loss: 0.7690, Validation Loss: 0.8322
