Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-20dxx0c7
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.8925, Validation Loss: 3.1884
Epoch 2/1000, Train Loss: 1.8354, Validation Loss: 3.9537
Epoch 3/1000, Train Loss: 1.7610, Validation Loss: 2.0341
Epoch 4/1000, Train Loss: 1.4760, Validation Loss: 2.5114
Epoch 5/1000, Train Loss: 1.2638, Validation Loss: 2.5621
Epoch 6/1000, Train Loss: 1.4147, Validation Loss: 1.6078
Epoch 7/1000, Train Loss: 1.2507, Validation Loss: 2.8528
Epoch 8/1000, Train Loss: 1.1765, Validation Loss: 2.3316
Epoch 9/1000, Train Loss: 1.0958, Validation Loss: 1.1058
Epoch 10/1000, Train Loss: 1.0642, Validation Loss: 1.4079
Epoch 11/1000, Train Loss: 1.0551, Validation Loss: 1.7387
Epoch 12/1000, Train Loss: 1.0127, Validation Loss: 2.3787
Epoch 13/1000, Train Loss: 1.0059, Validation Loss: 2.3482
Epoch 14/1000, Train Loss: 0.9562, Validation Loss: 1.0478
Epoch 15/1000, Train Loss: 0.9335, Validation Loss: 4.8694
Epoch 16/1000, Train Loss: 0.9163, Validation Loss: 2.9393
Epoch 17/1000, Train Loss: 0.9024, Validation Loss: 1.5183
Epoch 18/1000, Train Loss: 0.9289, Validation Loss: 2.0189
Epoch 19/1000, Train Loss: 0.9085, Validation Loss: 0.8970
Epoch 20/1000, Train Loss: 0.8845, Validation Loss: 1.0216
Epoch 21/1000, Train Loss: 0.8784, Validation Loss: 1.2722
Epoch 22/1000, Train Loss: 0.8668, Validation Loss: 0.9839
Epoch 23/1000, Train Loss: 0.8401, Validation Loss: 0.9802
Epoch 24/1000, Train Loss: 0.8359, Validation Loss: 3.6009
Epoch 25/1000, Train Loss: 0.8104, Validation Loss: 1.7110
Epoch 26/1000, Train Loss: 0.8616, Validation Loss: 1.4756
Epoch 27/1000, Train Loss: 0.8098, Validation Loss: 1.9349
Epoch 28/1000, Train Loss: 0.8012, Validation Loss: 2.7406
Epoch 29/1000, Train Loss: 0.7974, Validation Loss: 1.7996
Epoch 30/1000, Train Loss: 0.8035, Validation Loss: 3.3660
Epoch 31/1000, Train Loss: 0.7395, Validation Loss: 2.5890
Epoch 32/1000, Train Loss: 0.7621, Validation Loss: 3.8499
Epoch 33/1000, Train Loss: 0.7458, Validation Loss: 7.1478
Epoch 34/1000, Train Loss: 0.7490, Validation Loss: 1.0396
Epoch 35/1000, Train Loss: 0.7472, Validation Loss: 0.7346
Epoch 36/1000, Train Loss: 0.7416, Validation Loss: 0.8782
Epoch 37/1000, Train Loss: 0.7252, Validation Loss: 0.6683
Epoch 38/1000, Train Loss: 0.7235, Validation Loss: 2.0146
Epoch 39/1000, Train Loss: 0.7069, Validation Loss: 1.0557
Epoch 40/1000, Train Loss: 0.6830, Validation Loss: 2.7371
Epoch 41/1000, Train Loss: 0.7023, Validation Loss: 0.6448
Epoch 42/1000, Train Loss: 0.6967, Validation Loss: 1.3938
Epoch 43/1000, Train Loss: 0.6766, Validation Loss: 2.3168
Epoch 44/1000, Train Loss: 0.6519, Validation Loss: 4.8812
Epoch 45/1000, Train Loss: 0.6594, Validation Loss: 1.8046
Epoch 46/1000, Train Loss: 0.6535, Validation Loss: 25.7449
Epoch 47/1000, Train Loss: 0.6714, Validation Loss: 1.8447
Epoch 48/1000, Train Loss: 0.6351, Validation Loss: 1.0560
Epoch 49/1000, Train Loss: 0.6458, Validation Loss: 1.2600
Epoch 50/1000, Train Loss: 0.6292, Validation Loss: 0.7803
Epoch 51/1000, Train Loss: 0.6222, Validation Loss: 1.1127
Epoch 52/1000, Train Loss: 0.6416, Validation Loss: 0.9164
Epoch 53/1000, Train Loss: 0.6322, Validation Loss: 1.1118
Epoch 54/1000, Train Loss: 0.6082, Validation Loss: 1.2475
Epoch 55/1000, Train Loss: 0.6272, Validation Loss: 2.1115
Epoch 56/1000, Train Loss: 0.5890, Validation Loss: 2.8519
Epoch 57/1000, Train Loss: 0.5973, Validation Loss: 1.0084
