Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-h7ra7d9a
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 12.6729, Validation Loss: 3.5341
Epoch 2/1000, Train Loss: 1.5564, Validation Loss: 1.5355
Epoch 3/1000, Train Loss: 1.3200, Validation Loss: 3.0251
Epoch 4/1000, Train Loss: 1.2384, Validation Loss: 2.6650
Epoch 5/1000, Train Loss: 1.1752, Validation Loss: 4.6931
Epoch 6/1000, Train Loss: 1.0843, Validation Loss: 2.0517
Epoch 7/1000, Train Loss: 1.0468, Validation Loss: 11.6403
Epoch 8/1000, Train Loss: 1.0190, Validation Loss: 1.1700
Epoch 9/1000, Train Loss: 1.0690, Validation Loss: 1.3218
Epoch 10/1000, Train Loss: 0.9998, Validation Loss: 1.7262
Epoch 11/1000, Train Loss: 1.0122, Validation Loss: 4.9025
Epoch 12/1000, Train Loss: 1.0117, Validation Loss: 2.6223
Epoch 13/1000, Train Loss: 1.0481, Validation Loss: 3.9997
Epoch 14/1000, Train Loss: 0.9870, Validation Loss: 1.6252
Epoch 15/1000, Train Loss: 0.9556, Validation Loss: 1.2600
Epoch 16/1000, Train Loss: 0.9142, Validation Loss: 1.2710
Epoch 17/1000, Train Loss: 0.9274, Validation Loss: 0.9739
Epoch 18/1000, Train Loss: 0.9508, Validation Loss: 0.9157
Epoch 19/1000, Train Loss: 0.8870, Validation Loss: 0.8759
Epoch 20/1000, Train Loss: 0.8803, Validation Loss: 1.9260
Epoch 21/1000, Train Loss: 0.8883, Validation Loss: 2.7830
Epoch 22/1000, Train Loss: 0.8278, Validation Loss: 3.9809
Epoch 23/1000, Train Loss: 0.8360, Validation Loss: 1.3187
Epoch 24/1000, Train Loss: 0.8160, Validation Loss: 1.7274
Epoch 25/1000, Train Loss: 0.7887, Validation Loss: 2.5888
Epoch 26/1000, Train Loss: 0.7559, Validation Loss: 1.1056
Epoch 27/1000, Train Loss: 0.7588, Validation Loss: 0.9511
Epoch 28/1000, Train Loss: 0.7545, Validation Loss: 2.0550
Epoch 29/1000, Train Loss: 3412.1091, Validation Loss: 6.2547
Epoch 30/1000, Train Loss: 0.7476, Validation Loss: 2.4996
Epoch 31/1000, Train Loss: 0.7220, Validation Loss: 3.9527
Epoch 32/1000, Train Loss: 0.7354, Validation Loss: 3.2998
Epoch 33/1000, Train Loss: 0.7280, Validation Loss: 2.8976
Epoch 34/1000, Train Loss: 0.7110, Validation Loss: 1.0243
Epoch 35/1000, Train Loss: 0.7185, Validation Loss: 6.1299
Epoch 36/1000, Train Loss: 0.6727, Validation Loss: 35.1545
Epoch 37/1000, Train Loss: 0.9087, Validation Loss: 1.0181
Epoch 38/1000, Train Loss: 0.6997, Validation Loss: 1.3977
Epoch 39/1000, Train Loss: 0.6939, Validation Loss: 1.1612
Epoch 40/1000, Train Loss: 0.6924, Validation Loss: 1.1634
Epoch 41/1000, Train Loss: 0.6774, Validation Loss: 0.9115
Epoch 42/1000, Train Loss: 0.6749, Validation Loss: 7.1801
Epoch 43/1000, Train Loss: 9.1406, Validation Loss: 3.4208
