Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-31t1hwif
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.2144, Validation Loss: 1.3978
Epoch 2/1000, Train Loss: 1.4609, Validation Loss: 1.4766
Epoch 3/1000, Train Loss: 1.3389, Validation Loss: 14.8571
Epoch 4/1000, Train Loss: 1.3130, Validation Loss: 1.2195
Epoch 5/1000, Train Loss: 1.2584, Validation Loss: 1.8048
Epoch 6/1000, Train Loss: 1.2070, Validation Loss: 1.7831
Epoch 7/1000, Train Loss: 1.1853, Validation Loss: 1.9891
Epoch 8/1000, Train Loss: 1.1964, Validation Loss: 1.3744
Epoch 9/1000, Train Loss: 1.1309, Validation Loss: 1.2713
Epoch 10/1000, Train Loss: 1.2313, Validation Loss: 0.9484
Epoch 11/1000, Train Loss: 1.1365, Validation Loss: 2.0747
Epoch 12/1000, Train Loss: 1.1284, Validation Loss: 4.2871
Epoch 13/1000, Train Loss: 1.2099, Validation Loss: 4.1692
Epoch 14/1000, Train Loss: 1.0710, Validation Loss: 1.3188
Epoch 15/1000, Train Loss: 1.1064, Validation Loss: 1.5187
Epoch 16/1000, Train Loss: 1.0715, Validation Loss: 1.2495
Epoch 17/1000, Train Loss: 1.2431, Validation Loss: 3.3303
Epoch 18/1000, Train Loss: 1.5165, Validation Loss: 2.6313
Epoch 19/1000, Train Loss: 1.0307, Validation Loss: 3.3444
Epoch 20/1000, Train Loss: 1.0233, Validation Loss: 1.3636
Epoch 21/1000, Train Loss: 1.1165, Validation Loss: 1.0420
Epoch 22/1000, Train Loss: 0.9929, Validation Loss: 1.1159
Epoch 23/1000, Train Loss: 0.9322, Validation Loss: 1.3694
Epoch 24/1000, Train Loss: 1.0181, Validation Loss: 0.8422
Epoch 25/1000, Train Loss: 1.3327, Validation Loss: 1.6705
Epoch 26/1000, Train Loss: 0.9224, Validation Loss: 4.1368
Epoch 27/1000, Train Loss: 0.9998, Validation Loss: 1.5005
