Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-0ti2s7up
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.1670, Validation Loss: 3.8792
Epoch 2/1000, Train Loss: 1.3940, Validation Loss: 1.3392
Epoch 3/1000, Train Loss: 1.2537, Validation Loss: 3.1135
Epoch 4/1000, Train Loss: 1.2141, Validation Loss: 1.1348
Epoch 5/1000, Train Loss: 1.1678, Validation Loss: 2.4857
Epoch 6/1000, Train Loss: 1.1300, Validation Loss: 2.8502
Epoch 7/1000, Train Loss: 1.1750, Validation Loss: 1.2080
Epoch 8/1000, Train Loss: 1.1173, Validation Loss: 1.3507
Epoch 9/1000, Train Loss: 1.1099, Validation Loss: 1.2279
Epoch 10/1000, Train Loss: 1.1256, Validation Loss: 2.7816
Epoch 11/1000, Train Loss: 1.0307, Validation Loss: 0.9410
Epoch 12/1000, Train Loss: 1.0887, Validation Loss: 1.1493
Epoch 13/1000, Train Loss: 1.0907, Validation Loss: 1.3504
Epoch 14/1000, Train Loss: 1.0644, Validation Loss: 2.0363
Epoch 15/1000, Train Loss: 1.0478, Validation Loss: 2.7120
Epoch 16/1000, Train Loss: 1.1395, Validation Loss: 1.7393
Epoch 17/1000, Train Loss: 1.0138, Validation Loss: 1.1925
Epoch 18/1000, Train Loss: 1.0070, Validation Loss: 2.1897
Epoch 19/1000, Train Loss: 0.9473, Validation Loss: 1.0686
Epoch 20/1000, Train Loss: 1.2009, Validation Loss: 1.0825
Epoch 21/1000, Train Loss: 0.9484, Validation Loss: 3.5656
Epoch 22/1000, Train Loss: 0.9282, Validation Loss: 1.9635
Epoch 23/1000, Train Loss: 0.9064, Validation Loss: 4.5483
Epoch 24/1000, Train Loss: 0.9200, Validation Loss: 1.6391
Epoch 25/1000, Train Loss: 0.9831, Validation Loss: 1.0074
Epoch 26/1000, Train Loss: 0.8983, Validation Loss: 1.1670
Epoch 27/1000, Train Loss: 0.8783, Validation Loss: 1.0080
Epoch 28/1000, Train Loss: 0.8872, Validation Loss: 1.3818
Epoch 29/1000, Train Loss: 0.8591, Validation Loss: 0.9164
Epoch 30/1000, Train Loss: 0.8609, Validation Loss: 2.1167
Epoch 31/1000, Train Loss: 0.8450, Validation Loss: 3.2330
Epoch 32/1000, Train Loss: 0.8524, Validation Loss: 1.3040
Epoch 33/1000, Train Loss: 0.8376, Validation Loss: 1.0545
Epoch 34/1000, Train Loss: 0.8293, Validation Loss: 1.3880
Epoch 35/1000, Train Loss: 0.8246, Validation Loss: 1.4857
Epoch 36/1000, Train Loss: 0.8224, Validation Loss: 0.8780
Epoch 37/1000, Train Loss: 0.8516, Validation Loss: 0.8640
Epoch 38/1000, Train Loss: 0.8289, Validation Loss: 1.2386
Epoch 39/1000, Train Loss: 0.8102, Validation Loss: 0.8368
Epoch 40/1000, Train Loss: 0.8102, Validation Loss: 1.0148
Epoch 41/1000, Train Loss: 0.8081, Validation Loss: 1.1744
Epoch 42/1000, Train Loss: 0.8557, Validation Loss: 1.7001
Epoch 43/1000, Train Loss: 0.7852, Validation Loss: 1.7806
Epoch 44/1000, Train Loss: 0.7998, Validation Loss: 4.8098
Epoch 45/1000, Train Loss: 0.8456, Validation Loss: 3.4921
