Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-0ea48n1k
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 10.5759, Validation Loss: 2.5336
Epoch 2/1000, Train Loss: 1.4441, Validation Loss: 1.6024
Epoch 3/1000, Train Loss: 1.2738, Validation Loss: 1.3693
Epoch 4/1000, Train Loss: 1.2977, Validation Loss: 1.6661
Epoch 5/1000, Train Loss: 1.1998, Validation Loss: 1.2848
Epoch 6/1000, Train Loss: 1.1216, Validation Loss: 2.2484
Epoch 7/1000, Train Loss: 1.1362, Validation Loss: 1.4043
Epoch 8/1000, Train Loss: 1.0641, Validation Loss: 1.7838
Epoch 9/1000, Train Loss: 0.9833, Validation Loss: 2.5376
Epoch 10/1000, Train Loss: 234.3431, Validation Loss: 1.0706
Epoch 11/1000, Train Loss: 1.0297, Validation Loss: 2.5206
Epoch 12/1000, Train Loss: 1.0156, Validation Loss: 2.2772
Epoch 13/1000, Train Loss: 20.0166, Validation Loss: 1.5997
Epoch 14/1000, Train Loss: 1.7013, Validation Loss: 1.6976
Epoch 15/1000, Train Loss: 0.9694, Validation Loss: 11.9207
Epoch 16/1000, Train Loss: 0.9714, Validation Loss: 0.9816
Epoch 17/1000, Train Loss: 14.7049, Validation Loss: 0.8728
Epoch 18/1000, Train Loss: 0.9118, Validation Loss: 0.9759
Epoch 19/1000, Train Loss: 13.2033, Validation Loss: 2.4740
Epoch 20/1000, Train Loss: 0.9100, Validation Loss: 2.6355
Epoch 21/1000, Train Loss: 1.7557, Validation Loss: 5548.6603
Epoch 22/1000, Train Loss: 1.9906, Validation Loss: 30.2097
Epoch 23/1000, Train Loss: 0.8466, Validation Loss: 42.8158
Epoch 24/1000, Train Loss: 0.8205, Validation Loss: 2.6863
Epoch 25/1000, Train Loss: 0.8595, Validation Loss: 1.6699
Epoch 26/1000, Train Loss: 345.0045, Validation Loss: 3.5937
Epoch 27/1000, Train Loss: 1.4021, Validation Loss: 1.2103
Epoch 28/1000, Train Loss: 0.8478, Validation Loss: 1.6074
Epoch 29/1000, Train Loss: 0.8225, Validation Loss: 2.7975
Epoch 30/1000, Train Loss: 0.7835, Validation Loss: 3.3903
Epoch 31/1000, Train Loss: 11.4935, Validation Loss: 2.9591
Epoch 32/1000, Train Loss: 0.7965, Validation Loss: 1.4612
Epoch 33/1000, Train Loss: 1.2453, Validation Loss: 2.0138
Epoch 34/1000, Train Loss: 11.2400, Validation Loss: 0.8186
Epoch 35/1000, Train Loss: 0.7897, Validation Loss: 1.5253
Epoch 36/1000, Train Loss: 659.9586, Validation Loss: 6.4658
Epoch 37/1000, Train Loss: 0.7676, Validation Loss: 2.6234
Epoch 38/1000, Train Loss: 0.7514, Validation Loss: 2.7660
Epoch 39/1000, Train Loss: 0.7501, Validation Loss: 1.2664
Epoch 40/1000, Train Loss: 6.2004, Validation Loss: 1.0735
Epoch 41/1000, Train Loss: 0.7397, Validation Loss: 3.8035
Epoch 42/1000, Train Loss: 0.7867, Validation Loss: 3.5668
Epoch 43/1000, Train Loss: 0.7321, Validation Loss: 1.4850
Epoch 44/1000, Train Loss: 0.8494, Validation Loss: 1.0538
Epoch 45/1000, Train Loss: 0.7748, Validation Loss: 2.6968
Epoch 46/1000, Train Loss: 0.7150, Validation Loss: 1.1812
Epoch 47/1000, Train Loss: 0.8433, Validation Loss: 5.1418
Epoch 48/1000, Train Loss: 0.7790, Validation Loss: 3.6113
Epoch 49/1000, Train Loss: 2.8621, Validation Loss: 1.4222
Epoch 50/1000, Train Loss: 0.7478, Validation Loss: 1.5010
Epoch 51/1000, Train Loss: 0.7481, Validation Loss: 1.9205
Epoch 52/1000, Train Loss: 0.7234, Validation Loss: 2.6302
Epoch 53/1000, Train Loss: 0.7336, Validation Loss: 4.4154
Epoch 54/1000, Train Loss: 0.7131, Validation Loss: 2.9619
Epoch 55/1000, Train Loss: 0.7099, Validation Loss: 1.3552
Epoch 56/1000, Train Loss: 236.5493, Validation Loss: 3.0708
Epoch 57/1000, Train Loss: 0.9724, Validation Loss: 1.2654
Epoch 58/1000, Train Loss: 0.7283, Validation Loss: 3.0317
Epoch 59/1000, Train Loss: 0.7364, Validation Loss: 0.9754
Epoch 60/1000, Train Loss: 0.7270, Validation Loss: 2.4048
Epoch 61/1000, Train Loss: 0.7643, Validation Loss: 0.7743
Epoch 62/1000, Train Loss: 0.7036, Validation Loss: 1.4599
Epoch 63/1000, Train Loss: 2593.9847, Validation Loss: 6.2923
Epoch 64/1000, Train Loss: 1.5642, Validation Loss: 2.4475
Epoch 65/1000, Train Loss: 0.7210, Validation Loss: 7.7667
Epoch 66/1000, Train Loss: 0.7080, Validation Loss: 5.0056
Epoch 67/1000, Train Loss: 0.7054, Validation Loss: 5.8621
Epoch 68/1000, Train Loss: 0.6905, Validation Loss: 0.7708
Epoch 69/1000, Train Loss: 0.6911, Validation Loss: 2.9115
Epoch 70/1000, Train Loss: 0.6912, Validation Loss: 4.0839
Epoch 71/1000, Train Loss: 0.6780, Validation Loss: 1.2757
Epoch 72/1000, Train Loss: 65.9908, Validation Loss: 1.1668
Epoch 73/1000, Train Loss: 0.6902, Validation Loss: 1.1700
Epoch 74/1000, Train Loss: 0.6760, Validation Loss: 1.3423
Epoch 75/1000, Train Loss: 1.1425, Validation Loss: 2.6727
Epoch 76/1000, Train Loss: 0.6991, Validation Loss: 2.8036
Epoch 77/1000, Train Loss: 0.6866, Validation Loss: 2.6774
Epoch 78/1000, Train Loss: 0.6890, Validation Loss: 1.4377
Epoch 79/1000, Train Loss: 0.7222, Validation Loss: 3.7499
Epoch 80/1000, Train Loss: 0.6751, Validation Loss: 1.2562
