Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-wbahw5lj
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.3699, Validation Loss: 3.8119
Epoch 2/1000, Train Loss: 1.5805, Validation Loss: 3.7967
Epoch 3/1000, Train Loss: 1.6456, Validation Loss: 1.1382
Epoch 4/1000, Train Loss: 1.4525, Validation Loss: 10.5867
Epoch 5/1000, Train Loss: 1.2584, Validation Loss: 2.1395
Epoch 6/1000, Train Loss: 1.3218, Validation Loss: 1.0735
Epoch 7/1000, Train Loss: 1.2826, Validation Loss: 3.2750
Epoch 8/1000, Train Loss: 1.1672, Validation Loss: 1.1442
Epoch 9/1000, Train Loss: 1.1309, Validation Loss: 1.0602
Epoch 10/1000, Train Loss: 1.1162, Validation Loss: 1.9351
Epoch 11/1000, Train Loss: 1.0907, Validation Loss: 1.0191
Epoch 12/1000, Train Loss: 1.0455, Validation Loss: 1.2950
Epoch 13/1000, Train Loss: 0.9839, Validation Loss: 1.8481
Epoch 14/1000, Train Loss: 1.0100, Validation Loss: 7.7624
Epoch 15/1000, Train Loss: 1.0321, Validation Loss: 1.3277
Epoch 16/1000, Train Loss: 0.9920, Validation Loss: 3.0726
Epoch 17/1000, Train Loss: 0.9819, Validation Loss: 1.7687
Epoch 18/1000, Train Loss: 0.9313, Validation Loss: 1.1523
Epoch 19/1000, Train Loss: 0.9831, Validation Loss: 2.2132
Epoch 20/1000, Train Loss: 0.9619, Validation Loss: 1.9080
Epoch 21/1000, Train Loss: 0.9169, Validation Loss: 0.9655
Epoch 22/1000, Train Loss: 0.9191, Validation Loss: 1.1071
Epoch 23/1000, Train Loss: 0.9127, Validation Loss: 1.1154
Epoch 24/1000, Train Loss: 0.9104, Validation Loss: 2.0385
Epoch 25/1000, Train Loss: 0.8791, Validation Loss: 1.1021
Epoch 26/1000, Train Loss: 0.8742, Validation Loss: 0.8926
Epoch 27/1000, Train Loss: 0.8828, Validation Loss: 0.9628
Epoch 28/1000, Train Loss: 0.8457, Validation Loss: 2.2595
Epoch 29/1000, Train Loss: 0.8412, Validation Loss: 1.5825
Epoch 30/1000, Train Loss: 0.8335, Validation Loss: 0.9090
Epoch 31/1000, Train Loss: 0.8248, Validation Loss: 0.7302
Epoch 32/1000, Train Loss: 0.8235, Validation Loss: 0.9414
Epoch 33/1000, Train Loss: 0.8532, Validation Loss: 1.8037
Epoch 34/1000, Train Loss: 0.7919, Validation Loss: 2.5937
Epoch 35/1000, Train Loss: 0.7781, Validation Loss: 0.9696
Epoch 36/1000, Train Loss: 0.8205, Validation Loss: 0.8413
Epoch 37/1000, Train Loss: 0.7831, Validation Loss: 0.7344
Epoch 38/1000, Train Loss: 0.7510, Validation Loss: 2.4563
Epoch 39/1000, Train Loss: 0.7439, Validation Loss: 0.9192
Epoch 40/1000, Train Loss: 0.7192, Validation Loss: 0.9400
Epoch 41/1000, Train Loss: 0.7247, Validation Loss: 2.8177
Epoch 42/1000, Train Loss: 0.7328, Validation Loss: 1.8837
Epoch 43/1000, Train Loss: 0.7257, Validation Loss: 2.6056
Epoch 44/1000, Train Loss: 0.7181, Validation Loss: 0.6398
Epoch 45/1000, Train Loss: 0.6860, Validation Loss: 4.3399
Epoch 46/1000, Train Loss: 0.6893, Validation Loss: 1.1461
Epoch 47/1000, Train Loss: 0.6912, Validation Loss: 0.7367
Epoch 48/1000, Train Loss: 0.6940, Validation Loss: 3.5606
Epoch 49/1000, Train Loss: 0.6623, Validation Loss: 1.1520
Epoch 50/1000, Train Loss: 0.6608, Validation Loss: 0.5995
Epoch 51/1000, Train Loss: 0.6681, Validation Loss: 1.5571
Epoch 52/1000, Train Loss: 0.6641, Validation Loss: 0.7391
Epoch 53/1000, Train Loss: 0.6541, Validation Loss: 2.7774
Epoch 54/1000, Train Loss: 0.6320, Validation Loss: 1.5255
Epoch 55/1000, Train Loss: 0.6380, Validation Loss: 0.8813
Epoch 56/1000, Train Loss: 0.6317, Validation Loss: 0.5687
