Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-0cknz25f
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.3986, Validation Loss: 2.3551
Epoch 2/1000, Train Loss: 1.3825, Validation Loss: 1.0322
Epoch 3/1000, Train Loss: 1.2430, Validation Loss: 1.3686
Epoch 4/1000, Train Loss: 1.2053, Validation Loss: 2.9661
Epoch 5/1000, Train Loss: 1.1442, Validation Loss: 1.0734
Epoch 6/1000, Train Loss: 1.1276, Validation Loss: 1.2991
Epoch 7/1000, Train Loss: 1.0527, Validation Loss: 1.5487
Epoch 8/1000, Train Loss: 1.0448, Validation Loss: 1.3360
Epoch 9/1000, Train Loss: 1.0569, Validation Loss: 1.2121
Epoch 10/1000, Train Loss: 1.0145, Validation Loss: 9.2467
Epoch 11/1000, Train Loss: 0.9908, Validation Loss: 1.4405
Epoch 12/1000, Train Loss: 1.7388, Validation Loss: 1.0244
Epoch 13/1000, Train Loss: 0.9206, Validation Loss: 3.8171
Epoch 14/1000, Train Loss: 0.9491, Validation Loss: 0.9424
Epoch 15/1000, Train Loss: 0.9506, Validation Loss: 1.3525
Epoch 16/1000, Train Loss: 0.8734, Validation Loss: 5.1581
Epoch 17/1000, Train Loss: 0.8578, Validation Loss: 17.0698
Epoch 18/1000, Train Loss: 0.8355, Validation Loss: 1.8864
Epoch 19/1000, Train Loss: 0.8126, Validation Loss: 1.6068
Epoch 20/1000, Train Loss: 0.7838, Validation Loss: 1.1927
Epoch 21/1000, Train Loss: 47.8090, Validation Loss: 1.0176
Epoch 22/1000, Train Loss: 0.8055, Validation Loss: 0.8061
Epoch 23/1000, Train Loss: 0.7637, Validation Loss: 2.8463
Epoch 24/1000, Train Loss: 0.7466, Validation Loss: 1.3081
Epoch 25/1000, Train Loss: 0.7421, Validation Loss: 0.8141
Epoch 26/1000, Train Loss: 0.7345, Validation Loss: 1.2470
Epoch 27/1000, Train Loss: 0.7095, Validation Loss: 2.9653
Epoch 28/1000, Train Loss: 0.9631, Validation Loss: 1.1154
Epoch 29/1000, Train Loss: 0.7714, Validation Loss: 0.7718
Epoch 30/1000, Train Loss: 0.7281, Validation Loss: 0.8800
Epoch 31/1000, Train Loss: 0.7168, Validation Loss: 0.8024
Epoch 32/1000, Train Loss: 0.7007, Validation Loss: 0.9748
Epoch 33/1000, Train Loss: 0.7484, Validation Loss: 1.6240
Epoch 34/1000, Train Loss: 0.7025, Validation Loss: 3.6102
Epoch 35/1000, Train Loss: 0.6830, Validation Loss: 0.6836
Epoch 36/1000, Train Loss: 0.6937, Validation Loss: 1.5942
Epoch 37/1000, Train Loss: 0.6877, Validation Loss: 1.2761
Epoch 38/1000, Train Loss: 0.6801, Validation Loss: 17.2926
Epoch 39/1000, Train Loss: 0.8103, Validation Loss: 1.2802
Epoch 40/1000, Train Loss: 0.6825, Validation Loss: 0.9367
Epoch 41/1000, Train Loss: 0.6773, Validation Loss: 1.2450
Epoch 42/1000, Train Loss: 0.6502, Validation Loss: 2.1912
Epoch 43/1000, Train Loss: 53.7960, Validation Loss: 8.7667
Epoch 44/1000, Train Loss: 0.6912, Validation Loss: 1.8134
Epoch 45/1000, Train Loss: 0.6729, Validation Loss: 0.9043
Epoch 46/1000, Train Loss: 0.6899, Validation Loss: 1.2655
Epoch 47/1000, Train Loss: 0.6530, Validation Loss: 1.7956
Epoch 48/1000, Train Loss: 0.6527, Validation Loss: 1.3852
Epoch 49/1000, Train Loss: 0.6502, Validation Loss: 1.0955
Epoch 50/1000, Train Loss: 5.1971, Validation Loss: 0.8072
Epoch 51/1000, Train Loss: 0.6315, Validation Loss: 2.8981
Epoch 52/1000, Train Loss: 0.6353, Validation Loss: 1.3061
Epoch 53/1000, Train Loss: 0.6631, Validation Loss: 0.9047
Epoch 54/1000, Train Loss: 0.6615, Validation Loss: 2.6005
Epoch 55/1000, Train Loss: 0.6505, Validation Loss: 3.8960
Epoch 56/1000, Train Loss: 0.6436, Validation Loss: 1.6287
Epoch 57/1000, Train Loss: 0.6403, Validation Loss: 1.2273
Epoch 58/1000, Train Loss: 0.6251, Validation Loss: 2.3995
Epoch 59/1000, Train Loss: 0.6244, Validation Loss: 1.7370
Epoch 60/1000, Train Loss: 0.7640, Validation Loss: 1.9018
Epoch 61/1000, Train Loss: 0.6268, Validation Loss: 1.1346
Epoch 62/1000, Train Loss: 0.6273, Validation Loss: 1.2365
Epoch 63/1000, Train Loss: 0.6179, Validation Loss: 2.6257
Epoch 64/1000, Train Loss: 0.6230, Validation Loss: 1.1339
Epoch 65/1000, Train Loss: 0.6274, Validation Loss: 1.9256
Epoch 66/1000, Train Loss: 0.6402, Validation Loss: 1.7427
Epoch 67/1000, Train Loss: 0.6366, Validation Loss: 1.8755
Epoch 68/1000, Train Loss: 0.6206, Validation Loss: 0.7506
Epoch 69/1000, Train Loss: 0.6338, Validation Loss: 1.4494
Epoch 70/1000, Train Loss: 0.6189, Validation Loss: 1.1152
Epoch 71/1000, Train Loss: 1.2954, Validation Loss: 0.9727
Epoch 72/1000, Train Loss: 0.6413, Validation Loss: 1.9789
Epoch 73/1000, Train Loss: 0.6029, Validation Loss: 1.1772
Epoch 74/1000, Train Loss: 0.6147, Validation Loss: 0.9449
Epoch 75/1000, Train Loss: 0.6249, Validation Loss: 0.8595
Epoch 76/1000, Train Loss: 0.6245, Validation Loss: 2.3570
Epoch 77/1000, Train Loss: 0.6245, Validation Loss: 3.7028
Epoch 78/1000, Train Loss: 9.3921, Validation Loss: 2.5302
Epoch 79/1000, Train Loss: 0.6074, Validation Loss: 1.0033
Epoch 80/1000, Train Loss: 0.6096, Validation Loss: 1.5103
Epoch 81/1000, Train Loss: 0.6125, Validation Loss: 1.3585
Epoch 82/1000, Train Loss: 0.5966, Validation Loss: 16.8444
Epoch 83/1000, Train Loss: 0.6050, Validation Loss: 0.9093
Epoch 84/1000, Train Loss: 0.6082, Validation Loss: 0.7460
Epoch 85/1000, Train Loss: 0.5989, Validation Loss: 0.7431
Epoch 86/1000, Train Loss: 0.7316, Validation Loss: 2.3433
Epoch 87/1000, Train Loss: 0.6087, Validation Loss: 1.5755
