Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-5i1bwzm8
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.4239, Validation Loss: 7.1714
Epoch 2/1000, Train Loss: 2.0964, Validation Loss: 7.6112
Epoch 3/1000, Train Loss: 1.6259, Validation Loss: 3.1753
Epoch 4/1000, Train Loss: 27.6311, Validation Loss: 3.5699
Epoch 5/1000, Train Loss: 2.1522, Validation Loss: 1.3009
Epoch 6/1000, Train Loss: 46.7494, Validation Loss: 2.0940
Epoch 7/1000, Train Loss: 1.3745, Validation Loss: 1.6688
Epoch 8/1000, Train Loss: 1.9341, Validation Loss: 1.6170
Epoch 9/1000, Train Loss: 5.6536, Validation Loss: 2.4871
Epoch 10/1000, Train Loss: 856.1147, Validation Loss: 1.2292
Epoch 11/1000, Train Loss: 2.3223, Validation Loss: 5.5810
Epoch 12/1000, Train Loss: 17.7544, Validation Loss: 6.2356
Epoch 13/1000, Train Loss: 1.2712, Validation Loss: 1.2557
Epoch 14/1000, Train Loss: 1.4183, Validation Loss: 1.4180
Epoch 15/1000, Train Loss: 1.5279, Validation Loss: 1.8959
Epoch 16/1000, Train Loss: 1.7398, Validation Loss: 6.3494
Epoch 17/1000, Train Loss: 2.2711, Validation Loss: 2.2914
Epoch 18/1000, Train Loss: 2.8867, Validation Loss: 2.0337
Epoch 19/1000, Train Loss: 1.2727, Validation Loss: 3.6124
Epoch 20/1000, Train Loss: 1.8579, Validation Loss: 6.0295
Epoch 21/1000, Train Loss: 279.2968, Validation Loss: 6.0865
Epoch 22/1000, Train Loss: 111.9592, Validation Loss: 7.1487
Epoch 23/1000, Train Loss: 1.1911, Validation Loss: 3.6470
Epoch 24/1000, Train Loss: 1.6051, Validation Loss: 1.5781
Epoch 25/1000, Train Loss: 1.6418, Validation Loss: 5.1773
Epoch 26/1000, Train Loss: 1.1606, Validation Loss: 1.3465
Epoch 27/1000, Train Loss: 26407.8944, Validation Loss: 1.4893
Epoch 28/1000, Train Loss: 1.5452, Validation Loss: 2.2132
Epoch 29/1000, Train Loss: 1.1947, Validation Loss: 3.7177
Epoch 30/1000, Train Loss: 1.1460, Validation Loss: 2.0747
Epoch 31/1000, Train Loss: 9.1374, Validation Loss: 4.5957
Epoch 32/1000, Train Loss: 1.1605, Validation Loss: 1.4224
Epoch 33/1000, Train Loss: 1.2204, Validation Loss: 1.1399
Epoch 34/1000, Train Loss: 1.6900, Validation Loss: 3.7883
Epoch 35/1000, Train Loss: 2.5173, Validation Loss: 3.1200
Epoch 36/1000, Train Loss: 1.1390, Validation Loss: 1.2444
Epoch 37/1000, Train Loss: 215.1544, Validation Loss: 6.1111
Epoch 38/1000, Train Loss: 7.1292, Validation Loss: 6.5566
Epoch 39/1000, Train Loss: 7.9139, Validation Loss: 6.1051
Epoch 40/1000, Train Loss: 578.9962, Validation Loss: 6.0938
Epoch 41/1000, Train Loss: 14.8451, Validation Loss: 6.4731
Epoch 42/1000, Train Loss: 54.7028, Validation Loss: 6.4052
Epoch 43/1000, Train Loss: 224.9370, Validation Loss: 6.2201
Epoch 44/1000, Train Loss: 6.2454, Validation Loss: 6.3348
Epoch 45/1000, Train Loss: 6.5378, Validation Loss: 6.0773
Epoch 46/1000, Train Loss: 1248.9785, Validation Loss: 6.4210
Epoch 47/1000, Train Loss: 6.2474, Validation Loss: 6.1440
Epoch 48/1000, Train Loss: 6.3171, Validation Loss: 6.0863
Epoch 49/1000, Train Loss: 6.2516, Validation Loss: 6.2109
Epoch 50/1000, Train Loss: 11.5820, Validation Loss: 6.1712
Epoch 51/1000, Train Loss: 6.9554, Validation Loss: 6.0733
Epoch 52/1000, Train Loss: 6.2500, Validation Loss: 6.0691
Epoch 53/1000, Train Loss: 197.0888, Validation Loss: 6.2014
Epoch 54/1000, Train Loss: 15.1894, Validation Loss: 6.4819
Epoch 55/1000, Train Loss: 6.2733, Validation Loss: 6.1432
Epoch 56/1000, Train Loss: 6.2503, Validation Loss: 8.0451
Epoch 57/1000, Train Loss: 36.5693, Validation Loss: 6.2508
Epoch 58/1000, Train Loss: 13.9740, Validation Loss: 6.0993
Epoch 59/1000, Train Loss: 5.9407, Validation Loss: 3.5409
Epoch 60/1000, Train Loss: 2.2132, Validation Loss: 2.0666
Epoch 61/1000, Train Loss: 1.7585, Validation Loss: 2.7731
Epoch 62/1000, Train Loss: 1.5945, Validation Loss: 10.7858
Epoch 63/1000, Train Loss: 1.6669, Validation Loss: 1.5907
Epoch 64/1000, Train Loss: 1.4663, Validation Loss: 1.3955
Epoch 65/1000, Train Loss: 89.1924, Validation Loss: 4.6908
Epoch 66/1000, Train Loss: 1.3463, Validation Loss: 2.3842
Epoch 67/1000, Train Loss: 1.3901, Validation Loss: 10.1769
Epoch 68/1000, Train Loss: 1.3804, Validation Loss: 3.8082
Epoch 69/1000, Train Loss: 1.3048, Validation Loss: 2.3996
Epoch 70/1000, Train Loss: 1.6168, Validation Loss: 2.2551
Epoch 71/1000, Train Loss: 1.6129, Validation Loss: 1.9571
Epoch 72/1000, Train Loss: 1.2731, Validation Loss: 2.5022
Epoch 73/1000, Train Loss: 2.2247, Validation Loss: 3.2073
Epoch 74/1000, Train Loss: 1.2574, Validation Loss: 4.8620
Epoch 75/1000, Train Loss: 1.2440, Validation Loss: 3.2091
Epoch 76/1000, Train Loss: 1.4248, Validation Loss: 1.3019
Epoch 77/1000, Train Loss: 1.4102, Validation Loss: 4.1744
Epoch 78/1000, Train Loss: 4.6060, Validation Loss: 3.0713
Epoch 79/1000, Train Loss: 1.2343, Validation Loss: 1.2645
Epoch 80/1000, Train Loss: 1.5525, Validation Loss: 1.2777
Epoch 81/1000, Train Loss: 1.8346, Validation Loss: 3.0817
Epoch 82/1000, Train Loss: 1.1781, Validation Loss: 2.5474
Epoch 83/1000, Train Loss: 1.5176, Validation Loss: 7.1961
Epoch 84/1000, Train Loss: 1.1800, Validation Loss: 5.4160
Epoch 85/1000, Train Loss: 49.7655, Validation Loss: 1.6687
Epoch 86/1000, Train Loss: 1.1515, Validation Loss: 1.0995
Epoch 87/1000, Train Loss: 89.9944, Validation Loss: 1.8430
Epoch 88/1000, Train Loss: 1.1772, Validation Loss: 1.0055
Epoch 89/1000, Train Loss: 1.1293, Validation Loss: 3.3633
Epoch 90/1000, Train Loss: 1.2812, Validation Loss: 5.6485
Epoch 91/1000, Train Loss: 1.1465, Validation Loss: 3.1962
Epoch 92/1000, Train Loss: 16.4916, Validation Loss: 5.3278
Epoch 93/1000, Train Loss: 1.4130, Validation Loss: 1.6256
Epoch 94/1000, Train Loss: 8942.8968, Validation Loss: 2.1245
Epoch 95/1000, Train Loss: 1.1466, Validation Loss: 0.9609
Epoch 96/1000, Train Loss: 5.4456, Validation Loss: 1.4890
Epoch 97/1000, Train Loss: 1.1423, Validation Loss: 11.3711
Epoch 98/1000, Train Loss: 1.5558, Validation Loss: 1.5483
Epoch 99/1000, Train Loss: 1.1117, Validation Loss: 4.0258
Epoch 100/1000, Train Loss: 1.4339, Validation Loss: 4.1700
Epoch 101/1000, Train Loss: 1.2295, Validation Loss: 1.7974
Epoch 102/1000, Train Loss: 2.4843, Validation Loss: 3.2399
Epoch 103/1000, Train Loss: 1.3917, Validation Loss: 3.0536
Epoch 104/1000, Train Loss: 1.1878, Validation Loss: 3.0862
Epoch 105/1000, Train Loss: 1.5905, Validation Loss: 2.1077
Epoch 106/1000, Train Loss: 1.0914, Validation Loss: 2.3243
Epoch 107/1000, Train Loss: 1.1385, Validation Loss: 2.5198
Epoch 108/1000, Train Loss: 1.0819, Validation Loss: 1.7738
Epoch 109/1000, Train Loss: 127.6192, Validation Loss: 4.3424
Epoch 110/1000, Train Loss: 1.2854, Validation Loss: 7.1815
Epoch 111/1000, Train Loss: 1.1239, Validation Loss: 3.5603
Epoch 112/1000, Train Loss: 1.5877, Validation Loss: 3.7247
Epoch 113/1000, Train Loss: 1.1370, Validation Loss: 1.6679
Epoch 114/1000, Train Loss: 1.0908, Validation Loss: 0.9130
Epoch 115/1000, Train Loss: 1.0801, Validation Loss: 1.3149
Epoch 116/1000, Train Loss: 2.1714, Validation Loss: 2.5590
Epoch 117/1000, Train Loss: 1.7947, Validation Loss: 4.7661
Epoch 118/1000, Train Loss: 1.1582, Validation Loss: 4.3745
Epoch 119/1000, Train Loss: 1.6382, Validation Loss: 19.0815
Epoch 120/1000, Train Loss: 1.1743, Validation Loss: 4.9065
Epoch 121/1000, Train Loss: 1.8086, Validation Loss: 6.7653
Epoch 122/1000, Train Loss: 1.0935, Validation Loss: 5.5897
Epoch 123/1000, Train Loss: 3.2236, Validation Loss: 5.8016
Epoch 124/1000, Train Loss: 1.9932, Validation Loss: 1.9396
Epoch 125/1000, Train Loss: 16.3354, Validation Loss: 5.9118
Epoch 126/1000, Train Loss: 1.2595, Validation Loss: 2.7661
Epoch 127/1000, Train Loss: 1.4237, Validation Loss: 2.5185
Epoch 128/1000, Train Loss: 158.0970, Validation Loss: 0.9846
Epoch 129/1000, Train Loss: 4023.1045, Validation Loss: 15579.1002
Epoch 130/1000, Train Loss: 19.2896, Validation Loss: 6.3292
Epoch 131/1000, Train Loss: 6.5619, Validation Loss: 6.0710
Epoch 132/1000, Train Loss: 6.3069, Validation Loss: 6.1811
Epoch 133/1000, Train Loss: 11.0118, Validation Loss: 6.2126
Epoch 134/1000, Train Loss: 7.5404, Validation Loss: 6.0757
Epoch 135/1000, Train Loss: 13.4641, Validation Loss: 6.0977
Epoch 136/1000, Train Loss: 580.1667, Validation Loss: 6.0695
Epoch 137/1000, Train Loss: 6.5601, Validation Loss: 6.3505
Epoch 138/1000, Train Loss: 6.2310, Validation Loss: 6.1707
Epoch 139/1000, Train Loss: 16.9386, Validation Loss: 6.0841
Epoch 140/1000, Train Loss: 410.8003, Validation Loss: 6.3345
Epoch 141/1000, Train Loss: 6.2347, Validation Loss: 6.3764
Epoch 142/1000, Train Loss: 6.3403, Validation Loss: 6.6664
Epoch 143/1000, Train Loss: 4883.1406, Validation Loss: 6.1452
Epoch 144/1000, Train Loss: 6.2360, Validation Loss: 6.0798
Epoch 145/1000, Train Loss: 4987.0357, Validation Loss: 6.1453
Epoch 146/1000, Train Loss: 7.8842, Validation Loss: 6.1124
Epoch 147/1000, Train Loss: 7.4240, Validation Loss: 5.5284
Epoch 148/1000, Train Loss: 12.2037, Validation Loss: 6.0779
Epoch 149/1000, Train Loss: 6.8725, Validation Loss: 6.5549
Epoch 150/1000, Train Loss: 6.7296, Validation Loss: 6.1502
Epoch 151/1000, Train Loss: 6.5281, Validation Loss: 6.0687
Epoch 152/1000, Train Loss: 7.9688, Validation Loss: 6.0968
Epoch 153/1000, Train Loss: 254.4282, Validation Loss: 6.4045
Epoch 154/1000, Train Loss: 19.6235, Validation Loss: 6.5092
Epoch 155/1000, Train Loss: 25.0189, Validation Loss: 6.1250
Epoch 156/1000, Train Loss: 10.8698, Validation Loss: 7.1604
Epoch 157/1000, Train Loss: 6.2421, Validation Loss: 6.7411
Epoch 158/1000, Train Loss: 1821.6071, Validation Loss: 6.0890
Epoch 159/1000, Train Loss: 6.2231, Validation Loss: 6.2263
Epoch 160/1000, Train Loss: 6.6204, Validation Loss: 6.3544
Epoch 161/1000, Train Loss: 6.6250, Validation Loss: 12.4557
Epoch 162/1000, Train Loss: 6.3487, Validation Loss: 6.1131
Epoch 163/1000, Train Loss: 2188.9825, Validation Loss: 6.0703
Epoch 164/1000, Train Loss: 6.4912, Validation Loss: 6.1103
Epoch 165/1000, Train Loss: 35.4313, Validation Loss: 6.0687
Epoch 166/1000, Train Loss: 6.2860, Validation Loss: 6.2665
Epoch 167/1000, Train Loss: 15.4432, Validation Loss: 6.2756
Epoch 168/1000, Train Loss: 6.2345, Validation Loss: 6.3760
Epoch 169/1000, Train Loss: 6.5766, Validation Loss: 6.1066
Epoch 170/1000, Train Loss: 19.5656, Validation Loss: 6.2191
Epoch 171/1000, Train Loss: 6.4745, Validation Loss: 6.2060
Epoch 172/1000, Train Loss: 12.5349, Validation Loss: 6.1261
Epoch 173/1000, Train Loss: 6.2687, Validation Loss: 6.0767
Epoch 174/1000, Train Loss: 12.9550, Validation Loss: 6.1264
Epoch 175/1000, Train Loss: 7.1218, Validation Loss: 6.1591
Epoch 176/1000, Train Loss: 6.8621, Validation Loss: 6.1379
