Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-0r2q0gwn
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.6958, Validation Loss: 18.6295
Epoch 2/1000, Train Loss: 1.6295, Validation Loss: 1.9333
Epoch 3/1000, Train Loss: 1.5069, Validation Loss: 3.2797
Epoch 4/1000, Train Loss: 1.3347, Validation Loss: 3.9140
Epoch 5/1000, Train Loss: 1.3243, Validation Loss: 2.6169
Epoch 6/1000, Train Loss: 1.3382, Validation Loss: 6.2579
Epoch 7/1000, Train Loss: 1.2042, Validation Loss: 5.6337
Epoch 8/1000, Train Loss: 1.2203, Validation Loss: 3.1174
Epoch 9/1000, Train Loss: 1.1307, Validation Loss: 3.1625
Epoch 10/1000, Train Loss: 1.1270, Validation Loss: 1.4489
Epoch 11/1000, Train Loss: 1.1416, Validation Loss: 3.4293
Epoch 12/1000, Train Loss: 1.0825, Validation Loss: 1.5362
Epoch 13/1000, Train Loss: 1.0281, Validation Loss: 1.9562
Epoch 14/1000, Train Loss: 1.0491, Validation Loss: 1.3467
Epoch 15/1000, Train Loss: 0.9779, Validation Loss: 2.3700
Epoch 16/1000, Train Loss: 0.9745, Validation Loss: 3.2710
Epoch 17/1000, Train Loss: 1.0095, Validation Loss: 5.4169
Epoch 18/1000, Train Loss: 0.9340, Validation Loss: 3.0722
Epoch 19/1000, Train Loss: 0.9560, Validation Loss: 1.9447
Epoch 20/1000, Train Loss: 0.9040, Validation Loss: 2.2026
Epoch 21/1000, Train Loss: 0.9033, Validation Loss: 3.2994
Epoch 22/1000, Train Loss: 0.9177, Validation Loss: 10.5006
Epoch 23/1000, Train Loss: 0.8849, Validation Loss: 2.2731
Epoch 24/1000, Train Loss: 0.8803, Validation Loss: 2.1207
Epoch 25/1000, Train Loss: 0.8469, Validation Loss: 1.2004
Epoch 26/1000, Train Loss: 0.8843, Validation Loss: 1.7667
Epoch 27/1000, Train Loss: 0.8343, Validation Loss: 2.6062
Epoch 28/1000, Train Loss: 0.8308, Validation Loss: 1.7437
Epoch 29/1000, Train Loss: 0.8021, Validation Loss: 1.1181
Epoch 30/1000, Train Loss: 0.8446, Validation Loss: 3.0583
Epoch 31/1000, Train Loss: 0.7941, Validation Loss: 0.7538
Epoch 32/1000, Train Loss: 0.8618, Validation Loss: 0.9836
Epoch 33/1000, Train Loss: 0.8599, Validation Loss: 1.2185
Epoch 34/1000, Train Loss: 0.8203, Validation Loss: 3.8200
Epoch 35/1000, Train Loss: 0.8040, Validation Loss: 2.4375
Epoch 36/1000, Train Loss: 0.7955, Validation Loss: 1.1502
