Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-p1p3zv1k
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 51.2901, Validation Loss: 2.7551
Epoch 2/1000, Train Loss: 2.7883, Validation Loss: 3.4984
Epoch 3/1000, Train Loss: 2.6619, Validation Loss: 2.7478
Epoch 4/1000, Train Loss: 2.4294, Validation Loss: 3.4647
Epoch 5/1000, Train Loss: 4.8434, Validation Loss: 1.4890
Epoch 6/1000, Train Loss: 30.9020, Validation Loss: 1.9152
Epoch 7/1000, Train Loss: 1.7312, Validation Loss: 1.9842
Epoch 8/1000, Train Loss: 1.5295, Validation Loss: 1.9010
Epoch 9/1000, Train Loss: 1.3666, Validation Loss: 1.4124
Epoch 10/1000, Train Loss: 1.6431, Validation Loss: 1.2058
Epoch 11/1000, Train Loss: 1.3723, Validation Loss: 1.1419
Epoch 12/1000, Train Loss: 303.2888, Validation Loss: 2.8682
Epoch 13/1000, Train Loss: 1.5470, Validation Loss: 1.2175
Epoch 14/1000, Train Loss: 8.1793, Validation Loss: 1.1532
Epoch 15/1000, Train Loss: 1.8422, Validation Loss: 1.2842
Epoch 16/1000, Train Loss: 1.4790, Validation Loss: 1.6530
Epoch 17/1000, Train Loss: 1.2871, Validation Loss: 2.4461
Epoch 18/1000, Train Loss: 1.2224, Validation Loss: 1.8989
Epoch 19/1000, Train Loss: 90.4726, Validation Loss: 1.0570
Epoch 20/1000, Train Loss: 1.1872, Validation Loss: 1.0744
Epoch 21/1000, Train Loss: 1.2247, Validation Loss: 1.1457
Epoch 22/1000, Train Loss: 2.5990, Validation Loss: 2.8547
Epoch 23/1000, Train Loss: 1.4714, Validation Loss: 1.1312
Epoch 24/1000, Train Loss: 15.8189, Validation Loss: 1.3718
Epoch 25/1000, Train Loss: 18.4327, Validation Loss: 1.3633
Epoch 26/1000, Train Loss: 1.1827, Validation Loss: 1.0470
Epoch 27/1000, Train Loss: 186.7159, Validation Loss: 3.6986
Epoch 28/1000, Train Loss: 1.4854, Validation Loss: 1.0411
Epoch 29/1000, Train Loss: 1.4966, Validation Loss: 0.9078
Epoch 30/1000, Train Loss: 2644.0683, Validation Loss: 1.5595
Epoch 31/1000, Train Loss: 1.1941, Validation Loss: 1.0187
Epoch 32/1000, Train Loss: 38.3020, Validation Loss: 7.6193
Epoch 33/1000, Train Loss: 3.1766, Validation Loss: 2.1999
Epoch 34/1000, Train Loss: 1.1626, Validation Loss: 1.1763
Epoch 35/1000, Train Loss: 11.2130, Validation Loss: 4.7569
Epoch 36/1000, Train Loss: 2874.9268, Validation Loss: 6.0858
Epoch 37/1000, Train Loss: 106.5192, Validation Loss: 6.7178
Epoch 38/1000, Train Loss: 8.5060, Validation Loss: 6.0751
Epoch 39/1000, Train Loss: 20.4760, Validation Loss: 6.0866
