Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-aehblib8
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 8.9058, Validation Loss: 2.0750
Epoch 2/1000, Train Loss: 1.5908, Validation Loss: 4.3759
Epoch 3/1000, Train Loss: 1.5046, Validation Loss: 1.8495
Epoch 4/1000, Train Loss: 1.4259, Validation Loss: 5.9242
Epoch 5/1000, Train Loss: 1.2792, Validation Loss: 8.1104
Epoch 6/1000, Train Loss: 1.3121, Validation Loss: 5.8193
Epoch 7/1000, Train Loss: 1.1834, Validation Loss: 2.2123
Epoch 8/1000, Train Loss: 1.1764, Validation Loss: 3.3235
Epoch 9/1000, Train Loss: 1.1144, Validation Loss: 2.0481
Epoch 10/1000, Train Loss: 1.0562, Validation Loss: 0.9648
Epoch 11/1000, Train Loss: 7.5626, Validation Loss: 1.8700
Epoch 12/1000, Train Loss: 1.3357, Validation Loss: 4.5023
Epoch 13/1000, Train Loss: 1.1082, Validation Loss: 2.0430
Epoch 14/1000, Train Loss: 1.2474, Validation Loss: 5.6266
Epoch 15/1000, Train Loss: 1.0588, Validation Loss: 1.3282
Epoch 16/1000, Train Loss: 1.1073, Validation Loss: 0.9231
Epoch 17/1000, Train Loss: 1.1678, Validation Loss: 1.8965
Epoch 18/1000, Train Loss: 16.0321, Validation Loss: 0.8561
Epoch 19/1000, Train Loss: 1.1029, Validation Loss: 4.8363
Epoch 20/1000, Train Loss: 0.9847, Validation Loss: 3.7122
Epoch 21/1000, Train Loss: 1.0296, Validation Loss: 1.3023
Epoch 22/1000, Train Loss: 0.9743, Validation Loss: 1.8132
Epoch 23/1000, Train Loss: 21.2312, Validation Loss: 1.5242
Epoch 24/1000, Train Loss: 0.9848, Validation Loss: 0.8801
Epoch 25/1000, Train Loss: 0.9759, Validation Loss: 2.6182
Epoch 26/1000, Train Loss: 0.9728, Validation Loss: 2.0550
Epoch 27/1000, Train Loss: 0.9654, Validation Loss: 4.1454
Epoch 28/1000, Train Loss: 8.2322, Validation Loss: 21.4099
Epoch 29/1000, Train Loss: 0.9960, Validation Loss: 2.5327
Epoch 30/1000, Train Loss: 0.9413, Validation Loss: 1.1118
Epoch 31/1000, Train Loss: 0.9425, Validation Loss: 2.9847
Epoch 32/1000, Train Loss: 0.9273, Validation Loss: 3.9345
Epoch 33/1000, Train Loss: 4.5453, Validation Loss: 2.6247
Epoch 34/1000, Train Loss: 0.9099, Validation Loss: 1.3183
Epoch 35/1000, Train Loss: 0.8789, Validation Loss: 3.3878
Epoch 36/1000, Train Loss: 13.5081, Validation Loss: 2.3009
Epoch 37/1000, Train Loss: 0.8646, Validation Loss: 2.6712
Epoch 38/1000, Train Loss: 0.8917, Validation Loss: 2.4123
Epoch 39/1000, Train Loss: 0.8758, Validation Loss: 1.3587
Epoch 40/1000, Train Loss: 0.8190, Validation Loss: 0.7896
Epoch 41/1000, Train Loss: 0.8533, Validation Loss: 2.4084
Epoch 42/1000, Train Loss: 1.3249, Validation Loss: 1.0165
Epoch 43/1000, Train Loss: 0.9346, Validation Loss: 1.6261
Epoch 44/1000, Train Loss: 0.8114, Validation Loss: 1.7483
Epoch 45/1000, Train Loss: 0.8402, Validation Loss: 0.7702
Epoch 46/1000, Train Loss: 0.8430, Validation Loss: 1.1757
Epoch 47/1000, Train Loss: 0.7949, Validation Loss: 2.3566
Epoch 48/1000, Train Loss: 11.3109, Validation Loss: 0.8034
Epoch 49/1000, Train Loss: 0.8469, Validation Loss: 3.6147
Epoch 50/1000, Train Loss: 0.8491, Validation Loss: 1.1357
Epoch 51/1000, Train Loss: 1.0617, Validation Loss: 1.0566
Epoch 52/1000, Train Loss: 0.8382, Validation Loss: 1.5322
Epoch 53/1000, Train Loss: 0.8269, Validation Loss: 3.2388
Epoch 54/1000, Train Loss: 0.7888, Validation Loss: 1.4379
Epoch 55/1000, Train Loss: 5.2782, Validation Loss: 13.0182
Epoch 56/1000, Train Loss: 1.7186, Validation Loss: 2.6821
Epoch 57/1000, Train Loss: 0.8079, Validation Loss: 1.4448
Epoch 58/1000, Train Loss: 0.8272, Validation Loss: 2.1053
Epoch 59/1000, Train Loss: 0.8124, Validation Loss: 2.9466
Epoch 60/1000, Train Loss: 0.8076, Validation Loss: 1.1147
Epoch 61/1000, Train Loss: 0.8219, Validation Loss: 1.3684
Epoch 62/1000, Train Loss: 0.7965, Validation Loss: 3.6342
Epoch 63/1000, Train Loss: 0.8186, Validation Loss: 4.3174
Epoch 64/1000, Train Loss: 0.8008, Validation Loss: 1.6426
Epoch 65/1000, Train Loss: 0.7821, Validation Loss: 3.8506
Epoch 66/1000, Train Loss: 0.7757, Validation Loss: 1.8160
Epoch 67/1000, Train Loss: 6.2794, Validation Loss: 2.1874
Epoch 68/1000, Train Loss: 0.8002, Validation Loss: 1.5263
Epoch 69/1000, Train Loss: 0.7861, Validation Loss: 1.0595
Epoch 70/1000, Train Loss: 0.7914, Validation Loss: 1.6367
Epoch 71/1000, Train Loss: 51.0897, Validation Loss: 2.4580
Epoch 72/1000, Train Loss: 0.7879, Validation Loss: 2.3961
Epoch 73/1000, Train Loss: 0.8022, Validation Loss: 1.7056
Epoch 74/1000, Train Loss: 0.8384, Validation Loss: 3.3357
Epoch 75/1000, Train Loss: 0.7693, Validation Loss: 1.1494
Epoch 76/1000, Train Loss: 0.7594, Validation Loss: 2.7500
Epoch 77/1000, Train Loss: 13.0505, Validation Loss: 2.1188
Epoch 78/1000, Train Loss: 0.7856, Validation Loss: 0.8476
Epoch 79/1000, Train Loss: 0.7795, Validation Loss: 8.1823
Epoch 80/1000, Train Loss: 0.7792, Validation Loss: 1.1666
Epoch 81/1000, Train Loss: 0.7660, Validation Loss: 1.6153
Epoch 82/1000, Train Loss: 0.8419, Validation Loss: 1.4372
Epoch 83/1000, Train Loss: 1.5500, Validation Loss: 5.2810
Epoch 84/1000, Train Loss: 0.7964, Validation Loss: 4.9608
Epoch 85/1000, Train Loss: 0.7618, Validation Loss: 0.9743
Epoch 86/1000, Train Loss: 0.7877, Validation Loss: 1.5605
Epoch 87/1000, Train Loss: 0.7782, Validation Loss: 3.8829
Epoch 88/1000, Train Loss: 0.7416, Validation Loss: 3.4036
Epoch 89/1000, Train Loss: 0.8115, Validation Loss: 3.0884
Epoch 90/1000, Train Loss: 0.8030, Validation Loss: 0.9929
Epoch 91/1000, Train Loss: 3.2272, Validation Loss: 2.2930
Epoch 92/1000, Train Loss: 0.7510, Validation Loss: 2.4205
Epoch 93/1000, Train Loss: 0.7525, Validation Loss: 1.5156
Epoch 94/1000, Train Loss: 0.7533, Validation Loss: 1.0975
Epoch 95/1000, Train Loss: 0.7629, Validation Loss: 1.5001
Epoch 96/1000, Train Loss: 0.7434, Validation Loss: 1.6274
Epoch 97/1000, Train Loss: 1.3743, Validation Loss: 2.0660
Epoch 98/1000, Train Loss: 0.7687, Validation Loss: 0.9099
Epoch 99/1000, Train Loss: 0.7579, Validation Loss: 2.7083
Epoch 100/1000, Train Loss: 35.8527, Validation Loss: 1.4780
Epoch 101/1000, Train Loss: 0.7604, Validation Loss: 1.2341
Epoch 102/1000, Train Loss: 0.7671, Validation Loss: 3.2800
Epoch 103/1000, Train Loss: 9.1552, Validation Loss: 4.8101
Epoch 104/1000, Train Loss: 0.8515, Validation Loss: 2.7014
Epoch 105/1000, Train Loss: 0.7712, Validation Loss: 0.9296
Epoch 106/1000, Train Loss: 0.7735, Validation Loss: 3.1178
Epoch 107/1000, Train Loss: 0.9379, Validation Loss: 1.1262
Epoch 108/1000, Train Loss: 0.7929, Validation Loss: 5.3139
