Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-kqjiymh4
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.7124, Validation Loss: 2.3169
Epoch 2/1000, Train Loss: 1.2913, Validation Loss: 1.4090
Epoch 3/1000, Train Loss: 1.2031, Validation Loss: 2.9923
Epoch 4/1000, Train Loss: 1.1377, Validation Loss: 1.3652
Epoch 5/1000, Train Loss: 1.0854, Validation Loss: 1.1595
Epoch 6/1000, Train Loss: 1.0690, Validation Loss: 1.1015
Epoch 7/1000, Train Loss: 1.0308, Validation Loss: 2.1568
Epoch 8/1000, Train Loss: 0.9974, Validation Loss: 1.0227
Epoch 9/1000, Train Loss: 0.9723, Validation Loss: 1.4219
Epoch 10/1000, Train Loss: 0.9644, Validation Loss: 1.0652
Epoch 11/1000, Train Loss: 0.9687, Validation Loss: 1.1447
Epoch 12/1000, Train Loss: 0.9559, Validation Loss: 3.9523
Epoch 13/1000, Train Loss: 1.2306, Validation Loss: 1.1410
Epoch 14/1000, Train Loss: 0.9725, Validation Loss: 1.0712
Epoch 15/1000, Train Loss: 0.9438, Validation Loss: 1.5012
Epoch 16/1000, Train Loss: 0.9871, Validation Loss: 1.2849
Epoch 17/1000, Train Loss: 0.9403, Validation Loss: 0.9722
Epoch 18/1000, Train Loss: 0.9471, Validation Loss: 1.5308
Epoch 19/1000, Train Loss: 1.0456, Validation Loss: 2.5592
Epoch 20/1000, Train Loss: 0.9401, Validation Loss: 2.0314
Epoch 21/1000, Train Loss: 1.0519, Validation Loss: 2.0867
Epoch 22/1000, Train Loss: 0.9501, Validation Loss: 1.2188
Epoch 23/1000, Train Loss: 0.9708, Validation Loss: 1.4814
Epoch 24/1000, Train Loss: 0.9343, Validation Loss: 3.0491
Epoch 25/1000, Train Loss: 1.0025, Validation Loss: 2.7241
Epoch 26/1000, Train Loss: 0.9495, Validation Loss: 1.6219
Epoch 27/1000, Train Loss: 1.0791, Validation Loss: 1.0424
Epoch 28/1000, Train Loss: 0.9060, Validation Loss: 1.1441
Epoch 29/1000, Train Loss: 0.9396, Validation Loss: 0.8078
Epoch 30/1000, Train Loss: 0.9200, Validation Loss: 1.4176
Epoch 31/1000, Train Loss: 0.8890, Validation Loss: 0.8658
Epoch 32/1000, Train Loss: 0.9096, Validation Loss: 0.8956
Epoch 33/1000, Train Loss: 0.8744, Validation Loss: 1.1795
Epoch 34/1000, Train Loss: 0.8592, Validation Loss: 1.1781
Epoch 35/1000, Train Loss: 0.8486, Validation Loss: 1.8944
Epoch 36/1000, Train Loss: 0.8302, Validation Loss: 1.4505
Epoch 37/1000, Train Loss: 0.9174, Validation Loss: 0.9424
Epoch 38/1000, Train Loss: 0.8119, Validation Loss: 1.0706
