Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-ou6a5774
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 9.9700, Validation Loss: 3.6561
Epoch 2/1000, Train Loss: 1.4082, Validation Loss: 1.7147
Epoch 3/1000, Train Loss: 1.3309, Validation Loss: 1.2874
Epoch 4/1000, Train Loss: 1.3063, Validation Loss: 1.1526
Epoch 5/1000, Train Loss: 1.2510, Validation Loss: 1.5338
Epoch 6/1000, Train Loss: 1.2065, Validation Loss: 2.2641
Epoch 7/1000, Train Loss: 1.2786, Validation Loss: 3.2451
Epoch 8/1000, Train Loss: 1.1858, Validation Loss: 1.0448
Epoch 9/1000, Train Loss: 1.1696, Validation Loss: 2.0103
Epoch 10/1000, Train Loss: 2.4964, Validation Loss: 1.6493
Epoch 11/1000, Train Loss: 1.4389, Validation Loss: 2.7651
Epoch 12/1000, Train Loss: 1.2851, Validation Loss: 2.7331
Epoch 13/1000, Train Loss: 1.1132, Validation Loss: 1.3037
Epoch 14/1000, Train Loss: 1.0630, Validation Loss: 2.4516
Epoch 15/1000, Train Loss: 1.0268, Validation Loss: 1.7362
Epoch 16/1000, Train Loss: 8788.2675, Validation Loss: 4.0318
Epoch 17/1000, Train Loss: 1.1827, Validation Loss: 3.5508
Epoch 18/1000, Train Loss: 1.0703, Validation Loss: 2.5448
Epoch 19/1000, Train Loss: 1.0621, Validation Loss: 1.2526
Epoch 20/1000, Train Loss: 1.0652, Validation Loss: 0.9158
Epoch 21/1000, Train Loss: 1.0580, Validation Loss: 2.2612
Epoch 22/1000, Train Loss: 1.0351, Validation Loss: 1.1825
Epoch 23/1000, Train Loss: 1.0366, Validation Loss: 1.5618
Epoch 24/1000, Train Loss: 1.1297, Validation Loss: 1.8320
Epoch 25/1000, Train Loss: 0.9628, Validation Loss: 1.3606
Epoch 26/1000, Train Loss: 0.9883, Validation Loss: 3.7429
Epoch 27/1000, Train Loss: 1.2470, Validation Loss: 1.3146
Epoch 28/1000, Train Loss: 0.9674, Validation Loss: 1.1203
Epoch 29/1000, Train Loss: 1.0509, Validation Loss: 2.1830
Epoch 30/1000, Train Loss: 1.0067, Validation Loss: 3.1156
Epoch 31/1000, Train Loss: 0.9800, Validation Loss: 1.0139
Epoch 32/1000, Train Loss: 0.9317, Validation Loss: 1.2078
Epoch 33/1000, Train Loss: 0.9704, Validation Loss: 2.5552
Epoch 34/1000, Train Loss: 1.0268, Validation Loss: 3.2251
Epoch 35/1000, Train Loss: 0.9593, Validation Loss: 1.7562
Epoch 36/1000, Train Loss: 1.1748, Validation Loss: 6.6497
Epoch 37/1000, Train Loss: 0.9456, Validation Loss: 2.6246
Epoch 38/1000, Train Loss: 1.3175, Validation Loss: 0.8979
Epoch 39/1000, Train Loss: 0.9849, Validation Loss: 6.9690
Epoch 40/1000, Train Loss: 0.9895, Validation Loss: 0.9195
Epoch 41/1000, Train Loss: 1.1332, Validation Loss: 1.7421
Epoch 42/1000, Train Loss: 0.9476, Validation Loss: 1.7370
Epoch 43/1000, Train Loss: 0.9807, Validation Loss: 0.9227
Epoch 44/1000, Train Loss: 7.1500, Validation Loss: 2.0436
Epoch 45/1000, Train Loss: 0.9694, Validation Loss: 0.9023
Epoch 46/1000, Train Loss: 0.9350, Validation Loss: 1.1828
Epoch 47/1000, Train Loss: 1.0486, Validation Loss: 4.4543
Epoch 48/1000, Train Loss: 0.9565, Validation Loss: 1.0738
Epoch 49/1000, Train Loss: 85.0587, Validation Loss: 8.3947
Epoch 50/1000, Train Loss: 0.9864, Validation Loss: 1.1274
Epoch 51/1000, Train Loss: 0.9520, Validation Loss: 1.8489
Epoch 52/1000, Train Loss: 0.9537, Validation Loss: 2.1705
Epoch 53/1000, Train Loss: 1.3719, Validation Loss: 2.8383
Epoch 54/1000, Train Loss: 1.3038, Validation Loss: 2.3953
Epoch 55/1000, Train Loss: 0.9759, Validation Loss: 3.7344
Epoch 56/1000, Train Loss: 0.9436, Validation Loss: 2.0280
Epoch 57/1000, Train Loss: 2.5589, Validation Loss: 3.4833
Epoch 58/1000, Train Loss: 0.9398, Validation Loss: 0.8178
Epoch 59/1000, Train Loss: 0.9265, Validation Loss: 1.5451
Epoch 60/1000, Train Loss: 0.9540, Validation Loss: 0.9666
Epoch 61/1000, Train Loss: 0.9698, Validation Loss: 1.0867
Epoch 62/1000, Train Loss: 0.9165, Validation Loss: 1.0847
Epoch 63/1000, Train Loss: 1.0477, Validation Loss: 1.7139
Epoch 64/1000, Train Loss: 0.9334, Validation Loss: 5.4463
Epoch 65/1000, Train Loss: 1.0306, Validation Loss: 3.1635
Epoch 66/1000, Train Loss: 1.0332, Validation Loss: 1.6663
Epoch 67/1000, Train Loss: 1.0215, Validation Loss: 3.1565
Epoch 68/1000, Train Loss: 0.9304, Validation Loss: 1.0444
Epoch 69/1000, Train Loss: 0.9895, Validation Loss: 1.2500
Epoch 70/1000, Train Loss: 0.9378, Validation Loss: 5.4612
Epoch 71/1000, Train Loss: 0.9698, Validation Loss: 1.2986
Epoch 72/1000, Train Loss: 0.9217, Validation Loss: 0.8286
Epoch 73/1000, Train Loss: 1.0718, Validation Loss: 1.3126
Epoch 74/1000, Train Loss: 0.9022, Validation Loss: 1.3641
Epoch 75/1000, Train Loss: 0.9441, Validation Loss: 1.2209
Epoch 76/1000, Train Loss: 1.0271, Validation Loss: 5.3520
Epoch 77/1000, Train Loss: 1.1375, Validation Loss: 1.1802
Epoch 78/1000, Train Loss: 0.9567, Validation Loss: 2.8953
Epoch 79/1000, Train Loss: 0.9474, Validation Loss: 1.1463
Epoch 80/1000, Train Loss: 0.9364, Validation Loss: 3.8569
Epoch 81/1000, Train Loss: 2.4248, Validation Loss: 3.1642
Epoch 82/1000, Train Loss: 0.9262, Validation Loss: 1.2943
Epoch 83/1000, Train Loss: 0.9292, Validation Loss: 1.3845
Epoch 84/1000, Train Loss: 0.9201, Validation Loss: 2.6534
Epoch 85/1000, Train Loss: 109.6822, Validation Loss: 5.5931
Epoch 86/1000, Train Loss: 1.0866, Validation Loss: 3.6622
Epoch 87/1000, Train Loss: 0.9781, Validation Loss: 3.4286
Epoch 88/1000, Train Loss: 0.8890, Validation Loss: 1.6595
Epoch 89/1000, Train Loss: 0.9172, Validation Loss: 3.4098
Epoch 90/1000, Train Loss: 4.9255, Validation Loss: 3.1726
Epoch 91/1000, Train Loss: 0.9458, Validation Loss: 1.6444
Epoch 92/1000, Train Loss: 0.8980, Validation Loss: 3.8093
