Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-tn7b7tew
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 12.3406, Validation Loss: 2.4217
Epoch 2/1000, Train Loss: 38.5024, Validation Loss: 2.8248
Epoch 3/1000, Train Loss: 30.2221, Validation Loss: 3.4969
Epoch 4/1000, Train Loss: 3.2497, Validation Loss: 2.0687
Epoch 5/1000, Train Loss: 2.0343, Validation Loss: 1.5748
Epoch 6/1000, Train Loss: 1.9889, Validation Loss: 4.4194
Epoch 7/1000, Train Loss: 1.8546, Validation Loss: 1.3226
Epoch 8/1000, Train Loss: 1.5308, Validation Loss: 1.4694
Epoch 9/1000, Train Loss: 5.7425, Validation Loss: 2.7178
Epoch 10/1000, Train Loss: 5708.0184, Validation Loss: 2.7605
Epoch 11/1000, Train Loss: 1.6417, Validation Loss: 1.0346
Epoch 12/1000, Train Loss: 16.3893, Validation Loss: 1.8937
Epoch 13/1000, Train Loss: 58.1459, Validation Loss: 1.5803
Epoch 14/1000, Train Loss: 14.0906, Validation Loss: 7.9474
Epoch 15/1000, Train Loss: 4.4318, Validation Loss: 1.6087
Epoch 16/1000, Train Loss: 1.2361, Validation Loss: 2.0507
Epoch 17/1000, Train Loss: 1.4939, Validation Loss: 0.9507
Epoch 18/1000, Train Loss: 1451.3669, Validation Loss: 1.8897
Epoch 19/1000, Train Loss: 10.9048, Validation Loss: 2.4057
Epoch 20/1000, Train Loss: 39.8660, Validation Loss: 25.1743
Epoch 21/1000, Train Loss: 1.4507, Validation Loss: 1.0980
Epoch 22/1000, Train Loss: 17.4375, Validation Loss: 0.9504
Epoch 23/1000, Train Loss: 2.3680, Validation Loss: 1.0352
Epoch 24/1000, Train Loss: 1.8539, Validation Loss: 1.4056
Epoch 25/1000, Train Loss: 189.3882, Validation Loss: 2.3575
Epoch 26/1000, Train Loss: 5261.4933, Validation Loss: 2.4731
Epoch 27/1000, Train Loss: 17.1321, Validation Loss: 6.1652
Epoch 28/1000, Train Loss: 4.9949, Validation Loss: 2.2144
Epoch 29/1000, Train Loss: 1.2565, Validation Loss: 2.2370
Epoch 30/1000, Train Loss: 8.3447, Validation Loss: 6.8725
Epoch 31/1000, Train Loss: 164.8739, Validation Loss: 6.2227
Epoch 32/1000, Train Loss: 21.7966, Validation Loss: 6.0778
Epoch 33/1000, Train Loss: 6.3854, Validation Loss: 6.1250
