Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-1nt0sl04
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.3308, Validation Loss: 1.5309
Epoch 2/1000, Train Loss: 1.7457, Validation Loss: 2.9867
Epoch 3/1000, Train Loss: 1.7125, Validation Loss: 1.2117
Epoch 4/1000, Train Loss: 1.4605, Validation Loss: 7.2789
Epoch 5/1000, Train Loss: 1.3787, Validation Loss: 1.4920
Epoch 6/1000, Train Loss: 1.2753, Validation Loss: 12.5797
Epoch 7/1000, Train Loss: 1.2143, Validation Loss: 3.5519
Epoch 8/1000, Train Loss: 1.1557, Validation Loss: 4.0883
Epoch 9/1000, Train Loss: 1.1348, Validation Loss: 3.8952
Epoch 10/1000, Train Loss: 1.0643, Validation Loss: 2.7873
Epoch 11/1000, Train Loss: 1.0279, Validation Loss: 1.5470
Epoch 12/1000, Train Loss: 1.0188, Validation Loss: 2.7153
Epoch 13/1000, Train Loss: 1.0080, Validation Loss: 1.5955
Epoch 14/1000, Train Loss: 0.9866, Validation Loss: 3.2753
Epoch 15/1000, Train Loss: 0.9690, Validation Loss: 0.9058
Epoch 16/1000, Train Loss: 0.9483, Validation Loss: 3.3133
Epoch 17/1000, Train Loss: 0.9520, Validation Loss: 1.5380
Epoch 18/1000, Train Loss: 0.9388, Validation Loss: 2.1598
Epoch 19/1000, Train Loss: 0.9265, Validation Loss: 2.8732
Epoch 20/1000, Train Loss: 0.9049, Validation Loss: 1.8435
Epoch 21/1000, Train Loss: 0.9291, Validation Loss: 2.0584
Epoch 22/1000, Train Loss: 0.8799, Validation Loss: 0.8496
Epoch 23/1000, Train Loss: 0.8669, Validation Loss: 0.8129
Epoch 24/1000, Train Loss: 0.8816, Validation Loss: 1.5157
Epoch 25/1000, Train Loss: 0.8638, Validation Loss: 0.8545
Epoch 26/1000, Train Loss: 0.8259, Validation Loss: 1.3990
Epoch 27/1000, Train Loss: 0.8243, Validation Loss: 5.0561
Epoch 28/1000, Train Loss: 0.7999, Validation Loss: 2.4507
Epoch 29/1000, Train Loss: 0.7886, Validation Loss: 1.0585
Epoch 30/1000, Train Loss: 0.7936, Validation Loss: 0.7845
Epoch 31/1000, Train Loss: 0.7683, Validation Loss: 1.2735
Epoch 32/1000, Train Loss: 0.7594, Validation Loss: 1.4797
Epoch 33/1000, Train Loss: 0.7374, Validation Loss: 1.0356
Epoch 34/1000, Train Loss: 0.7544, Validation Loss: 1.1639
Epoch 35/1000, Train Loss: 0.7433, Validation Loss: 1.3044
Epoch 36/1000, Train Loss: 0.7415, Validation Loss: 0.9711
Epoch 37/1000, Train Loss: 0.7291, Validation Loss: 2.3679
Epoch 38/1000, Train Loss: 0.7308, Validation Loss: 0.7622
Epoch 39/1000, Train Loss: 0.7187, Validation Loss: 0.7894
Epoch 40/1000, Train Loss: 0.7144, Validation Loss: 0.7722
Epoch 41/1000, Train Loss: 0.6967, Validation Loss: 0.9953
Epoch 42/1000, Train Loss: 0.7102, Validation Loss: 2.6706
Epoch 43/1000, Train Loss: 0.6967, Validation Loss: 2.5273
Epoch 44/1000, Train Loss: 0.6929, Validation Loss: 0.7863
Epoch 45/1000, Train Loss: 0.6916, Validation Loss: 0.7244
Epoch 46/1000, Train Loss: 0.6961, Validation Loss: 0.7126
Epoch 47/1000, Train Loss: 0.6772, Validation Loss: 1.5951
Epoch 48/1000, Train Loss: 0.6700, Validation Loss: 0.7395
Epoch 49/1000, Train Loss: 0.6901, Validation Loss: 0.6561
Epoch 50/1000, Train Loss: 0.6686, Validation Loss: 0.9575
Epoch 51/1000, Train Loss: 0.6626, Validation Loss: 1.4742
Epoch 52/1000, Train Loss: 0.6666, Validation Loss: 3.4493
Epoch 53/1000, Train Loss: 0.6603, Validation Loss: 0.7670
Epoch 54/1000, Train Loss: 0.6535, Validation Loss: 0.8306
Epoch 55/1000, Train Loss: 0.6507, Validation Loss: 1.2587
Epoch 56/1000, Train Loss: 0.6458, Validation Loss: 1.9901
Epoch 57/1000, Train Loss: 0.6450, Validation Loss: 1.3976
Epoch 58/1000, Train Loss: 0.6514, Validation Loss: 1.6466
Epoch 59/1000, Train Loss: 0.6553, Validation Loss: 0.6242
Epoch 60/1000, Train Loss: 0.6397, Validation Loss: 2.7009
Epoch 61/1000, Train Loss: 0.6386, Validation Loss: 0.7568
Epoch 62/1000, Train Loss: 0.6618, Validation Loss: 3.1962
