Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-t9pg1w91
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.8557, Validation Loss: 2.2314
Epoch 2/1000, Train Loss: 1.4419, Validation Loss: 16.8822
Epoch 3/1000, Train Loss: 1.4238, Validation Loss: 4.5751
Epoch 4/1000, Train Loss: 1.1911, Validation Loss: 6.4547
Epoch 5/1000, Train Loss: 1.1611, Validation Loss: 5.7403
Epoch 6/1000, Train Loss: 1.1441, Validation Loss: 1.1407
Epoch 7/1000, Train Loss: 1.1396, Validation Loss: 2.0378
Epoch 8/1000, Train Loss: 1.0763, Validation Loss: 1.8184
Epoch 9/1000, Train Loss: 1.0753, Validation Loss: 1.2188
Epoch 10/1000, Train Loss: 1.0529, Validation Loss: 2.3404
Epoch 11/1000, Train Loss: 1.0658, Validation Loss: 3.1718
Epoch 12/1000, Train Loss: 1.0007, Validation Loss: 3.9603
Epoch 13/1000, Train Loss: 1.0332, Validation Loss: 2.4423
Epoch 14/1000, Train Loss: 1.0181, Validation Loss: 3.4300
Epoch 15/1000, Train Loss: 1.0150, Validation Loss: 4.6807
Epoch 16/1000, Train Loss: 0.9525, Validation Loss: 0.8537
Epoch 17/1000, Train Loss: 0.9449, Validation Loss: 1.2124
Epoch 18/1000, Train Loss: 0.9613, Validation Loss: 8.2297
Epoch 19/1000, Train Loss: 0.9130, Validation Loss: 1.2996
Epoch 20/1000, Train Loss: 0.9037, Validation Loss: 9.2497
Epoch 21/1000, Train Loss: 0.9219, Validation Loss: 0.9818
Epoch 22/1000, Train Loss: 0.9143, Validation Loss: 9.9279
Epoch 23/1000, Train Loss: 0.8986, Validation Loss: 3.4573
Epoch 24/1000, Train Loss: 0.9683, Validation Loss: 1.5159
Epoch 25/1000, Train Loss: 0.9496, Validation Loss: 4.8498
Epoch 26/1000, Train Loss: 0.8878, Validation Loss: 1.7591
Epoch 27/1000, Train Loss: 0.8850, Validation Loss: 9.1597
Epoch 28/1000, Train Loss: 0.8688, Validation Loss: 2.7278
Epoch 29/1000, Train Loss: 0.8485, Validation Loss: 18.7144
Epoch 30/1000, Train Loss: 1.9409, Validation Loss: 1.5783
Epoch 31/1000, Train Loss: 1.0404, Validation Loss: 7.6971
Epoch 32/1000, Train Loss: 0.8769, Validation Loss: 16.3613
Epoch 33/1000, Train Loss: 0.9008, Validation Loss: 5.3712
Epoch 34/1000, Train Loss: 0.8760, Validation Loss: 2.6591
Epoch 35/1000, Train Loss: 0.8198, Validation Loss: 1.3111
