Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-ua9ihrrs
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.1285, Validation Loss: 3.4571
Epoch 2/1000, Train Loss: 1.7334, Validation Loss: 4.0313
Epoch 3/1000, Train Loss: 2.0795, Validation Loss: 3.3662
Epoch 4/1000, Train Loss: 1.5966, Validation Loss: 2.5003
Epoch 5/1000, Train Loss: 1.6831, Validation Loss: 2.2757
Epoch 6/1000, Train Loss: 1.4015, Validation Loss: 3.2938
Epoch 7/1000, Train Loss: 1.4565, Validation Loss: 1.0956
Epoch 8/1000, Train Loss: 1.2512, Validation Loss: 1.5805
Epoch 9/1000, Train Loss: 1.2905, Validation Loss: 1.2599
Epoch 10/1000, Train Loss: 1.3121, Validation Loss: 2.0266
Epoch 11/1000, Train Loss: 1.2645, Validation Loss: 1.0782
Epoch 12/1000, Train Loss: 1.1597, Validation Loss: 3.0542
Epoch 13/1000, Train Loss: 1.1589, Validation Loss: 1.3317
Epoch 14/1000, Train Loss: 1.2257, Validation Loss: 1.6527
Epoch 15/1000, Train Loss: 1.1260, Validation Loss: 1.0112
Epoch 16/1000, Train Loss: 1.1269, Validation Loss: 1.3705
Epoch 17/1000, Train Loss: 1.1352, Validation Loss: 2.0386
Epoch 18/1000, Train Loss: 1.1019, Validation Loss: 2.2613
Epoch 19/1000, Train Loss: 1.0573, Validation Loss: 2.7736
Epoch 20/1000, Train Loss: 1.0607, Validation Loss: 1.2732
Epoch 21/1000, Train Loss: 1.0400, Validation Loss: 1.3957
Epoch 22/1000, Train Loss: 1.0477, Validation Loss: 2.9145
Epoch 23/1000, Train Loss: 1.0378, Validation Loss: 0.9025
Epoch 24/1000, Train Loss: 0.9965, Validation Loss: 2.4882
Epoch 25/1000, Train Loss: 1.0275, Validation Loss: 0.9199
Epoch 26/1000, Train Loss: 1.0217, Validation Loss: 2.0071
Epoch 27/1000, Train Loss: 1.1001, Validation Loss: 2.3944
Epoch 28/1000, Train Loss: 1.0165, Validation Loss: 1.2267
Epoch 29/1000, Train Loss: 0.9435, Validation Loss: 2.1044
Epoch 30/1000, Train Loss: 0.9769, Validation Loss: 1.2402
Epoch 31/1000, Train Loss: 0.9254, Validation Loss: 2.2199
Epoch 32/1000, Train Loss: 0.9704, Validation Loss: 2.3469
Epoch 33/1000, Train Loss: 0.9296, Validation Loss: 1.9106
