Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-h5rdkval
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.6753, Validation Loss: 3.1010
Epoch 2/1000, Train Loss: 1.6345, Validation Loss: 1.8256
Epoch 3/1000, Train Loss: 1.4364, Validation Loss: 2.6116
Epoch 4/1000, Train Loss: 1.4080, Validation Loss: 1.3730
Epoch 5/1000, Train Loss: 1.3172, Validation Loss: 1.4626
Epoch 6/1000, Train Loss: 1.2845, Validation Loss: 1.3764
Epoch 7/1000, Train Loss: 1.4065, Validation Loss: 1.8949
Epoch 8/1000, Train Loss: 1.5006, Validation Loss: 2.5588
Epoch 9/1000, Train Loss: 1.3338, Validation Loss: 2.2937
Epoch 10/1000, Train Loss: 1.3018, Validation Loss: 2.5298
Epoch 11/1000, Train Loss: 1.2106, Validation Loss: 2.1403
Epoch 12/1000, Train Loss: 1.4695, Validation Loss: 2.6779
Epoch 13/1000, Train Loss: 1.1796, Validation Loss: 1.1084
Epoch 14/1000, Train Loss: 1.2632, Validation Loss: 2.2960
Epoch 15/1000, Train Loss: 1.1673, Validation Loss: 1.1928
Epoch 16/1000, Train Loss: 1.2394, Validation Loss: 1.3905
Epoch 17/1000, Train Loss: 1.1697, Validation Loss: 3.1263
Epoch 18/1000, Train Loss: 1.3084, Validation Loss: 2.9819
Epoch 19/1000, Train Loss: 1.0559, Validation Loss: 0.9900
Epoch 20/1000, Train Loss: 1.1231, Validation Loss: 1.6471
Epoch 21/1000, Train Loss: 1.1893, Validation Loss: 1.3100
Epoch 22/1000, Train Loss: 1.0753, Validation Loss: 1.3701
Epoch 23/1000, Train Loss: 1.0239, Validation Loss: 2.0087
Epoch 24/1000, Train Loss: 1.0157, Validation Loss: 2.4302
Epoch 25/1000, Train Loss: 1.0874, Validation Loss: 1.6106
Epoch 26/1000, Train Loss: 1.0141, Validation Loss: 2.2113
Epoch 27/1000, Train Loss: 1.0741, Validation Loss: 2.3511
Epoch 28/1000, Train Loss: 1.0144, Validation Loss: 1.8858
Epoch 29/1000, Train Loss: 0.9477, Validation Loss: 1.3807
Epoch 30/1000, Train Loss: 0.9577, Validation Loss: 1.0256
Epoch 31/1000, Train Loss: 0.9400, Validation Loss: 0.9645
Epoch 32/1000, Train Loss: 0.8696, Validation Loss: 1.0289
Epoch 33/1000, Train Loss: 0.8809, Validation Loss: 1.1022
Epoch 34/1000, Train Loss: 0.9174, Validation Loss: 2.7526
Epoch 35/1000, Train Loss: 0.9841, Validation Loss: 1.2660
Epoch 36/1000, Train Loss: 0.8766, Validation Loss: 1.0825
Epoch 37/1000, Train Loss: 0.8268, Validation Loss: 1.0246
Epoch 38/1000, Train Loss: 0.8891, Validation Loss: 1.9120
Epoch 39/1000, Train Loss: 0.8682, Validation Loss: 1.0617
Epoch 40/1000, Train Loss: 0.9089, Validation Loss: 1.0579
Epoch 41/1000, Train Loss: 0.8372, Validation Loss: 0.9318
Epoch 42/1000, Train Loss: 0.8463, Validation Loss: 2.7068
Epoch 43/1000, Train Loss: 0.8697, Validation Loss: 1.5352
Epoch 44/1000, Train Loss: 0.7970, Validation Loss: 1.3989
Epoch 45/1000, Train Loss: 0.8270, Validation Loss: 1.6732
Epoch 46/1000, Train Loss: 0.8174, Validation Loss: 1.2823
Epoch 47/1000, Train Loss: 0.7885, Validation Loss: 2.2573
Epoch 48/1000, Train Loss: 0.7632, Validation Loss: 1.5316
Epoch 49/1000, Train Loss: 0.8081, Validation Loss: 1.5186
Epoch 50/1000, Train Loss: 0.7951, Validation Loss: 0.9760
Epoch 51/1000, Train Loss: 0.8000, Validation Loss: 0.9849
Epoch 52/1000, Train Loss: 0.7579, Validation Loss: 0.9968
Epoch 53/1000, Train Loss: 0.8177, Validation Loss: 1.5123
Epoch 54/1000, Train Loss: 0.7681, Validation Loss: 1.4739
