Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-ylprt580
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 8.5041, Validation Loss: 9.8805
Epoch 2/1000, Train Loss: 1.3288, Validation Loss: 1.3043
Epoch 3/1000, Train Loss: 1.3125, Validation Loss: 2.7738
Epoch 4/1000, Train Loss: 1.4231, Validation Loss: 10.1707
Epoch 5/1000, Train Loss: 1.1898, Validation Loss: 32.7258
Epoch 6/1000, Train Loss: 1.0782, Validation Loss: 1.8121
Epoch 7/1000, Train Loss: 1.0906, Validation Loss: 1.0056
Epoch 8/1000, Train Loss: 1.0314, Validation Loss: 1.5215
Epoch 9/1000, Train Loss: 54.9985, Validation Loss: 1.2951
Epoch 10/1000, Train Loss: 0.9965, Validation Loss: 2.6400
Epoch 11/1000, Train Loss: 1.2978, Validation Loss: 1.7970
Epoch 12/1000, Train Loss: 1.0135, Validation Loss: 2.7528
Epoch 13/1000, Train Loss: 0.9629, Validation Loss: 1.4393
Epoch 14/1000, Train Loss: 1.0081, Validation Loss: 3.1521
Epoch 15/1000, Train Loss: 0.9368, Validation Loss: 3.9853
Epoch 16/1000, Train Loss: 3.2928, Validation Loss: 2.5438
Epoch 17/1000, Train Loss: 0.9225, Validation Loss: 0.9949
Epoch 18/1000, Train Loss: 1.3771, Validation Loss: 3.6922
Epoch 19/1000, Train Loss: 0.9581, Validation Loss: 1.4472
Epoch 20/1000, Train Loss: 0.9011, Validation Loss: 5.2087
Epoch 21/1000, Train Loss: 2.4049, Validation Loss: 2.2214
Epoch 22/1000, Train Loss: 0.9139, Validation Loss: 1.9390
Epoch 23/1000, Train Loss: 0.8818, Validation Loss: 2.3804
Epoch 24/1000, Train Loss: 0.8720, Validation Loss: 2.1738
Epoch 25/1000, Train Loss: 7.1633, Validation Loss: 6.1193
Epoch 26/1000, Train Loss: 11.2206, Validation Loss: 1.7028
Epoch 27/1000, Train Loss: 1.1614, Validation Loss: 14.8438
Epoch 28/1000, Train Loss: 0.9733, Validation Loss: 1.0308
Epoch 29/1000, Train Loss: 1.0712, Validation Loss: 0.8945
Epoch 30/1000, Train Loss: 0.9181, Validation Loss: 3.5374
Epoch 31/1000, Train Loss: 1.0136, Validation Loss: 1.9709
Epoch 32/1000, Train Loss: 0.9272, Validation Loss: 1.4476
Epoch 33/1000, Train Loss: 0.9242, Validation Loss: 3.2909
Epoch 34/1000, Train Loss: 0.9450, Validation Loss: 2.3889
Epoch 35/1000, Train Loss: 0.9321, Validation Loss: 1.7324
Epoch 36/1000, Train Loss: 7.0469, Validation Loss: 2.8682
Epoch 37/1000, Train Loss: 0.9309, Validation Loss: 2.8405
Epoch 38/1000, Train Loss: 0.9634, Validation Loss: 4.5476
Epoch 39/1000, Train Loss: 0.9480, Validation Loss: 2.6431
Epoch 40/1000, Train Loss: 0.8940, Validation Loss: 11.1035
Epoch 41/1000, Train Loss: 2.6380, Validation Loss: 3.8991
Epoch 42/1000, Train Loss: 0.8657, Validation Loss: 4.0371
Epoch 43/1000, Train Loss: 0.9094, Validation Loss: 3.9608
Epoch 44/1000, Train Loss: 0.8866, Validation Loss: 2.3030
Epoch 45/1000, Train Loss: 0.8771, Validation Loss: 1.8812
Epoch 46/1000, Train Loss: 0.8807, Validation Loss: 2.0834
Epoch 47/1000, Train Loss: 9777.8429, Validation Loss: 31.9696
Epoch 48/1000, Train Loss: 1.8078, Validation Loss: 1.7185
Epoch 49/1000, Train Loss: 0.9427, Validation Loss: 3.6727
Epoch 50/1000, Train Loss: 4.1421, Validation Loss: 1.0744
Epoch 51/1000, Train Loss: 0.8440, Validation Loss: 11.6043
Epoch 52/1000, Train Loss: 0.8793, Validation Loss: 3.2934
Epoch 53/1000, Train Loss: 5.0004, Validation Loss: 2.6747
Epoch 54/1000, Train Loss: 0.8293, Validation Loss: 0.9717
Epoch 55/1000, Train Loss: 1.6765, Validation Loss: 4.2426
Epoch 56/1000, Train Loss: 0.8256, Validation Loss: 1.1681
Epoch 57/1000, Train Loss: 0.8205, Validation Loss: 2.1926
Epoch 58/1000, Train Loss: 0.8120, Validation Loss: 3.3393
Epoch 59/1000, Train Loss: 0.8345, Validation Loss: 3.2099
Epoch 60/1000, Train Loss: 0.9985, Validation Loss: 1.7480
Epoch 61/1000, Train Loss: 0.8367, Validation Loss: 1.0883
Epoch 62/1000, Train Loss: 0.8082, Validation Loss: 1.0211
Epoch 63/1000, Train Loss: 0.8614, Validation Loss: 2.5785
Epoch 64/1000, Train Loss: 0.8185, Validation Loss: 3.7133
Epoch 65/1000, Train Loss: 0.8449, Validation Loss: 1.9938
Epoch 66/1000, Train Loss: 0.8386, Validation Loss: 1.3533
Epoch 67/1000, Train Loss: 0.8006, Validation Loss: 1.4747
Epoch 68/1000, Train Loss: 1024.2737, Validation Loss: 4.8890
Epoch 69/1000, Train Loss: 0.9321, Validation Loss: 1.9001
Epoch 70/1000, Train Loss: 0.8010, Validation Loss: 6.4846
Epoch 71/1000, Train Loss: 0.7788, Validation Loss: 3.4388
Epoch 72/1000, Train Loss: 0.8098, Validation Loss: 3.7214
Epoch 73/1000, Train Loss: 0.8330, Validation Loss: 2.0383
Epoch 74/1000, Train Loss: 0.8510, Validation Loss: 3.4974
Epoch 75/1000, Train Loss: 0.8245, Validation Loss: 1.5756
Epoch 76/1000, Train Loss: 1.9206, Validation Loss: 5.4371
Epoch 77/1000, Train Loss: 1.3206, Validation Loss: 1.9699
Epoch 78/1000, Train Loss: 0.8141, Validation Loss: 4.5651
Epoch 79/1000, Train Loss: 0.8319, Validation Loss: 4.6288
Epoch 80/1000, Train Loss: 0.7944, Validation Loss: 3.2419
Epoch 81/1000, Train Loss: 0.8156, Validation Loss: 2.8580
Epoch 82/1000, Train Loss: 0.7835, Validation Loss: 1.9535
Epoch 83/1000, Train Loss: 24.5783, Validation Loss: 1.1451
Epoch 84/1000, Train Loss: 158.6229, Validation Loss: 1.5398
Epoch 85/1000, Train Loss: 6.5056, Validation Loss: 3.6565
Epoch 86/1000, Train Loss: 115.5193, Validation Loss: 1.7482
Epoch 87/1000, Train Loss: 0.7979, Validation Loss: 2.4988
Epoch 88/1000, Train Loss: 0.8373, Validation Loss: 1.5338
Epoch 89/1000, Train Loss: 0.8448, Validation Loss: 2.9543
Epoch 90/1000, Train Loss: 20.7541, Validation Loss: 3.0852
Epoch 91/1000, Train Loss: 1.3465, Validation Loss: 2.1115
Epoch 92/1000, Train Loss: 0.8180, Validation Loss: 1.9775
Epoch 93/1000, Train Loss: 0.8720, Validation Loss: 2.0866
Epoch 94/1000, Train Loss: 0.8202, Validation Loss: 2.7463
Epoch 95/1000, Train Loss: 42.3848, Validation Loss: 1.1614
Epoch 96/1000, Train Loss: 0.8891, Validation Loss: 2.0700
Epoch 97/1000, Train Loss: 0.8091, Validation Loss: 4.6193
Epoch 98/1000, Train Loss: 0.8070, Validation Loss: 1.5487
Epoch 99/1000, Train Loss: 0.8107, Validation Loss: 1.8837
Epoch 100/1000, Train Loss: 2.5431, Validation Loss: 4.8616
Epoch 101/1000, Train Loss: 0.8085, Validation Loss: 2.6756
Epoch 102/1000, Train Loss: 0.9351, Validation Loss: 7.3472
Epoch 103/1000, Train Loss: 0.7803, Validation Loss: 1.3833
Epoch 104/1000, Train Loss: 0.8324, Validation Loss: 3.1879
Epoch 105/1000, Train Loss: 0.8156, Validation Loss: 1.6552
Epoch 106/1000, Train Loss: 0.8330, Validation Loss: 5.4244
Epoch 107/1000, Train Loss: 6.6360, Validation Loss: 6.2630
Epoch 108/1000, Train Loss: 6.2830, Validation Loss: 6.0580
Epoch 109/1000, Train Loss: 50.0728, Validation Loss: 6.2860
Epoch 110/1000, Train Loss: 8.9455, Validation Loss: 6.2547
Epoch 111/1000, Train Loss: 6.6674, Validation Loss: 6.2359
Epoch 112/1000, Train Loss: 13.5333, Validation Loss: 6.1859
Epoch 113/1000, Train Loss: 6.5447, Validation Loss: 6.0580
Epoch 114/1000, Train Loss: 12.5667, Validation Loss: 6.1114
Epoch 115/1000, Train Loss: 133.8656, Validation Loss: 6.0620
Epoch 116/1000, Train Loss: 6.1701, Validation Loss: 6.1717
Epoch 117/1000, Train Loss: 8.6346, Validation Loss: 6.2173
Epoch 118/1000, Train Loss: 6.6560, Validation Loss: 6.0740
Epoch 119/1000, Train Loss: 7.6374, Validation Loss: 6.0727
Epoch 120/1000, Train Loss: 6.7606, Validation Loss: 6.1117
Epoch 121/1000, Train Loss: 8.0836, Validation Loss: 6.1035
Epoch 122/1000, Train Loss: 6.2413, Validation Loss: 6.0693
Epoch 123/1000, Train Loss: 9.9708, Validation Loss: 6.1542
Epoch 124/1000, Train Loss: 6.2750, Validation Loss: 6.0627
Epoch 125/1000, Train Loss: 6.3545, Validation Loss: 6.3108
Epoch 126/1000, Train Loss: 6.4722, Validation Loss: 6.0630
Epoch 127/1000, Train Loss: 6.2369, Validation Loss: 6.0517
Epoch 128/1000, Train Loss: 44.8001, Validation Loss: 6.0704
Epoch 129/1000, Train Loss: 15.2331, Validation Loss: 6.0868
Epoch 130/1000, Train Loss: 9.9672, Validation Loss: 6.0608
Epoch 131/1000, Train Loss: 88.4685, Validation Loss: 6.0570
Epoch 132/1000, Train Loss: 6.1807, Validation Loss: 6.1436
Epoch 133/1000, Train Loss: 6.1975, Validation Loss: 6.1731
Epoch 134/1000, Train Loss: 6.1791, Validation Loss: 6.0865
Epoch 135/1000, Train Loss: 24.2105, Validation Loss: 6.0615
Epoch 136/1000, Train Loss: 6.4797, Validation Loss: 544.9028
Epoch 137/1000, Train Loss: 11.2554, Validation Loss: 6.0589
Epoch 138/1000, Train Loss: 9.5763, Validation Loss: 6.2668
Epoch 139/1000, Train Loss: 100.6112, Validation Loss: 6.0598
Epoch 140/1000, Train Loss: 6.1709, Validation Loss: 6.1929
Epoch 141/1000, Train Loss: 6.3119, Validation Loss: 6.8269
Epoch 142/1000, Train Loss: 6.1978, Validation Loss: 6.1163
Epoch 143/1000, Train Loss: 6.1906, Validation Loss: 6.1409
Epoch 144/1000, Train Loss: 7.3747, Validation Loss: 6.0881
Epoch 145/1000, Train Loss: 6.3595, Validation Loss: 6.1633
Epoch 146/1000, Train Loss: 7.0155, Validation Loss: 6.0895
Epoch 147/1000, Train Loss: 6.1885, Validation Loss: 6.3022
Epoch 148/1000, Train Loss: 6.2780, Validation Loss: 6.0603
