Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-mg18uuzb
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.0349, Validation Loss: 6.5494
Epoch 2/1000, Train Loss: 1.5308, Validation Loss: 3.6016
Epoch 3/1000, Train Loss: 1.3995, Validation Loss: 1.3875
Epoch 4/1000, Train Loss: 1.4241, Validation Loss: 2.4896
Epoch 5/1000, Train Loss: 1.3403, Validation Loss: 1.4412
Epoch 6/1000, Train Loss: 1.2865, Validation Loss: 4.2453
Epoch 7/1000, Train Loss: 1.3202, Validation Loss: 5.2309
Epoch 8/1000, Train Loss: 1.2355, Validation Loss: 3.6175
Epoch 9/1000, Train Loss: 1.2842, Validation Loss: 1.1690
Epoch 10/1000, Train Loss: 1.1593, Validation Loss: 0.9839
Epoch 11/1000, Train Loss: 1.1317, Validation Loss: 1.7106
Epoch 12/1000, Train Loss: 1.1210, Validation Loss: 13.4387
Epoch 13/1000, Train Loss: 1.0816, Validation Loss: 1.1494
Epoch 14/1000, Train Loss: 1.0561, Validation Loss: 1.2472
Epoch 15/1000, Train Loss: 1.0366, Validation Loss: 2.1606
Epoch 16/1000, Train Loss: 1.0198, Validation Loss: 3.4125
Epoch 17/1000, Train Loss: 1.0134, Validation Loss: 2.3536
Epoch 18/1000, Train Loss: 0.9697, Validation Loss: 3.1946
Epoch 19/1000, Train Loss: 0.9652, Validation Loss: 1.0059
Epoch 20/1000, Train Loss: 0.9611, Validation Loss: 2.2668
Epoch 21/1000, Train Loss: 0.9170, Validation Loss: 2.7686
Epoch 22/1000, Train Loss: 0.9210, Validation Loss: 1.1205
Epoch 23/1000, Train Loss: 0.9001, Validation Loss: 0.9155
Epoch 24/1000, Train Loss: 0.8771, Validation Loss: 1.2989
Epoch 25/1000, Train Loss: 0.8497, Validation Loss: 1.0599
Epoch 26/1000, Train Loss: 0.8510, Validation Loss: 0.9089
Epoch 27/1000, Train Loss: 0.8349, Validation Loss: 0.8838
Epoch 28/1000, Train Loss: 0.8209, Validation Loss: 1.3332
Epoch 29/1000, Train Loss: 0.8032, Validation Loss: 0.9543
Epoch 30/1000, Train Loss: 0.8042, Validation Loss: 2.0476
Epoch 31/1000, Train Loss: 0.7952, Validation Loss: 0.9395
Epoch 32/1000, Train Loss: 0.7744, Validation Loss: 1.2787
Epoch 33/1000, Train Loss: 0.7680, Validation Loss: 1.5527
Epoch 34/1000, Train Loss: 0.7623, Validation Loss: 2.5946
Epoch 35/1000, Train Loss: 0.7621, Validation Loss: 1.5029
Epoch 36/1000, Train Loss: 0.7582, Validation Loss: 4.1883
Epoch 37/1000, Train Loss: 0.7534, Validation Loss: 0.8131
Epoch 38/1000, Train Loss: 0.7429, Validation Loss: 1.1012
Epoch 39/1000, Train Loss: 0.7417, Validation Loss: 1.1270
Epoch 40/1000, Train Loss: 0.7300, Validation Loss: 0.6549
Epoch 41/1000, Train Loss: 0.7200, Validation Loss: 3.1627
Epoch 42/1000, Train Loss: 0.7089, Validation Loss: 0.7425
Epoch 43/1000, Train Loss: 0.7160, Validation Loss: 2.7466
Epoch 44/1000, Train Loss: 0.7066, Validation Loss: 1.0874
Epoch 45/1000, Train Loss: 0.7110, Validation Loss: 0.6903
Epoch 46/1000, Train Loss: 0.7028, Validation Loss: 1.6082
Epoch 47/1000, Train Loss: 0.6937, Validation Loss: 1.4835
Epoch 48/1000, Train Loss: 0.6870, Validation Loss: 3.2208
Epoch 49/1000, Train Loss: 0.6900, Validation Loss: 0.7275
Epoch 50/1000, Train Loss: 0.6693, Validation Loss: 0.7270
Epoch 51/1000, Train Loss: 0.6686, Validation Loss: 1.7544
Epoch 52/1000, Train Loss: 0.6641, Validation Loss: 2.4748
Epoch 53/1000, Train Loss: 0.6596, Validation Loss: 1.0169
Epoch 54/1000, Train Loss: 0.6747, Validation Loss: 0.6128
Epoch 55/1000, Train Loss: 0.6485, Validation Loss: 0.8857
Epoch 56/1000, Train Loss: 0.6586, Validation Loss: 3.0708
Epoch 57/1000, Train Loss: 0.6610, Validation Loss: 0.9337
Epoch 58/1000, Train Loss: 0.6663, Validation Loss: 3.4931
Epoch 59/1000, Train Loss: 0.6417, Validation Loss: 1.5889
Epoch 60/1000, Train Loss: 0.6410, Validation Loss: 1.0187
Epoch 61/1000, Train Loss: 0.6347, Validation Loss: 1.4847
Epoch 62/1000, Train Loss: 0.6282, Validation Loss: 4.0263
Epoch 63/1000, Train Loss: 0.6350, Validation Loss: 1.5514
Epoch 64/1000, Train Loss: 0.6312, Validation Loss: 0.5841
Epoch 65/1000, Train Loss: 0.6295, Validation Loss: 0.9124
Epoch 66/1000, Train Loss: 0.6230, Validation Loss: 0.7077
Epoch 67/1000, Train Loss: 0.6196, Validation Loss: 2.8732
Epoch 68/1000, Train Loss: 0.6243, Validation Loss: 1.2365
Epoch 69/1000, Train Loss: 0.6065, Validation Loss: 3.2416
Epoch 70/1000, Train Loss: 0.6131, Validation Loss: 0.6482
Epoch 71/1000, Train Loss: 0.6104, Validation Loss: 0.5897
Epoch 72/1000, Train Loss: 0.6124, Validation Loss: 1.5178
Epoch 73/1000, Train Loss: 0.6102, Validation Loss: 1.9704
Epoch 74/1000, Train Loss: 0.6052, Validation Loss: 0.7159
Epoch 75/1000, Train Loss: 0.6045, Validation Loss: 2.5664
Epoch 76/1000, Train Loss: 0.5982, Validation Loss: 1.9622
Epoch 77/1000, Train Loss: 0.5927, Validation Loss: 0.8391
Epoch 78/1000, Train Loss: 0.5980, Validation Loss: 0.8725
Epoch 79/1000, Train Loss: 0.5924, Validation Loss: 1.8349
Epoch 80/1000, Train Loss: 0.5981, Validation Loss: 1.0375
Epoch 81/1000, Train Loss: 0.5963, Validation Loss: 1.7584
Epoch 82/1000, Train Loss: 0.5866, Validation Loss: 0.7392
Epoch 83/1000, Train Loss: 0.5758, Validation Loss: 0.9679
Epoch 84/1000, Train Loss: 0.5746, Validation Loss: 0.7294
Epoch 85/1000, Train Loss: 0.5723, Validation Loss: 0.7027
Epoch 86/1000, Train Loss: 0.5794, Validation Loss: 0.5884
Epoch 87/1000, Train Loss: 0.5682, Validation Loss: 0.9587
Epoch 88/1000, Train Loss: 0.5671, Validation Loss: 2.1466
Epoch 89/1000, Train Loss: 0.5636, Validation Loss: 1.0051
Epoch 90/1000, Train Loss: 0.5644, Validation Loss: 0.6754
Epoch 91/1000, Train Loss: 0.5613, Validation Loss: 0.5832
Epoch 92/1000, Train Loss: 0.5707, Validation Loss: 0.6188
Epoch 93/1000, Train Loss: 0.5631, Validation Loss: 3.4469
Epoch 94/1000, Train Loss: 0.5708, Validation Loss: 1.1961
Epoch 95/1000, Train Loss: 0.5588, Validation Loss: 0.6399
Epoch 96/1000, Train Loss: 0.5592, Validation Loss: 1.0895
Epoch 97/1000, Train Loss: 0.5458, Validation Loss: 0.6182
Epoch 98/1000, Train Loss: 0.5533, Validation Loss: 0.5947
Epoch 99/1000, Train Loss: 0.5483, Validation Loss: 0.6165
Epoch 100/1000, Train Loss: 0.5562, Validation Loss: 0.8313
Epoch 101/1000, Train Loss: 0.5468, Validation Loss: 1.1511
Epoch 102/1000, Train Loss: 0.5471, Validation Loss: 2.6379
Epoch 103/1000, Train Loss: 0.5463, Validation Loss: 0.6502
Epoch 104/1000, Train Loss: 0.5466, Validation Loss: 0.5048
Epoch 105/1000, Train Loss: 0.5477, Validation Loss: 0.8371
Epoch 106/1000, Train Loss: 0.5443, Validation Loss: 0.6532
Epoch 107/1000, Train Loss: 0.5427, Validation Loss: 1.0913
Epoch 108/1000, Train Loss: 0.5414, Validation Loss: 0.9562
Epoch 109/1000, Train Loss: 0.5385, Validation Loss: 1.4934
Epoch 110/1000, Train Loss: 0.5345, Validation Loss: 0.6604
Epoch 111/1000, Train Loss: 0.5336, Validation Loss: 0.7726
Epoch 112/1000, Train Loss: 0.5425, Validation Loss: 1.6852
Epoch 113/1000, Train Loss: 0.5248, Validation Loss: 0.8386
Epoch 114/1000, Train Loss: 0.5323, Validation Loss: 0.7962
Epoch 115/1000, Train Loss: 0.5290, Validation Loss: 0.7105
Epoch 116/1000, Train Loss: 0.5302, Validation Loss: 1.4639
Epoch 117/1000, Train Loss: 0.5210, Validation Loss: 0.4551
Epoch 118/1000, Train Loss: 0.5223, Validation Loss: 0.9061
Epoch 119/1000, Train Loss: 0.5212, Validation Loss: 0.8335
Epoch 120/1000, Train Loss: 0.5188, Validation Loss: 0.8078
Epoch 121/1000, Train Loss: 0.5230, Validation Loss: 0.7753
Epoch 122/1000, Train Loss: 0.5149, Validation Loss: 1.9660
Epoch 123/1000, Train Loss: 0.5184, Validation Loss: 0.6002
Epoch 124/1000, Train Loss: 0.5212, Validation Loss: 1.3482
Epoch 125/1000, Train Loss: 0.5187, Validation Loss: 1.4433
Epoch 126/1000, Train Loss: 0.5145, Validation Loss: 0.9954
Epoch 127/1000, Train Loss: 0.5143, Validation Loss: 0.5639
Epoch 128/1000, Train Loss: 0.5135, Validation Loss: 0.6091
Epoch 129/1000, Train Loss: 0.5067, Validation Loss: 0.9940
Epoch 130/1000, Train Loss: 0.5121, Validation Loss: 0.5792
Epoch 131/1000, Train Loss: 0.5087, Validation Loss: 0.8088
Epoch 132/1000, Train Loss: 0.5116, Validation Loss: 1.8814
Epoch 133/1000, Train Loss: 0.5116, Validation Loss: 0.5093
Epoch 134/1000, Train Loss: 0.5062, Validation Loss: 0.6353
Epoch 135/1000, Train Loss: 0.5050, Validation Loss: 0.6657
Epoch 136/1000, Train Loss: 0.5064, Validation Loss: 2.8824
Epoch 137/1000, Train Loss: 0.5059, Validation Loss: 1.1604
Epoch 138/1000, Train Loss: 0.5054, Validation Loss: 0.6835
Epoch 139/1000, Train Loss: 0.5007, Validation Loss: 1.7414
Epoch 140/1000, Train Loss: 0.5051, Validation Loss: 0.5886
Epoch 141/1000, Train Loss: 0.5068, Validation Loss: 1.1136
Epoch 142/1000, Train Loss: 0.4965, Validation Loss: 1.6263
Epoch 143/1000, Train Loss: 0.5012, Validation Loss: 0.7703
Epoch 144/1000, Train Loss: 0.5015, Validation Loss: 0.9068
Epoch 145/1000, Train Loss: 0.4964, Validation Loss: 2.2125
Epoch 146/1000, Train Loss: 0.4986, Validation Loss: 0.4610
Epoch 147/1000, Train Loss: 0.4994, Validation Loss: 0.8668
