Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-mvl5ed6q
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.4709, Validation Loss: 3.0575
Epoch 2/1000, Train Loss: 1.3662, Validation Loss: 6.2124
Epoch 3/1000, Train Loss: 1.3178, Validation Loss: 1.5458
Epoch 4/1000, Train Loss: 1.3061, Validation Loss: 4.3094
Epoch 5/1000, Train Loss: 1.2519, Validation Loss: 1.7326
Epoch 6/1000, Train Loss: 1.1852, Validation Loss: 1.8207
Epoch 7/1000, Train Loss: 8.4669, Validation Loss: 1.0306
Epoch 8/1000, Train Loss: 8.1091, Validation Loss: 2.5616
Epoch 9/1000, Train Loss: 5.5771, Validation Loss: 1.4124
Epoch 10/1000, Train Loss: 1.1422, Validation Loss: 1.0335
Epoch 11/1000, Train Loss: 1.0896, Validation Loss: 1.5151
Epoch 12/1000, Train Loss: 1.0435, Validation Loss: 2.7927
Epoch 13/1000, Train Loss: 1.0747, Validation Loss: 1.0407
Epoch 14/1000, Train Loss: 1.3007, Validation Loss: 4.8027
Epoch 15/1000, Train Loss: 2.3599, Validation Loss: 0.9527
Epoch 16/1000, Train Loss: 0.9996, Validation Loss: 2.7626
Epoch 17/1000, Train Loss: 1.1096, Validation Loss: 2.8067
Epoch 18/1000, Train Loss: 1.0687, Validation Loss: 1.1301
Epoch 19/1000, Train Loss: 1.0046, Validation Loss: 1.5312
Epoch 20/1000, Train Loss: 0.9580, Validation Loss: 2.5970
Epoch 21/1000, Train Loss: 0.9452, Validation Loss: 1.0542
Epoch 22/1000, Train Loss: 4.9810, Validation Loss: 4.9710
Epoch 23/1000, Train Loss: 0.9293, Validation Loss: 2.5825
Epoch 24/1000, Train Loss: 0.9768, Validation Loss: 4.4431
Epoch 25/1000, Train Loss: 2.8948, Validation Loss: 1.3770
Epoch 26/1000, Train Loss: 0.8987, Validation Loss: 1.9326
Epoch 27/1000, Train Loss: 12.1472, Validation Loss: 0.9310
Epoch 28/1000, Train Loss: 0.9220, Validation Loss: 1.1701
Epoch 29/1000, Train Loss: 0.8887, Validation Loss: 1.3638
Epoch 30/1000, Train Loss: 0.8438, Validation Loss: 3.6062
Epoch 31/1000, Train Loss: 0.9547, Validation Loss: 1.7982
Epoch 32/1000, Train Loss: 0.8423, Validation Loss: 2.1869
Epoch 33/1000, Train Loss: 0.8338, Validation Loss: 1.5326
Epoch 34/1000, Train Loss: 24.3817, Validation Loss: 0.8848
Epoch 35/1000, Train Loss: 0.8334, Validation Loss: 1.7851
Epoch 36/1000, Train Loss: 0.8156, Validation Loss: 0.8832
Epoch 37/1000, Train Loss: 0.8533, Validation Loss: 1.6239
Epoch 38/1000, Train Loss: 0.7932, Validation Loss: 3.4351
Epoch 39/1000, Train Loss: 0.7941, Validation Loss: 0.9404
Epoch 40/1000, Train Loss: 0.7747, Validation Loss: 1.5283
Epoch 41/1000, Train Loss: 0.8873, Validation Loss: 1.1000
Epoch 42/1000, Train Loss: 0.7848, Validation Loss: 1.8913
Epoch 43/1000, Train Loss: 0.9224, Validation Loss: 1.4841
Epoch 44/1000, Train Loss: 0.7772, Validation Loss: 1.8381
Epoch 45/1000, Train Loss: 0.7933, Validation Loss: 0.7465
Epoch 46/1000, Train Loss: 0.7934, Validation Loss: 2.9092
Epoch 47/1000, Train Loss: 0.7712, Validation Loss: 0.9613
Epoch 48/1000, Train Loss: 0.8042, Validation Loss: 1.8420
Epoch 49/1000, Train Loss: 0.7684, Validation Loss: 1.4524
Epoch 50/1000, Train Loss: 0.7719, Validation Loss: 3.6952
Epoch 51/1000, Train Loss: 18.1781, Validation Loss: 1.9956
Epoch 52/1000, Train Loss: 0.7747, Validation Loss: 4.2488
Epoch 53/1000, Train Loss: 0.7844, Validation Loss: 1.7721
Epoch 54/1000, Train Loss: 0.7906, Validation Loss: 1.7078
Epoch 55/1000, Train Loss: 0.7934, Validation Loss: 1.2642
Epoch 56/1000, Train Loss: 0.7703, Validation Loss: 4.7876
Epoch 57/1000, Train Loss: 19.2771, Validation Loss: 1.5576
Epoch 58/1000, Train Loss: 0.7704, Validation Loss: 3.7721
Epoch 59/1000, Train Loss: 0.8675, Validation Loss: 0.9762
Epoch 60/1000, Train Loss: 0.7643, Validation Loss: 4.3021
Epoch 61/1000, Train Loss: 0.7596, Validation Loss: 2.9742
Epoch 62/1000, Train Loss: 0.7506, Validation Loss: 1.2980
Epoch 63/1000, Train Loss: 1.5707, Validation Loss: 1.0462
Epoch 64/1000, Train Loss: 0.7906, Validation Loss: 0.8232
Epoch 65/1000, Train Loss: 0.7701, Validation Loss: 2.9862
Epoch 66/1000, Train Loss: 0.8745, Validation Loss: 2.3291
Epoch 67/1000, Train Loss: 0.7562, Validation Loss: 1.9841
Epoch 68/1000, Train Loss: 0.7609, Validation Loss: 1.0118
Epoch 69/1000, Train Loss: 1.4196, Validation Loss: 0.8545
Epoch 70/1000, Train Loss: 0.7461, Validation Loss: 1.5665
Epoch 71/1000, Train Loss: 0.7604, Validation Loss: 1.4206
Epoch 72/1000, Train Loss: 127.2471, Validation Loss: 1.6516
Epoch 73/1000, Train Loss: 0.7688, Validation Loss: 2.8983
Epoch 74/1000, Train Loss: 0.8090, Validation Loss: 2.8079
Epoch 75/1000, Train Loss: 0.8332, Validation Loss: 0.9333
Epoch 76/1000, Train Loss: 0.7666, Validation Loss: 1.0897
Epoch 77/1000, Train Loss: 0.7567, Validation Loss: 0.9887
Epoch 78/1000, Train Loss: 0.7558, Validation Loss: 1.0312
Epoch 79/1000, Train Loss: 27.3179, Validation Loss: 0.7487
Epoch 80/1000, Train Loss: 0.7594, Validation Loss: 0.8946
Epoch 81/1000, Train Loss: 343.3477, Validation Loss: 2.5213
Epoch 82/1000, Train Loss: 0.7495, Validation Loss: 2.6172
Epoch 83/1000, Train Loss: 0.7260, Validation Loss: 2.0750
Epoch 84/1000, Train Loss: 1.1704, Validation Loss: 1.1060
Epoch 85/1000, Train Loss: 0.7610, Validation Loss: 4.3102
Epoch 86/1000, Train Loss: 1.0761, Validation Loss: 2.5012
Epoch 87/1000, Train Loss: 0.8463, Validation Loss: 0.7498
Epoch 88/1000, Train Loss: 0.7513, Validation Loss: 4.0548
Epoch 89/1000, Train Loss: 0.7362, Validation Loss: 1.9022
Epoch 90/1000, Train Loss: 0.7840, Validation Loss: 1.4214
Epoch 91/1000, Train Loss: 3.1399, Validation Loss: 2.6693
Epoch 92/1000, Train Loss: 0.7366, Validation Loss: 1.1784
Epoch 93/1000, Train Loss: 0.7381, Validation Loss: 1.6695
Epoch 94/1000, Train Loss: 0.7372, Validation Loss: 5.1476
Epoch 95/1000, Train Loss: 0.7307, Validation Loss: 1.0054
Epoch 96/1000, Train Loss: 3.3818, Validation Loss: 0.7547
Epoch 97/1000, Train Loss: 0.7368, Validation Loss: 3.1133
Epoch 98/1000, Train Loss: 0.7299, Validation Loss: 4.0615
Epoch 99/1000, Train Loss: 0.7681, Validation Loss: 1.0903
Epoch 100/1000, Train Loss: 0.7781, Validation Loss: 1.6430
Epoch 101/1000, Train Loss: 0.7447, Validation Loss: 0.8208
Epoch 102/1000, Train Loss: 83.3773, Validation Loss: 3.6521
Epoch 103/1000, Train Loss: 0.7380, Validation Loss: 1.4410
Epoch 104/1000, Train Loss: 0.7786, Validation Loss: 2.2792
Epoch 105/1000, Train Loss: 1.1379, Validation Loss: 1.4706
Epoch 106/1000, Train Loss: 0.7412, Validation Loss: 2.6153
Epoch 107/1000, Train Loss: 0.7344, Validation Loss: 2.0100
Epoch 108/1000, Train Loss: 0.7739, Validation Loss: 1.6148
Epoch 109/1000, Train Loss: 1.0645, Validation Loss: 3.7552
Epoch 110/1000, Train Loss: 0.7451, Validation Loss: 1.1635
Epoch 111/1000, Train Loss: 2.0449, Validation Loss: 3.0477
Epoch 112/1000, Train Loss: 0.7374, Validation Loss: 2.9826
Epoch 113/1000, Train Loss: 0.7518, Validation Loss: 4.9707
Epoch 114/1000, Train Loss: 0.7156, Validation Loss: 3.7560
Epoch 115/1000, Train Loss: 0.7439, Validation Loss: 1.8398
Epoch 116/1000, Train Loss: 2.7955, Validation Loss: 1.2473
Epoch 117/1000, Train Loss: 0.7421, Validation Loss: 1.4096
Epoch 118/1000, Train Loss: 0.7365, Validation Loss: 4.9473
Epoch 119/1000, Train Loss: 0.7114, Validation Loss: 1.2947
Epoch 120/1000, Train Loss: 1.0837, Validation Loss: 1.4631
Epoch 121/1000, Train Loss: 0.7103, Validation Loss: 1.9040
Epoch 122/1000, Train Loss: 0.7201, Validation Loss: 2.3097
Epoch 123/1000, Train Loss: 1.3750, Validation Loss: 2.4310
Epoch 124/1000, Train Loss: 0.7363, Validation Loss: 4.5581
Epoch 125/1000, Train Loss: 0.9255, Validation Loss: 2.7821
Epoch 126/1000, Train Loss: 0.7267, Validation Loss: 2.0520
Epoch 127/1000, Train Loss: 0.7187, Validation Loss: 3.9068
Epoch 128/1000, Train Loss: 0.7317, Validation Loss: 0.7846
Epoch 129/1000, Train Loss: 6.5416, Validation Loss: 1.4987
Epoch 130/1000, Train Loss: 0.7342, Validation Loss: 2.1323
Epoch 131/1000, Train Loss: 0.7837, Validation Loss: 2.9588
Epoch 132/1000, Train Loss: 0.7299, Validation Loss: 1.6716
Epoch 133/1000, Train Loss: 0.7226, Validation Loss: 3.3153
Epoch 134/1000, Train Loss: 0.7198, Validation Loss: 2.8127
Epoch 135/1000, Train Loss: 1.5820, Validation Loss: 2.9261
Epoch 136/1000, Train Loss: 0.7366, Validation Loss: 2.7078
Epoch 137/1000, Train Loss: 0.7197, Validation Loss: 2.1295
Epoch 138/1000, Train Loss: 0.7174, Validation Loss: 1.8093
Epoch 139/1000, Train Loss: 3.0149, Validation Loss: 1.7050
Epoch 140/1000, Train Loss: 0.7254, Validation Loss: 0.7983
Epoch 141/1000, Train Loss: 0.7144, Validation Loss: 1.6560
Epoch 142/1000, Train Loss: 0.8489, Validation Loss: 2.8940
Epoch 143/1000, Train Loss: 0.7277, Validation Loss: 2.9515
Epoch 144/1000, Train Loss: 0.7773, Validation Loss: 1.3901
Epoch 145/1000, Train Loss: 0.7287, Validation Loss: 1.2752
Epoch 146/1000, Train Loss: 0.7457, Validation Loss: 1.8640
Epoch 147/1000, Train Loss: 0.7776, Validation Loss: 1.6712
Epoch 148/1000, Train Loss: 0.7223, Validation Loss: 1.3600
Epoch 149/1000, Train Loss: 0.7271, Validation Loss: 1.2517
Epoch 150/1000, Train Loss: 0.7150, Validation Loss: 2.3931
Epoch 151/1000, Train Loss: 12.8562, Validation Loss: 6.2279
Epoch 152/1000, Train Loss: 2.9490, Validation Loss: 1.7131
Epoch 153/1000, Train Loss: 0.7231, Validation Loss: 1.9854
Epoch 154/1000, Train Loss: 0.7473, Validation Loss: 1.3010
Epoch 155/1000, Train Loss: 0.7044, Validation Loss: 4.0862
Epoch 156/1000, Train Loss: 0.7176, Validation Loss: 1.1490
Epoch 157/1000, Train Loss: 7.5161, Validation Loss: 1.5663
Epoch 158/1000, Train Loss: 0.7434, Validation Loss: 2.9984
Epoch 159/1000, Train Loss: 0.7460, Validation Loss: 1.4498
Epoch 160/1000, Train Loss: 0.7097, Validation Loss: 1.8835
Epoch 161/1000, Train Loss: 0.7149, Validation Loss: 1.7397
Epoch 162/1000, Train Loss: 0.8457, Validation Loss: 2.3358
Epoch 163/1000, Train Loss: 0.7220, Validation Loss: 2.8690
Epoch 164/1000, Train Loss: 0.7083, Validation Loss: 2.4281
Epoch 165/1000, Train Loss: 0.8023, Validation Loss: 1.3449
Epoch 166/1000, Train Loss: 0.7046, Validation Loss: 0.9116
Epoch 167/1000, Train Loss: 0.7243, Validation Loss: 0.6997
Epoch 168/1000, Train Loss: 0.7072, Validation Loss: 2.7972
Epoch 169/1000, Train Loss: 0.7217, Validation Loss: 1.1102
Epoch 170/1000, Train Loss: 1.0896, Validation Loss: 4.7675
Epoch 171/1000, Train Loss: 0.7099, Validation Loss: 1.4154
Epoch 172/1000, Train Loss: 0.7216, Validation Loss: 2.5050
Epoch 173/1000, Train Loss: 0.7547, Validation Loss: 1.1929
Epoch 174/1000, Train Loss: 0.7300, Validation Loss: 0.9053
Epoch 175/1000, Train Loss: 0.7164, Validation Loss: 2.0056
Epoch 176/1000, Train Loss: 0.7434, Validation Loss: 1.8620
Epoch 177/1000, Train Loss: 1.3773, Validation Loss: 2.1129
Epoch 178/1000, Train Loss: 0.7071, Validation Loss: 1.5876
Epoch 179/1000, Train Loss: 0.7243, Validation Loss: 2.5476
Epoch 180/1000, Train Loss: 9.5305, Validation Loss: 0.7333
Epoch 181/1000, Train Loss: 0.7212, Validation Loss: 2.6545
Epoch 182/1000, Train Loss: 1.7422, Validation Loss: 1.6081
Epoch 183/1000, Train Loss: 0.7331, Validation Loss: 1.9872
Epoch 184/1000, Train Loss: 0.9127, Validation Loss: 2.3426
Epoch 185/1000, Train Loss: 0.7297, Validation Loss: 0.8181
Epoch 186/1000, Train Loss: 0.7122, Validation Loss: 3.7999
Epoch 187/1000, Train Loss: 0.7106, Validation Loss: 0.7472
Epoch 188/1000, Train Loss: 0.7094, Validation Loss: 0.8510
Epoch 189/1000, Train Loss: 1.6630, Validation Loss: 1.0204
Epoch 190/1000, Train Loss: 0.7287, Validation Loss: 0.8885
Epoch 191/1000, Train Loss: 0.7140, Validation Loss: 2.1860
Epoch 192/1000, Train Loss: 0.7837, Validation Loss: 1.0581
Epoch 193/1000, Train Loss: 0.7034, Validation Loss: 0.8765
Epoch 194/1000, Train Loss: 90.5015, Validation Loss: 1.1126
Epoch 195/1000, Train Loss: 0.7041, Validation Loss: 0.8379
Epoch 196/1000, Train Loss: 0.7262, Validation Loss: 1.2426
Epoch 197/1000, Train Loss: 1.3021, Validation Loss: 3.2567
Epoch 198/1000, Train Loss: 0.7003, Validation Loss: 3.1818
Epoch 199/1000, Train Loss: 4.1681, Validation Loss: 1.8026
Epoch 200/1000, Train Loss: 1.3795, Validation Loss: 0.7268
Epoch 201/1000, Train Loss: 0.7177, Validation Loss: 3.1577
Epoch 202/1000, Train Loss: 0.7182, Validation Loss: 1.4695
Epoch 203/1000, Train Loss: 1.1544, Validation Loss: 1.1371
Epoch 204/1000, Train Loss: 0.7277, Validation Loss: 1.1677
Epoch 205/1000, Train Loss: 0.7221, Validation Loss: 2.6666
Epoch 206/1000, Train Loss: 1.0778, Validation Loss: 2.8119
Epoch 207/1000, Train Loss: 0.7094, Validation Loss: 1.9216
Epoch 208/1000, Train Loss: 2.0624, Validation Loss: 2.8363
Epoch 209/1000, Train Loss: 0.7045, Validation Loss: 1.0495
Epoch 210/1000, Train Loss: 0.7083, Validation Loss: 0.9071
Epoch 211/1000, Train Loss: 0.8462, Validation Loss: 0.6879
Epoch 212/1000, Train Loss: 0.7032, Validation Loss: 1.0912
Epoch 213/1000, Train Loss: 0.9618, Validation Loss: 4486.4319
Epoch 214/1000, Train Loss: 1.7206, Validation Loss: 3.5932
Epoch 215/1000, Train Loss: 0.7014, Validation Loss: 1.0587
Epoch 216/1000, Train Loss: 5.2894, Validation Loss: 3.6326
Epoch 217/1000, Train Loss: 0.7210, Validation Loss: 1.1481
Epoch 218/1000, Train Loss: 0.9195, Validation Loss: 1.8674
Epoch 219/1000, Train Loss: 0.7216, Validation Loss: 1.1254
Epoch 220/1000, Train Loss: 0.7112, Validation Loss: 1.2007
Epoch 221/1000, Train Loss: 0.7280, Validation Loss: 1.7424
Epoch 222/1000, Train Loss: 1.0478, Validation Loss: 2.1852
Epoch 223/1000, Train Loss: 0.7107, Validation Loss: 1.3099
Epoch 224/1000, Train Loss: 0.7196, Validation Loss: 2.0209
Epoch 225/1000, Train Loss: 1.0264, Validation Loss: 1.3525
Epoch 226/1000, Train Loss: 0.7091, Validation Loss: 1.0449
Epoch 227/1000, Train Loss: 0.7021, Validation Loss: 2.9334
Epoch 228/1000, Train Loss: 1.0632, Validation Loss: 2.0368
Epoch 229/1000, Train Loss: 0.7014, Validation Loss: 2.2697
Epoch 230/1000, Train Loss: 0.7342, Validation Loss: 4.1920
Epoch 231/1000, Train Loss: 0.7101, Validation Loss: 2.3908
Epoch 232/1000, Train Loss: 0.8983, Validation Loss: 2.3003
Epoch 233/1000, Train Loss: 0.6947, Validation Loss: 1.0018
Epoch 234/1000, Train Loss: 0.6863, Validation Loss: 0.9851
Epoch 235/1000, Train Loss: 0.8824, Validation Loss: 1.9543
Epoch 236/1000, Train Loss: 0.7073, Validation Loss: 4.3729
Epoch 237/1000, Train Loss: 0.7026, Validation Loss: 2.5154
Epoch 238/1000, Train Loss: 0.7582, Validation Loss: 1.2829
Epoch 239/1000, Train Loss: 0.7018, Validation Loss: 1.0053
Epoch 240/1000, Train Loss: 1.5158, Validation Loss: 0.9463
Epoch 241/1000, Train Loss: 0.6986, Validation Loss: 1.8940
Epoch 242/1000, Train Loss: 1.0088, Validation Loss: 2.2759
Epoch 243/1000, Train Loss: 0.7037, Validation Loss: 1.1982
Epoch 244/1000, Train Loss: 0.6914, Validation Loss: 1.0108
Epoch 245/1000, Train Loss: 0.7145, Validation Loss: 1.5703
Epoch 246/1000, Train Loss: 0.6922, Validation Loss: 1.7902
Epoch 247/1000, Train Loss: 0.7158, Validation Loss: 1.2940
Epoch 248/1000, Train Loss: 1.9104, Validation Loss: 1.2598
Epoch 249/1000, Train Loss: 0.6944, Validation Loss: 1.4330
Epoch 250/1000, Train Loss: 0.7253, Validation Loss: 0.8735
Epoch 251/1000, Train Loss: 0.6996, Validation Loss: 1.5221
Epoch 252/1000, Train Loss: 1.5379, Validation Loss: 1.5833
Epoch 253/1000, Train Loss: 0.6882, Validation Loss: 2.3172
Epoch 254/1000, Train Loss: 0.6878, Validation Loss: 3.5548
Epoch 255/1000, Train Loss: 0.6999, Validation Loss: 1.2286
Epoch 256/1000, Train Loss: 0.7041, Validation Loss: 2.7068
Epoch 257/1000, Train Loss: 0.6936, Validation Loss: 0.6912
Epoch 258/1000, Train Loss: 1.1993, Validation Loss: 1.5200
Epoch 259/1000, Train Loss: 0.7043, Validation Loss: 1.3958
Epoch 260/1000, Train Loss: 0.7178, Validation Loss: 0.9145
Epoch 261/1000, Train Loss: 0.6890, Validation Loss: 0.9260
Epoch 262/1000, Train Loss: 2.1305, Validation Loss: 4.5253
Epoch 263/1000, Train Loss: 0.6867, Validation Loss: 1.4990
Epoch 264/1000, Train Loss: 1.6562, Validation Loss: 2.2742
Epoch 265/1000, Train Loss: 0.6781, Validation Loss: 1.7519
Epoch 266/1000, Train Loss: 0.6867, Validation Loss: 0.6440
Epoch 267/1000, Train Loss: 0.7081, Validation Loss: 2.2028
Epoch 268/1000, Train Loss: 0.9782, Validation Loss: 0.9049
Epoch 269/1000, Train Loss: 0.8273, Validation Loss: 0.7483
Epoch 270/1000, Train Loss: 0.7224, Validation Loss: 0.8764
Epoch 271/1000, Train Loss: 1.5184, Validation Loss: 0.8699
Epoch 272/1000, Train Loss: 0.7327, Validation Loss: 6.4343
Epoch 273/1000, Train Loss: 2.1857, Validation Loss: 1.2555
Epoch 274/1000, Train Loss: 0.6896, Validation Loss: 1.2464
Epoch 275/1000, Train Loss: 0.7126, Validation Loss: 3.3550
Epoch 276/1000, Train Loss: 0.6926, Validation Loss: 3.5839
Epoch 277/1000, Train Loss: 0.6935, Validation Loss: 2.7311
Epoch 278/1000, Train Loss: 0.6886, Validation Loss: 1.1191
Epoch 279/1000, Train Loss: 0.6969, Validation Loss: 1.4296
Epoch 280/1000, Train Loss: 0.7513, Validation Loss: 2.3563
Epoch 281/1000, Train Loss: 0.7025, Validation Loss: 4.2746
Epoch 282/1000, Train Loss: 0.6929, Validation Loss: 1.5868
Epoch 283/1000, Train Loss: 0.7010, Validation Loss: 1.2110
Epoch 284/1000, Train Loss: 0.7090, Validation Loss: 1.7376
Epoch 285/1000, Train Loss: 0.8056, Validation Loss: 2.5302
Epoch 286/1000, Train Loss: 0.7382, Validation Loss: 2.0627
Epoch 287/1000, Train Loss: 0.6779, Validation Loss: 1.4434
Epoch 288/1000, Train Loss: 0.7678, Validation Loss: 1.2961
Epoch 289/1000, Train Loss: 6.2512, Validation Loss: 0.9512
Epoch 290/1000, Train Loss: 0.7018, Validation Loss: 4.3602
Epoch 291/1000, Train Loss: 0.6873, Validation Loss: 1.7434
Epoch 292/1000, Train Loss: 0.8316, Validation Loss: 1.5821
Epoch 293/1000, Train Loss: 0.7021, Validation Loss: 1.2238
Epoch 294/1000, Train Loss: 0.6980, Validation Loss: 1.0735
Epoch 295/1000, Train Loss: 25.9006, Validation Loss: 0.7462
Epoch 296/1000, Train Loss: 0.6949, Validation Loss: 2.8952
Epoch 297/1000, Train Loss: 0.7017, Validation Loss: 1.4365
Epoch 298/1000, Train Loss: 0.7721, Validation Loss: 1.6624
Epoch 299/1000, Train Loss: 0.6854, Validation Loss: 4.2133
Epoch 300/1000, Train Loss: 0.6876, Validation Loss: 0.8610
Epoch 301/1000, Train Loss: 64.5603, Validation Loss: 1.4140
Epoch 302/1000, Train Loss: 0.6961, Validation Loss: 1.6155
Epoch 303/1000, Train Loss: 0.9375, Validation Loss: 1.9917
Epoch 304/1000, Train Loss: 0.6947, Validation Loss: 2.6260
Epoch 305/1000, Train Loss: 0.6794, Validation Loss: 0.8859
Epoch 306/1000, Train Loss: 0.7461, Validation Loss: 0.6798
Epoch 307/1000, Train Loss: 0.6974, Validation Loss: 1.0947
Epoch 308/1000, Train Loss: 0.8012, Validation Loss: 1.6850
Epoch 309/1000, Train Loss: 0.6989, Validation Loss: 1.4955
Epoch 310/1000, Train Loss: 0.8275, Validation Loss: 0.7685
