Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-te23jk55
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.1255, Validation Loss: 2.1535
Epoch 2/1000, Train Loss: 1.3419, Validation Loss: 1.4437
Epoch 3/1000, Train Loss: 1.2269, Validation Loss: 1.2510
Epoch 4/1000, Train Loss: 1.1348, Validation Loss: 5.0428
Epoch 5/1000, Train Loss: 1.0771, Validation Loss: 3.4847
Epoch 6/1000, Train Loss: 1.0355, Validation Loss: 7.7803
Epoch 7/1000, Train Loss: 1.0630, Validation Loss: 1.3600
Epoch 8/1000, Train Loss: 1.0364, Validation Loss: 9.0467
Epoch 9/1000, Train Loss: 0.9511, Validation Loss: 9.1283
Epoch 10/1000, Train Loss: 0.9590, Validation Loss: 2.4250
Epoch 11/1000, Train Loss: 0.9471, Validation Loss: 1.4722
Epoch 12/1000, Train Loss: 0.9805, Validation Loss: 1.6259
Epoch 13/1000, Train Loss: 0.8777, Validation Loss: 1.5286
Epoch 14/1000, Train Loss: 6.3876, Validation Loss: 1.1381
Epoch 15/1000, Train Loss: 0.8714, Validation Loss: 2.3507
Epoch 16/1000, Train Loss: 2.3574, Validation Loss: 4.8683
Epoch 17/1000, Train Loss: 0.8141, Validation Loss: 1.6636
Epoch 18/1000, Train Loss: 0.8311, Validation Loss: 1.5574
Epoch 19/1000, Train Loss: 0.7853, Validation Loss: 0.9355
Epoch 20/1000, Train Loss: 0.8296, Validation Loss: 1.2320
Epoch 21/1000, Train Loss: 0.8678, Validation Loss: 1.7391
Epoch 22/1000, Train Loss: 0.7914, Validation Loss: 0.8035
Epoch 23/1000, Train Loss: 0.7938, Validation Loss: 1.0676
Epoch 24/1000, Train Loss: 0.7520, Validation Loss: 1.7940
Epoch 25/1000, Train Loss: 161.8620, Validation Loss: 2.5851
Epoch 26/1000, Train Loss: 0.8514, Validation Loss: 1.1360
Epoch 27/1000, Train Loss: 0.7978, Validation Loss: 3.6467
Epoch 28/1000, Train Loss: 0.7572, Validation Loss: 2.0917
Epoch 29/1000, Train Loss: 0.7335, Validation Loss: 1.0535
Epoch 30/1000, Train Loss: 0.7373, Validation Loss: 5.3812
Epoch 31/1000, Train Loss: 0.7330, Validation Loss: 0.7985
Epoch 32/1000, Train Loss: 15.2882, Validation Loss: 2.5971
Epoch 33/1000, Train Loss: 0.7077, Validation Loss: 1.1186
Epoch 34/1000, Train Loss: 0.7300, Validation Loss: 1.4726
Epoch 35/1000, Train Loss: 0.8008, Validation Loss: 4.0918
Epoch 36/1000, Train Loss: 0.7390, Validation Loss: 4.0614
Epoch 37/1000, Train Loss: 0.7170, Validation Loss: 0.7833
Epoch 38/1000, Train Loss: 0.7075, Validation Loss: 3.9666
Epoch 39/1000, Train Loss: 0.7408, Validation Loss: 9.9662
Epoch 40/1000, Train Loss: 0.8180, Validation Loss: 1.7721
Epoch 41/1000, Train Loss: 0.7109, Validation Loss: 3.7444
Epoch 42/1000, Train Loss: 0.7020, Validation Loss: 0.9123
Epoch 43/1000, Train Loss: 0.7021, Validation Loss: 2.4130
Epoch 44/1000, Train Loss: 0.6987, Validation Loss: 1.9813
Epoch 45/1000, Train Loss: 0.7074, Validation Loss: 0.9910
Epoch 46/1000, Train Loss: 0.6968, Validation Loss: 6.0462
Epoch 47/1000, Train Loss: 0.6820, Validation Loss: 0.9331
Epoch 48/1000, Train Loss: 26.3641, Validation Loss: 1.3568
Epoch 49/1000, Train Loss: 0.6854, Validation Loss: 0.8857
Epoch 50/1000, Train Loss: 0.6891, Validation Loss: 0.6627
Epoch 51/1000, Train Loss: 0.6728, Validation Loss: 0.9290
Epoch 52/1000, Train Loss: 0.7036, Validation Loss: 3.5409
Epoch 53/1000, Train Loss: 0.6640, Validation Loss: 0.9728
Epoch 54/1000, Train Loss: 0.7700, Validation Loss: 1.5293
Epoch 55/1000, Train Loss: 0.6544, Validation Loss: 3.4086
Epoch 56/1000, Train Loss: 0.6693, Validation Loss: 1.3863
Epoch 57/1000, Train Loss: 0.6942, Validation Loss: 3.8472
Epoch 58/1000, Train Loss: 0.6636, Validation Loss: 1.8184
Epoch 59/1000, Train Loss: 0.6648, Validation Loss: 1.9505
Epoch 60/1000, Train Loss: 0.6651, Validation Loss: 2.3166
Epoch 61/1000, Train Loss: 0.6593, Validation Loss: 1.8010
Epoch 62/1000, Train Loss: 0.7760, Validation Loss: 1.2590
Epoch 63/1000, Train Loss: 0.6710, Validation Loss: 1.5881
Epoch 64/1000, Train Loss: 0.6753, Validation Loss: 0.7512
Epoch 65/1000, Train Loss: 0.6602, Validation Loss: 0.9133
Epoch 66/1000, Train Loss: 0.6523, Validation Loss: 4.8915
Epoch 67/1000, Train Loss: 0.7004, Validation Loss: 2.5781
Epoch 68/1000, Train Loss: 0.6450, Validation Loss: 2.7543
Epoch 69/1000, Train Loss: 0.6612, Validation Loss: 3.3705
Epoch 70/1000, Train Loss: 0.6411, Validation Loss: 2.2755
Epoch 71/1000, Train Loss: 0.7144, Validation Loss: 3.0137
Epoch 72/1000, Train Loss: 0.6387, Validation Loss: 0.6986
Epoch 73/1000, Train Loss: 0.6380, Validation Loss: 1.8382
Epoch 74/1000, Train Loss: 0.6387, Validation Loss: 2.4105
Epoch 75/1000, Train Loss: 0.6393, Validation Loss: 3.2637
Epoch 76/1000, Train Loss: 0.6350, Validation Loss: 3.0496
Epoch 77/1000, Train Loss: 0.6460, Validation Loss: 2.2903
Epoch 78/1000, Train Loss: 0.6673, Validation Loss: 2.3681
Epoch 79/1000, Train Loss: 0.6406, Validation Loss: 2.1020
Epoch 80/1000, Train Loss: 0.6425, Validation Loss: 0.5985
Epoch 81/1000, Train Loss: 0.6298, Validation Loss: 3.0046
