Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-qe2u99m3
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 7.0740, Validation Loss: 1.4899
Epoch 2/1000, Train Loss: 1.8539, Validation Loss: 1.6392
Epoch 3/1000, Train Loss: 1.6284, Validation Loss: 2.0827
Epoch 4/1000, Train Loss: 1.5657, Validation Loss: 1.3563
Epoch 5/1000, Train Loss: 3.8007, Validation Loss: 8.5010
Epoch 6/1000, Train Loss: 3.7005, Validation Loss: 6.4408
Epoch 7/1000, Train Loss: 1.5817, Validation Loss: 4.7356
Epoch 8/1000, Train Loss: 1.4403, Validation Loss: 1.4051
Epoch 9/1000, Train Loss: 1.3764, Validation Loss: 1.4266
Epoch 10/1000, Train Loss: 4.3436, Validation Loss: 5.5120
Epoch 11/1000, Train Loss: 1.2317, Validation Loss: 3.1085
Epoch 12/1000, Train Loss: 1.2784, Validation Loss: 3.1854
Epoch 13/1000, Train Loss: 6.1362, Validation Loss: 3.0036
Epoch 14/1000, Train Loss: 1.2791, Validation Loss: 1.7130
Epoch 15/1000, Train Loss: 1.4526, Validation Loss: 2.9739
Epoch 16/1000, Train Loss: 113.4033, Validation Loss: 76.2406
Epoch 17/1000, Train Loss: 543.7564, Validation Loss: 1.1087
Epoch 18/1000, Train Loss: 1.1312, Validation Loss: 1.0464
Epoch 19/1000, Train Loss: 21.8849, Validation Loss: 7.5695
Epoch 20/1000, Train Loss: 1.4751, Validation Loss: 6.1212
Epoch 21/1000, Train Loss: 2.1542, Validation Loss: 3.2657
Epoch 22/1000, Train Loss: 5.1774, Validation Loss: 1.5077
Epoch 23/1000, Train Loss: 1.3414, Validation Loss: 3.6542
Epoch 24/1000, Train Loss: 1.2016, Validation Loss: 2.7627
Epoch 25/1000, Train Loss: 1.2552, Validation Loss: 2.1079
Epoch 26/1000, Train Loss: 77.0527, Validation Loss: 7.5117
Epoch 27/1000, Train Loss: 6.7242, Validation Loss: 6.0714
Epoch 28/1000, Train Loss: 6.3370, Validation Loss: 6.9213
Epoch 29/1000, Train Loss: 166.0053, Validation Loss: 6.0786
Epoch 30/1000, Train Loss: 6.4149, Validation Loss: 6.0728
Epoch 31/1000, Train Loss: 256.8205, Validation Loss: 6.0781
Epoch 32/1000, Train Loss: 14.2917, Validation Loss: 6.0749
Epoch 33/1000, Train Loss: 667.1747, Validation Loss: 6.2575
Epoch 34/1000, Train Loss: 6.4616, Validation Loss: 6.0723
Epoch 35/1000, Train Loss: 533.6413, Validation Loss: 6.0820
Epoch 36/1000, Train Loss: 6.2895, Validation Loss: 6.7266
Epoch 37/1000, Train Loss: 6.6837, Validation Loss: 6.0826
Epoch 38/1000, Train Loss: 6.3815, Validation Loss: 7.2067
Epoch 39/1000, Train Loss: 99.3541, Validation Loss: 6.0694
Epoch 40/1000, Train Loss: 7.7618, Validation Loss: 6.0833
Epoch 41/1000, Train Loss: 46.7354, Validation Loss: 6.1446
Epoch 42/1000, Train Loss: 3701.3478, Validation Loss: 6.0726
Epoch 43/1000, Train Loss: 6.2421, Validation Loss: 6.0688
Epoch 44/1000, Train Loss: 11.6968, Validation Loss: 6.1062
Epoch 45/1000, Train Loss: 7.3440, Validation Loss: 6.2691
Epoch 46/1000, Train Loss: 6.3204, Validation Loss: 6.2189
Epoch 47/1000, Train Loss: 16.8856, Validation Loss: 6.2650
Epoch 48/1000, Train Loss: 7.3831, Validation Loss: 6.2935
Epoch 49/1000, Train Loss: 6.3549, Validation Loss: 6.4703
Epoch 50/1000, Train Loss: 7.8217, Validation Loss: 6.1139
Epoch 51/1000, Train Loss: 57.2206, Validation Loss: 6.0865
Epoch 52/1000, Train Loss: 6.3144, Validation Loss: 6.1979
Epoch 53/1000, Train Loss: 6.2720, Validation Loss: 6.1822
Epoch 54/1000, Train Loss: 90.1911, Validation Loss: 6.6154
Epoch 55/1000, Train Loss: 6.3617, Validation Loss: 6.4482
Epoch 56/1000, Train Loss: 44.5853, Validation Loss: 6.1245
Epoch 57/1000, Train Loss: 28.9850, Validation Loss: 6.1154
Epoch 58/1000, Train Loss: 6.2383, Validation Loss: 6.0808
Epoch 59/1000, Train Loss: 12.1707, Validation Loss: 6.4267
Epoch 60/1000, Train Loss: 17.5184, Validation Loss: 6.2600
Epoch 61/1000, Train Loss: 7.1895, Validation Loss: 6.1682
Epoch 62/1000, Train Loss: 8.2417, Validation Loss: 6.1136
Epoch 63/1000, Train Loss: 574.2756, Validation Loss: 6.0802
Epoch 64/1000, Train Loss: 13.0889, Validation Loss: 6.4772
Epoch 65/1000, Train Loss: 6.2930, Validation Loss: 6.2885
Epoch 66/1000, Train Loss: 6.4440, Validation Loss: 6.0761
Epoch 67/1000, Train Loss: 12.0371, Validation Loss: 6.0704
Epoch 68/1000, Train Loss: 6.3868, Validation Loss: 6.2290
Epoch 69/1000, Train Loss: 6.3093, Validation Loss: 6.0781
Epoch 70/1000, Train Loss: 6.2516, Validation Loss: 6.1565
Epoch 71/1000, Train Loss: 6.4250, Validation Loss: 6.4601
Epoch 72/1000, Train Loss: 6.2530, Validation Loss: 6.3652
Epoch 73/1000, Train Loss: 15.2232, Validation Loss: 6.1070
Epoch 74/1000, Train Loss: 6.3338, Validation Loss: 6.1342
Epoch 75/1000, Train Loss: 17.8777, Validation Loss: 6.2306
Epoch 76/1000, Train Loss: 6.6521, Validation Loss: 6.0794
Epoch 77/1000, Train Loss: 6.2608, Validation Loss: 6.0755
Epoch 78/1000, Train Loss: 12.5222, Validation Loss: 6.2126
Epoch 79/1000, Train Loss: 90.6184, Validation Loss: 6.0902
Epoch 80/1000, Train Loss: 43.3571, Validation Loss: 6.1467
Epoch 81/1000, Train Loss: 6.3762, Validation Loss: 6.2375
Epoch 82/1000, Train Loss: 6.5084, Validation Loss: 6.3148
Epoch 83/1000, Train Loss: 6.2311, Validation Loss: 6.1077
Epoch 84/1000, Train Loss: 10.1159, Validation Loss: 6.2503
Epoch 85/1000, Train Loss: 65.4976, Validation Loss: 10465.2173
Epoch 86/1000, Train Loss: 1158.4566, Validation Loss: 6.0842
Epoch 87/1000, Train Loss: 407.3662, Validation Loss: 6.3423
Epoch 88/1000, Train Loss: 10.0554, Validation Loss: 6.1656
Epoch 89/1000, Train Loss: 264.7145, Validation Loss: 6.0970
Epoch 90/1000, Train Loss: 6.2806, Validation Loss: 6.2017
Epoch 91/1000, Train Loss: 16.2919, Validation Loss: 6.0693
Epoch 92/1000, Train Loss: 4699.1997, Validation Loss: 6.1532
Epoch 93/1000, Train Loss: 6.2656, Validation Loss: 6.1204
Epoch 94/1000, Train Loss: 6.8221, Validation Loss: 6.0727
Epoch 95/1000, Train Loss: 57.3590, Validation Loss: 6.0765
Epoch 96/1000, Train Loss: 7.7476, Validation Loss: 6.1351
Epoch 97/1000, Train Loss: 6.2805, Validation Loss: 6.0993
Epoch 98/1000, Train Loss: 7.9416, Validation Loss: 6.1946
Epoch 99/1000, Train Loss: 94.1013, Validation Loss: 6.6765
Epoch 100/1000, Train Loss: 44.8677, Validation Loss: 6.3466
Epoch 101/1000, Train Loss: 15.7428, Validation Loss: 6.1236
Epoch 102/1000, Train Loss: 46.2174, Validation Loss: 6.1382
Epoch 103/1000, Train Loss: 248.8145, Validation Loss: 6.2369
Epoch 104/1000, Train Loss: 149.8494, Validation Loss: 6.0898
Epoch 105/1000, Train Loss: 9.2681, Validation Loss: 6.0793
Epoch 106/1000, Train Loss: 6.9936, Validation Loss: 6.2356
Epoch 107/1000, Train Loss: 22.8132, Validation Loss: 6.0879
Epoch 108/1000, Train Loss: 6.5571, Validation Loss: 6.3598
Epoch 109/1000, Train Loss: 246.4136, Validation Loss: 6.1104
Epoch 110/1000, Train Loss: 7.1523, Validation Loss: 6.6837
Epoch 111/1000, Train Loss: 11016.6929, Validation Loss: 6.0695
Epoch 112/1000, Train Loss: 6.2897, Validation Loss: 6.0806
Epoch 113/1000, Train Loss: 6.6953, Validation Loss: 6.0786
Epoch 114/1000, Train Loss: 52.9889, Validation Loss: 6.0759
Epoch 115/1000, Train Loss: 4090.3585, Validation Loss: 6.1326
Epoch 116/1000, Train Loss: 9.6348, Validation Loss: 6.1168
Epoch 117/1000, Train Loss: 6.5436, Validation Loss: 6.0996
Epoch 118/1000, Train Loss: 244.8391, Validation Loss: 6.3010
Epoch 119/1000, Train Loss: 7.1215, Validation Loss: 6.0892
Epoch 120/1000, Train Loss: 208.7939, Validation Loss: 6.0846
Epoch 121/1000, Train Loss: 6.3044, Validation Loss: 6.0688
Epoch 122/1000, Train Loss: 6.6258, Validation Loss: 6.2587
Epoch 123/1000, Train Loss: 2788.8739, Validation Loss: 6.1693
Epoch 124/1000, Train Loss: 6.3764, Validation Loss: 6.0836
Epoch 125/1000, Train Loss: 6.9228, Validation Loss: 6.1031
Epoch 126/1000, Train Loss: 6.6982, Validation Loss: 6.1238
Epoch 127/1000, Train Loss: 6.3100, Validation Loss: 6.1407
Epoch 128/1000, Train Loss: 20.4378, Validation Loss: 6.1166
Epoch 129/1000, Train Loss: 6.2916, Validation Loss: 6.0688
Epoch 130/1000, Train Loss: 6.2558, Validation Loss: 6.3093
Epoch 131/1000, Train Loss: 7.9023, Validation Loss: 6.0704
Epoch 132/1000, Train Loss: 6.2022, Validation Loss: 6.0789
Epoch 133/1000, Train Loss: 7.3259, Validation Loss: 6.0915
Epoch 134/1000, Train Loss: 7.8343, Validation Loss: 6.0716
Epoch 135/1000, Train Loss: 32.1429, Validation Loss: 6.1230
Epoch 136/1000, Train Loss: 7.0839, Validation Loss: 6.2339
Epoch 137/1000, Train Loss: 6.5044, Validation Loss: 6.0826
Epoch 138/1000, Train Loss: 6.6394, Validation Loss: 6.0690
Epoch 139/1000, Train Loss: 6.2314, Validation Loss: 6.1057
Epoch 140/1000, Train Loss: 12.3771, Validation Loss: 455.2825
Epoch 141/1000, Train Loss: 529.4160, Validation Loss: 6.0714
Epoch 142/1000, Train Loss: 6.2505, Validation Loss: 6.0848
Epoch 143/1000, Train Loss: 499.1584, Validation Loss: 6.0901
Epoch 144/1000, Train Loss: 37.9257, Validation Loss: 6.0725
Epoch 145/1000, Train Loss: 48.9510, Validation Loss: 6.0705
Epoch 146/1000, Train Loss: 6.8572, Validation Loss: 6.0989
Epoch 147/1000, Train Loss: 6.2671, Validation Loss: 6.2140
Epoch 148/1000, Train Loss: 20.7983, Validation Loss: 6.2648
Epoch 149/1000, Train Loss: 104.1433, Validation Loss: 6.5538
Epoch 150/1000, Train Loss: 7.1290, Validation Loss: 6.0696
Epoch 151/1000, Train Loss: 6.3732, Validation Loss: 6.4949
Epoch 152/1000, Train Loss: 6.2888, Validation Loss: 6.1746
Epoch 153/1000, Train Loss: 6.7297, Validation Loss: 6.2044
Epoch 154/1000, Train Loss: 6.3961, Validation Loss: 6.0764
