Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-zd8co24d
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 12.6276, Validation Loss: 1.6631
Epoch 2/1000, Train Loss: 1.9528, Validation Loss: 3.6217
Epoch 3/1000, Train Loss: 1.7432, Validation Loss: 1.5293
Epoch 4/1000, Train Loss: 1.5018, Validation Loss: 1.4738
Epoch 5/1000, Train Loss: 62.9481, Validation Loss: 1.2286
Epoch 6/1000, Train Loss: 4.2975, Validation Loss: 1.0638
Epoch 7/1000, Train Loss: 1.3533, Validation Loss: 14.8392
Epoch 8/1000, Train Loss: 1.3466, Validation Loss: 2.0690
Epoch 9/1000, Train Loss: 1.8727, Validation Loss: 2.6622
Epoch 10/1000, Train Loss: 604.4087, Validation Loss: 1.7097
Epoch 11/1000, Train Loss: 1.2124, Validation Loss: 2.0485
Epoch 12/1000, Train Loss: 5.4314, Validation Loss: 1.5589
Epoch 13/1000, Train Loss: 1.1544, Validation Loss: 2.0467
Epoch 14/1000, Train Loss: 2311.3789, Validation Loss: 10.8971
Epoch 15/1000, Train Loss: 58.7871, Validation Loss: 0.9533
Epoch 16/1000, Train Loss: 1.1599, Validation Loss: 1.7394
Epoch 17/1000, Train Loss: 1.5211, Validation Loss: 2.4545
Epoch 18/1000, Train Loss: 7.0113, Validation Loss: 1.4381
Epoch 19/1000, Train Loss: 12.0296, Validation Loss: 1.2969
Epoch 20/1000, Train Loss: 1.2133, Validation Loss: 3037.5539
Epoch 21/1000, Train Loss: 74.9765, Validation Loss: 2.7285
Epoch 22/1000, Train Loss: 1.0723, Validation Loss: 7.0760
Epoch 23/1000, Train Loss: 4.6778, Validation Loss: 7.7464
Epoch 24/1000, Train Loss: 1.0481, Validation Loss: 1.7530
Epoch 25/1000, Train Loss: 2.7190, Validation Loss: 1.3580
Epoch 26/1000, Train Loss: 1.0582, Validation Loss: 2.2245
Epoch 27/1000, Train Loss: 7.1558, Validation Loss: 7.0118
Epoch 28/1000, Train Loss: 7.2726, Validation Loss: 1.2379
Epoch 29/1000, Train Loss: 1.1246, Validation Loss: 1.1760
Epoch 30/1000, Train Loss: 1.1364, Validation Loss: 1.5132
Epoch 31/1000, Train Loss: 1.1942, Validation Loss: 1.2534
Epoch 32/1000, Train Loss: 7.5981, Validation Loss: 7.4280
Epoch 33/1000, Train Loss: 7.8893, Validation Loss: 3.0557
Epoch 34/1000, Train Loss: 1.8104, Validation Loss: 5.3166
