Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-4w0xzsn8
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 7.0718, Validation Loss: 2.6916
Epoch 2/1000, Train Loss: 1.4185, Validation Loss: 1.9163
Epoch 3/1000, Train Loss: 1.3099, Validation Loss: 1.4621
Epoch 4/1000, Train Loss: 1.2720, Validation Loss: 2.3691
Epoch 5/1000, Train Loss: 1.2101, Validation Loss: 1.5647
Epoch 6/1000, Train Loss: 1.2267, Validation Loss: 0.9461
Epoch 7/1000, Train Loss: 1.1434, Validation Loss: 3.9893
Epoch 8/1000, Train Loss: 1.1411, Validation Loss: 4.5316
Epoch 9/1000, Train Loss: 1.1473, Validation Loss: 6.4389
Epoch 10/1000, Train Loss: 1.0068, Validation Loss: 3.5097
Epoch 11/1000, Train Loss: 0.9836, Validation Loss: 2.1371
Epoch 12/1000, Train Loss: 1.0710, Validation Loss: 1.7198
Epoch 13/1000, Train Loss: 0.9932, Validation Loss: 1.8306
Epoch 14/1000, Train Loss: 0.9972, Validation Loss: 0.9283
Epoch 15/1000, Train Loss: 0.9612, Validation Loss: 2.5647
Epoch 16/1000, Train Loss: 1.7539, Validation Loss: 2.8166
Epoch 17/1000, Train Loss: 0.9566, Validation Loss: 1.9928
Epoch 18/1000, Train Loss: 0.9466, Validation Loss: 4.6868
Epoch 19/1000, Train Loss: 0.9171, Validation Loss: 2.4054
Epoch 20/1000, Train Loss: 5.3681, Validation Loss: 0.8416
Epoch 21/1000, Train Loss: 0.8862, Validation Loss: 1.4639
Epoch 22/1000, Train Loss: 3.4014, Validation Loss: 381.4600
Epoch 23/1000, Train Loss: 12.2635, Validation Loss: 1.4861
Epoch 24/1000, Train Loss: 0.8771, Validation Loss: 2.2148
Epoch 25/1000, Train Loss: 0.8414, Validation Loss: 4.9780
Epoch 26/1000, Train Loss: 1.6186, Validation Loss: 0.9900
Epoch 27/1000, Train Loss: 0.8856, Validation Loss: 4.0589
Epoch 28/1000, Train Loss: 0.8244, Validation Loss: 9.5052
Epoch 29/1000, Train Loss: 0.8316, Validation Loss: 3.3209
Epoch 30/1000, Train Loss: 0.7939, Validation Loss: 0.9687
Epoch 31/1000, Train Loss: 0.8089, Validation Loss: 1.2901
Epoch 32/1000, Train Loss: 22.5387, Validation Loss: 1.1264
Epoch 33/1000, Train Loss: 0.8303, Validation Loss: 0.9585
Epoch 34/1000, Train Loss: 0.8214, Validation Loss: 1.1698
Epoch 35/1000, Train Loss: 0.7956, Validation Loss: 4.4588
Epoch 36/1000, Train Loss: 0.7824, Validation Loss: 2.8895
Epoch 37/1000, Train Loss: 1.3801, Validation Loss: 0.9128
Epoch 38/1000, Train Loss: 17.9835, Validation Loss: 3.0455
Epoch 39/1000, Train Loss: 0.7986, Validation Loss: 3.7808
Epoch 40/1000, Train Loss: 0.7603, Validation Loss: 1.0125
Epoch 41/1000, Train Loss: 0.7562, Validation Loss: 1.8456
Epoch 42/1000, Train Loss: 0.7603, Validation Loss: 1.1985
Epoch 43/1000, Train Loss: 0.7830, Validation Loss: 2.4715
Epoch 44/1000, Train Loss: 0.7326, Validation Loss: 0.9541
Epoch 45/1000, Train Loss: 0.7477, Validation Loss: 0.8091
Epoch 46/1000, Train Loss: 0.7923, Validation Loss: 31.7046
Epoch 47/1000, Train Loss: 0.7456, Validation Loss: 0.7589
Epoch 48/1000, Train Loss: 0.8212, Validation Loss: 2.7085
Epoch 49/1000, Train Loss: 0.7627, Validation Loss: 1.9159
Epoch 50/1000, Train Loss: 0.7343, Validation Loss: 2.4031
Epoch 51/1000, Train Loss: 0.7552, Validation Loss: 0.7327
Epoch 52/1000, Train Loss: 0.7350, Validation Loss: 0.7983
Epoch 53/1000, Train Loss: 1.5613, Validation Loss: 2.3917
Epoch 54/1000, Train Loss: 0.7804, Validation Loss: 3.2427
Epoch 55/1000, Train Loss: 0.7422, Validation Loss: 1.1963
Epoch 56/1000, Train Loss: 0.7439, Validation Loss: 1.6052
Epoch 57/1000, Train Loss: 0.7367, Validation Loss: 3.6669
