Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-2n8f2umv
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 25.9881, Validation Loss: 1.6652
Epoch 2/1000, Train Loss: 1.8772, Validation Loss: 5.4367
Epoch 3/1000, Train Loss: 1.8695, Validation Loss: 1.2371
Epoch 4/1000, Train Loss: 1.7981, Validation Loss: 2.4391
Epoch 5/1000, Train Loss: 1.6447, Validation Loss: 2.8222
Epoch 6/1000, Train Loss: 1.4742, Validation Loss: 1.9639
Epoch 7/1000, Train Loss: 5.7077, Validation Loss: 6.5632
Epoch 8/1000, Train Loss: 103.2446, Validation Loss: 6.0920
Epoch 9/1000, Train Loss: 240.6510, Validation Loss: 6.0693
Epoch 10/1000, Train Loss: 49.7939, Validation Loss: 6.4179
Epoch 11/1000, Train Loss: 342.0104, Validation Loss: 6.3697
Epoch 12/1000, Train Loss: 339.5212, Validation Loss: 7.6421
Epoch 13/1000, Train Loss: 1412.4498, Validation Loss: 6.0779
Epoch 14/1000, Train Loss: 7.3633, Validation Loss: 6.0894
Epoch 15/1000, Train Loss: 6439.1191, Validation Loss: 6.9963
Epoch 16/1000, Train Loss: 125.5404, Validation Loss: 6.5760
Epoch 17/1000, Train Loss: 126.5026, Validation Loss: 6.7657
Epoch 18/1000, Train Loss: 46514.0574, Validation Loss: 6.2842
Epoch 19/1000, Train Loss: 1190.8035, Validation Loss: 6.0807
Epoch 20/1000, Train Loss: 6.3161, Validation Loss: 6.1115
Epoch 21/1000, Train Loss: 36.3701, Validation Loss: 6.0725
Epoch 22/1000, Train Loss: 6.5444, Validation Loss: 6.0985
Epoch 23/1000, Train Loss: 3452.9054, Validation Loss: 6.6307
Epoch 24/1000, Train Loss: 6.5931, Validation Loss: 6.0702
Epoch 25/1000, Train Loss: 8.0449, Validation Loss: 6.1970
Epoch 26/1000, Train Loss: 12.3821, Validation Loss: 6.8445
Epoch 27/1000, Train Loss: 6.3333, Validation Loss: 6.0728
Epoch 28/1000, Train Loss: 335.5281, Validation Loss: 6.2530
Epoch 29/1000, Train Loss: 3329.3988, Validation Loss: 6.0854
Epoch 30/1000, Train Loss: 6.3807, Validation Loss: 6.1426
Epoch 31/1000, Train Loss: 110.2104, Validation Loss: 6.0944
Epoch 32/1000, Train Loss: 6.3678, Validation Loss: 6.2719
Epoch 33/1000, Train Loss: 7251.7663, Validation Loss: 6.0795
Epoch 34/1000, Train Loss: 15.0900, Validation Loss: 6.4453
Epoch 35/1000, Train Loss: 108070.9063, Validation Loss: 6.5561
