Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-4tk6dorg
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.6670, Validation Loss: 1.4756
Epoch 2/1000, Train Loss: 1.3152, Validation Loss: 2.1470
Epoch 3/1000, Train Loss: 1.1925, Validation Loss: 1.1106
Epoch 4/1000, Train Loss: 1.1438, Validation Loss: 2.0210
Epoch 5/1000, Train Loss: 1.1132, Validation Loss: 0.9820
Epoch 6/1000, Train Loss: 1.0547, Validation Loss: 4.0344
Epoch 7/1000, Train Loss: 1.0845, Validation Loss: 1.8524
Epoch 8/1000, Train Loss: 1.0214, Validation Loss: 3.5317
Epoch 9/1000, Train Loss: 1.0599, Validation Loss: 2.8373
Epoch 10/1000, Train Loss: 0.9799, Validation Loss: 2.1656
Epoch 11/1000, Train Loss: 1.0114, Validation Loss: 1.6948
Epoch 12/1000, Train Loss: 0.9863, Validation Loss: 2.6817
Epoch 13/1000, Train Loss: 1.0500, Validation Loss: 1.3046
Epoch 14/1000, Train Loss: 0.9164, Validation Loss: 1.9808
Epoch 15/1000, Train Loss: 56.7812, Validation Loss: 2.2902
Epoch 16/1000, Train Loss: 0.9320, Validation Loss: 3.2322
Epoch 17/1000, Train Loss: 0.8751, Validation Loss: 2.7486
Epoch 18/1000, Train Loss: 0.8698, Validation Loss: 1.1744
Epoch 19/1000, Train Loss: 0.8576, Validation Loss: 2.0591
Epoch 20/1000, Train Loss: 1.3022, Validation Loss: 2.9899
Epoch 21/1000, Train Loss: 0.8308, Validation Loss: 0.8848
Epoch 22/1000, Train Loss: 0.8089, Validation Loss: 0.7465
Epoch 23/1000, Train Loss: 0.7942, Validation Loss: 0.8998
Epoch 24/1000, Train Loss: 0.8637, Validation Loss: 4.3951
Epoch 25/1000, Train Loss: 0.7906, Validation Loss: 3.6452
Epoch 26/1000, Train Loss: 0.7573, Validation Loss: 1.1422
Epoch 27/1000, Train Loss: 0.7820, Validation Loss: 1.0980
Epoch 28/1000, Train Loss: 0.7804, Validation Loss: 2.4459
Epoch 29/1000, Train Loss: 0.7403, Validation Loss: 1.3586
Epoch 30/1000, Train Loss: 0.8732, Validation Loss: 2.1075
Epoch 31/1000, Train Loss: 0.7612, Validation Loss: 1.0969
Epoch 32/1000, Train Loss: 0.7239, Validation Loss: 2.3566
Epoch 33/1000, Train Loss: 0.7159, Validation Loss: 8.5876
Epoch 34/1000, Train Loss: 0.7606, Validation Loss: 1.1967
Epoch 35/1000, Train Loss: 0.7091, Validation Loss: 2.3900
Epoch 36/1000, Train Loss: 1.1905, Validation Loss: 1.2670
Epoch 37/1000, Train Loss: 0.7260, Validation Loss: 1.9650
Epoch 38/1000, Train Loss: 0.7152, Validation Loss: 1.4842
Epoch 39/1000, Train Loss: 0.7218, Validation Loss: 3.8615
Epoch 40/1000, Train Loss: 0.7624, Validation Loss: 3.4017
Epoch 41/1000, Train Loss: 0.7177, Validation Loss: 0.7947
Epoch 42/1000, Train Loss: 0.6940, Validation Loss: 2.0021
Epoch 43/1000, Train Loss: 3.3537, Validation Loss: 0.9065
Epoch 44/1000, Train Loss: 0.7063, Validation Loss: 11.7381
Epoch 45/1000, Train Loss: 0.7122, Validation Loss: 1.3325
Epoch 46/1000, Train Loss: 0.7377, Validation Loss: 4.2786
Epoch 47/1000, Train Loss: 0.7307, Validation Loss: 24.1124
Epoch 48/1000, Train Loss: 0.6893, Validation Loss: 22.2926
Epoch 49/1000, Train Loss: 0.6794, Validation Loss: 1.0817
Epoch 50/1000, Train Loss: 0.6712, Validation Loss: 0.9379
Epoch 51/1000, Train Loss: 109.0634, Validation Loss: 2.1339
Epoch 52/1000, Train Loss: 0.6874, Validation Loss: 2.6909
Epoch 53/1000, Train Loss: 0.6898, Validation Loss: 3.6826
Epoch 54/1000, Train Loss: 0.6935, Validation Loss: 5.4079
Epoch 55/1000, Train Loss: 0.6983, Validation Loss: 2.7552
Epoch 56/1000, Train Loss: 0.6871, Validation Loss: 0.6541
Epoch 57/1000, Train Loss: 0.6936, Validation Loss: 1.2409
Epoch 58/1000, Train Loss: 0.6852, Validation Loss: 1.7029
Epoch 59/1000, Train Loss: 0.7100, Validation Loss: 0.9077
Epoch 60/1000, Train Loss: 0.6767, Validation Loss: 2.1944
Epoch 61/1000, Train Loss: 0.6788, Validation Loss: 2.8187
Epoch 62/1000, Train Loss: 0.6765, Validation Loss: 3.8237
Epoch 63/1000, Train Loss: 0.9384, Validation Loss: 30.4490
Epoch 64/1000, Train Loss: 0.6739, Validation Loss: 0.9159
Epoch 65/1000, Train Loss: 0.6811, Validation Loss: 1.9382
Epoch 66/1000, Train Loss: 0.6513, Validation Loss: 0.8271
Epoch 67/1000, Train Loss: 0.6666, Validation Loss: 3.1863
Epoch 68/1000, Train Loss: 0.6495, Validation Loss: 2.1813
Epoch 69/1000, Train Loss: 0.6701, Validation Loss: 1.5243
Epoch 70/1000, Train Loss: 0.6695, Validation Loss: 2.1504
Epoch 71/1000, Train Loss: 0.7612, Validation Loss: 3.4779
Epoch 72/1000, Train Loss: 0.6797, Validation Loss: 1.8606
Epoch 73/1000, Train Loss: 0.6594, Validation Loss: 2.1396
Epoch 74/1000, Train Loss: 0.6564, Validation Loss: 4.1118
Epoch 75/1000, Train Loss: 1.5876, Validation Loss: 3.0945
Epoch 76/1000, Train Loss: 0.6653, Validation Loss: 7.6067
Epoch 77/1000, Train Loss: 0.6683, Validation Loss: 0.7138
Epoch 78/1000, Train Loss: 0.6535, Validation Loss: 3.3205
Epoch 79/1000, Train Loss: 0.6715, Validation Loss: 2.1948
Epoch 80/1000, Train Loss: 0.6501, Validation Loss: 1.5987
Epoch 81/1000, Train Loss: 0.7051, Validation Loss: 1.9302
Epoch 82/1000, Train Loss: 0.7053, Validation Loss: 2.1813
Epoch 83/1000, Train Loss: 0.6519, Validation Loss: 0.6709
Epoch 84/1000, Train Loss: 0.6762, Validation Loss: 2.0591
Epoch 85/1000, Train Loss: 0.6701, Validation Loss: 0.7345
Epoch 86/1000, Train Loss: 0.6501, Validation Loss: 2.6243
Epoch 87/1000, Train Loss: 0.7437, Validation Loss: 2.6877
Epoch 88/1000, Train Loss: 0.6509, Validation Loss: 1.5935
Epoch 89/1000, Train Loss: 0.6447, Validation Loss: 1.7937
Epoch 90/1000, Train Loss: 0.6772, Validation Loss: 1.7473
Epoch 91/1000, Train Loss: 0.6377, Validation Loss: 3.4410
Epoch 92/1000, Train Loss: 0.6656, Validation Loss: 1.3566
Epoch 93/1000, Train Loss: 1.4866, Validation Loss: 8.2057
Epoch 94/1000, Train Loss: 0.6683, Validation Loss: 2.2052
Epoch 95/1000, Train Loss: 0.6847, Validation Loss: 18.9594
Epoch 96/1000, Train Loss: 0.6475, Validation Loss: 3.2422
Epoch 97/1000, Train Loss: 0.6468, Validation Loss: 0.7604
Epoch 98/1000, Train Loss: 0.6518, Validation Loss: 2.3005
Epoch 99/1000, Train Loss: 0.6514, Validation Loss: 2.6722
Epoch 100/1000, Train Loss: 0.6620, Validation Loss: 0.7991
Epoch 101/1000, Train Loss: 0.6698, Validation Loss: 2.1316
Epoch 102/1000, Train Loss: 0.6642, Validation Loss: 3.0044
Epoch 103/1000, Train Loss: 0.8973, Validation Loss: 4.3788
Epoch 104/1000, Train Loss: 0.6452, Validation Loss: 0.9902
Epoch 105/1000, Train Loss: 0.6486, Validation Loss: 1.5525
Epoch 106/1000, Train Loss: 0.6548, Validation Loss: 0.8017
Epoch 107/1000, Train Loss: 0.6535, Validation Loss: 1.7237
Epoch 108/1000, Train Loss: 0.6605, Validation Loss: 1.3269
Epoch 109/1000, Train Loss: 0.6596, Validation Loss: 2.6631
Epoch 110/1000, Train Loss: 0.6456, Validation Loss: 4.1052
Epoch 111/1000, Train Loss: 0.6358, Validation Loss: 7.0621
Epoch 112/1000, Train Loss: 0.6484, Validation Loss: 2.1800
Epoch 113/1000, Train Loss: 0.9708, Validation Loss: 1.1524
Epoch 114/1000, Train Loss: 0.6335, Validation Loss: 6.0592
Epoch 115/1000, Train Loss: 0.6151, Validation Loss: 3.8386
Epoch 116/1000, Train Loss: 0.6409, Validation Loss: 1.0220
Epoch 117/1000, Train Loss: 0.6521, Validation Loss: 0.9579
Epoch 118/1000, Train Loss: 0.6406, Validation Loss: 5.0170
Epoch 119/1000, Train Loss: 0.6333, Validation Loss: 0.8781
Epoch 120/1000, Train Loss: 0.6301, Validation Loss: 2.2807
Epoch 121/1000, Train Loss: 0.6336, Validation Loss: 1.2206
Epoch 122/1000, Train Loss: 0.6481, Validation Loss: 1.7300
Epoch 123/1000, Train Loss: 0.6272, Validation Loss: 1.3007
Epoch 124/1000, Train Loss: 0.6213, Validation Loss: 2.3778
Epoch 125/1000, Train Loss: 0.6259, Validation Loss: 8.2399
Epoch 126/1000, Train Loss: 0.6533, Validation Loss: 2.1994
Epoch 127/1000, Train Loss: 15.8217, Validation Loss: 5.4250
Epoch 128/1000, Train Loss: 0.6245, Validation Loss: 1.4759
Epoch 129/1000, Train Loss: 0.6210, Validation Loss: 2.5832
Epoch 130/1000, Train Loss: 0.6436, Validation Loss: 3.8171
Epoch 131/1000, Train Loss: 0.6804, Validation Loss: 2.7949
Epoch 132/1000, Train Loss: 0.6319, Validation Loss: 0.7247
Epoch 133/1000, Train Loss: 0.6200, Validation Loss: 2.0220
Epoch 134/1000, Train Loss: 0.6149, Validation Loss: 2.5476
Epoch 135/1000, Train Loss: 0.6285, Validation Loss: 3.4829
Epoch 136/1000, Train Loss: 0.6042, Validation Loss: 3.2784
Epoch 137/1000, Train Loss: 0.6340, Validation Loss: 3.2596
Epoch 138/1000, Train Loss: 0.6722, Validation Loss: 6.1034
Epoch 139/1000, Train Loss: 0.6219, Validation Loss: 1.7418
Epoch 140/1000, Train Loss: 0.6150, Validation Loss: 0.9567
Epoch 141/1000, Train Loss: 0.6250, Validation Loss: 1.1604
Epoch 142/1000, Train Loss: 0.6079, Validation Loss: 1.0327
Epoch 143/1000, Train Loss: 0.6572, Validation Loss: 2.6140
Epoch 144/1000, Train Loss: 0.6184, Validation Loss: 0.5781
Epoch 145/1000, Train Loss: 0.6230, Validation Loss: 1.8780
Epoch 146/1000, Train Loss: 0.6104, Validation Loss: 1.6862
Epoch 147/1000, Train Loss: 0.6125, Validation Loss: 1.2502
Epoch 148/1000, Train Loss: 0.6499, Validation Loss: 2.2644
Epoch 149/1000, Train Loss: 0.6276, Validation Loss: 1.1942
Epoch 150/1000, Train Loss: 0.6207, Validation Loss: 1.3167
Epoch 151/1000, Train Loss: 0.8002, Validation Loss: 1.5383
Epoch 152/1000, Train Loss: 0.6084, Validation Loss: 1.2342
Epoch 153/1000, Train Loss: 10.0750, Validation Loss: 10.7004
Epoch 154/1000, Train Loss: 0.6212, Validation Loss: 2.9210
Epoch 155/1000, Train Loss: 0.6107, Validation Loss: 2.5128
Epoch 156/1000, Train Loss: 0.6049, Validation Loss: 2.0183
Epoch 157/1000, Train Loss: 0.6168, Validation Loss: 3.5246
Epoch 158/1000, Train Loss: 0.6631, Validation Loss: 2.0973
Epoch 159/1000, Train Loss: 1.0377, Validation Loss: 3.5783
Epoch 160/1000, Train Loss: 0.5929, Validation Loss: 2.9329
Epoch 161/1000, Train Loss: 0.6293, Validation Loss: 1.9650
