Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-4opyx44d
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 9.9455, Validation Loss: 2.1005
Epoch 2/1000, Train Loss: 2.1412, Validation Loss: 10.1948
Epoch 3/1000, Train Loss: 1.6363, Validation Loss: 5.9157
Epoch 4/1000, Train Loss: 1.5216, Validation Loss: 4.0745
Epoch 5/1000, Train Loss: 1.5791, Validation Loss: 1.9860
Epoch 6/1000, Train Loss: 1.5701, Validation Loss: 5.3790
Epoch 7/1000, Train Loss: 1.4333, Validation Loss: 1.7382
Epoch 8/1000, Train Loss: 1.3947, Validation Loss: 5.6405
Epoch 9/1000, Train Loss: 1.2910, Validation Loss: 1.3259
Epoch 10/1000, Train Loss: 2.2203, Validation Loss: 1.8572
Epoch 11/1000, Train Loss: 1.3171, Validation Loss: 5.2639
Epoch 12/1000, Train Loss: 1.3478, Validation Loss: 1.7977
Epoch 13/1000, Train Loss: 1.2944, Validation Loss: 2.8173
Epoch 14/1000, Train Loss: 14.4300, Validation Loss: 6.8705
Epoch 15/1000, Train Loss: 1.1588, Validation Loss: 2.1573
Epoch 16/1000, Train Loss: 36.7502, Validation Loss: 1.4970
Epoch 17/1000, Train Loss: 3.1675, Validation Loss: 2.5846
Epoch 18/1000, Train Loss: 1.1076, Validation Loss: 7.5098
Epoch 19/1000, Train Loss: 1.1432, Validation Loss: 3.7144
Epoch 20/1000, Train Loss: 1.2038, Validation Loss: 1.0832
Epoch 21/1000, Train Loss: 28.5181, Validation Loss: 1.8295
Epoch 22/1000, Train Loss: 1.1645, Validation Loss: 4.5477
Epoch 23/1000, Train Loss: 1.1807, Validation Loss: 4.2945
Epoch 24/1000, Train Loss: 1.0875, Validation Loss: 4.1302
Epoch 25/1000, Train Loss: 1.7430, Validation Loss: 2.9672
Epoch 26/1000, Train Loss: 1.3727, Validation Loss: 1.3415
Epoch 27/1000, Train Loss: 1.0333, Validation Loss: 2.2379
Epoch 28/1000, Train Loss: 64.4442, Validation Loss: 58.7337
Epoch 29/1000, Train Loss: 2.5062, Validation Loss: 3.1097
Epoch 30/1000, Train Loss: 1.1575, Validation Loss: 1.6201
Epoch 31/1000, Train Loss: 1.0428, Validation Loss: 5.8569
Epoch 32/1000, Train Loss: 1.1313, Validation Loss: 6.2965
Epoch 33/1000, Train Loss: 1.6489, Validation Loss: 1.4660
Epoch 34/1000, Train Loss: 1.0804, Validation Loss: 2.6803
Epoch 35/1000, Train Loss: 1.1784, Validation Loss: 5.2345
Epoch 36/1000, Train Loss: 0.9970, Validation Loss: 5.4190
Epoch 37/1000, Train Loss: 1.0116, Validation Loss: 2.6856
Epoch 38/1000, Train Loss: 1.3152, Validation Loss: 1.7110
Epoch 39/1000, Train Loss: 1.3217, Validation Loss: 1.2019
Epoch 40/1000, Train Loss: 0.9857, Validation Loss: 7.5602
Epoch 41/1000, Train Loss: 7.2066, Validation Loss: 1.3683
Epoch 42/1000, Train Loss: 1.0248, Validation Loss: 1.2837
Epoch 43/1000, Train Loss: 1.0340, Validation Loss: 0.9571
Epoch 44/1000, Train Loss: 0.9859, Validation Loss: 3.1488
Epoch 45/1000, Train Loss: 1.0238, Validation Loss: 4.6904
Epoch 46/1000, Train Loss: 1.2469, Validation Loss: 3.9937
Epoch 47/1000, Train Loss: 4.0935, Validation Loss: 5.8204
Epoch 48/1000, Train Loss: 5.7509, Validation Loss: 2.4455
Epoch 49/1000, Train Loss: 6.6811, Validation Loss: 4.5637
Epoch 50/1000, Train Loss: 1.0068, Validation Loss: 2.4115
Epoch 51/1000, Train Loss: 0.9518, Validation Loss: 4.5677
Epoch 52/1000, Train Loss: 0.9471, Validation Loss: 3.2646
Epoch 53/1000, Train Loss: 1288.9112, Validation Loss: 2.9806
Epoch 54/1000, Train Loss: 0.9533, Validation Loss: 3.0615
Epoch 55/1000, Train Loss: 0.9309, Validation Loss: 2.2585
Epoch 56/1000, Train Loss: 1.0021, Validation Loss: 1.6654
Epoch 57/1000, Train Loss: 4.6668, Validation Loss: 3.3245
Epoch 58/1000, Train Loss: 1.0673, Validation Loss: 3.3638
Epoch 59/1000, Train Loss: 0.9443, Validation Loss: 0.8732
Epoch 60/1000, Train Loss: 2.1279, Validation Loss: 2.4254
Epoch 61/1000, Train Loss: 1.0133, Validation Loss: 1.2788
Epoch 62/1000, Train Loss: 0.9753, Validation Loss: 3.3235
Epoch 63/1000, Train Loss: 1.0016, Validation Loss: 2.7314
Epoch 64/1000, Train Loss: 87.4306, Validation Loss: 3.7818
Epoch 65/1000, Train Loss: 5.1796, Validation Loss: 1.0520
Epoch 66/1000, Train Loss: 0.9997, Validation Loss: 2.7930
Epoch 67/1000, Train Loss: 0.9782, Validation Loss: 1.3137
Epoch 68/1000, Train Loss: 0.9363, Validation Loss: 1.4228
Epoch 69/1000, Train Loss: 1.2082, Validation Loss: 2.6169
Epoch 70/1000, Train Loss: 2.8726, Validation Loss: 1.8967
Epoch 71/1000, Train Loss: 0.9326, Validation Loss: 2.0293
Epoch 72/1000, Train Loss: 0.9424, Validation Loss: 1.5455
Epoch 73/1000, Train Loss: 0.9191, Validation Loss: 1.3022
Epoch 74/1000, Train Loss: 87.5130, Validation Loss: 2.5145
Epoch 75/1000, Train Loss: 1.4743, Validation Loss: 2.8504
Epoch 76/1000, Train Loss: 0.9830, Validation Loss: 0.7675
Epoch 77/1000, Train Loss: 0.9061, Validation Loss: 1.9976
