Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-obh1x0ir
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 35.8455, Validation Loss: 4.8185
Epoch 2/1000, Train Loss: 2.7062, Validation Loss: 4.4489
Epoch 3/1000, Train Loss: 1.9676, Validation Loss: 2.5377
Epoch 4/1000, Train Loss: 1.7205, Validation Loss: 3.6415
Epoch 5/1000, Train Loss: 1.6126, Validation Loss: 4.0337
Epoch 6/1000, Train Loss: 1.5494, Validation Loss: 2.7425
Epoch 7/1000, Train Loss: 1.4734, Validation Loss: 2.6905
Epoch 8/1000, Train Loss: 7.7986, Validation Loss: 1.6289
Epoch 9/1000, Train Loss: 1.4831, Validation Loss: 2.1505
Epoch 10/1000, Train Loss: 2.3757, Validation Loss: 2.5334
Epoch 11/1000, Train Loss: 1.3276, Validation Loss: 1.6596
Epoch 12/1000, Train Loss: 471.9993, Validation Loss: 6.1919
Epoch 13/1000, Train Loss: 63.2378, Validation Loss: 6.0591
Epoch 14/1000, Train Loss: 11.1983, Validation Loss: 6.0833
Epoch 15/1000, Train Loss: 10.2387, Validation Loss: 6.7776
Epoch 16/1000, Train Loss: 6.2287, Validation Loss: 6.0566
Epoch 17/1000, Train Loss: 4112.2837, Validation Loss: 6.2671
Epoch 18/1000, Train Loss: 6.2491, Validation Loss: 6.2410
Epoch 19/1000, Train Loss: 13.7952, Validation Loss: 6.1535
Epoch 20/1000, Train Loss: 8.7943, Validation Loss: 6.4403
Epoch 21/1000, Train Loss: 6.2669, Validation Loss: 6.0773
Epoch 22/1000, Train Loss: 7210.6672, Validation Loss: 6.0571
Epoch 23/1000, Train Loss: 6.6254, Validation Loss: 6.0698
Epoch 24/1000, Train Loss: 6.4696, Validation Loss: 6.0634
Epoch 25/1000, Train Loss: 32.7471, Validation Loss: 6.0564
Epoch 26/1000, Train Loss: 56.8355, Validation Loss: 6.1249
Epoch 27/1000, Train Loss: 3007.7991, Validation Loss: 6.0565
Epoch 28/1000, Train Loss: 6.2632, Validation Loss: 6.0607
Epoch 29/1000, Train Loss: 6.3392, Validation Loss: 6.3251
Epoch 30/1000, Train Loss: 6.3000, Validation Loss: 6.3341
Epoch 31/1000, Train Loss: 6.2424, Validation Loss: 6.0588
Epoch 32/1000, Train Loss: 28.7076, Validation Loss: 6.0938
Epoch 33/1000, Train Loss: 6.7672, Validation Loss: 66.5368
Epoch 34/1000, Train Loss: 26.4231, Validation Loss: 6.0645
Epoch 35/1000, Train Loss: 6.8775, Validation Loss: 6.1299
Epoch 36/1000, Train Loss: 16.8234, Validation Loss: 6.0564
Epoch 37/1000, Train Loss: 946.4667, Validation Loss: 6.0572
Epoch 38/1000, Train Loss: 8.9774, Validation Loss: 6.0951
Epoch 39/1000, Train Loss: 13.8689, Validation Loss: 6.2413
Epoch 40/1000, Train Loss: 11924.6327, Validation Loss: 7.7042
Epoch 41/1000, Train Loss: 6.7251, Validation Loss: 6.2444
Epoch 42/1000, Train Loss: 6.2565, Validation Loss: 6.1794
Epoch 43/1000, Train Loss: 8.8204, Validation Loss: 6.1463
Epoch 44/1000, Train Loss: 14.4751, Validation Loss: 6.1143
Epoch 45/1000, Train Loss: 6.2976, Validation Loss: 6.0563
Epoch 46/1000, Train Loss: 6.2524, Validation Loss: 6.0976
Epoch 47/1000, Train Loss: 1115.2801, Validation Loss: 6.1988
Epoch 48/1000, Train Loss: 5121.8210, Validation Loss: 6.1672
Epoch 49/1000, Train Loss: 6.2657, Validation Loss: 6.6222
Epoch 50/1000, Train Loss: 6.6546, Validation Loss: 6.0566
Epoch 51/1000, Train Loss: 164.9812, Validation Loss: 6.1978
Epoch 52/1000, Train Loss: 6.2558, Validation Loss: 6.1508
Epoch 53/1000, Train Loss: 750937.6755, Validation Loss: 6.1177
Epoch 54/1000, Train Loss: 6.2475, Validation Loss: 6.1198
Epoch 55/1000, Train Loss: 19801.9407, Validation Loss: 6.0810
Epoch 56/1000, Train Loss: 6.2078, Validation Loss: 6.2762
Epoch 57/1000, Train Loss: 6.2741, Validation Loss: 6.4652
Epoch 58/1000, Train Loss: 52.0475, Validation Loss: 6.1838
Epoch 59/1000, Train Loss: 6.2754, Validation Loss: 6.0677
Epoch 60/1000, Train Loss: 6.2414, Validation Loss: 6.2944
Epoch 61/1000, Train Loss: 6.3790, Validation Loss: 6.0765
Epoch 62/1000, Train Loss: 7.8442, Validation Loss: 6.0565
Epoch 63/1000, Train Loss: 6.2294, Validation Loss: 6.2600
Epoch 64/1000, Train Loss: 98.4938, Validation Loss: 6.1249
Epoch 65/1000, Train Loss: 6.2178, Validation Loss: 6.0565
Epoch 66/1000, Train Loss: 910.1474, Validation Loss: 6.1170
Epoch 67/1000, Train Loss: 6.2375, Validation Loss: 6.1037
Epoch 68/1000, Train Loss: 6.2867, Validation Loss: 39.0616
Epoch 69/1000, Train Loss: 12.7527, Validation Loss: 6.0735
Epoch 70/1000, Train Loss: 7.0429, Validation Loss: 6.4514
Epoch 71/1000, Train Loss: 6.2542, Validation Loss: 6.1140
Epoch 72/1000, Train Loss: 75.2971, Validation Loss: 6.6801
Epoch 73/1000, Train Loss: 6.2611, Validation Loss: 6.3959
Epoch 74/1000, Train Loss: 8.1226, Validation Loss: 6.3072
Epoch 75/1000, Train Loss: 6.2649, Validation Loss: 6.0654
Epoch 76/1000, Train Loss: 29.1194, Validation Loss: 6.0571
Epoch 77/1000, Train Loss: 2893.7352, Validation Loss: 6.1340
Epoch 78/1000, Train Loss: 6.2529, Validation Loss: 6.0693
Epoch 79/1000, Train Loss: 6.2948, Validation Loss: 6.0926
Epoch 80/1000, Train Loss: 6.2543, Validation Loss: 6.0636
Epoch 81/1000, Train Loss: 27.7610, Validation Loss: 6.0977
Epoch 82/1000, Train Loss: 49.8072, Validation Loss: 6.2439
Epoch 83/1000, Train Loss: 19.4514, Validation Loss: 6.0594
