Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-0ccaew6b
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.7010, Validation Loss: 1.3809
Epoch 2/1000, Train Loss: 1.6778, Validation Loss: 1.8341
Epoch 3/1000, Train Loss: 1.5576, Validation Loss: 8.2603
Epoch 4/1000, Train Loss: 1.3688, Validation Loss: 4.0108
Epoch 5/1000, Train Loss: 1.7137, Validation Loss: 3.7719
Epoch 6/1000, Train Loss: 14.6696, Validation Loss: 3.2189
Epoch 7/1000, Train Loss: 1.2630, Validation Loss: 2.7989
Epoch 8/1000, Train Loss: 1.2494, Validation Loss: 4.8911
Epoch 9/1000, Train Loss: 1.2611, Validation Loss: 3.9630
Epoch 10/1000, Train Loss: 2.2847, Validation Loss: 2.7087
Epoch 11/1000, Train Loss: 1.2597, Validation Loss: 2.7869
Epoch 12/1000, Train Loss: 1.4960, Validation Loss: 5.8682
Epoch 13/1000, Train Loss: 1.1012, Validation Loss: 1.3227
Epoch 14/1000, Train Loss: 1.1154, Validation Loss: 1.1763
Epoch 15/1000, Train Loss: 1.1441, Validation Loss: 66.0152
Epoch 16/1000, Train Loss: 2.3998, Validation Loss: 2.5647
Epoch 17/1000, Train Loss: 1.1087, Validation Loss: 1.7628
Epoch 18/1000, Train Loss: 1.0777, Validation Loss: 6.9107
Epoch 19/1000, Train Loss: 1.1200, Validation Loss: 3.2163
Epoch 20/1000, Train Loss: 1.0548, Validation Loss: 1.1012
Epoch 21/1000, Train Loss: 1.0374, Validation Loss: 8.5091
Epoch 22/1000, Train Loss: 1.2089, Validation Loss: 1.5062
Epoch 23/1000, Train Loss: 1.0802, Validation Loss: 4.0985
Epoch 24/1000, Train Loss: 1.0308, Validation Loss: 0.8623
Epoch 25/1000, Train Loss: 1.0269, Validation Loss: 4.1520
Epoch 26/1000, Train Loss: 1.3906, Validation Loss: 7.6113
Epoch 27/1000, Train Loss: 1.0432, Validation Loss: 6.3472
Epoch 28/1000, Train Loss: 1.1032, Validation Loss: 2.6011
Epoch 29/1000, Train Loss: 1.1691, Validation Loss: 1.1952
Epoch 30/1000, Train Loss: 0.9776, Validation Loss: 1.7641
Epoch 31/1000, Train Loss: 0.9872, Validation Loss: 3.9354
Epoch 32/1000, Train Loss: 1.0037, Validation Loss: 4.7632
Epoch 33/1000, Train Loss: 0.9838, Validation Loss: 0.9891
Epoch 34/1000, Train Loss: 1.0696, Validation Loss: 4.1604
Epoch 35/1000, Train Loss: 0.9896, Validation Loss: 1.0521
Epoch 36/1000, Train Loss: 10.1694, Validation Loss: 2.4701
Epoch 37/1000, Train Loss: 1.1981, Validation Loss: 0.9205
Epoch 38/1000, Train Loss: 0.9762, Validation Loss: 1.9115
Epoch 39/1000, Train Loss: 0.9740, Validation Loss: 21.9368
Epoch 40/1000, Train Loss: 1.2077, Validation Loss: 0.9827
Epoch 41/1000, Train Loss: 1.0113, Validation Loss: 3.7028
Epoch 42/1000, Train Loss: 0.9492, Validation Loss: 1.5318
Epoch 43/1000, Train Loss: 1.0164, Validation Loss: 4.9071
Epoch 44/1000, Train Loss: 0.9855, Validation Loss: 4055.7741
Epoch 45/1000, Train Loss: 1.3819, Validation Loss: 1.5045
Epoch 46/1000, Train Loss: 0.9478, Validation Loss: 2.3826
Epoch 47/1000, Train Loss: 1.0454, Validation Loss: 1.3592
Epoch 48/1000, Train Loss: 3.4424, Validation Loss: 6.6877
Epoch 49/1000, Train Loss: 0.9961, Validation Loss: 2.7239
Epoch 50/1000, Train Loss: 1.2342, Validation Loss: 3.6298
Epoch 51/1000, Train Loss: 21.9427, Validation Loss: 1.5046
Epoch 52/1000, Train Loss: 0.9842, Validation Loss: 2.0905
Epoch 53/1000, Train Loss: 0.9363, Validation Loss: 1.8607
Epoch 54/1000, Train Loss: 0.9807, Validation Loss: 2.7679
Epoch 55/1000, Train Loss: 1.0228, Validation Loss: 161.5092
Epoch 56/1000, Train Loss: 4.6345, Validation Loss: 2.7424
Epoch 57/1000, Train Loss: 0.9393, Validation Loss: 1.7571
Epoch 58/1000, Train Loss: 0.9230, Validation Loss: 0.9245
Epoch 59/1000, Train Loss: 0.9215, Validation Loss: 7.2681
Epoch 60/1000, Train Loss: 0.9884, Validation Loss: 8.6033
Epoch 61/1000, Train Loss: 0.8959, Validation Loss: 1.2130
Epoch 62/1000, Train Loss: 0.9708, Validation Loss: 3.2050
Epoch 63/1000, Train Loss: 1.0258, Validation Loss: 2.0917
Epoch 64/1000, Train Loss: 0.9343, Validation Loss: 2.5132
Epoch 65/1000, Train Loss: 0.9967, Validation Loss: 0.9361
Epoch 66/1000, Train Loss: 0.8914, Validation Loss: 73.4130
Epoch 67/1000, Train Loss: 0.8990, Validation Loss: 37.4386
Epoch 68/1000, Train Loss: 1.0018, Validation Loss: 1.0100
Epoch 69/1000, Train Loss: 1.2346, Validation Loss: 4.6971
Epoch 70/1000, Train Loss: 0.9706, Validation Loss: 6.7573
Epoch 71/1000, Train Loss: 0.9103, Validation Loss: 3.5601
Epoch 72/1000, Train Loss: 0.8623, Validation Loss: 74.7990
Epoch 73/1000, Train Loss: 6.8197, Validation Loss: 2.6767
Epoch 74/1000, Train Loss: 0.9144, Validation Loss: 2.5115
Epoch 75/1000, Train Loss: 0.9013, Validation Loss: 12.1389
Epoch 76/1000, Train Loss: 1.0205, Validation Loss: 232.0209
Epoch 77/1000, Train Loss: 0.9674, Validation Loss: 10.2551
Epoch 78/1000, Train Loss: 1.0332, Validation Loss: 4.0962
Epoch 79/1000, Train Loss: 0.8930, Validation Loss: 2.5423
Epoch 80/1000, Train Loss: 0.9651, Validation Loss: 1.5359
Epoch 81/1000, Train Loss: 0.9069, Validation Loss: 1.2863
Epoch 82/1000, Train Loss: 0.8890, Validation Loss: 1.6908
Epoch 83/1000, Train Loss: 1.0145, Validation Loss: 1.4806
