Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-ekpyanqr
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.1892, Validation Loss: 3.1199
Epoch 2/1000, Train Loss: 1.4326, Validation Loss: 3.1800
Epoch 3/1000, Train Loss: 1.4077, Validation Loss: 6.4129
Epoch 4/1000, Train Loss: 1.2830, Validation Loss: 2.0901
Epoch 5/1000, Train Loss: 1.2378, Validation Loss: 1.6170
Epoch 6/1000, Train Loss: 1.2752, Validation Loss: 1.5753
Epoch 7/1000, Train Loss: 1.1971, Validation Loss: 1.0782
Epoch 8/1000, Train Loss: 1.1558, Validation Loss: 1.1247
Epoch 9/1000, Train Loss: 1.1557, Validation Loss: 3.1729
Epoch 10/1000, Train Loss: 1.1273, Validation Loss: 2.4359
Epoch 11/1000, Train Loss: 1.1713, Validation Loss: 2.0583
Epoch 12/1000, Train Loss: 1.1393, Validation Loss: 1.2616
Epoch 13/1000, Train Loss: 1.1367, Validation Loss: 1.9245
Epoch 14/1000, Train Loss: 1.0972, Validation Loss: 3.4805
Epoch 15/1000, Train Loss: 1.0879, Validation Loss: 3.7525
Epoch 16/1000, Train Loss: 1.0490, Validation Loss: 2.0719
Epoch 17/1000, Train Loss: 1.0200, Validation Loss: 1.0918
Epoch 18/1000, Train Loss: 1.0676, Validation Loss: 0.8918
Epoch 19/1000, Train Loss: 1.0137, Validation Loss: 2.3716
Epoch 20/1000, Train Loss: 0.9834, Validation Loss: 2.9749
Epoch 21/1000, Train Loss: 1.0392, Validation Loss: 1.4253
Epoch 22/1000, Train Loss: 1.1864, Validation Loss: 3.4114
Epoch 23/1000, Train Loss: 1.0015, Validation Loss: 3.0638
Epoch 24/1000, Train Loss: 0.9811, Validation Loss: 1.1474
Epoch 25/1000, Train Loss: 1.0032, Validation Loss: 1.3574
Epoch 26/1000, Train Loss: 0.9052, Validation Loss: 2.8217
Epoch 27/1000, Train Loss: 0.8937, Validation Loss: 1.4575
Epoch 28/1000, Train Loss: 0.9206, Validation Loss: 2.2849
Epoch 29/1000, Train Loss: 0.8900, Validation Loss: 0.9541
Epoch 30/1000, Train Loss: 1.0830, Validation Loss: 1.8727
Epoch 31/1000, Train Loss: 0.8786, Validation Loss: 1.1518
Epoch 32/1000, Train Loss: 0.8808, Validation Loss: 2.3661
Epoch 33/1000, Train Loss: 0.9191, Validation Loss: 2.9046
Epoch 34/1000, Train Loss: 0.8759, Validation Loss: 1.0740
Epoch 35/1000, Train Loss: 0.8635, Validation Loss: 1.1007
Epoch 36/1000, Train Loss: 0.8446, Validation Loss: 2.7879
Epoch 37/1000, Train Loss: 0.8397, Validation Loss: 2.3179
Epoch 38/1000, Train Loss: 0.8305, Validation Loss: 1.0418
Epoch 39/1000, Train Loss: 1.0752, Validation Loss: 1.8766
Epoch 40/1000, Train Loss: 0.8636, Validation Loss: 0.8141
Epoch 41/1000, Train Loss: 0.8357, Validation Loss: 1.5431
Epoch 42/1000, Train Loss: 0.8462, Validation Loss: 2.6663
Epoch 43/1000, Train Loss: 0.8208, Validation Loss: 1.8932
Epoch 44/1000, Train Loss: 0.8457, Validation Loss: 3.5382
Epoch 45/1000, Train Loss: 0.8163, Validation Loss: 3.8134
Epoch 46/1000, Train Loss: 0.8611, Validation Loss: 0.9891
Epoch 47/1000, Train Loss: 0.7997, Validation Loss: 1.6471
Epoch 48/1000, Train Loss: 0.7900, Validation Loss: 1.9325
Epoch 49/1000, Train Loss: 2.6984, Validation Loss: 1.1555
Epoch 50/1000, Train Loss: 0.8427, Validation Loss: 1.2540
Epoch 51/1000, Train Loss: 0.8095, Validation Loss: 2.2069
Epoch 52/1000, Train Loss: 0.7873, Validation Loss: 2.7259
Epoch 53/1000, Train Loss: 0.8038, Validation Loss: 1.5548
Epoch 54/1000, Train Loss: 0.8039, Validation Loss: 3.1069
Epoch 55/1000, Train Loss: 0.7636, Validation Loss: 1.0311
Epoch 56/1000, Train Loss: 0.7494, Validation Loss: 0.8262
Epoch 57/1000, Train Loss: 0.7882, Validation Loss: 1.0828
Epoch 58/1000, Train Loss: 0.8201, Validation Loss: 3.2451
Epoch 59/1000, Train Loss: 0.7435, Validation Loss: 1.5166
Epoch 60/1000, Train Loss: 0.7329, Validation Loss: 3.4271
Epoch 61/1000, Train Loss: 0.7839, Validation Loss: 0.8892
Epoch 62/1000, Train Loss: 0.7573, Validation Loss: 1.6473
Epoch 63/1000, Train Loss: 0.7092, Validation Loss: 2.1375
Epoch 64/1000, Train Loss: 0.7029, Validation Loss: 1.4059
Epoch 65/1000, Train Loss: 0.6968, Validation Loss: 1.9929
Epoch 66/1000, Train Loss: 0.7170, Validation Loss: 0.9151
Epoch 67/1000, Train Loss: 0.7135, Validation Loss: 2.1638
Epoch 68/1000, Train Loss: 0.7243, Validation Loss: 2.0465
Epoch 69/1000, Train Loss: 0.7025, Validation Loss: 1.0594
Epoch 70/1000, Train Loss: 0.7047, Validation Loss: 1.6581
Epoch 71/1000, Train Loss: 0.7798, Validation Loss: 1.7132
Epoch 72/1000, Train Loss: 0.7067, Validation Loss: 0.9448
Epoch 73/1000, Train Loss: 0.7218, Validation Loss: 1.4141
Epoch 74/1000, Train Loss: 1.0215, Validation Loss: 3.2994
Epoch 75/1000, Train Loss: 0.8015, Validation Loss: 3.0224
Epoch 76/1000, Train Loss: 0.7209, Validation Loss: 1.4380
Epoch 77/1000, Train Loss: 0.7082, Validation Loss: 0.7311
Epoch 78/1000, Train Loss: 3.8470, Validation Loss: 3.1845
Epoch 79/1000, Train Loss: 0.7053, Validation Loss: 4.1707
Epoch 80/1000, Train Loss: 0.7098, Validation Loss: 1.5320
Epoch 81/1000, Train Loss: 0.7224, Validation Loss: 1.1873
Epoch 82/1000, Train Loss: 0.6675, Validation Loss: 1.5779
Epoch 83/1000, Train Loss: 0.7108, Validation Loss: 1.7286
Epoch 84/1000, Train Loss: 0.6911, Validation Loss: 2.3178
Epoch 85/1000, Train Loss: 0.7203, Validation Loss: 2.7776
Epoch 86/1000, Train Loss: 0.6760, Validation Loss: 3.0656
Epoch 87/1000, Train Loss: 0.6977, Validation Loss: 1.8464
Epoch 88/1000, Train Loss: 0.6958, Validation Loss: 1.9334
Epoch 89/1000, Train Loss: 0.6910, Validation Loss: 2.4309
Epoch 90/1000, Train Loss: 0.6861, Validation Loss: 0.6719
Epoch 91/1000, Train Loss: 0.6907, Validation Loss: 3.1631
Epoch 92/1000, Train Loss: 0.7091, Validation Loss: 1.1482
Epoch 93/1000, Train Loss: 1.2215, Validation Loss: 0.9279
Epoch 94/1000, Train Loss: 0.7540, Validation Loss: 1.8337
Epoch 95/1000, Train Loss: 0.6844, Validation Loss: 1.2452
Epoch 96/1000, Train Loss: 0.6836, Validation Loss: 0.8265
Epoch 97/1000, Train Loss: 0.7121, Validation Loss: 1.7379
Epoch 98/1000, Train Loss: 0.6696, Validation Loss: 5.5598
Epoch 99/1000, Train Loss: 0.6663, Validation Loss: 1.9874
Epoch 100/1000, Train Loss: 0.6664, Validation Loss: 1.0076
Epoch 101/1000, Train Loss: 0.8113, Validation Loss: 0.9011
Epoch 102/1000, Train Loss: 0.6767, Validation Loss: 1.8787
Epoch 103/1000, Train Loss: 0.6580, Validation Loss: 1.5664
Epoch 104/1000, Train Loss: 0.6587, Validation Loss: 1.0807
Epoch 105/1000, Train Loss: 0.6618, Validation Loss: 2.0610
Epoch 106/1000, Train Loss: 0.6569, Validation Loss: 3.2778
Epoch 107/1000, Train Loss: 0.6865, Validation Loss: 0.7518
Epoch 108/1000, Train Loss: 0.6540, Validation Loss: 1.4731
Epoch 109/1000, Train Loss: 0.6414, Validation Loss: 2.5416
Epoch 110/1000, Train Loss: 0.8142, Validation Loss: 0.8478
Epoch 111/1000, Train Loss: 0.7140, Validation Loss: 4.1289
Epoch 112/1000, Train Loss: 0.6682, Validation Loss: 2.5662
Epoch 113/1000, Train Loss: 0.6557, Validation Loss: 0.9491
Epoch 114/1000, Train Loss: 0.6819, Validation Loss: 5.6612
Epoch 115/1000, Train Loss: 0.6770, Validation Loss: 1.7511
Epoch 116/1000, Train Loss: 0.6656, Validation Loss: 2.8513
Epoch 117/1000, Train Loss: 0.6514, Validation Loss: 2.1012
Epoch 118/1000, Train Loss: 0.6397, Validation Loss: 2.1817
Epoch 119/1000, Train Loss: 0.6734, Validation Loss: 1.0237
Epoch 120/1000, Train Loss: 0.6592, Validation Loss: 4.8658
Epoch 121/1000, Train Loss: 1.5629, Validation Loss: 0.9802
Epoch 122/1000, Train Loss: 0.6922, Validation Loss: 2.2383
Epoch 123/1000, Train Loss: 0.6609, Validation Loss: 1.6860
Epoch 124/1000, Train Loss: 1.3608, Validation Loss: 5.8194
Epoch 125/1000, Train Loss: 0.6676, Validation Loss: 1.5651
Epoch 126/1000, Train Loss: 0.6688, Validation Loss: 5.8920
Epoch 127/1000, Train Loss: 1.7756, Validation Loss: 0.8951
Epoch 128/1000, Train Loss: 0.6494, Validation Loss: 0.9879
Epoch 129/1000, Train Loss: 0.6825, Validation Loss: 0.9124
Epoch 130/1000, Train Loss: 0.6478, Validation Loss: 0.9091
Epoch 131/1000, Train Loss: 0.6634, Validation Loss: 4.9532
Epoch 132/1000, Train Loss: 0.6510, Validation Loss: 1.8271
Epoch 133/1000, Train Loss: 0.6434, Validation Loss: 1.3518
Epoch 134/1000, Train Loss: 0.6354, Validation Loss: 2.0940
Epoch 135/1000, Train Loss: 0.6735, Validation Loss: 3.8040
Epoch 136/1000, Train Loss: 0.6475, Validation Loss: 3.3798
Epoch 137/1000, Train Loss: 0.6401, Validation Loss: 1.4722
Epoch 138/1000, Train Loss: 0.6305, Validation Loss: 1.5880
Epoch 139/1000, Train Loss: 0.8210, Validation Loss: 2.3714
Epoch 140/1000, Train Loss: 0.7592, Validation Loss: 1.1352
Epoch 141/1000, Train Loss: 0.6777, Validation Loss: 2.2264
Epoch 142/1000, Train Loss: 0.6388, Validation Loss: 2.0318
Epoch 143/1000, Train Loss: 0.6162, Validation Loss: 1.7855
Epoch 144/1000, Train Loss: 0.6382, Validation Loss: 0.7347
Epoch 145/1000, Train Loss: 0.6265, Validation Loss: 0.8060
Epoch 146/1000, Train Loss: 0.6440, Validation Loss: 1.7052
Epoch 147/1000, Train Loss: 0.6343, Validation Loss: 0.8587
Epoch 148/1000, Train Loss: 0.6330, Validation Loss: 4.9264
Epoch 149/1000, Train Loss: 0.6362, Validation Loss: 1.4400
Epoch 150/1000, Train Loss: 0.6400, Validation Loss: 2.0019
Epoch 151/1000, Train Loss: 0.6254, Validation Loss: 4.1279
Epoch 152/1000, Train Loss: 0.6558, Validation Loss: 0.8231
Epoch 153/1000, Train Loss: 0.6349, Validation Loss: 2.1745
Epoch 154/1000, Train Loss: 0.6584, Validation Loss: 1.0162
Epoch 155/1000, Train Loss: 0.6201, Validation Loss: 0.8971
Epoch 156/1000, Train Loss: 0.6339, Validation Loss: 1.6287
Epoch 157/1000, Train Loss: 0.6625, Validation Loss: 1.6648
Epoch 158/1000, Train Loss: 0.6223, Validation Loss: 1.1525
Epoch 159/1000, Train Loss: 0.6682, Validation Loss: 3.3757
Epoch 160/1000, Train Loss: 0.6527, Validation Loss: 2.6523
Epoch 161/1000, Train Loss: 0.6296, Validation Loss: 1.3228
Epoch 162/1000, Train Loss: 0.6081, Validation Loss: 2.8749
Epoch 163/1000, Train Loss: 0.6396, Validation Loss: 1.1025
Epoch 164/1000, Train Loss: 0.6118, Validation Loss: 4.8318
Epoch 165/1000, Train Loss: 0.6527, Validation Loss: 1.2053
Epoch 166/1000, Train Loss: 0.6209, Validation Loss: 3.8273
Epoch 167/1000, Train Loss: 0.6324, Validation Loss: 1.0635
Epoch 168/1000, Train Loss: 0.6213, Validation Loss: 2.3408
Epoch 169/1000, Train Loss: 0.6045, Validation Loss: 1.5612
Epoch 170/1000, Train Loss: 0.6186, Validation Loss: 2.2002
Epoch 171/1000, Train Loss: 0.6185, Validation Loss: 1.0349
Epoch 172/1000, Train Loss: 0.6271, Validation Loss: 0.8606
Epoch 173/1000, Train Loss: 0.6254, Validation Loss: 1.4008
Epoch 174/1000, Train Loss: 0.6295, Validation Loss: 1.7253
Epoch 175/1000, Train Loss: 0.6304, Validation Loss: 3.2421
Epoch 176/1000, Train Loss: 0.6247, Validation Loss: 1.3295
Epoch 177/1000, Train Loss: 0.6099, Validation Loss: 2.0795
Epoch 178/1000, Train Loss: 0.7206, Validation Loss: 1.1796
Epoch 179/1000, Train Loss: 0.6184, Validation Loss: 5.5366
Epoch 180/1000, Train Loss: 0.6133, Validation Loss: 1.4965
Epoch 181/1000, Train Loss: 0.6169, Validation Loss: 4.4163
Epoch 182/1000, Train Loss: 0.6159, Validation Loss: 1.1540
Epoch 183/1000, Train Loss: 0.6174, Validation Loss: 1.4983
Epoch 184/1000, Train Loss: 0.6130, Validation Loss: 0.9087
Epoch 185/1000, Train Loss: 0.6149, Validation Loss: 0.9705
Epoch 186/1000, Train Loss: 0.6077, Validation Loss: 1.3526
Epoch 187/1000, Train Loss: 0.6400, Validation Loss: 2.9568
Epoch 188/1000, Train Loss: 0.6266, Validation Loss: 5.5537
Epoch 189/1000, Train Loss: 0.6085, Validation Loss: 1.4455
Epoch 190/1000, Train Loss: 0.6348, Validation Loss: 1.8784
Epoch 191/1000, Train Loss: 1.2504, Validation Loss: 1258.0132
Epoch 192/1000, Train Loss: 32.0916, Validation Loss: 1.0929
Epoch 193/1000, Train Loss: 0.6557, Validation Loss: 1.5802
Epoch 194/1000, Train Loss: 0.6415, Validation Loss: 0.8286
Epoch 195/1000, Train Loss: 0.6404, Validation Loss: 2.9218
Epoch 196/1000, Train Loss: 0.6234, Validation Loss: 1.9648
Epoch 197/1000, Train Loss: 0.6241, Validation Loss: 0.9351
Epoch 198/1000, Train Loss: 0.6230, Validation Loss: 2.4893
Epoch 199/1000, Train Loss: 0.6104, Validation Loss: 0.8288
Epoch 200/1000, Train Loss: 0.6263, Validation Loss: 1.3452
Epoch 201/1000, Train Loss: 0.6561, Validation Loss: 4.9658
Epoch 202/1000, Train Loss: 0.6303, Validation Loss: 4.4017
Epoch 203/1000, Train Loss: 0.6218, Validation Loss: 0.8213
Epoch 204/1000, Train Loss: 0.6337, Validation Loss: 2.7944
Epoch 205/1000, Train Loss: 0.6173, Validation Loss: 0.8348
Epoch 206/1000, Train Loss: 0.5974, Validation Loss: 3.2087
Epoch 207/1000, Train Loss: 0.6178, Validation Loss: 2.6575
Epoch 208/1000, Train Loss: 0.6146, Validation Loss: 2.0441
Epoch 209/1000, Train Loss: 0.6359, Validation Loss: 1.3086
Epoch 210/1000, Train Loss: 0.6352, Validation Loss: 2.2109
Epoch 211/1000, Train Loss: 0.6130, Validation Loss: 0.7631
Epoch 212/1000, Train Loss: 0.5976, Validation Loss: 3.4092
Epoch 213/1000, Train Loss: 0.6158, Validation Loss: 1.9928
Epoch 214/1000, Train Loss: 0.6227, Validation Loss: 5.3641
Epoch 215/1000, Train Loss: 0.6248, Validation Loss: 0.9841
Epoch 216/1000, Train Loss: 0.6154, Validation Loss: 3.3577
Epoch 217/1000, Train Loss: 0.6045, Validation Loss: 2.0734
Epoch 218/1000, Train Loss: 0.7268, Validation Loss: 2.2225
Epoch 219/1000, Train Loss: 0.6236, Validation Loss: 1.7791
Epoch 220/1000, Train Loss: 0.6217, Validation Loss: 2.6817
Epoch 221/1000, Train Loss: 0.6215, Validation Loss: 2.6872
Epoch 222/1000, Train Loss: 0.6795, Validation Loss: 0.9387
Epoch 223/1000, Train Loss: 0.6225, Validation Loss: 1.5511
Epoch 224/1000, Train Loss: 0.6294, Validation Loss: 1.8962
Epoch 225/1000, Train Loss: 0.6031, Validation Loss: 1.9521
Epoch 226/1000, Train Loss: 0.6142, Validation Loss: 1.9894
Epoch 227/1000, Train Loss: 0.6107, Validation Loss: 6.4961
Epoch 228/1000, Train Loss: 0.6307, Validation Loss: 3.6484
Epoch 229/1000, Train Loss: 0.6553, Validation Loss: 1.6178
Epoch 230/1000, Train Loss: 0.6263, Validation Loss: 6.1994
Epoch 231/1000, Train Loss: 0.6271, Validation Loss: 1.1213
Epoch 232/1000, Train Loss: 0.6183, Validation Loss: 4.9917
Epoch 233/1000, Train Loss: 0.6395, Validation Loss: 2.4271
Epoch 234/1000, Train Loss: 0.6272, Validation Loss: 1.4418
Epoch 235/1000, Train Loss: 0.6000, Validation Loss: 1.7102
Epoch 236/1000, Train Loss: 0.6100, Validation Loss: 1.1913
Epoch 237/1000, Train Loss: 0.6367, Validation Loss: 6.1207
Epoch 238/1000, Train Loss: 0.6032, Validation Loss: 0.7271
Epoch 239/1000, Train Loss: 0.6171, Validation Loss: 2.0549
Epoch 240/1000, Train Loss: 0.6180, Validation Loss: 1.3459
Epoch 241/1000, Train Loss: 0.6283, Validation Loss: 5.9544
Epoch 242/1000, Train Loss: 0.6164, Validation Loss: 1.4245
Epoch 243/1000, Train Loss: 0.5883, Validation Loss: 1.2453
Epoch 244/1000, Train Loss: 0.6014, Validation Loss: 3.2259
Epoch 245/1000, Train Loss: 0.6048, Validation Loss: 4.6107
Epoch 246/1000, Train Loss: 0.6074, Validation Loss: 5.1428
Epoch 247/1000, Train Loss: 0.5968, Validation Loss: 1.2658
Epoch 248/1000, Train Loss: 0.7792, Validation Loss: 1.0552
Epoch 249/1000, Train Loss: 0.6603, Validation Loss: 2.1937
Epoch 250/1000, Train Loss: 0.6012, Validation Loss: 0.7065
Epoch 251/1000, Train Loss: 0.6070, Validation Loss: 5.5190
Epoch 252/1000, Train Loss: 0.6185, Validation Loss: 4.3887
Epoch 253/1000, Train Loss: 0.5982, Validation Loss: 1.5852
Epoch 254/1000, Train Loss: 0.6249, Validation Loss: 2.0086
Epoch 255/1000, Train Loss: 0.6339, Validation Loss: 5.0265
Epoch 256/1000, Train Loss: 0.5938, Validation Loss: 1.9973
Epoch 257/1000, Train Loss: 0.6242, Validation Loss: 2.0863
Epoch 258/1000, Train Loss: 0.6070, Validation Loss: 3.4608
Epoch 259/1000, Train Loss: 0.5943, Validation Loss: 2.2005
Epoch 260/1000, Train Loss: 0.6021, Validation Loss: 3.5997
Epoch 261/1000, Train Loss: 0.6159, Validation Loss: 3.8551
Epoch 262/1000, Train Loss: 0.6113, Validation Loss: 1.1672
Epoch 263/1000, Train Loss: 0.6103, Validation Loss: 2.1513
Epoch 264/1000, Train Loss: 0.6336, Validation Loss: 1.0982
Epoch 265/1000, Train Loss: 0.6258, Validation Loss: 2.9473
Epoch 266/1000, Train Loss: 0.6084, Validation Loss: 1.3673
Epoch 267/1000, Train Loss: 0.6031, Validation Loss: 1.1788
Epoch 268/1000, Train Loss: 0.6093, Validation Loss: 2.3598
Epoch 269/1000, Train Loss: 0.6100, Validation Loss: 0.8611
Epoch 270/1000, Train Loss: 0.6081, Validation Loss: 0.6933
Epoch 271/1000, Train Loss: 0.5993, Validation Loss: 3.1323
Epoch 272/1000, Train Loss: 0.5879, Validation Loss: 3.2867
Epoch 273/1000, Train Loss: 0.6011, Validation Loss: 0.6175
Epoch 274/1000, Train Loss: 0.6077, Validation Loss: 2.6505
Epoch 275/1000, Train Loss: 0.6045, Validation Loss: 1.8318
Epoch 276/1000, Train Loss: 0.5988, Validation Loss: 3.2160
Epoch 277/1000, Train Loss: 0.6162, Validation Loss: 2.3284
Epoch 278/1000, Train Loss: 0.5986, Validation Loss: 1.2130
Epoch 279/1000, Train Loss: 0.6314, Validation Loss: 2.8371
Epoch 280/1000, Train Loss: 0.7009, Validation Loss: 2.1362
Epoch 281/1000, Train Loss: 0.6673, Validation Loss: 8.1070
Epoch 282/1000, Train Loss: 0.6438, Validation Loss: 1.2168
Epoch 283/1000, Train Loss: 0.6200, Validation Loss: 5.0162
Epoch 284/1000, Train Loss: 0.6232, Validation Loss: 0.7044
Epoch 285/1000, Train Loss: 0.5867, Validation Loss: 2.3159
Epoch 286/1000, Train Loss: 0.5976, Validation Loss: 1.0046
Epoch 287/1000, Train Loss: 0.5978, Validation Loss: 4.9070
Epoch 288/1000, Train Loss: 0.6195, Validation Loss: 7.6910
Epoch 289/1000, Train Loss: 0.6037, Validation Loss: 2.6799
Epoch 290/1000, Train Loss: 0.6628, Validation Loss: 1.8466
Epoch 291/1000, Train Loss: 0.6112, Validation Loss: 1.3337
Epoch 292/1000, Train Loss: 0.6052, Validation Loss: 1.6237
Epoch 293/1000, Train Loss: 0.5862, Validation Loss: 1.4046
Epoch 294/1000, Train Loss: 0.5867, Validation Loss: 0.6507
Epoch 295/1000, Train Loss: 0.5991, Validation Loss: 1.5713
Epoch 296/1000, Train Loss: 0.5979, Validation Loss: 1.0749
Epoch 297/1000, Train Loss: 0.6028, Validation Loss: 5.5253
Epoch 298/1000, Train Loss: 0.5950, Validation Loss: 1.3578
Epoch 299/1000, Train Loss: 0.6008, Validation Loss: 1.3831
Epoch 300/1000, Train Loss: 0.6002, Validation Loss: 1.5567
Epoch 301/1000, Train Loss: 0.5852, Validation Loss: 2.8381
Epoch 302/1000, Train Loss: 0.6431, Validation Loss: 2.4396
Epoch 303/1000, Train Loss: 0.5978, Validation Loss: 2.7491
Epoch 304/1000, Train Loss: 0.6081, Validation Loss: 1.4469
Epoch 305/1000, Train Loss: 0.6032, Validation Loss: 2.0437
Epoch 306/1000, Train Loss: 0.6025, Validation Loss: 6.1024
Epoch 307/1000, Train Loss: 0.6008, Validation Loss: 0.8422
Epoch 308/1000, Train Loss: 0.5912, Validation Loss: 4.7038
Epoch 309/1000, Train Loss: 0.6180, Validation Loss: 3.3850
Epoch 310/1000, Train Loss: 0.6198, Validation Loss: 2.9535
Epoch 311/1000, Train Loss: 0.6253, Validation Loss: 2.1813
Epoch 312/1000, Train Loss: 0.6134, Validation Loss: 2.0921
Epoch 313/1000, Train Loss: 0.6126, Validation Loss: 1.2767
Epoch 314/1000, Train Loss: 0.6049, Validation Loss: 5.0047
