Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-30i0hid8
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.1006, Validation Loss: 4.9137
Epoch 2/1000, Train Loss: 1.5808, Validation Loss: 1.7136
Epoch 3/1000, Train Loss: 1.4431, Validation Loss: 1.7800
Epoch 4/1000, Train Loss: 1.4316, Validation Loss: 3.3472
Epoch 5/1000, Train Loss: 1.2801, Validation Loss: 1.3956
Epoch 6/1000, Train Loss: 1.1456, Validation Loss: 1.5940
Epoch 7/1000, Train Loss: 1.1402, Validation Loss: 1.1301
Epoch 8/1000, Train Loss: 1.0958, Validation Loss: 0.9928
Epoch 9/1000, Train Loss: 1.0876, Validation Loss: 1.4803
Epoch 10/1000, Train Loss: 1.1277, Validation Loss: 1.8806
Epoch 11/1000, Train Loss: 1.0501, Validation Loss: 2.9252
Epoch 12/1000, Train Loss: 1.0163, Validation Loss: 0.9726
Epoch 13/1000, Train Loss: 1.0018, Validation Loss: 1.3622
Epoch 14/1000, Train Loss: 0.9929, Validation Loss: 3.3857
Epoch 15/1000, Train Loss: 0.9732, Validation Loss: 2.7635
Epoch 16/1000, Train Loss: 0.9870, Validation Loss: 1.7850
Epoch 17/1000, Train Loss: 0.9533, Validation Loss: 0.9807
Epoch 18/1000, Train Loss: 0.9305, Validation Loss: 3.6100
Epoch 19/1000, Train Loss: 0.9542, Validation Loss: 0.8361
Epoch 20/1000, Train Loss: 0.9374, Validation Loss: 0.9472
Epoch 21/1000, Train Loss: 0.8990, Validation Loss: 1.2314
Epoch 22/1000, Train Loss: 0.9449, Validation Loss: 1.1258
Epoch 23/1000, Train Loss: 0.8900, Validation Loss: 1.0311
Epoch 24/1000, Train Loss: 0.8595, Validation Loss: 2.9578
Epoch 25/1000, Train Loss: 0.8680, Validation Loss: 3.6131
Epoch 26/1000, Train Loss: 0.9019, Validation Loss: 1.0682
Epoch 27/1000, Train Loss: 0.8641, Validation Loss: 1.6479
Epoch 28/1000, Train Loss: 0.8754, Validation Loss: 1.6132
Epoch 29/1000, Train Loss: 0.8089, Validation Loss: 3.4651
Epoch 30/1000, Train Loss: 0.8366, Validation Loss: 1.1776
Epoch 31/1000, Train Loss: 0.8720, Validation Loss: 1.1139
Epoch 32/1000, Train Loss: 0.8517, Validation Loss: 0.9214
Epoch 33/1000, Train Loss: 0.8229, Validation Loss: 1.0343
Epoch 34/1000, Train Loss: 0.8372, Validation Loss: 2.7191
Epoch 35/1000, Train Loss: 0.7880, Validation Loss: 2.7994
