Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-3c0w7yci
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.4766, Validation Loss: 1.8758
Epoch 2/1000, Train Loss: 1.5718, Validation Loss: 2.6607
Epoch 3/1000, Train Loss: 1.4168, Validation Loss: 2.5872
Epoch 4/1000, Train Loss: 1.3533, Validation Loss: 1.5561
Epoch 5/1000, Train Loss: 1.3718, Validation Loss: 1.9515
Epoch 6/1000, Train Loss: 1.3277, Validation Loss: 2.1845
Epoch 7/1000, Train Loss: 1.1679, Validation Loss: 1.9745
Epoch 8/1000, Train Loss: 1.1074, Validation Loss: 2.7707
Epoch 9/1000, Train Loss: 1.1232, Validation Loss: 1.2850
Epoch 10/1000, Train Loss: 1.0909, Validation Loss: 1.3118
Epoch 11/1000, Train Loss: 1.0340, Validation Loss: 1.5824
Epoch 12/1000, Train Loss: 0.9843, Validation Loss: 1.2181
Epoch 13/1000, Train Loss: 0.9703, Validation Loss: 1.5366
Epoch 14/1000, Train Loss: 0.9659, Validation Loss: 1.7155
Epoch 15/1000, Train Loss: 0.9030, Validation Loss: 1.6402
Epoch 16/1000, Train Loss: 0.8798, Validation Loss: 1.0667
Epoch 17/1000, Train Loss: 0.8831, Validation Loss: 2.5225
Epoch 18/1000, Train Loss: 0.8722, Validation Loss: 2.5116
Epoch 19/1000, Train Loss: 0.8545, Validation Loss: 1.3805
Epoch 20/1000, Train Loss: 0.8352, Validation Loss: 1.7751
Epoch 21/1000, Train Loss: 0.8318, Validation Loss: 1.1032
Epoch 22/1000, Train Loss: 0.8342, Validation Loss: 1.0339
Epoch 23/1000, Train Loss: 0.8286, Validation Loss: 1.2687
Epoch 24/1000, Train Loss: 0.8061, Validation Loss: 6.6785
Epoch 25/1000, Train Loss: 0.8454, Validation Loss: 0.8869
Epoch 26/1000, Train Loss: 0.7957, Validation Loss: 1.4527
Epoch 27/1000, Train Loss: 0.7844, Validation Loss: 2.3813
Epoch 28/1000, Train Loss: 0.7757, Validation Loss: 3.1132
Epoch 29/1000, Train Loss: 0.7662, Validation Loss: 1.2325
Epoch 30/1000, Train Loss: 0.7636, Validation Loss: 2.0417
Epoch 31/1000, Train Loss: 0.7686, Validation Loss: 0.8198
Epoch 32/1000, Train Loss: 0.7368, Validation Loss: 1.6402
Epoch 33/1000, Train Loss: 0.7406, Validation Loss: 1.4025
Epoch 34/1000, Train Loss: 0.7344, Validation Loss: 2.1134
Epoch 35/1000, Train Loss: 0.7406, Validation Loss: 1.7054
Epoch 36/1000, Train Loss: 0.7085, Validation Loss: 1.2313
Epoch 37/1000, Train Loss: 0.7239, Validation Loss: 1.6059
Epoch 38/1000, Train Loss: 0.6900, Validation Loss: 0.9298
Epoch 39/1000, Train Loss: 0.6834, Validation Loss: 2.4534
Epoch 40/1000, Train Loss: 0.7557, Validation Loss: 1.1055
Epoch 41/1000, Train Loss: 0.7235, Validation Loss: 0.6885
Epoch 42/1000, Train Loss: 0.7143, Validation Loss: 0.9776
Epoch 43/1000, Train Loss: 0.7282, Validation Loss: 0.6269
Epoch 44/1000, Train Loss: 0.6912, Validation Loss: 0.8597
Epoch 45/1000, Train Loss: 0.6943, Validation Loss: 2.2995
Epoch 46/1000, Train Loss: 0.6783, Validation Loss: 0.8499
Epoch 47/1000, Train Loss: 0.6774, Validation Loss: 1.0706
Epoch 48/1000, Train Loss: 0.6721, Validation Loss: 1.2760
Epoch 49/1000, Train Loss: 0.6796, Validation Loss: 1.9279
Epoch 50/1000, Train Loss: 0.6465, Validation Loss: 0.9508
Epoch 51/1000, Train Loss: 0.6681, Validation Loss: 1.9759
Epoch 52/1000, Train Loss: 0.6654, Validation Loss: 0.8370
Epoch 53/1000, Train Loss: 0.6429, Validation Loss: 1.8605
Epoch 54/1000, Train Loss: 0.6418, Validation Loss: 0.7474
Epoch 55/1000, Train Loss: 0.6388, Validation Loss: 0.8599
Epoch 56/1000, Train Loss: 0.6189, Validation Loss: 0.6781
Epoch 57/1000, Train Loss: 0.6327, Validation Loss: 1.4245
Epoch 58/1000, Train Loss: 0.6407, Validation Loss: 1.2107
Epoch 59/1000, Train Loss: 0.6302, Validation Loss: 1.5439
Epoch 60/1000, Train Loss: 0.6288, Validation Loss: 0.8238
Epoch 61/1000, Train Loss: 0.6098, Validation Loss: 0.8388
Epoch 62/1000, Train Loss: 0.6224, Validation Loss: 0.9636
Epoch 63/1000, Train Loss: 0.6076, Validation Loss: 0.8624
Epoch 64/1000, Train Loss: 0.6013, Validation Loss: 0.9004
Epoch 65/1000, Train Loss: 0.6099, Validation Loss: 0.8925
Epoch 66/1000, Train Loss: 0.6086, Validation Loss: 2.3205
Epoch 67/1000, Train Loss: 0.6459, Validation Loss: 0.7025
Epoch 68/1000, Train Loss: 0.6062, Validation Loss: 0.8601
Epoch 69/1000, Train Loss: 0.5951, Validation Loss: 1.1926
Epoch 70/1000, Train Loss: 0.6121, Validation Loss: 1.3112
Epoch 71/1000, Train Loss: 0.5902, Validation Loss: 0.9460
Epoch 72/1000, Train Loss: 0.5845, Validation Loss: 1.8651
Epoch 73/1000, Train Loss: 0.5873, Validation Loss: 1.1972
Epoch 74/1000, Train Loss: 0.5847, Validation Loss: 0.7724
Epoch 75/1000, Train Loss: 0.5900, Validation Loss: 0.8293
Epoch 76/1000, Train Loss: 0.5798, Validation Loss: 1.7425
Epoch 77/1000, Train Loss: 0.5742, Validation Loss: 1.0521
Epoch 78/1000, Train Loss: 0.5830, Validation Loss: 0.9939
Epoch 79/1000, Train Loss: 0.5728, Validation Loss: 0.6825
Epoch 80/1000, Train Loss: 0.5761, Validation Loss: 1.0800
Epoch 81/1000, Train Loss: 0.5720, Validation Loss: 1.0564
Epoch 82/1000, Train Loss: 0.5578, Validation Loss: 1.1023
Epoch 83/1000, Train Loss: 0.5598, Validation Loss: 0.9400
Epoch 84/1000, Train Loss: 0.5660, Validation Loss: 1.8147
Epoch 85/1000, Train Loss: 0.5656, Validation Loss: 0.5128
Epoch 86/1000, Train Loss: 0.5655, Validation Loss: 1.0571
Epoch 87/1000, Train Loss: 0.5429, Validation Loss: 0.6587
Epoch 88/1000, Train Loss: 0.5489, Validation Loss: 1.6403
Epoch 89/1000, Train Loss: 0.5612, Validation Loss: 4.0017
Epoch 90/1000, Train Loss: 0.5508, Validation Loss: 1.1978
Epoch 91/1000, Train Loss: 0.5402, Validation Loss: 0.7930
Epoch 92/1000, Train Loss: 0.5456, Validation Loss: 2.7175
Epoch 93/1000, Train Loss: 0.5478, Validation Loss: 1.0122
Epoch 94/1000, Train Loss: 0.5413, Validation Loss: 0.6978
Epoch 95/1000, Train Loss: 0.5361, Validation Loss: 0.5185
Epoch 96/1000, Train Loss: 0.5154, Validation Loss: 0.7234
Epoch 97/1000, Train Loss: 0.5367, Validation Loss: 1.4883
Epoch 98/1000, Train Loss: 0.5279, Validation Loss: 0.6598
Epoch 99/1000, Train Loss: 0.5488, Validation Loss: 0.9524
Epoch 100/1000, Train Loss: 0.5362, Validation Loss: 0.8840
Epoch 101/1000, Train Loss: 0.5293, Validation Loss: 0.8261
Epoch 102/1000, Train Loss: 0.5260, Validation Loss: 1.4019
Epoch 103/1000, Train Loss: 0.5214, Validation Loss: 1.3883
Epoch 104/1000, Train Loss: 0.5255, Validation Loss: 2.8400
Epoch 105/1000, Train Loss: 0.5380, Validation Loss: 2.7658
Epoch 106/1000, Train Loss: 0.5134, Validation Loss: 1.9090
Epoch 107/1000, Train Loss: 0.5211, Validation Loss: 0.7119
Epoch 108/1000, Train Loss: 0.5445, Validation Loss: 3.9302
Epoch 109/1000, Train Loss: 0.5196, Validation Loss: 0.6266
Epoch 110/1000, Train Loss: 0.5130, Validation Loss: 2.6281
Epoch 111/1000, Train Loss: 0.5110, Validation Loss: 0.9599
Epoch 112/1000, Train Loss: 0.5209, Validation Loss: 0.7160
Epoch 113/1000, Train Loss: 0.5251, Validation Loss: 0.8337
Epoch 114/1000, Train Loss: 0.5109, Validation Loss: 0.6938
Epoch 115/1000, Train Loss: 0.5141, Validation Loss: 1.8840
Epoch 116/1000, Train Loss: 0.4975, Validation Loss: 0.7514
Epoch 117/1000, Train Loss: 0.5095, Validation Loss: 2.2962
Epoch 118/1000, Train Loss: 0.5145, Validation Loss: 3.2932
Epoch 119/1000, Train Loss: 0.5032, Validation Loss: 0.6696
Epoch 120/1000, Train Loss: 0.5049, Validation Loss: 1.5785
Epoch 121/1000, Train Loss: 0.5165, Validation Loss: 0.7866
Epoch 122/1000, Train Loss: 0.4977, Validation Loss: 0.7038
Epoch 123/1000, Train Loss: 0.5088, Validation Loss: 1.2338
Epoch 124/1000, Train Loss: 0.5141, Validation Loss: 3.7382
Epoch 125/1000, Train Loss: 0.4968, Validation Loss: 0.5353
Epoch 126/1000, Train Loss: 0.5096, Validation Loss: 1.4223
Epoch 127/1000, Train Loss: 0.5110, Validation Loss: 1.5205
Epoch 128/1000, Train Loss: 0.4945, Validation Loss: 1.8126
Epoch 129/1000, Train Loss: 0.4916, Validation Loss: 0.5162
Epoch 130/1000, Train Loss: 0.4974, Validation Loss: 1.8761
Epoch 131/1000, Train Loss: 0.4964, Validation Loss: 0.4953
Epoch 132/1000, Train Loss: 0.4930, Validation Loss: 0.9205
Epoch 133/1000, Train Loss: 0.4813, Validation Loss: 0.7600
Epoch 134/1000, Train Loss: 0.4892, Validation Loss: 0.6724
Epoch 135/1000, Train Loss: 0.5021, Validation Loss: 1.0223
Epoch 136/1000, Train Loss: 0.4898, Validation Loss: 1.2596
Epoch 137/1000, Train Loss: 0.4901, Validation Loss: 1.9154
Epoch 138/1000, Train Loss: 0.4810, Validation Loss: 3.1683
Epoch 139/1000, Train Loss: 0.4858, Validation Loss: 3.4704
Epoch 140/1000, Train Loss: 0.4948, Validation Loss: 3.4532
Epoch 141/1000, Train Loss: 0.4765, Validation Loss: 0.7344
Epoch 142/1000, Train Loss: 0.4882, Validation Loss: 0.6833
Epoch 143/1000, Train Loss: 0.4830, Validation Loss: 0.5584
Epoch 144/1000, Train Loss: 0.4847, Validation Loss: 1.0146
Epoch 145/1000, Train Loss: 0.4900, Validation Loss: 0.6851
Epoch 146/1000, Train Loss: 0.4756, Validation Loss: 0.4914
Epoch 147/1000, Train Loss: 0.4779, Validation Loss: 1.2631
Epoch 148/1000, Train Loss: 0.4837, Validation Loss: 1.0373
Epoch 149/1000, Train Loss: 0.4892, Validation Loss: 0.8745
Epoch 150/1000, Train Loss: 0.4775, Validation Loss: 1.1678
Epoch 151/1000, Train Loss: 0.4834, Validation Loss: 0.6346
Epoch 152/1000, Train Loss: 0.4743, Validation Loss: 1.9400
Epoch 153/1000, Train Loss: 0.4833, Validation Loss: 0.5695
Epoch 154/1000, Train Loss: 0.4762, Validation Loss: 0.9340
Epoch 155/1000, Train Loss: 0.4789, Validation Loss: 1.1921
Epoch 156/1000, Train Loss: 0.4728, Validation Loss: 1.0455
Epoch 157/1000, Train Loss: 0.4754, Validation Loss: 0.8564
Epoch 158/1000, Train Loss: 0.4706, Validation Loss: 0.9172
Epoch 159/1000, Train Loss: 0.4752, Validation Loss: 0.9125
Epoch 160/1000, Train Loss: 0.4637, Validation Loss: 0.8752
Epoch 161/1000, Train Loss: 0.4679, Validation Loss: 0.5549
Epoch 162/1000, Train Loss: 0.4630, Validation Loss: 1.4953
Epoch 163/1000, Train Loss: 0.4635, Validation Loss: 0.8736
Epoch 164/1000, Train Loss: 0.4691, Validation Loss: 1.0563
Epoch 165/1000, Train Loss: 0.4658, Validation Loss: 0.7492
Epoch 166/1000, Train Loss: 0.4706, Validation Loss: 0.7799
Epoch 167/1000, Train Loss: 0.4681, Validation Loss: 0.6726
Epoch 168/1000, Train Loss: 0.4629, Validation Loss: 0.6746
Epoch 169/1000, Train Loss: 0.4574, Validation Loss: 0.6030
Epoch 170/1000, Train Loss: 0.4669, Validation Loss: 0.5521
Epoch 171/1000, Train Loss: 0.4649, Validation Loss: 0.9283
Epoch 172/1000, Train Loss: 0.4570, Validation Loss: 1.0590
Epoch 173/1000, Train Loss: 0.4644, Validation Loss: 1.1003
Epoch 174/1000, Train Loss: 0.4623, Validation Loss: 0.4488
Epoch 175/1000, Train Loss: 0.4641, Validation Loss: 0.4438
Epoch 176/1000, Train Loss: 0.4657, Validation Loss: 0.5936
Epoch 177/1000, Train Loss: 0.4693, Validation Loss: 0.8278
Epoch 178/1000, Train Loss: 0.4535, Validation Loss: 0.9243
Epoch 179/1000, Train Loss: 0.4532, Validation Loss: 2.2860
Epoch 180/1000, Train Loss: 0.4583, Validation Loss: 0.4965
Epoch 181/1000, Train Loss: 0.4533, Validation Loss: 0.8922
Epoch 182/1000, Train Loss: 0.4459, Validation Loss: 1.1632
Epoch 183/1000, Train Loss: 0.4478, Validation Loss: 1.3467
Epoch 184/1000, Train Loss: 0.4521, Validation Loss: 2.0861
Epoch 185/1000, Train Loss: 0.4700, Validation Loss: 1.2994
Epoch 186/1000, Train Loss: 0.4521, Validation Loss: 0.6734
Epoch 187/1000, Train Loss: 0.4445, Validation Loss: 0.6064
Epoch 188/1000, Train Loss: 0.4454, Validation Loss: 0.8288
Epoch 189/1000, Train Loss: 0.4501, Validation Loss: 0.8427
Epoch 190/1000, Train Loss: 0.4558, Validation Loss: 1.2573
