Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-x19zl9n2
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.3965, Validation Loss: 1.5140
Epoch 2/1000, Train Loss: 1.4861, Validation Loss: 1.4612
Epoch 3/1000, Train Loss: 1.3800, Validation Loss: 1.1807
Epoch 4/1000, Train Loss: 1.2682, Validation Loss: 2.1258
Epoch 5/1000, Train Loss: 1.1659, Validation Loss: 4.3700
Epoch 6/1000, Train Loss: 1.0763, Validation Loss: 1.1019
Epoch 7/1000, Train Loss: 1.0515, Validation Loss: 1.2635
Epoch 8/1000, Train Loss: 1.0834, Validation Loss: 5.8996
Epoch 9/1000, Train Loss: 1.0573, Validation Loss: 1.4053
Epoch 10/1000, Train Loss: 1.0201, Validation Loss: 2.5471
Epoch 11/1000, Train Loss: 1.0102, Validation Loss: 2.5514
Epoch 12/1000, Train Loss: 1.0567, Validation Loss: 59.3320
Epoch 13/1000, Train Loss: 1.0731, Validation Loss: 7.3132
Epoch 14/1000, Train Loss: 1.0563, Validation Loss: 1.8685
Epoch 15/1000, Train Loss: 0.9680, Validation Loss: 2.9132
Epoch 16/1000, Train Loss: 1.0184, Validation Loss: 3.2914
Epoch 17/1000, Train Loss: 0.9687, Validation Loss: 6.1025
Epoch 18/1000, Train Loss: 0.9405, Validation Loss: 4.1546
Epoch 19/1000, Train Loss: 0.9632, Validation Loss: 10.6577
Epoch 20/1000, Train Loss: 0.9497, Validation Loss: 2.0101
Epoch 21/1000, Train Loss: 0.8778, Validation Loss: 2.0526
Epoch 22/1000, Train Loss: 0.9423, Validation Loss: 1.1444
Epoch 23/1000, Train Loss: 0.9136, Validation Loss: 1.8616
Epoch 24/1000, Train Loss: 0.9059, Validation Loss: 11.4593
Epoch 25/1000, Train Loss: 0.8786, Validation Loss: 2.2118
Epoch 26/1000, Train Loss: 0.9685, Validation Loss: 1.8986
Epoch 27/1000, Train Loss: 0.8292, Validation Loss: 1.1096
Epoch 28/1000, Train Loss: 0.8784, Validation Loss: 4.2723
Epoch 29/1000, Train Loss: 0.8597, Validation Loss: 0.9305
