Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-nbdvadrj
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.3904, Validation Loss: 5.1255
Epoch 2/1000, Train Loss: 1.3586, Validation Loss: 3.0767
Epoch 3/1000, Train Loss: 1.3090, Validation Loss: 2.7850
Epoch 4/1000, Train Loss: 1.3213, Validation Loss: 2.9145
Epoch 5/1000, Train Loss: 1.2160, Validation Loss: 5.3717
Epoch 6/1000, Train Loss: 1.1365, Validation Loss: 1.3657
Epoch 7/1000, Train Loss: 1.1009, Validation Loss: 1.2302
Epoch 8/1000, Train Loss: 1.0631, Validation Loss: 2.3798
Epoch 9/1000, Train Loss: 1.0592, Validation Loss: 0.9428
Epoch 10/1000, Train Loss: 1.0275, Validation Loss: 4.6615
Epoch 11/1000, Train Loss: 0.9839, Validation Loss: 2.1857
Epoch 12/1000, Train Loss: 0.9652, Validation Loss: 3.6929
Epoch 13/1000, Train Loss: 617.7755, Validation Loss: 2.9563
Epoch 14/1000, Train Loss: 0.9359, Validation Loss: 3.5642
Epoch 15/1000, Train Loss: 0.9209, Validation Loss: 2.8157
Epoch 16/1000, Train Loss: 0.8991, Validation Loss: 3.3789
Epoch 17/1000, Train Loss: 1.0024, Validation Loss: 2.1355
Epoch 18/1000, Train Loss: 0.9014, Validation Loss: 3.8606
Epoch 19/1000, Train Loss: 0.8658, Validation Loss: 1.5149
Epoch 20/1000, Train Loss: 0.8682, Validation Loss: 0.9278
Epoch 21/1000, Train Loss: 0.9262, Validation Loss: 1.6836
Epoch 22/1000, Train Loss: 0.8811, Validation Loss: 0.9225
Epoch 23/1000, Train Loss: 0.8406, Validation Loss: 1.2876
Epoch 24/1000, Train Loss: 0.8545, Validation Loss: 1.4690
Epoch 25/1000, Train Loss: 0.7954, Validation Loss: 1.4393
Epoch 26/1000, Train Loss: 0.9066, Validation Loss: 2.8126
Epoch 27/1000, Train Loss: 0.8739, Validation Loss: 0.9349
Epoch 28/1000, Train Loss: 0.8194, Validation Loss: 4.1777
Epoch 29/1000, Train Loss: 0.8265, Validation Loss: 1.0149
Epoch 30/1000, Train Loss: 4.4642, Validation Loss: 2.7168
Epoch 31/1000, Train Loss: 0.8280, Validation Loss: 2.7479
Epoch 32/1000, Train Loss: 0.7894, Validation Loss: 2.2588
Epoch 33/1000, Train Loss: 0.7864, Validation Loss: 2.6972
Epoch 34/1000, Train Loss: 0.7870, Validation Loss: 0.9960
Epoch 35/1000, Train Loss: 0.8732, Validation Loss: 2.0345
Epoch 36/1000, Train Loss: 0.8442, Validation Loss: 1.6200
Epoch 37/1000, Train Loss: 0.8097, Validation Loss: 1.6284
Epoch 38/1000, Train Loss: 0.8179, Validation Loss: 5.4887
Epoch 39/1000, Train Loss: 0.9631, Validation Loss: 1.8840
Epoch 40/1000, Train Loss: 0.7874, Validation Loss: 1.3531
Epoch 41/1000, Train Loss: 0.8089, Validation Loss: 1.5574
