Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-fm3deipl
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.2364, Validation Loss: 3.6912
Epoch 2/1000, Train Loss: 1.4488, Validation Loss: 2.0021
Epoch 3/1000, Train Loss: 1.3119, Validation Loss: 7.1768
Epoch 4/1000, Train Loss: 1.2490, Validation Loss: 1.6015
Epoch 5/1000, Train Loss: 1.1429, Validation Loss: 0.9549
Epoch 6/1000, Train Loss: 1.1027, Validation Loss: 1.6952
Epoch 7/1000, Train Loss: 1.1126, Validation Loss: 1.4259
Epoch 8/1000, Train Loss: 1.1629, Validation Loss: 1.9222
Epoch 9/1000, Train Loss: 1.1828, Validation Loss: 1.5247
Epoch 10/1000, Train Loss: 1.0364, Validation Loss: 5.3796
Epoch 11/1000, Train Loss: 1.0482, Validation Loss: 1.2243
Epoch 12/1000, Train Loss: 1.0641, Validation Loss: 5.9907
Epoch 13/1000, Train Loss: 9.3339, Validation Loss: 2.5487
Epoch 14/1000, Train Loss: 1.0583, Validation Loss: 1.3502
Epoch 15/1000, Train Loss: 1.2469, Validation Loss: 1.5863
Epoch 16/1000, Train Loss: 0.9581, Validation Loss: 1.5999
Epoch 17/1000, Train Loss: 0.9647, Validation Loss: 0.9698
Epoch 18/1000, Train Loss: 9.5088, Validation Loss: 1.3812
Epoch 19/1000, Train Loss: 0.9428, Validation Loss: 2.1574
Epoch 20/1000, Train Loss: 0.9713, Validation Loss: 2.1707
Epoch 21/1000, Train Loss: 1.4728, Validation Loss: 1.6703
Epoch 22/1000, Train Loss: 0.9093, Validation Loss: 10.9558
Epoch 23/1000, Train Loss: 0.9115, Validation Loss: 6.9654
Epoch 24/1000, Train Loss: 1.1991, Validation Loss: 1.6243
Epoch 25/1000, Train Loss: 0.8952, Validation Loss: 1.4525
Epoch 26/1000, Train Loss: 0.9060, Validation Loss: 2.3271
Epoch 27/1000, Train Loss: 0.8710, Validation Loss: 2.1051
Epoch 28/1000, Train Loss: 0.9952, Validation Loss: 1.0432
Epoch 29/1000, Train Loss: 0.8692, Validation Loss: 2.9141
Epoch 30/1000, Train Loss: 0.8769, Validation Loss: 1.5926
Epoch 31/1000, Train Loss: 0.8403, Validation Loss: 1.6012
Epoch 32/1000, Train Loss: 0.8799, Validation Loss: 1.8790
Epoch 33/1000, Train Loss: 0.8208, Validation Loss: 1.6223
Epoch 34/1000, Train Loss: 0.8378, Validation Loss: 1.7074
Epoch 35/1000, Train Loss: 0.8761, Validation Loss: 2.2841
Epoch 36/1000, Train Loss: 0.8621, Validation Loss: 1.4493
Epoch 37/1000, Train Loss: 0.8411, Validation Loss: 1.3885
Epoch 38/1000, Train Loss: 0.8751, Validation Loss: 43.1689
Epoch 39/1000, Train Loss: 0.8410, Validation Loss: 1.9684
Epoch 40/1000, Train Loss: 0.8345, Validation Loss: 1.5169
Epoch 41/1000, Train Loss: 0.8925, Validation Loss: 1.5635
Epoch 42/1000, Train Loss: 0.7883, Validation Loss: 3.2280
Epoch 43/1000, Train Loss: 0.9510, Validation Loss: 1.0891
Epoch 44/1000, Train Loss: 0.7955, Validation Loss: 1.5667
Epoch 45/1000, Train Loss: 0.8019, Validation Loss: 0.8754
Epoch 46/1000, Train Loss: 0.7808, Validation Loss: 1.7774
Epoch 47/1000, Train Loss: 0.7911, Validation Loss: 1.2191
Epoch 48/1000, Train Loss: 1.0168, Validation Loss: 1.9754
Epoch 49/1000, Train Loss: 0.7974, Validation Loss: 2.8060
Epoch 50/1000, Train Loss: 0.7873, Validation Loss: 2.0307
Epoch 51/1000, Train Loss: 0.7671, Validation Loss: 4.6324
Epoch 52/1000, Train Loss: 0.7977, Validation Loss: 1.1515
Epoch 53/1000, Train Loss: 6.5300, Validation Loss: 6.3796
Epoch 54/1000, Train Loss: 0.7893, Validation Loss: 1.8195
Epoch 55/1000, Train Loss: 0.7581, Validation Loss: 0.8709
Epoch 56/1000, Train Loss: 0.7454, Validation Loss: 4.1543
Epoch 57/1000, Train Loss: 0.7908, Validation Loss: 2.8911
Epoch 58/1000, Train Loss: 0.7638, Validation Loss: 1.6907
Epoch 59/1000, Train Loss: 0.7449, Validation Loss: 1.9412
Epoch 60/1000, Train Loss: 0.8404, Validation Loss: 3.2456
Epoch 61/1000, Train Loss: 0.7409, Validation Loss: 2.6699
Epoch 62/1000, Train Loss: 0.7407, Validation Loss: 0.7732
Epoch 63/1000, Train Loss: 0.7901, Validation Loss: 0.9712
Epoch 64/1000, Train Loss: 0.7513, Validation Loss: 30.6412
Epoch 65/1000, Train Loss: 0.8464, Validation Loss: 3.0436
Epoch 66/1000, Train Loss: 0.7349, Validation Loss: 2.9184
Epoch 67/1000, Train Loss: 0.7388, Validation Loss: 1.0197
Epoch 68/1000, Train Loss: 1.0914, Validation Loss: 1.9813
Epoch 69/1000, Train Loss: 0.7581, Validation Loss: 1.2533
Epoch 70/1000, Train Loss: 0.7557, Validation Loss: 1.1271
Epoch 71/1000, Train Loss: 23.5499, Validation Loss: 6.8704
Epoch 72/1000, Train Loss: 0.7509, Validation Loss: 0.8889
Epoch 73/1000, Train Loss: 0.7402, Validation Loss: 1.7883
Epoch 74/1000, Train Loss: 0.7400, Validation Loss: 1.7131
Epoch 75/1000, Train Loss: 0.8194, Validation Loss: 1.4781
Epoch 76/1000, Train Loss: 0.7604, Validation Loss: 2.8547
Epoch 77/1000, Train Loss: 0.7436, Validation Loss: 3.3885
Epoch 78/1000, Train Loss: 0.7356, Validation Loss: 2.7596
Epoch 79/1000, Train Loss: 0.9433, Validation Loss: 1.2868
Epoch 80/1000, Train Loss: 0.7310, Validation Loss: 1.0724
Epoch 81/1000, Train Loss: 0.7467, Validation Loss: 2.4909
Epoch 82/1000, Train Loss: 0.7528, Validation Loss: 5.1898
Epoch 83/1000, Train Loss: 0.7317, Validation Loss: 0.8885
Epoch 84/1000, Train Loss: 0.7537, Validation Loss: 11.7594
Epoch 85/1000, Train Loss: 0.8518, Validation Loss: 1.6211
Epoch 86/1000, Train Loss: 0.7235, Validation Loss: 2.8456
Epoch 87/1000, Train Loss: 0.6940, Validation Loss: 3.4041
Epoch 88/1000, Train Loss: 0.7179, Validation Loss: 3.1904
Epoch 89/1000, Train Loss: 0.7213, Validation Loss: 3.4747
Epoch 90/1000, Train Loss: 0.7026, Validation Loss: 2.1493
Epoch 91/1000, Train Loss: 0.7279, Validation Loss: 1.7418
Epoch 92/1000, Train Loss: 0.7052, Validation Loss: 2.4190
Epoch 93/1000, Train Loss: 0.6980, Validation Loss: 2.7573
Epoch 94/1000, Train Loss: 1.5382, Validation Loss: 3.7349
Epoch 95/1000, Train Loss: 0.7112, Validation Loss: 1.1087
Epoch 96/1000, Train Loss: 0.8066, Validation Loss: 0.7809
Epoch 97/1000, Train Loss: 154.5244, Validation Loss: 2.1937
Epoch 98/1000, Train Loss: 0.6990, Validation Loss: 0.9945
Epoch 99/1000, Train Loss: 0.7083, Validation Loss: 1.2860
Epoch 100/1000, Train Loss: 0.7064, Validation Loss: 3.0220
Epoch 101/1000, Train Loss: 1.3795, Validation Loss: 3.0332
Epoch 102/1000, Train Loss: 0.7285, Validation Loss: 0.8395
Epoch 103/1000, Train Loss: 0.6976, Validation Loss: 1.3842
Epoch 104/1000, Train Loss: 0.6934, Validation Loss: 2.3972
Epoch 105/1000, Train Loss: 0.7423, Validation Loss: 1.6142
Epoch 106/1000, Train Loss: 0.7212, Validation Loss: 5.1791
Epoch 107/1000, Train Loss: 0.6918, Validation Loss: 0.7423
Epoch 108/1000, Train Loss: 0.7104, Validation Loss: 2.8474
Epoch 109/1000, Train Loss: 0.7595, Validation Loss: 5.6880
Epoch 110/1000, Train Loss: 1.3008, Validation Loss: 1.8618
