Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-5hw1uyv2
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.4951, Validation Loss: 3.0089
Epoch 2/1000, Train Loss: 1.2580, Validation Loss: 13.6147
Epoch 3/1000, Train Loss: 1.2016, Validation Loss: 12.1472
Epoch 4/1000, Train Loss: 1.1434, Validation Loss: 1.1508
Epoch 5/1000, Train Loss: 1.0935, Validation Loss: 1.6371
Epoch 6/1000, Train Loss: 1.0714, Validation Loss: 2.3365
Epoch 7/1000, Train Loss: 1.0947, Validation Loss: 2.9813
Epoch 8/1000, Train Loss: 0.9890, Validation Loss: 3.3770
Epoch 9/1000, Train Loss: 0.9628, Validation Loss: 1.2994
Epoch 10/1000, Train Loss: 1.0514, Validation Loss: 5.2261
Epoch 11/1000, Train Loss: 0.9204, Validation Loss: 15.1924
Epoch 12/1000, Train Loss: 0.8640, Validation Loss: 8.3806
Epoch 13/1000, Train Loss: 0.8599, Validation Loss: 0.8236
Epoch 14/1000, Train Loss: 0.8431, Validation Loss: 0.7755
Epoch 15/1000, Train Loss: 0.8592, Validation Loss: 1.0924
Epoch 16/1000, Train Loss: 0.8099, Validation Loss: 1.4120
Epoch 17/1000, Train Loss: 0.7979, Validation Loss: 1.3860
Epoch 18/1000, Train Loss: 0.7882, Validation Loss: 2.3499
Epoch 19/1000, Train Loss: 0.7750, Validation Loss: 0.9391
Epoch 20/1000, Train Loss: 0.7869, Validation Loss: 1.4623
Epoch 21/1000, Train Loss: 0.7948, Validation Loss: 1.7398
Epoch 22/1000, Train Loss: 0.7725, Validation Loss: 2.9311
Epoch 23/1000, Train Loss: 0.7637, Validation Loss: 4.3293
Epoch 24/1000, Train Loss: 0.7483, Validation Loss: 3.5417
Epoch 25/1000, Train Loss: 0.7814, Validation Loss: 1.0576
Epoch 26/1000, Train Loss: 0.7366, Validation Loss: 2.7555
Epoch 27/1000, Train Loss: 0.7482, Validation Loss: 7.9381
Epoch 28/1000, Train Loss: 0.7354, Validation Loss: 1.2733
Epoch 29/1000, Train Loss: 0.7267, Validation Loss: 1.0182
Epoch 30/1000, Train Loss: 0.7491, Validation Loss: 0.7735
Epoch 31/1000, Train Loss: 0.7366, Validation Loss: 0.7349
Epoch 32/1000, Train Loss: 0.7298, Validation Loss: 8.2722
Epoch 33/1000, Train Loss: 0.7076, Validation Loss: 1.6659
Epoch 34/1000, Train Loss: 0.7146, Validation Loss: 9.9912
Epoch 35/1000, Train Loss: 0.9493, Validation Loss: 2.2351
Epoch 36/1000, Train Loss: 0.7264, Validation Loss: 2.3940
Epoch 37/1000, Train Loss: 0.7288, Validation Loss: 5.9455
Epoch 38/1000, Train Loss: 0.7211, Validation Loss: 2.0001
Epoch 39/1000, Train Loss: 0.8981, Validation Loss: 4.4925
Epoch 40/1000, Train Loss: 0.7092, Validation Loss: 2.6004
Epoch 41/1000, Train Loss: 0.7192, Validation Loss: 1.5911
Epoch 42/1000, Train Loss: 0.7045, Validation Loss: 1.7632
Epoch 43/1000, Train Loss: 0.7113, Validation Loss: 1.3550
Epoch 44/1000, Train Loss: 0.6860, Validation Loss: 0.7440
Epoch 45/1000, Train Loss: 0.6933, Validation Loss: 2.9528
Epoch 46/1000, Train Loss: 0.6994, Validation Loss: 2.9566
Epoch 47/1000, Train Loss: 0.7055, Validation Loss: 1.1516
Epoch 48/1000, Train Loss: 0.7116, Validation Loss: 2.6209
Epoch 49/1000, Train Loss: 0.6972, Validation Loss: 4.1468
Epoch 50/1000, Train Loss: 0.6983, Validation Loss: 2.6275
Epoch 51/1000, Train Loss: 0.6921, Validation Loss: 2.3158
Epoch 52/1000, Train Loss: 0.7056, Validation Loss: 1.9834
Epoch 53/1000, Train Loss: 0.7060, Validation Loss: 2.2443
Epoch 54/1000, Train Loss: 0.7137, Validation Loss: 2.4503
Epoch 55/1000, Train Loss: 0.7228, Validation Loss: 2.0122
Epoch 56/1000, Train Loss: 0.6893, Validation Loss: 2.1305
Epoch 57/1000, Train Loss: 0.6980, Validation Loss: 1.0245
Epoch 58/1000, Train Loss: 0.6919, Validation Loss: 3.1600
Epoch 59/1000, Train Loss: 0.6859, Validation Loss: 1.3838
Epoch 60/1000, Train Loss: 0.6915, Validation Loss: 1.8856
Epoch 61/1000, Train Loss: 0.6912, Validation Loss: 0.6033
Epoch 62/1000, Train Loss: 0.6953, Validation Loss: 1.2282
Epoch 63/1000, Train Loss: 0.7124, Validation Loss: 0.8723
Epoch 64/1000, Train Loss: 0.6852, Validation Loss: 1.8128
Epoch 65/1000, Train Loss: 0.7172, Validation Loss: 2.7242
Epoch 66/1000, Train Loss: 0.6823, Validation Loss: 3.6085
Epoch 67/1000, Train Loss: 0.6949, Validation Loss: 1.7443
Epoch 68/1000, Train Loss: 0.7012, Validation Loss: 4.0153
Epoch 69/1000, Train Loss: 0.6964, Validation Loss: 0.8579
Epoch 70/1000, Train Loss: 0.6779, Validation Loss: 3.3312
Epoch 71/1000, Train Loss: 0.6951, Validation Loss: 2.7745
Epoch 72/1000, Train Loss: 0.6734, Validation Loss: 2.0881
Epoch 73/1000, Train Loss: 0.7077, Validation Loss: 1.2331
Epoch 74/1000, Train Loss: 0.7724, Validation Loss: 1.7606
Epoch 75/1000, Train Loss: 0.6715, Validation Loss: 0.9870
Epoch 76/1000, Train Loss: 0.7046, Validation Loss: 0.9059
Epoch 77/1000, Train Loss: 0.6659, Validation Loss: 6.1425
Epoch 78/1000, Train Loss: 0.6677, Validation Loss: 1.3127
Epoch 79/1000, Train Loss: 0.6777, Validation Loss: 1.5017
Epoch 80/1000, Train Loss: 0.7326, Validation Loss: 2.6322
Epoch 81/1000, Train Loss: 0.6761, Validation Loss: 2.2399
Epoch 82/1000, Train Loss: 0.6842, Validation Loss: 1.3752
Epoch 83/1000, Train Loss: 0.6826, Validation Loss: 4.2895
Epoch 84/1000, Train Loss: 0.6721, Validation Loss: 2.1430
Epoch 85/1000, Train Loss: 0.6938, Validation Loss: 1.5279
Epoch 86/1000, Train Loss: 0.6857, Validation Loss: 0.6186
Epoch 87/1000, Train Loss: 0.6702, Validation Loss: 2.3705
Epoch 88/1000, Train Loss: 0.6922, Validation Loss: 1.4465
Epoch 89/1000, Train Loss: 0.7421, Validation Loss: 2.8793
Epoch 90/1000, Train Loss: 0.6750, Validation Loss: 3.4792
Epoch 91/1000, Train Loss: 0.6715, Validation Loss: 2.8921
Epoch 92/1000, Train Loss: 0.6874, Validation Loss: 2.0463
Epoch 93/1000, Train Loss: 0.6706, Validation Loss: 0.6860
Epoch 94/1000, Train Loss: 0.6774, Validation Loss: 2.0450
Epoch 95/1000, Train Loss: 0.6698, Validation Loss: 2.8173
Epoch 96/1000, Train Loss: 0.6806, Validation Loss: 2.3138
Epoch 97/1000, Train Loss: 0.6679, Validation Loss: 2.1565
Epoch 98/1000, Train Loss: 0.6634, Validation Loss: 3.5369
Epoch 99/1000, Train Loss: 0.6759, Validation Loss: 4.6248
Epoch 100/1000, Train Loss: 0.6653, Validation Loss: 1.3437
Epoch 101/1000, Train Loss: 0.6923, Validation Loss: 0.8758
Epoch 102/1000, Train Loss: 0.7973, Validation Loss: 1.1078
Epoch 103/1000, Train Loss: 0.6858, Validation Loss: 0.8881
Epoch 104/1000, Train Loss: 0.6582, Validation Loss: 21.9500
Epoch 105/1000, Train Loss: 0.6615, Validation Loss: 1.7980
Epoch 106/1000, Train Loss: 0.6683, Validation Loss: 7.8981
Epoch 107/1000, Train Loss: 0.6904, Validation Loss: 0.7834
Epoch 108/1000, Train Loss: 0.6604, Validation Loss: 1.2823
Epoch 109/1000, Train Loss: 0.6691, Validation Loss: 1.2981
Epoch 110/1000, Train Loss: 0.7039, Validation Loss: 2.7708
Epoch 111/1000, Train Loss: 0.6859, Validation Loss: 1.4096
Epoch 112/1000, Train Loss: 0.6594, Validation Loss: 5.3405
Epoch 113/1000, Train Loss: 0.6639, Validation Loss: 1.8362
Epoch 114/1000, Train Loss: 0.6649, Validation Loss: 1.5243
Epoch 115/1000, Train Loss: 0.6738, Validation Loss: 1.8716
Epoch 116/1000, Train Loss: 0.7034, Validation Loss: 0.9844
Epoch 117/1000, Train Loss: 0.6659, Validation Loss: 1.9927
Epoch 118/1000, Train Loss: 0.6592, Validation Loss: 3.1466
Epoch 119/1000, Train Loss: 0.6858, Validation Loss: 1.5214
Epoch 120/1000, Train Loss: 0.6691, Validation Loss: 1.7086
Epoch 121/1000, Train Loss: 0.6746, Validation Loss: 1.1446
Epoch 122/1000, Train Loss: 0.6851, Validation Loss: 1.0247
Epoch 123/1000, Train Loss: 0.6687, Validation Loss: 1.4769
Epoch 124/1000, Train Loss: 0.6584, Validation Loss: 2.9020
Epoch 125/1000, Train Loss: 0.6779, Validation Loss: 1.1643
Epoch 126/1000, Train Loss: 0.6696, Validation Loss: 1.9598
Epoch 127/1000, Train Loss: 0.6521, Validation Loss: 1.0826
