Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-29q835p4
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.9702, Validation Loss: 1.5529
Epoch 2/1000, Train Loss: 1.4089, Validation Loss: 2.1349
Epoch 3/1000, Train Loss: 1.2216, Validation Loss: 1.5426
Epoch 4/1000, Train Loss: 1.1897, Validation Loss: 1.9334
Epoch 5/1000, Train Loss: 1.0972, Validation Loss: 2.3871
Epoch 6/1000, Train Loss: 1.0483, Validation Loss: 1.1366
Epoch 7/1000, Train Loss: 1.0396, Validation Loss: 1.1057
Epoch 8/1000, Train Loss: 1.0489, Validation Loss: 3.6352
Epoch 9/1000, Train Loss: 1.0402, Validation Loss: 1.0868
Epoch 10/1000, Train Loss: 0.9774, Validation Loss: 1.5375
Epoch 11/1000, Train Loss: 0.9672, Validation Loss: 0.9186
Epoch 12/1000, Train Loss: 0.9553, Validation Loss: 1.9185
Epoch 13/1000, Train Loss: 0.9533, Validation Loss: 2.8278
Epoch 14/1000, Train Loss: 0.8852, Validation Loss: 1.0942
Epoch 15/1000, Train Loss: 0.9804, Validation Loss: 1.2672
Epoch 16/1000, Train Loss: 0.8967, Validation Loss: 2.9752
Epoch 17/1000, Train Loss: 0.9302, Validation Loss: 1.0819
Epoch 18/1000, Train Loss: 0.9098, Validation Loss: 1.8283
Epoch 19/1000, Train Loss: 0.8644, Validation Loss: 1.1000
Epoch 20/1000, Train Loss: 0.8969, Validation Loss: 5.2509
Epoch 21/1000, Train Loss: 0.8920, Validation Loss: 2.9593
Epoch 22/1000, Train Loss: 0.9091, Validation Loss: 2.1378
Epoch 23/1000, Train Loss: 0.8664, Validation Loss: 1.3633
Epoch 24/1000, Train Loss: 0.8701, Validation Loss: 2.9330
Epoch 25/1000, Train Loss: 0.9314, Validation Loss: 1.6575
Epoch 26/1000, Train Loss: 1.0632, Validation Loss: 1.7062
