Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-b3z3t4c6
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.4420, Validation Loss: 1.5820
Epoch 2/1000, Train Loss: 1.5636, Validation Loss: 1.7413
Epoch 3/1000, Train Loss: 1.3716, Validation Loss: 2.8699
Epoch 4/1000, Train Loss: 1.3099, Validation Loss: 2.8817
Epoch 5/1000, Train Loss: 1.2421, Validation Loss: 3.1756
Epoch 6/1000, Train Loss: 1.1787, Validation Loss: 6.2358
Epoch 7/1000, Train Loss: 1.1624, Validation Loss: 0.9647
Epoch 8/1000, Train Loss: 1.1170, Validation Loss: 1.9634
Epoch 9/1000, Train Loss: 1.1032, Validation Loss: 2.7743
Epoch 10/1000, Train Loss: 1.0590, Validation Loss: 1.4722
Epoch 11/1000, Train Loss: 1.0568, Validation Loss: 2.8764
Epoch 12/1000, Train Loss: 1.0631, Validation Loss: 2.7675
Epoch 13/1000, Train Loss: 1.0450, Validation Loss: 0.8970
Epoch 14/1000, Train Loss: 1.0262, Validation Loss: 1.2878
Epoch 15/1000, Train Loss: 1.0280, Validation Loss: 2.6098
Epoch 16/1000, Train Loss: 0.9962, Validation Loss: 0.8509
Epoch 17/1000, Train Loss: 0.9764, Validation Loss: 1.3246
Epoch 18/1000, Train Loss: 0.9695, Validation Loss: 1.9058
Epoch 19/1000, Train Loss: 0.9873, Validation Loss: 1.7252
Epoch 20/1000, Train Loss: 0.9360, Validation Loss: 1.2482
Epoch 21/1000, Train Loss: 0.9128, Validation Loss: 1.9835
Epoch 22/1000, Train Loss: 0.8853, Validation Loss: 0.8666
Epoch 23/1000, Train Loss: 0.8578, Validation Loss: 0.7405
Epoch 24/1000, Train Loss: 0.8483, Validation Loss: 1.1819
Epoch 25/1000, Train Loss: 0.8679, Validation Loss: 0.9392
Epoch 26/1000, Train Loss: 0.8443, Validation Loss: 0.7419
Epoch 27/1000, Train Loss: 0.8411, Validation Loss: 0.9164
Epoch 28/1000, Train Loss: 0.8225, Validation Loss: 1.6022
Epoch 29/1000, Train Loss: 0.8156, Validation Loss: 0.8931
Epoch 30/1000, Train Loss: 0.8052, Validation Loss: 1.9453
Epoch 31/1000, Train Loss: 0.8093, Validation Loss: 1.5817
Epoch 32/1000, Train Loss: 0.7878, Validation Loss: 2.1386
Epoch 33/1000, Train Loss: 0.7853, Validation Loss: 1.8258
Epoch 34/1000, Train Loss: 0.7751, Validation Loss: 1.0578
Epoch 35/1000, Train Loss: 0.7866, Validation Loss: 1.5644
Epoch 36/1000, Train Loss: 0.7578, Validation Loss: 1.1100
Epoch 37/1000, Train Loss: 0.7551, Validation Loss: 0.9532
Epoch 38/1000, Train Loss: 0.7481, Validation Loss: 0.7841
Epoch 39/1000, Train Loss: 0.7425, Validation Loss: 0.8286
Epoch 40/1000, Train Loss: 0.7508, Validation Loss: 0.6804
Epoch 41/1000, Train Loss: 0.7467, Validation Loss: 3.0428
Epoch 42/1000, Train Loss: 0.7315, Validation Loss: 1.1173
Epoch 43/1000, Train Loss: 0.7387, Validation Loss: 2.0458
Epoch 44/1000, Train Loss: 0.7233, Validation Loss: 0.9200
Epoch 45/1000, Train Loss: 0.7107, Validation Loss: 0.8909
Epoch 46/1000, Train Loss: 0.7167, Validation Loss: 1.0672
Epoch 47/1000, Train Loss: 0.7031, Validation Loss: 0.7277
Epoch 48/1000, Train Loss: 0.7036, Validation Loss: 4.9533
Epoch 49/1000, Train Loss: 0.6838, Validation Loss: 1.3657
Epoch 50/1000, Train Loss: 0.6821, Validation Loss: 0.9313
Epoch 51/1000, Train Loss: 0.6791, Validation Loss: 0.7451
Epoch 52/1000, Train Loss: 0.6667, Validation Loss: 0.9022
