Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-ssxvru4s
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.3647, Validation Loss: 1.5037
Epoch 2/1000, Train Loss: 1.5982, Validation Loss: 2.2271
Epoch 3/1000, Train Loss: 1.4563, Validation Loss: 11.4543
Epoch 4/1000, Train Loss: 1.3384, Validation Loss: 2.4592
Epoch 5/1000, Train Loss: 1.3073, Validation Loss: 3.3677
Epoch 6/1000, Train Loss: 1.3355, Validation Loss: 1.4143
Epoch 7/1000, Train Loss: 1.2289, Validation Loss: 1.6990
Epoch 8/1000, Train Loss: 1.2480, Validation Loss: 1.5608
Epoch 9/1000, Train Loss: 1.2173, Validation Loss: 2.9986
Epoch 10/1000, Train Loss: 1.2294, Validation Loss: 2.2241
Epoch 11/1000, Train Loss: 1.2178, Validation Loss: 6.4883
Epoch 12/1000, Train Loss: 1.3071, Validation Loss: 2.1802
Epoch 13/1000, Train Loss: 1.1402, Validation Loss: 1.7907
Epoch 14/1000, Train Loss: 1.1415, Validation Loss: 3.0639
Epoch 15/1000, Train Loss: 1.1698, Validation Loss: 2.3153
Epoch 16/1000, Train Loss: 1.0917, Validation Loss: 1.9766
Epoch 17/1000, Train Loss: 1.0544, Validation Loss: 2.9287
Epoch 18/1000, Train Loss: 1.0970, Validation Loss: 1.5897
Epoch 19/1000, Train Loss: 1.1432, Validation Loss: 1.8342
Epoch 20/1000, Train Loss: 1.1122, Validation Loss: 1.4465
Epoch 21/1000, Train Loss: 0.9858, Validation Loss: 1.0526
Epoch 22/1000, Train Loss: 1.1655, Validation Loss: 1.0916
Epoch 23/1000, Train Loss: 1.0363, Validation Loss: 1.2197
Epoch 24/1000, Train Loss: 0.9789, Validation Loss: 0.9506
Epoch 25/1000, Train Loss: 0.9826, Validation Loss: 2.4324
Epoch 26/1000, Train Loss: 1.0841, Validation Loss: 2.3109
Epoch 27/1000, Train Loss: 0.9855, Validation Loss: 1.0547
Epoch 28/1000, Train Loss: 0.9734, Validation Loss: 0.9929
Epoch 29/1000, Train Loss: 1.0036, Validation Loss: 0.9817
Epoch 30/1000, Train Loss: 0.9297, Validation Loss: 0.9428
Epoch 31/1000, Train Loss: 0.9598, Validation Loss: 1.4853
Epoch 32/1000, Train Loss: 0.9930, Validation Loss: 1.6936
Epoch 33/1000, Train Loss: 0.8886, Validation Loss: 0.9608
Epoch 34/1000, Train Loss: 0.9340, Validation Loss: 1.5721
Epoch 35/1000, Train Loss: 0.8706, Validation Loss: 1.0589
Epoch 36/1000, Train Loss: 0.8655, Validation Loss: 1.3830
Epoch 37/1000, Train Loss: 1.3839, Validation Loss: 3.0967
Epoch 38/1000, Train Loss: 0.8952, Validation Loss: 1.7048
Epoch 39/1000, Train Loss: 0.9694, Validation Loss: 1.8875
Epoch 40/1000, Train Loss: 0.8911, Validation Loss: 1.4274
Epoch 41/1000, Train Loss: 0.8755, Validation Loss: 2.7413
Epoch 42/1000, Train Loss: 0.8874, Validation Loss: 2.3147
Epoch 43/1000, Train Loss: 0.8665, Validation Loss: 1.6044
Epoch 44/1000, Train Loss: 0.8436, Validation Loss: 2.5982
Epoch 45/1000, Train Loss: 0.8522, Validation Loss: 0.9239
Epoch 46/1000, Train Loss: 0.8181, Validation Loss: 0.9634
Epoch 47/1000, Train Loss: 0.8756, Validation Loss: 1.3240
Epoch 48/1000, Train Loss: 0.8254, Validation Loss: 1.2863
Epoch 49/1000, Train Loss: 0.8216, Validation Loss: 2.6075
Epoch 50/1000, Train Loss: 0.8232, Validation Loss: 0.8023
Epoch 51/1000, Train Loss: 0.7859, Validation Loss: 2.1633
Epoch 52/1000, Train Loss: 0.7933, Validation Loss: 1.7075
Epoch 53/1000, Train Loss: 0.7999, Validation Loss: 1.5761
Epoch 54/1000, Train Loss: 0.8383, Validation Loss: 0.8355
Epoch 55/1000, Train Loss: 0.8029, Validation Loss: 1.4626
Epoch 56/1000, Train Loss: 0.7941, Validation Loss: 2.2007
Epoch 57/1000, Train Loss: 0.8100, Validation Loss: 0.7980
Epoch 58/1000, Train Loss: 0.8146, Validation Loss: 1.1252
Epoch 59/1000, Train Loss: 0.7947, Validation Loss: 1.9350
Epoch 60/1000, Train Loss: 0.7776, Validation Loss: 2.0429
Epoch 61/1000, Train Loss: 0.8302, Validation Loss: 5.2995
Epoch 62/1000, Train Loss: 0.8277, Validation Loss: 3.6292
Epoch 63/1000, Train Loss: 0.7935, Validation Loss: 1.4663
Epoch 64/1000, Train Loss: 0.7459, Validation Loss: 1.0609
Epoch 65/1000, Train Loss: 0.7785, Validation Loss: 2.9522
Epoch 66/1000, Train Loss: 0.7985, Validation Loss: 1.4777
Epoch 67/1000, Train Loss: 0.7749, Validation Loss: 0.7112
Epoch 68/1000, Train Loss: 0.7897, Validation Loss: 1.7695
Epoch 69/1000, Train Loss: 0.7667, Validation Loss: 1.2147
Epoch 70/1000, Train Loss: 0.7586, Validation Loss: 1.3851
Epoch 71/1000, Train Loss: 0.7538, Validation Loss: 1.0389
Epoch 72/1000, Train Loss: 0.7957, Validation Loss: 1.0307
Epoch 73/1000, Train Loss: 0.8052, Validation Loss: 0.9478
Epoch 74/1000, Train Loss: 0.7576, Validation Loss: 0.9306
Epoch 75/1000, Train Loss: 0.7652, Validation Loss: 2.1933
Epoch 76/1000, Train Loss: 0.7318, Validation Loss: 0.8688
Epoch 77/1000, Train Loss: 0.7226, Validation Loss: 3.5206
Epoch 78/1000, Train Loss: 0.7380, Validation Loss: 1.1736
Epoch 79/1000, Train Loss: 0.7557, Validation Loss: 1.0940
Epoch 80/1000, Train Loss: 0.7296, Validation Loss: 1.0725
Epoch 81/1000, Train Loss: 0.7232, Validation Loss: 1.8677
Epoch 82/1000, Train Loss: 0.7292, Validation Loss: 1.1375
Epoch 83/1000, Train Loss: 0.7200, Validation Loss: 0.6916
Epoch 84/1000, Train Loss: 0.7098, Validation Loss: 3.6417
Epoch 85/1000, Train Loss: 0.7280, Validation Loss: 1.4382
Epoch 86/1000, Train Loss: 0.7240, Validation Loss: 0.7058
Epoch 87/1000, Train Loss: 0.7282, Validation Loss: 1.8306
Epoch 88/1000, Train Loss: 0.7035, Validation Loss: 1.5963
Epoch 89/1000, Train Loss: 0.7228, Validation Loss: 0.8818
Epoch 90/1000, Train Loss: 0.6985, Validation Loss: 2.2725
Epoch 91/1000, Train Loss: 0.7288, Validation Loss: 0.8091
Epoch 92/1000, Train Loss: 0.7223, Validation Loss: 2.1055
Epoch 93/1000, Train Loss: 0.7062, Validation Loss: 3.3163
Epoch 94/1000, Train Loss: 0.7400, Validation Loss: 2.2315
Epoch 95/1000, Train Loss: 0.7182, Validation Loss: 1.1238
Epoch 96/1000, Train Loss: 0.6975, Validation Loss: 5.3370
Epoch 97/1000, Train Loss: 0.6983, Validation Loss: 0.8013
Epoch 98/1000, Train Loss: 0.6679, Validation Loss: 1.3069
Epoch 99/1000, Train Loss: 0.7236, Validation Loss: 3.7410
Epoch 100/1000, Train Loss: 0.6773, Validation Loss: 1.2187
Epoch 101/1000, Train Loss: 0.6888, Validation Loss: 1.9721
Epoch 102/1000, Train Loss: 0.6950, Validation Loss: 1.8356
Epoch 103/1000, Train Loss: 0.7225, Validation Loss: 1.0254
Epoch 104/1000, Train Loss: 0.6852, Validation Loss: 1.2439
Epoch 105/1000, Train Loss: 0.7075, Validation Loss: 2.7364
Epoch 106/1000, Train Loss: 0.7061, Validation Loss: 0.8352
Epoch 107/1000, Train Loss: 0.6799, Validation Loss: 0.6859
Epoch 108/1000, Train Loss: 0.6602, Validation Loss: 1.2644
Epoch 109/1000, Train Loss: 0.7588, Validation Loss: 0.9150
Epoch 110/1000, Train Loss: 0.6741, Validation Loss: 1.6971
Epoch 111/1000, Train Loss: 0.6857, Validation Loss: 0.9333
Epoch 112/1000, Train Loss: 0.6694, Validation Loss: 1.5284
Epoch 113/1000, Train Loss: 0.7003, Validation Loss: 1.3559
Epoch 114/1000, Train Loss: 0.6793, Validation Loss: 2.6851
Epoch 115/1000, Train Loss: 0.6791, Validation Loss: 1.4932
Epoch 116/1000, Train Loss: 0.6628, Validation Loss: 2.3484
Epoch 117/1000, Train Loss: 0.7015, Validation Loss: 2.0203
Epoch 118/1000, Train Loss: 0.6762, Validation Loss: 1.2022
Epoch 119/1000, Train Loss: 0.7240, Validation Loss: 1.1416
Epoch 120/1000, Train Loss: 0.6892, Validation Loss: 1.4071
Epoch 121/1000, Train Loss: 0.6654, Validation Loss: 1.0688
Epoch 122/1000, Train Loss: 0.6780, Validation Loss: 1.3635
Epoch 123/1000, Train Loss: 0.6981, Validation Loss: 1.8476
Epoch 124/1000, Train Loss: 0.6870, Validation Loss: 0.7634
Epoch 125/1000, Train Loss: 0.7241, Validation Loss: 3.0182
Epoch 126/1000, Train Loss: 0.6716, Validation Loss: 0.7583
Epoch 127/1000, Train Loss: 0.6813, Validation Loss: 0.9879
Epoch 128/1000, Train Loss: 0.7413, Validation Loss: 0.7802
Epoch 129/1000, Train Loss: 0.6669, Validation Loss: 1.9197
Epoch 130/1000, Train Loss: 0.6685, Validation Loss: 0.8447
Epoch 131/1000, Train Loss: 0.6833, Validation Loss: 2.1263
Epoch 132/1000, Train Loss: 0.6720, Validation Loss: 2.6901
Epoch 133/1000, Train Loss: 0.6956, Validation Loss: 1.9070
Epoch 134/1000, Train Loss: 0.6665, Validation Loss: 0.7041
Epoch 135/1000, Train Loss: 0.6429, Validation Loss: 4.4564
Epoch 136/1000, Train Loss: 0.6609, Validation Loss: 0.8907
Epoch 137/1000, Train Loss: 0.6374, Validation Loss: 0.8158
Epoch 138/1000, Train Loss: 0.6292, Validation Loss: 0.8450
Epoch 139/1000, Train Loss: 0.6985, Validation Loss: 2.4907
Epoch 140/1000, Train Loss: 0.6432, Validation Loss: 0.7825
Epoch 141/1000, Train Loss: 0.6546, Validation Loss: 1.9442
Epoch 142/1000, Train Loss: 0.6943, Validation Loss: 1.9492
Epoch 143/1000, Train Loss: 0.6438, Validation Loss: 1.6735
Epoch 144/1000, Train Loss: 0.6386, Validation Loss: 1.1103
Epoch 145/1000, Train Loss: 0.6548, Validation Loss: 0.6890
Epoch 146/1000, Train Loss: 0.6724, Validation Loss: 0.6962
Epoch 147/1000, Train Loss: 0.6608, Validation Loss: 1.1309
Epoch 148/1000, Train Loss: 0.6707, Validation Loss: 2.3994
Epoch 149/1000, Train Loss: 0.6758, Validation Loss: 1.9432
Epoch 150/1000, Train Loss: 0.6614, Validation Loss: 0.8640
Epoch 151/1000, Train Loss: 0.6504, Validation Loss: 2.4797
Epoch 152/1000, Train Loss: 0.6391, Validation Loss: 3.6814
Epoch 153/1000, Train Loss: 0.6221, Validation Loss: 2.5608
Epoch 154/1000, Train Loss: 0.6380, Validation Loss: 3.1234
