Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-cs2bxyay
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.7892, Validation Loss: 2.4532
Epoch 2/1000, Train Loss: 1.3267, Validation Loss: 1.2123
Epoch 3/1000, Train Loss: 1.1220, Validation Loss: 0.9549
Epoch 4/1000, Train Loss: 1.0645, Validation Loss: 0.9939
Epoch 5/1000, Train Loss: 1.0381, Validation Loss: 1.8858
Epoch 6/1000, Train Loss: 1.0252, Validation Loss: 2.3468
Epoch 7/1000, Train Loss: 0.9981, Validation Loss: 3.6854
Epoch 8/1000, Train Loss: 0.9391, Validation Loss: 5.0666
Epoch 9/1000, Train Loss: 0.9197, Validation Loss: 2.4774
Epoch 10/1000, Train Loss: 0.8758, Validation Loss: 3.1649
Epoch 11/1000, Train Loss: 0.9068, Validation Loss: 1.1409
Epoch 12/1000, Train Loss: 0.8611, Validation Loss: 1.5933
Epoch 13/1000, Train Loss: 0.8663, Validation Loss: 1.1863
Epoch 14/1000, Train Loss: 0.8598, Validation Loss: 4.6662
Epoch 15/1000, Train Loss: 0.8397, Validation Loss: 5.9319
Epoch 16/1000, Train Loss: 0.8154, Validation Loss: 1.0019
Epoch 17/1000, Train Loss: 0.8432, Validation Loss: 0.6928
Epoch 18/1000, Train Loss: 0.7845, Validation Loss: 3.7497
Epoch 19/1000, Train Loss: 0.7634, Validation Loss: 0.9589
Epoch 20/1000, Train Loss: 0.7624, Validation Loss: 10.6535
Epoch 21/1000, Train Loss: 0.7651, Validation Loss: 1.2470
Epoch 22/1000, Train Loss: 0.7540, Validation Loss: 1.3710
Epoch 23/1000, Train Loss: 0.7568, Validation Loss: 1.5964
Epoch 24/1000, Train Loss: 0.7696, Validation Loss: 1.7862
Epoch 25/1000, Train Loss: 0.7508, Validation Loss: 2.2407
Epoch 26/1000, Train Loss: 0.7460, Validation Loss: 2.6244
Epoch 27/1000, Train Loss: 0.7317, Validation Loss: 0.9265
Epoch 28/1000, Train Loss: 0.7406, Validation Loss: 2.1685
Epoch 29/1000, Train Loss: 0.7264, Validation Loss: 0.7586
Epoch 30/1000, Train Loss: 0.7260, Validation Loss: 1.4727
Epoch 31/1000, Train Loss: 0.7205, Validation Loss: 1.3182
Epoch 32/1000, Train Loss: 0.7316, Validation Loss: 0.6693
Epoch 33/1000, Train Loss: 0.6862, Validation Loss: 0.6920
Epoch 34/1000, Train Loss: 0.6907, Validation Loss: 3.3962
Epoch 35/1000, Train Loss: 0.6854, Validation Loss: 6.1387
Epoch 36/1000, Train Loss: 0.6745, Validation Loss: 1.0541
Epoch 37/1000, Train Loss: 0.6849, Validation Loss: 1.6981
Epoch 38/1000, Train Loss: 0.6724, Validation Loss: 2.0074
Epoch 39/1000, Train Loss: 0.6746, Validation Loss: 2.1175
Epoch 40/1000, Train Loss: 0.6980, Validation Loss: 2.1582
Epoch 41/1000, Train Loss: 0.6785, Validation Loss: 0.9401
Epoch 42/1000, Train Loss: 0.6772, Validation Loss: 1.5231
Epoch 43/1000, Train Loss: 0.6641, Validation Loss: 1.1436
Epoch 44/1000, Train Loss: 0.6633, Validation Loss: 6.1868
Epoch 45/1000, Train Loss: 0.6573, Validation Loss: 1.0884
Epoch 46/1000, Train Loss: 113.4445, Validation Loss: 2.2605
Epoch 47/1000, Train Loss: 0.6667, Validation Loss: 2.8408
Epoch 48/1000, Train Loss: 0.6789, Validation Loss: 1.0398
Epoch 49/1000, Train Loss: 0.6555, Validation Loss: 28.9343
Epoch 50/1000, Train Loss: 0.6445, Validation Loss: 1.4880
Epoch 51/1000, Train Loss: 0.6577, Validation Loss: 2.4340
Epoch 52/1000, Train Loss: 0.6701, Validation Loss: 2.9563
Epoch 53/1000, Train Loss: 0.6451, Validation Loss: 3.8033
Epoch 54/1000, Train Loss: 0.6722, Validation Loss: 1.8944
Epoch 55/1000, Train Loss: 0.6415, Validation Loss: 1.1923
Epoch 56/1000, Train Loss: 0.6465, Validation Loss: 7.5066
Epoch 57/1000, Train Loss: 0.6215, Validation Loss: 1.9785
Epoch 58/1000, Train Loss: 0.6168, Validation Loss: 1.0246
Epoch 59/1000, Train Loss: 0.6312, Validation Loss: 2.3906
Epoch 60/1000, Train Loss: 0.6277, Validation Loss: 2.4066
Epoch 61/1000, Train Loss: 0.6103, Validation Loss: 13.1054
Epoch 62/1000, Train Loss: 0.7288, Validation Loss: 1.2758
Epoch 63/1000, Train Loss: 0.6266, Validation Loss: 0.6440
Epoch 64/1000, Train Loss: 0.6207, Validation Loss: 1.4290
Epoch 65/1000, Train Loss: 0.6364, Validation Loss: 1.3502
Epoch 66/1000, Train Loss: 0.6250, Validation Loss: 2.1842
Epoch 67/1000, Train Loss: 0.8641, Validation Loss: 2.4975
Epoch 68/1000, Train Loss: 0.6127, Validation Loss: 2.1254
Epoch 69/1000, Train Loss: 0.6216, Validation Loss: 2.8692
Epoch 70/1000, Train Loss: 0.6186, Validation Loss: 0.6422
Epoch 71/1000, Train Loss: 0.6173, Validation Loss: 23.7089
Epoch 72/1000, Train Loss: 0.6050, Validation Loss: 1.1972
Epoch 73/1000, Train Loss: 0.6107, Validation Loss: 1.5460
Epoch 74/1000, Train Loss: 0.6144, Validation Loss: 2.0778
Epoch 75/1000, Train Loss: 0.6109, Validation Loss: 0.8306
Epoch 76/1000, Train Loss: 0.6047, Validation Loss: 1.4681
Epoch 77/1000, Train Loss: 0.6048, Validation Loss: 1.3504
Epoch 78/1000, Train Loss: 0.5989, Validation Loss: 1.4053
Epoch 79/1000, Train Loss: 0.5982, Validation Loss: 3.3528
Epoch 80/1000, Train Loss: 0.5906, Validation Loss: 1.2628
Epoch 81/1000, Train Loss: 0.6185, Validation Loss: 3.2389
Epoch 82/1000, Train Loss: 0.6041, Validation Loss: 5.1593
Epoch 83/1000, Train Loss: 0.5946, Validation Loss: 1.0050
Epoch 84/1000, Train Loss: 0.6287, Validation Loss: 1.8163
Epoch 85/1000, Train Loss: 0.5973, Validation Loss: 4.3177
Epoch 86/1000, Train Loss: 0.5868, Validation Loss: 1.8296
Epoch 87/1000, Train Loss: 0.6079, Validation Loss: 2.6133
Epoch 88/1000, Train Loss: 0.6101, Validation Loss: 20.5506
Epoch 89/1000, Train Loss: 0.6472, Validation Loss: 1.0246
Epoch 90/1000, Train Loss: 0.6043, Validation Loss: 0.7729
Epoch 91/1000, Train Loss: 0.6866, Validation Loss: 2.3055
Epoch 92/1000, Train Loss: 0.6003, Validation Loss: 1.3736
Epoch 93/1000, Train Loss: 0.5937, Validation Loss: 1.4203
Epoch 94/1000, Train Loss: 0.5972, Validation Loss: 10.4610
Epoch 95/1000, Train Loss: 0.5821, Validation Loss: 2.5855
Epoch 96/1000, Train Loss: 0.5951, Validation Loss: 3.6994
Epoch 97/1000, Train Loss: 4.0328, Validation Loss: 3.8588
Epoch 98/1000, Train Loss: 0.8294, Validation Loss: 8.3851
Epoch 99/1000, Train Loss: 0.6020, Validation Loss: 0.7241
Epoch 100/1000, Train Loss: 0.5853, Validation Loss: 19.6220
Epoch 101/1000, Train Loss: 0.6367, Validation Loss: 3.3043
Epoch 102/1000, Train Loss: 0.5959, Validation Loss: 3.5174
Epoch 103/1000, Train Loss: 0.6670, Validation Loss: 2.2368
Epoch 104/1000, Train Loss: 0.5771, Validation Loss: 1.0729
Epoch 105/1000, Train Loss: 0.5684, Validation Loss: 3.2839
Epoch 106/1000, Train Loss: 0.5945, Validation Loss: 13.8893
Epoch 107/1000, Train Loss: 0.5914, Validation Loss: 1.9141
Epoch 108/1000, Train Loss: 0.6425, Validation Loss: 2.0377
Epoch 109/1000, Train Loss: 0.5798, Validation Loss: 1.6286
Epoch 110/1000, Train Loss: 0.5727, Validation Loss: 1.2412
Epoch 111/1000, Train Loss: 0.6018, Validation Loss: 1.3219
Epoch 112/1000, Train Loss: 0.5942, Validation Loss: 26.5423
Epoch 113/1000, Train Loss: 0.5773, Validation Loss: 1.1107
Epoch 114/1000, Train Loss: 0.6171, Validation Loss: 33.3486
Epoch 115/1000, Train Loss: 0.5838, Validation Loss: 8.4506
Epoch 116/1000, Train Loss: 0.5751, Validation Loss: 2.6792
Epoch 117/1000, Train Loss: 0.5866, Validation Loss: 5.7262
Epoch 118/1000, Train Loss: 0.5802, Validation Loss: 0.8250
Epoch 119/1000, Train Loss: 0.5764, Validation Loss: 0.8206
Epoch 120/1000, Train Loss: 0.5874, Validation Loss: 1.6778
Epoch 121/1000, Train Loss: 0.6020, Validation Loss: 1.3545
Epoch 122/1000, Train Loss: 0.5891, Validation Loss: 2.2350
Epoch 123/1000, Train Loss: 0.5826, Validation Loss: 1.7114
Epoch 124/1000, Train Loss: 0.5860, Validation Loss: 1.2786
Epoch 125/1000, Train Loss: 0.5755, Validation Loss: 2.9450
