Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-13rs8d2o
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.5703, Validation Loss: 8.1626
Epoch 2/1000, Train Loss: 1.7920, Validation Loss: 2.6059
Epoch 3/1000, Train Loss: 1.4479, Validation Loss: 1.7462
Epoch 4/1000, Train Loss: 1.3961, Validation Loss: 2.3415
Epoch 5/1000, Train Loss: 1.2617, Validation Loss: 1.9655
Epoch 6/1000, Train Loss: 1.1278, Validation Loss: 6.1923
Epoch 7/1000, Train Loss: 1.1474, Validation Loss: 2.4002
Epoch 8/1000, Train Loss: 1.0875, Validation Loss: 3.9602
Epoch 9/1000, Train Loss: 1.0434, Validation Loss: 3.3280
Epoch 10/1000, Train Loss: 0.9941, Validation Loss: 5.8551
Epoch 11/1000, Train Loss: 0.9852, Validation Loss: 1.0529
Epoch 12/1000, Train Loss: 0.9637, Validation Loss: 1.9577
Epoch 13/1000, Train Loss: 0.9469, Validation Loss: 1.5420
Epoch 14/1000, Train Loss: 0.9096, Validation Loss: 1.9690
Epoch 15/1000, Train Loss: 0.9132, Validation Loss: 1.6448
Epoch 16/1000, Train Loss: 0.8892, Validation Loss: 2.6528
Epoch 17/1000, Train Loss: 0.8839, Validation Loss: 0.8017
Epoch 18/1000, Train Loss: 0.8683, Validation Loss: 0.9945
Epoch 19/1000, Train Loss: 0.8803, Validation Loss: 1.4057
Epoch 20/1000, Train Loss: 0.8410, Validation Loss: 3.3495
Epoch 21/1000, Train Loss: 0.8647, Validation Loss: 1.5355
Epoch 22/1000, Train Loss: 0.8444, Validation Loss: 1.3088
Epoch 23/1000, Train Loss: 0.8251, Validation Loss: 0.8130
Epoch 24/1000, Train Loss: 0.8082, Validation Loss: 1.7141
Epoch 25/1000, Train Loss: 0.8193, Validation Loss: 1.2253
Epoch 26/1000, Train Loss: 0.8377, Validation Loss: 2.4829
Epoch 27/1000, Train Loss: 0.8182, Validation Loss: 2.4901
Epoch 28/1000, Train Loss: 0.7905, Validation Loss: 1.5032
Epoch 29/1000, Train Loss: 0.7872, Validation Loss: 2.0528
Epoch 30/1000, Train Loss: 0.8411, Validation Loss: 1.8437
Epoch 31/1000, Train Loss: 0.7855, Validation Loss: 2.1348
Epoch 32/1000, Train Loss: 0.7650, Validation Loss: 0.9992
Epoch 33/1000, Train Loss: 0.7589, Validation Loss: 1.2611
Epoch 34/1000, Train Loss: 0.8108, Validation Loss: 1.1120
Epoch 35/1000, Train Loss: 0.7745, Validation Loss: 1.2049
Epoch 36/1000, Train Loss: 0.7568, Validation Loss: 1.9584
Epoch 37/1000, Train Loss: 0.7711, Validation Loss: 0.8294
Epoch 38/1000, Train Loss: 0.7411, Validation Loss: 0.7977
Epoch 39/1000, Train Loss: 0.7365, Validation Loss: 2.0876
Epoch 40/1000, Train Loss: 0.7400, Validation Loss: 0.8984
Epoch 41/1000, Train Loss: 0.7182, Validation Loss: 1.4944
Epoch 42/1000, Train Loss: 0.6975, Validation Loss: 1.2643
Epoch 43/1000, Train Loss: 0.7025, Validation Loss: 0.6503
Epoch 44/1000, Train Loss: 0.6845, Validation Loss: 0.8557
Epoch 45/1000, Train Loss: 0.7128, Validation Loss: 2.1241
Epoch 46/1000, Train Loss: 0.6917, Validation Loss: 2.8356
Epoch 47/1000, Train Loss: 0.6819, Validation Loss: 2.0606
Epoch 48/1000, Train Loss: 0.6915, Validation Loss: 1.4130
Epoch 49/1000, Train Loss: 0.6755, Validation Loss: 1.7526
Epoch 50/1000, Train Loss: 0.6586, Validation Loss: 2.8315
Epoch 51/1000, Train Loss: 0.6615, Validation Loss: 1.3896
Epoch 52/1000, Train Loss: 0.6464, Validation Loss: 1.5314
Epoch 53/1000, Train Loss: 0.6418, Validation Loss: 1.5996
Epoch 54/1000, Train Loss: 0.6414, Validation Loss: 1.5150
Epoch 55/1000, Train Loss: 0.6408, Validation Loss: 1.8862
Epoch 56/1000, Train Loss: 0.6428, Validation Loss: 0.9071
Epoch 57/1000, Train Loss: 0.6438, Validation Loss: 1.2354
Epoch 58/1000, Train Loss: 0.6184, Validation Loss: 0.5971
Epoch 59/1000, Train Loss: 0.6283, Validation Loss: 0.8896
Epoch 60/1000, Train Loss: 0.6189, Validation Loss: 2.5637
Epoch 61/1000, Train Loss: 0.6208, Validation Loss: 1.4425
Epoch 62/1000, Train Loss: 0.6161, Validation Loss: 2.2422
Epoch 63/1000, Train Loss: 0.6042, Validation Loss: 1.0910
Epoch 64/1000, Train Loss: 0.6147, Validation Loss: 0.6688
Epoch 65/1000, Train Loss: 0.6180, Validation Loss: 1.0903
Epoch 66/1000, Train Loss: 0.5978, Validation Loss: 0.7083
Epoch 67/1000, Train Loss: 0.5980, Validation Loss: 1.7537
Epoch 68/1000, Train Loss: 0.5941, Validation Loss: 0.8045
Epoch 69/1000, Train Loss: 0.5974, Validation Loss: 2.6637
Epoch 70/1000, Train Loss: 0.5908, Validation Loss: 1.3602
Epoch 71/1000, Train Loss: 0.5818, Validation Loss: 2.7245
Epoch 72/1000, Train Loss: 0.5777, Validation Loss: 0.6401
Epoch 73/1000, Train Loss: 0.5816, Validation Loss: 3.0367
Epoch 74/1000, Train Loss: 0.5685, Validation Loss: 2.4183
Epoch 75/1000, Train Loss: 0.5670, Validation Loss: 1.3560
Epoch 76/1000, Train Loss: 0.5600, Validation Loss: 0.8317
Epoch 77/1000, Train Loss: 0.5591, Validation Loss: 1.2081
Epoch 78/1000, Train Loss: 0.5676, Validation Loss: 0.7968
Epoch 79/1000, Train Loss: 0.5657, Validation Loss: 0.5357
Epoch 80/1000, Train Loss: 0.5465, Validation Loss: 0.7920
Epoch 81/1000, Train Loss: 0.5453, Validation Loss: 2.7227
Epoch 82/1000, Train Loss: 0.5681, Validation Loss: 1.5759
Epoch 83/1000, Train Loss: 0.5534, Validation Loss: 1.2071
Epoch 84/1000, Train Loss: 0.5495, Validation Loss: 0.7594
Epoch 85/1000, Train Loss: 0.5382, Validation Loss: 0.9555
Epoch 86/1000, Train Loss: 0.5419, Validation Loss: 0.5336
Epoch 87/1000, Train Loss: 0.5388, Validation Loss: 1.9719
Epoch 88/1000, Train Loss: 0.5294, Validation Loss: 0.8580
Epoch 89/1000, Train Loss: 0.5417, Validation Loss: 0.7941
Epoch 90/1000, Train Loss: 0.5299, Validation Loss: 1.1060
Epoch 91/1000, Train Loss: 0.5321, Validation Loss: 3.3103
Epoch 92/1000, Train Loss: 0.5291, Validation Loss: 1.5212
Epoch 93/1000, Train Loss: 0.5255, Validation Loss: 3.3332
Epoch 94/1000, Train Loss: 0.5196, Validation Loss: 0.8013
Epoch 95/1000, Train Loss: 0.5234, Validation Loss: 2.9086
Epoch 96/1000, Train Loss: 0.5161, Validation Loss: 2.6260
Epoch 97/1000, Train Loss: 0.5142, Validation Loss: 2.3260
Epoch 98/1000, Train Loss: 0.5164, Validation Loss: 0.7581
Epoch 99/1000, Train Loss: 0.5147, Validation Loss: 1.2912
Epoch 100/1000, Train Loss: 0.5134, Validation Loss: 0.6200
Epoch 101/1000, Train Loss: 0.5120, Validation Loss: 0.5872
Epoch 102/1000, Train Loss: 0.5046, Validation Loss: 0.8137
Epoch 103/1000, Train Loss: 0.5080, Validation Loss: 3.4293
Epoch 104/1000, Train Loss: 0.5057, Validation Loss: 1.1029
Epoch 105/1000, Train Loss: 0.4990, Validation Loss: 1.6783
Epoch 106/1000, Train Loss: 0.5003, Validation Loss: 2.8671
Epoch 107/1000, Train Loss: 0.5010, Validation Loss: 0.6153
Epoch 108/1000, Train Loss: 0.4951, Validation Loss: 0.7888
Epoch 109/1000, Train Loss: 0.4989, Validation Loss: 0.5417
Epoch 110/1000, Train Loss: 0.4963, Validation Loss: 0.6797
Epoch 111/1000, Train Loss: 0.4959, Validation Loss: 0.6211
Epoch 112/1000, Train Loss: 0.5015, Validation Loss: 2.4690
Epoch 113/1000, Train Loss: 0.4884, Validation Loss: 2.1510
Epoch 114/1000, Train Loss: 0.4938, Validation Loss: 1.9493
Epoch 115/1000, Train Loss: 0.4883, Validation Loss: 0.6514
Epoch 116/1000, Train Loss: 0.4848, Validation Loss: 0.7199
Epoch 117/1000, Train Loss: 0.4843, Validation Loss: 0.6157
Epoch 118/1000, Train Loss: 0.4868, Validation Loss: 2.1995
Epoch 119/1000, Train Loss: 0.4851, Validation Loss: 1.0598
Epoch 120/1000, Train Loss: 0.4811, Validation Loss: 0.8558
Epoch 121/1000, Train Loss: 0.4792, Validation Loss: 3.4538
Epoch 122/1000, Train Loss: 0.4803, Validation Loss: 0.5912
Epoch 123/1000, Train Loss: 0.4772, Validation Loss: 0.5376
Epoch 124/1000, Train Loss: 0.4757, Validation Loss: 3.1634
Epoch 125/1000, Train Loss: 0.4709, Validation Loss: 2.7236
Epoch 126/1000, Train Loss: 0.4696, Validation Loss: 0.6426
Epoch 127/1000, Train Loss: 0.4741, Validation Loss: 0.7113
Epoch 128/1000, Train Loss: 0.4749, Validation Loss: 0.8998
Epoch 129/1000, Train Loss: 0.4736, Validation Loss: 2.9895
Epoch 130/1000, Train Loss: 0.4718, Validation Loss: 2.5975
