Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-hqnketwa
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.2932, Validation Loss: 1.4920
Epoch 2/1000, Train Loss: 1.3187, Validation Loss: 1.7966
Epoch 3/1000, Train Loss: 1.1850, Validation Loss: 1.6952
Epoch 4/1000, Train Loss: 1.1300, Validation Loss: 3.1562
Epoch 5/1000, Train Loss: 1.0982, Validation Loss: 2.2227
Epoch 6/1000, Train Loss: 1.0939, Validation Loss: 2.5247
Epoch 7/1000, Train Loss: 1.0778, Validation Loss: 1.0991
Epoch 8/1000, Train Loss: 1.0628, Validation Loss: 1.1459
Epoch 9/1000, Train Loss: 1.0707, Validation Loss: 1.9158
Epoch 10/1000, Train Loss: 1.0188, Validation Loss: 1.2466
Epoch 11/1000, Train Loss: 1.0293, Validation Loss: 0.9298
Epoch 12/1000, Train Loss: 1.0282, Validation Loss: 2.6390
Epoch 13/1000, Train Loss: 0.9343, Validation Loss: 1.1822
Epoch 14/1000, Train Loss: 0.9483, Validation Loss: 1.8597
Epoch 15/1000, Train Loss: 0.9305, Validation Loss: 1.2811
Epoch 16/1000, Train Loss: 0.8932, Validation Loss: 1.6254
Epoch 17/1000, Train Loss: 0.8544, Validation Loss: 0.8876
Epoch 18/1000, Train Loss: 0.8287, Validation Loss: 0.8795
Epoch 19/1000, Train Loss: 0.8224, Validation Loss: 0.8627
Epoch 20/1000, Train Loss: 0.8148, Validation Loss: 2.9486
Epoch 21/1000, Train Loss: 0.8048, Validation Loss: 4.1200
Epoch 22/1000, Train Loss: 0.8086, Validation Loss: 1.1256
Epoch 23/1000, Train Loss: 0.7907, Validation Loss: 2.1156
Epoch 24/1000, Train Loss: 0.7826, Validation Loss: 2.4621
Epoch 25/1000, Train Loss: 0.7841, Validation Loss: 1.5067
Epoch 26/1000, Train Loss: 0.7795, Validation Loss: 1.3782
Epoch 27/1000, Train Loss: 0.7778, Validation Loss: 1.1018
Epoch 28/1000, Train Loss: 0.7489, Validation Loss: 1.4040
Epoch 29/1000, Train Loss: 0.7375, Validation Loss: 4.8929
Epoch 30/1000, Train Loss: 0.7297, Validation Loss: 1.4362
Epoch 31/1000, Train Loss: 0.7127, Validation Loss: 0.9438
Epoch 32/1000, Train Loss: 0.7143, Validation Loss: 0.6728
Epoch 33/1000, Train Loss: 0.7275, Validation Loss: 2.5683
Epoch 34/1000, Train Loss: 0.6889, Validation Loss: 0.6888
Epoch 35/1000, Train Loss: 0.7102, Validation Loss: 3.2573
Epoch 36/1000, Train Loss: 0.6808, Validation Loss: 0.8245
Epoch 37/1000, Train Loss: 0.6912, Validation Loss: 1.6514
Epoch 38/1000, Train Loss: 0.7174, Validation Loss: 2.3702
Epoch 39/1000, Train Loss: 0.6720, Validation Loss: 0.7617
Epoch 40/1000, Train Loss: 0.6638, Validation Loss: 1.2523
Epoch 41/1000, Train Loss: 0.6635, Validation Loss: 1.2782
Epoch 42/1000, Train Loss: 0.6521, Validation Loss: 2.9085
Epoch 43/1000, Train Loss: 0.6503, Validation Loss: 3.7491
Epoch 44/1000, Train Loss: 0.6559, Validation Loss: 2.9054
Epoch 45/1000, Train Loss: 0.6792, Validation Loss: 1.5714
Epoch 46/1000, Train Loss: 0.6402, Validation Loss: 1.3767
Epoch 47/1000, Train Loss: 0.6349, Validation Loss: 0.6763
Epoch 48/1000, Train Loss: 0.6561, Validation Loss: 1.4371
Epoch 49/1000, Train Loss: 0.6411, Validation Loss: 0.8039
Epoch 50/1000, Train Loss: 0.6261, Validation Loss: 5.9115
Epoch 51/1000, Train Loss: 0.6275, Validation Loss: 2.5971
Epoch 52/1000, Train Loss: 0.6216, Validation Loss: 3.4149
Epoch 53/1000, Train Loss: 0.6246, Validation Loss: 1.3880
Epoch 54/1000, Train Loss: 0.6326, Validation Loss: 0.6367
Epoch 55/1000, Train Loss: 0.6237, Validation Loss: 1.8677
Epoch 56/1000, Train Loss: 0.6249, Validation Loss: 0.8217
Epoch 57/1000, Train Loss: 0.6307, Validation Loss: 1.2039
Epoch 58/1000, Train Loss: 0.6061, Validation Loss: 0.9280
Epoch 59/1000, Train Loss: 0.6151, Validation Loss: 0.9650
